,PLCE US Equity,PLCE US Equity,PLCE US Equity,PLCE US Equity,PLCE US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,89.8075,90.5467,86.9478,87.6287,375692.0
2019-01-02,86.2961,87.6189,85.6639,86.3836,687154.0
2019-01-03,86.3545,87.9302,83.8741,86.0627,404192.0
2019-01-04,86.7241,87.1569,83.2808,84.6036,835512.0
2019-01-05,86.7241,87.1569,83.2808,84.6036,835512.0
2019-01-06,86.7241,87.1569,83.2808,84.6036,835512.0
2019-01-07,84.8079,91.4027,83.7574,89.9145,841370.0
2019-01-08,90.2938,90.858,85.3721,88.7375,567243.0
2019-01-09,88.7764,90.4592,87.6773,88.2901,567835.0
2019-01-10,85.9751,87.3806,83.3197,86.8505,764151.0
2019-01-11,86.5295,89.4865,86.5295,88.3485,587436.0
2019-01-12,86.5295,89.4865,86.5295,88.3485,587436.0
2019-01-13,86.5295,89.4865,86.5295,88.3485,587436.0
2019-01-14,88.0858,90.6343,86.87,87.0159,614579.0
2019-01-15,86.5782,88.0858,82.668,83.096,702042.0
2019-01-16,83.0279,84.2535,82.1574,82.9015,659399.0
2019-01-17,82.3859,86.6611,82.3859,86.3058,686743.0
2019-01-18,86.8213,88.8056,86.3739,88.4457,779257.0
2019-01-19,86.8213,88.8056,86.3739,88.4457,779257.0
2019-01-20,86.8213,88.8056,86.3739,88.4457,779257.0
2019-01-21,86.8213,88.8056,86.3739,88.4457,779257.0
2019-01-22,88.0956,90.6634,87.1521,88.0275,795247.0
2019-01-23,88.5235,91.2665,87.3855,89.7491,795700.0
2019-01-24,89.6421,91.5194,88.757,91.3735,483475.0
2019-01-25,91.9182,93.4258,90.6732,90.7802,528632.0
2019-01-26,91.9182,93.4258,90.6732,90.7802,528632.0
2019-01-27,91.9182,93.4258,90.6732,90.7802,528632.0
2019-01-28,90.216,92.8131,89.4865,92.7255,466156.0
2019-01-29,92.7547,93.8052,91.9279,93.027,518474.0
2019-01-30,93.3675,95.77,92.1905,95.5171,574003.0
2019-01-31,95.4101,96.1202,93.3967,94.1164,788486.0
2019-02-01,94.2332,95.0162,88.8348,89.6129,969238.0
2019-02-02,94.2332,95.0162,88.8348,89.6129,969238.0
2019-02-03,94.2332,95.0162,88.8348,89.6129,969238.0
2019-02-04,90.2938,90.8677,88.0664,89.0391,1226240.0
2019-02-05,89.1363,91.3249,88.5333,91.3151,746592.0
2019-02-06,91.3832,91.3832,86.4469,88.222,729504.0
2019-02-07,87.6579,88.7959,86.0335,86.7727,419674.0
2019-02-08,86.1405,87.1715,83.5045,84.2632,828848.0
2019-02-09,86.1405,87.1715,83.5045,84.2632,828848.0
2019-02-10,86.1405,87.1715,83.5045,84.2632,828848.0
2019-02-11,84.0978,87.4536,83.4559,86.9478,588093.0
2019-02-12,86.8116,89.3017,86.1307,88.7375,587862.0
2019-02-13,89.4865,89.5351,87.6579,88.6208,460782.0
2019-02-14,88.2706,88.5819,86.3058,87.3271,448623.0
2019-02-15,87.5898,89.4962,87.5314,88.8056,725013.0
2019-02-16,87.5898,89.4962,87.5314,88.8056,725013.0
2019-02-17,87.5898,89.4962,87.5314,88.8056,725013.0
2019-02-18,87.5898,89.4962,87.5314,88.8056,725013.0
2019-02-19,88.8737,89.3406,87.0207,89.0585,322855.0
2019-02-20,89.078,90.0896,88.543,89.0196,338482.0
2019-02-21,88.6305,90.2744,87.9108,88.4944,326413.0
2019-02-22,88.6403,89.895,87.2785,89.6324,297445.0
2019-02-23,88.6403,89.895,87.2785,89.6324,297445.0
2019-02-24,88.6403,89.895,87.2785,89.6324,297445.0
2019-02-25,91.0914,94.7001,90.9783,92.9881,804187.0
2019-02-26,89.7297,93.8052,89.4865,91.0331,527245.0
