,BANR US Equity,BANR US Equity,BANR US Equity,BANR US Equity,BANR US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,47.7875,48.1083,47.6609,47.7706,170951.0
2020-01-02,48.1336,48.1336,47.357,47.9057,171087.0
2020-01-03,47.5005,48.0027,47.0829,47.9394,219233.0
2020-01-04,47.5005,48.0027,47.0829,47.9394,219233.0
2020-01-05,47.5005,48.0027,47.0829,47.9394,219233.0
2020-01-06,47.6102,47.7959,47.0615,47.5596,170476.0
2020-01-07,47.568,47.5849,46.994,47.1966,205962.0
2020-01-08,47.1619,47.5516,46.9801,47.1013,266160.0
2020-01-09,47.4997,47.7248,47.1533,47.4564,220036.0
2020-01-10,47.4304,47.491,46.9195,47.0234,184183.0
2020-01-11,47.4304,47.491,46.9195,47.0234,184183.0
2020-01-12,47.4304,47.491,46.9195,47.0234,184183.0
2020-01-13,46.9454,47.1879,46.628,47.136,214954.0
2020-01-14,47.1446,47.4477,47.0753,47.1619,237445.0
2020-01-15,46.9368,47.2139,46.7722,47.0407,288974.0
2020-01-16,47.2485,47.7508,47.2096,47.5776,122832.0
2020-01-17,47.7595,47.7854,47.3611,47.517,147960.0
2020-01-18,47.7595,47.7854,47.3611,47.517,147960.0
2020-01-19,47.7595,47.7854,47.3611,47.517,147960.0
2020-01-20,47.7595,47.7854,47.3611,47.517,147960.0
2020-01-21,47.3525,47.3611,46.703,46.7722,169580.0
2020-01-22,46.7722,46.8415,46.4865,46.6077,233776.0
2020-01-23,46.5038,47.0831,46.3219,46.9281,297111.0
2020-01-24,45.352,46.6337,43.7586,45.785,329544.0
2020-01-25,45.352,46.6337,43.7586,45.785,329544.0
2020-01-26,45.352,46.6337,43.7586,45.785,329544.0
2020-01-27,44.9883,45.3433,44.5207,44.7718,208128.0
2020-01-28,44.8671,45.3607,44.7372,45.0662,193529.0
2020-01-29,45.0662,45.3087,44.7718,44.8584,224398.0
2020-01-30,44.6506,45.0576,44.2868,45.0229,145541.0
2020-01-31,44.7198,44.919,44.512,44.6419,206812.0
2020-02-01,44.7198,44.919,44.512,44.6419,206812.0
2020-02-02,44.7198,44.919,44.512,44.6419,206812.0
2020-02-03,44.971,45.7071,44.971,45.5945,251434.0
2020-02-04,46.2613,46.4778,46.0535,46.2613,301699.0
2020-02-05,46.8935,47.6902,46.8243,47.6122,244875.0
2020-02-06,47.7595,48.1232,47.5473,47.9586,257819.0
2020-02-07,47.6815,47.911,47.1013,47.2659,317521.0
2020-02-08,47.6815,47.911,47.1013,47.2659,317521.0
2020-02-09,47.6815,47.911,47.1013,47.2659,317521.0
2020-02-10,46.9887,47.0667,46.6164,46.8155,192011.0
2020-02-11,46.9195,47.4737,46.9108,46.9887,248643.0
2020-02-12,47.136,47.4217,46.8285,47.3265,173529.0
2020-02-13,47.2052,47.6209,47.0667,47.5603,88123.0
2020-02-14,47.4823,47.7292,46.8588,47.1013,167168.0
2020-02-15,47.4823,47.7292,46.8588,47.1013,167168.0
2020-02-16,47.4823,47.7292,46.8588,47.1013,167168.0
2020-02-17,47.4823,47.7292,46.8588,47.1013,167168.0
2020-02-18,47.0234,47.1706,46.0794,46.1141,161097.0
2020-02-19,46.1487,46.3046,45.5772,45.9409,184180.0
2020-02-20,45.7504,46.7636,45.7504,46.4865,155534.0
2020-02-21,46.27,46.27,45.8196,45.9495,137698.0
2020-02-22,46.27,46.27,45.8196,45.9495,137698.0
2020-02-23,46.27,46.27,45.8196,45.9495,137698.0
2020-02-24,44.564,45.2221,44.4254,44.9277,169749.0
2020-02-25,45.1355,45.1355,43.5507,43.7932,276734.0
2020-02-26,44.1136,44.4167,43.0138,43.1177,219943.0
2020-02-27,42.3557,43.5681,41.5157,41.559,239362.0
2020-02-28,40.615,41.1952,38.9523,39.5239,334069.0
2020-02-29,40.615,41.1952,38.9523,39.5239,334069.0
2020-03-01,40.615,41.1952,38.9523,39.5239,334069.0
2020-03-02,39.7231,41.1996,39.2901,41.126,274055.0
2020-03-03,41.0394,41.7841,39.7406,40.1041,345970.0
2020-03-04,40.5544,40.8437,39.1428,40.7363,293990.0
2020-03-05,39.4979,39.7144,38.0517,38.7185,268270.0
2020-03-06,37.1337,38.883,35.6623,38.0777,211528.0
2020-03-07,37.1337,38.883,35.6623,38.0777,211528.0
2020-03-08,37.1337,38.883,35.6623,38.0777,211528.0
2020-03-09,34.9688,35.5092,32.3319,32.544,228032.0
2020-03-10,33.8083,34.4925,31.704,33.6265,348010.0
2020-03-11,32.5007,33.3494,30.4396,30.9939,308947.0
2020-03-12,28.647,30.6042,27.426,28.24,378769.0
2020-03-13,30.4136,31.5568,28.5951,30.9159,338589.0
2020-03-14,30.4136,31.5568,28.5951,30.9159,338589.0
2020-03-15,30.4136,31.5568,28.5951,30.9159,338589.0
2020-03-16,27.2788,29.2013,26.8284,27.1402,399811.0
2020-03-17,27.5992,32.2495,26.4387,32.085,484392.0
2020-03-18,30.0326,30.9246,27.807,29.1839,349084.0
2020-03-19,28.8722,30.8726,26.2829,29.3658,380590.0
2020-03-20,29.1753,30.0066,26.0664,26.1963,377817.0
2020-03-21,29.1753,30.0066,26.0664,26.1963,377817.0
2020-03-22,29.1753,30.0066,26.0664,26.1963,377817.0
2020-03-23,26.2222,26.7418,23.4857,23.7282,329867.0
2020-03-24,25.3043,27.3221,24.7587,27.1835,265671.0
2020-03-25,27.5385,28.2833,25.8152,27.1056,339208.0
2020-03-26,27.2181,29.8637,27.0449,29.565,209784.0
2020-03-27,28.1101,29.6862,27.5992,28.7596,206991.0
2020-03-28,28.1101,29.6862,27.5992,28.7596,206991.0
2020-03-29,28.1101,29.6862,27.5992,28.7596,206991.0
2020-03-30,28.5777,28.9241,27.8627,28.7423,272183.0
2020-03-31,28.3266,28.9977,27.7421,28.6124,232173.0
2020-04-01,27.0623,27.8503,26.6552,27.2874,333641.0
2020-04-02,26.993,28.0841,26.3521,27.1835,315021.0
2020-04-03,26.8804,28.3786,24.2651,24.7847,737468.0
2020-04-04,26.8804,28.3786,24.2651,24.7847,737468.0
2020-04-05,26.8804,28.3786,24.2651,24.7847,737468.0
2020-04-06,26.0404,29.4481,26.0404,29.2013,391999.0
2020-04-07,30.1919,31.5156,28.1054,28.4035,304939.0
2020-04-08,28.8506,29.6308,28.1668,29.2188,207427.0
2020-04-09,30.3847,32.4361,29.7272,32.3747,252495.0
2020-04-10,30.3847,32.4361,29.7272,32.3747,252495.0
2020-04-11,30.3847,32.4361,29.7272,32.3747,252495.0
2020-04-12,30.3847,32.4361,29.7272,32.3747,252495.0
2020-04-13,32.2257,32.2257,29.5957,29.7798,198256.0
2020-04-14,30.7266,31.2132,29.0654,29.7974,186102.0
2020-04-15,28.1054,29.8149,27.2463,27.8512,262240.0
2020-04-16,27.8249,28.1668,26.1417,27.1148,223720.0
2020-04-17,28.2895,29.4467,28.0178,29.2013,169358.0
2020-04-18,28.2895,29.4467,28.0178,29.2013,169358.0
2020-04-19,28.2895,29.4467,28.0178,29.2013,169358.0
2020-04-20,28.158,29.8412,28.0178,28.947,144704.0
2020-04-21,28.0178,28.7016,27.5882,28.4473,171044.0
2020-04-22,29.21,29.3941,27.4918,27.7109,147179.0
2020-04-23,27.8074,29.0084,27.6583,28.5438,169234.0
2020-04-24,28.6314,29.4467,28.123,29.0522,127177.0
2020-04-25,28.6314,29.4467,28.123,29.0522,127177.0
2020-04-26,28.6314,29.4467,28.123,29.0522,127177.0
2020-04-27,29.324,31.7365,29.324,31.2351,133457.0
2020-04-28,30.3058,32.9972,30.3058,32.401,336953.0
2020-04-29,34.1982,36.438,33.5845,35.7761,342939.0
2020-04-30,34.356,35.0748,32.944,33.6897,324519.0
2020-05-01,32.9007,32.9484,31.6383,32.5764,290791.0
2020-05-02,32.9007,32.9484,31.6383,32.5764,290791.0
2020-05-03,32.9007,32.9484,31.6383,32.5764,290791.0
2020-05-04,32.0767,32.0767,31.0335,31.5989,237510.0
2020-05-05,32.1731,32.4799,30.4373,30.6477,145240.0
2020-05-06,30.788,31.0773,28.9646,29.3941,244915.0
2020-05-07,29.9902,30.6302,28.7367,29.622,186587.0
2020-05-08,30.4899,31.7611,30.319,31.6383,149995.0
2020-05-09,30.4899,31.7611,30.319,31.6383,149995.0
2020-05-10,30.4899,31.7611,30.319,31.6383,149995.0
2020-05-11,30.8844,31.1737,29.6922,30.4812,261567.0
2020-05-12,30.6565,30.6565,28.0528,28.1054,332227.0
2020-05-13,27.6408,27.7109,25.5369,26.0716,253595.0
2020-05-14,25.2739,26.5362,24.3358,26.3258,266584.0
2020-05-15,25.9927,26.7291,25.6771,26.5099,555693.0
2020-05-16,25.9927,26.7291,25.6771,26.5099,555693.0
2020-05-17,25.9927,26.7291,25.6771,26.5099,555693.0
2020-05-18,28.1843,29.7711,27.9739,29.5432,200951.0
2020-05-19,29.2626,29.4993,27.8424,27.86,173122.0
2020-05-20,28.6051,30.3847,28.4561,30.262,201842.0
2020-05-21,30.0779,30.7354,29.9289,29.9815,130410.0
2020-05-22,30.0954,30.1393,29.0785,29.3941,130110.0
2020-05-23,30.0954,30.1393,29.0785,29.3941,130110.0
2020-05-24,30.0954,30.1393,29.0785,29.3941,130110.0
2020-05-25,30.0954,30.1393,29.0785,29.3941,130110.0
2020-05-26,30.9283,32.0548,30.4373,31.7786,219152.0
2020-05-27,33.1287,35.031,32.9446,34.8206,250786.0
2020-05-28,34.6277,34.6277,33.3128,33.5231,356602.0
2020-05-29,32.8481,33.155,32.2169,32.927,228056.0
2020-05-30,32.8481,33.155,32.2169,32.927,228056.0
2020-05-31,32.8481,33.155,32.2169,32.927,228056.0
2020-06-01,33.1637,33.5757,32.4975,32.7955,280575.0
2020-06-02,32.9972,33.4355,32.3221,32.4536,168323.0
2020-06-03,33.4004,35.3992,32.9358,34.242,247394.0
2020-06-04,33.9702,35.1625,33.3303,34.7855,358674.0
2020-06-05,37.9327,39.309,37.0035,37.9415,292382.0
2020-06-06,37.9327,39.309,37.0035,37.9415,292382.0
2020-06-07,37.9327,39.309,37.0035,37.9415,292382.0
2020-06-08,38.3886,39.2126,37.9941,38.5376,202962.0
2020-06-09,37.3366,38.9233,36.7843,37.9634,260009.0
2020-06-10,37.959,37.959,35.6709,35.7761,213430.0
2020-06-11,33.5845,33.7335,31.7524,31.8926,244182.0
2020-06-12,33.5757,33.5933,31.6822,33.0673,192341.0
2020-06-13,33.5757,33.5933,31.6822,33.0673,192341.0
2020-06-14,33.5757,33.5933,31.6822,33.0673,192341.0
2020-06-15,31.2965,34.0141,31.1518,33.5319,221931.0
2020-06-16,35.1713,35.8375,34.2157,35.0222,254349.0
2020-06-17,35.2063,35.2063,33.5144,33.5144,200615.0
2020-06-18,33.041,34.2771,33.041,33.8212,203603.0
2020-06-19,33.6283,34.8118,32.3221,33.3741,1049967.0
2020-06-20,33.6283,34.8118,32.3221,33.3741,1049967.0
2020-06-21,33.6283,34.8118,32.3221,33.3741,1049967.0
2020-06-22,32.8481,33.5494,32.4273,33.2339,180625.0
2020-06-23,33.3128,33.9659,31.9101,31.9276,286277.0
2020-06-24,31.0598,31.8619,29.7097,30.0516,235416.0
2020-06-25,29.9289,31.6646,29.5645,31.5507,179096.0
2020-06-26,30.8669,30.9283,29.7886,30.5162,414080.0
2020-06-27,30.8669,30.9283,29.7886,30.5162,414080.0
2020-06-28,30.8669,30.9283,29.7886,30.5162,414080.0
2020-06-29,31.314,32.9884,30.3584,32.7254,232606.0
2020-06-30,32.4273,33.7949,32.252,33.3128,283208.0
2020-07-01,33.4793,33.7423,31.9978,32.0504,219769.0
2020-07-02,33.1813,33.6985,31.4104,31.5507,137560.0
2020-07-03,33.1813,33.6985,31.4104,31.5507,137560.0
2020-07-04,33.1813,33.6985,31.4104,31.5507,137560.0
2020-07-05,33.1813,33.6985,31.4104,31.5507,137560.0
2020-07-06,32.5939,32.9972,31.0422,31.428,140277.0
2020-07-07,31.0422,31.0948,30.5425,30.6916,199993.0
2020-07-08,30.639,30.9984,29.6133,30.3497,216751.0
2020-07-09,30.2269,30.2269,28.649,28.8418,135426.0
2020-07-10,29.3854,30.3409,28.9383,30.3234,143316.0
2020-07-11,29.3854,30.3409,28.9383,30.3234,143316.0
2020-07-12,29.3854,30.3409,28.9383,30.3234,143316.0
2020-07-13,30.7091,31.5682,29.9815,30.8318,175887.0
2020-07-14,30.7003,31.1124,29.8324,30.2094,135588.0
2020-07-15,31.3052,32.5851,30.8844,32.2257,202317.0
2020-07-16,31.8663,32.629,31.7523,32.2432,113945.0
2020-07-17,32.1906,32.3835,31.0159,31.0422,99636.0
2020-07-18,32.1906,32.3835,31.0159,31.0422,99636.0
2020-07-19,32.1906,32.3835,31.0159,31.0422,99636.0
2020-07-20,30.8055,31.1387,30.0253,30.2269,92186.0
2020-07-21,30.6916,32.2958,30.6828,32.2257,128794.0
2020-07-22,31.6997,32.1161,30.8143,31.5419,112517.0
2020-07-23,34.5488,34.5488,32.195,32.9095,237081.0
2020-07-24,32.8131,33.1813,31.9802,32.2345,114791.0
2020-07-25,32.8131,33.1813,31.9802,32.2345,114791.0
2020-07-26,32.8131,33.1813,31.9802,32.2345,114791.0
2020-07-27,32.0065,32.0065,31.1299,31.3315,140252.0
2020-07-28,31.0948,31.7786,31.0948,31.2789,106751.0
2020-07-29,31.2789,32.0591,30.9633,31.9978,82872.0
2020-07-30,31.1299,31.5331,30.525,31.314,86004.0
2020-07-31,31.0598,31.0773,30.2094,31.0598,174934.0
2020-08-01,31.0598,31.0773,30.2094,31.0598,174934.0
2020-08-02,31.0598,31.0773,30.2094,31.0598,174934.0
2020-08-03,31.113,31.6629,30.7671,31.3613,117439.0
2020-08-04,31.2283,31.3968,30.6606,31.1484,227100.0
2020-08-05,31.5032,32.2571,31.1484,32.1507,142980.0
2020-08-06,31.8402,31.991,31.3702,31.7338,81195.0
2020-08-07,31.4766,33.0642,31.2904,33.0642,139719.0
2020-08-08,31.4766,33.0642,31.2904,33.0642,139719.0
2020-08-09,31.4766,33.0642,31.2904,33.0642,139719.0
2020-08-10,33.4189,34.3768,32.603,33.5076,143721.0
2020-08-11,34.2526,35.1123,33.8003,34.0664,171137.0
2020-08-12,34.9444,35.0243,33.2859,33.9067,135914.0
2020-08-13,33.6052,33.7294,32.8203,32.9223,176582.0
2020-08-14,32.6828,33.7382,32.2926,33.3835,95908.0
2020-08-15,32.6828,33.7382,32.2926,33.3835,95908.0
2020-08-16,32.6828,33.7382,32.2926,33.3835,95908.0
2020-08-17,33.1883,33.348,32.4772,32.807,98774.0
2020-08-18,32.9489,32.9489,31.5476,31.654,112133.0
2020-08-19,31.6185,32.2793,31.5476,31.8935,122455.0
2020-08-20,31.4145,31.9378,30.9622,31.1041,87261.0
2020-08-21,30.7493,31.1795,30.4833,30.7449,101210.0
2020-08-22,30.7493,31.1795,30.4833,30.7449,101210.0
2020-08-23,30.7493,31.1795,30.4833,30.7449,101210.0
2020-08-24,31.1041,32.0442,30.6872,31.9821,100424.0
2020-08-25,32.3369,32.5675,31.8402,32.4256,134678.0
2020-08-26,32.3103,32.4079,31.654,31.7249,142349.0
2020-08-27,31.787,32.9489,31.787,32.7449,144033.0
2020-08-28,33.0997,33.0997,32.3192,32.5852,158950.0
2020-08-29,33.0997,33.0997,32.3192,32.5852,158950.0
2020-08-30,33.0997,33.0997,32.3192,32.5852,158950.0
2020-08-31,32.2482,32.5054,32.0354,32.0354,172645.0
2020-09-01,31.7693,32.3546,31.5298,32.1861,108530.0
2020-09-02,32.0886,32.603,31.9378,32.3192,149408.0
2020-09-03,32.532,33.6318,31.8314,31.9555,153151.0
2020-09-04,31.6185,33.1263,31.3125,32.2571,379198.0
2020-09-05,31.6185,33.1263,31.3125,32.2571,379198.0
2020-09-06,31.6185,33.1263,31.3125,32.2571,379198.0
2020-09-07,31.6185,33.1263,31.3125,32.2571,379198.0
2020-09-08,31.9289,32.0886,30.4123,30.7405,162698.0
2020-09-09,30.9178,30.9178,29.8802,30.093,160022.0
2020-09-10,30.0398,30.2615,29.654,29.7205,134017.0
2020-09-11,29.9068,29.9866,29.2682,29.7649,149312.0
2020-09-12,29.9068,29.9866,29.2682,29.7649,149312.0
2020-09-13,29.9068,29.9866,29.2682,29.7649,149312.0
2020-09-14,29.8713,30.5099,29.6451,30.1728,127120.0
2020-09-15,30.2083,30.2615,29.3347,29.6673,119941.0
2020-09-16,29.7028,30.6074,29.4012,29.9156,217889.0
2020-09-17,29.3657,29.7737,29.3214,29.4012,138316.0
2020-09-18,29.6407,30.0132,28.949,29.9511,669423.0
2020-09-19,29.6407,30.0132,28.949,29.9511,669423.0
2020-09-20,29.6407,30.0132,28.949,29.9511,669423.0
2020-09-21,29.0908,29.8624,27.6895,28.0709,266220.0
2020-09-22,28.2216,28.5542,27.5387,27.9822,247827.0
2020-09-23,28.0176,29.6052,27.1219,27.1219,247699.0
2020-09-24,26.7671,28.4611,26.6518,27.6451,243592.0
