,FCN US Equity,FCN US Equity,FCN US Equity,FCN US Equity,FCN US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,110.46,111.48,110.46,110.66,209658.0
2020-01-02,111.34,112.96,110.995,112.92,170715.0
2020-01-03,111.59,114.605,111.59,114.43,211176.0
2020-01-04,111.59,114.605,111.59,114.43,211176.0
2020-01-05,111.59,114.605,111.59,114.43,211176.0
2020-01-06,113.65,114.93,111.81,114.91,287018.0
2020-01-07,114.1,114.7461,112.775,113.52,125369.0
2020-01-08,113.3,114.66,113.29,113.5,150888.0
2020-01-09,114.07,116.3316,113.765,114.6,206295.0
2020-01-10,114.69,115.2,114.15,115.11,113950.0
2020-01-11,114.69,115.2,114.15,115.11,113950.0
2020-01-12,114.69,115.2,114.15,115.11,113950.0
2020-01-13,115.32,117.83,115.32,117.08,296677.0
2020-01-14,116.5,116.82,115.32,115.57,219296.0
2020-01-15,115.21,117.13,115.12,115.81,198731.0
2020-01-16,116.46,117.11,115.97,116.36,151702.0
2020-01-17,117.54,119.0665,116.61,117.84,246983.0
2020-01-18,117.54,119.0665,116.61,117.84,246983.0
2020-01-19,117.54,119.0665,116.61,117.84,246983.0
2020-01-20,117.54,119.0665,116.61,117.84,246983.0
2020-01-21,117.39,118.02,116.66,117.96,154848.0
2020-01-22,118.16,119.78,118.16,119.7,158306.0
2020-01-23,119.33,121.23,118.98,120.8,217357.0
2020-01-24,120.81,120.9045,116.705,117.9,171571.0
2020-01-25,120.81,120.9045,116.705,117.9,171571.0
2020-01-26,120.81,120.9045,116.705,117.9,171571.0
2020-01-27,116.44,119.47,115.56,118.66,274716.0
2020-01-28,119.42,121.82,119.42,121.4,191190.0
2020-01-29,121.55,121.7923,120.205,120.93,195184.0
2020-01-30,120.41,121.76,120.41,121.69,189628.0
2020-01-31,121.44,122.24,119.59,120.06,293253.0
2020-02-01,121.44,122.24,119.59,120.06,293253.0
2020-02-02,121.44,122.24,119.59,120.06,293253.0
2020-02-03,120.68,122.42,120.26,120.92,168680.0
2020-02-04,122.35,123.94,122.03,123.03,147995.0
2020-02-05,124.2,124.2,121.09,121.42,178993.0
2020-02-06,122.15,122.83,121.755,122.15,128400.0
2020-02-07,121.97,122.75,121.33,121.84,95797.0
2020-02-08,121.97,122.75,121.33,121.84,95797.0
2020-02-09,121.97,122.75,121.33,121.84,95797.0
2020-02-10,121.77,123.03,121.18,122.91,109917.0
2020-02-11,123.69,123.86,122.415,122.69,114417.0
2020-02-12,123.39,124.46,122.14,123.85,159823.0
2020-02-13,123.74,124.83,123.02,124.66,173675.0
2020-02-14,125.15,126.92,125.085,126.41,154510.0
2020-02-15,125.15,126.92,125.085,126.41,154510.0
