,CHDN US Equity,CHDN US Equity,CHDN US Equity,CHDN US Equity,CHDN US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,67.7143,68.188,67.5218,67.7093,634382.0
2020-01-02,68.04,68.04,66.0906,67.0135,533156.0
2020-01-03,66.2782,66.9,65.4145,66.594,523868.0
2020-01-04,66.2782,66.9,65.4145,66.594,523868.0
2020-01-05,66.2782,66.9,65.4145,66.594,523868.0
2020-01-06,66.1301,66.7865,65.7501,66.3325,293762.0
2020-01-07,66.0166,66.6779,65.5132,66.2189,273556.0
2020-01-08,66.1499,67.7439,66.1499,66.9247,527198.0
2020-01-09,67.2306,67.9413,67.0727,67.7019,318740.0
2020-01-10,67.7044,68.0499,66.6605,67.0036,314734.0
2020-01-11,67.7044,68.0499,66.6605,67.0036,314734.0
2020-01-12,67.7044,68.0499,66.6605,67.0036,314734.0
2020-01-13,67.2504,68.9974,66.9205,68.9332,614240.0
2020-01-14,68.6766,69.5847,68.2793,69.1356,382284.0
2020-01-15,69.0517,70.6803,68.6667,69.4317,467288.0
2020-01-16,69.8018,71.154,69.5995,71.0504,356038.0
2020-01-17,71.4797,71.7068,70.795,71.6229,272436.0
2020-01-18,71.4797,71.7068,70.795,71.6229,272436.0
2020-01-19,71.4797,71.7068,70.795,71.6229,272436.0
2020-01-20,71.4797,71.7068,70.795,71.6229,272436.0
2020-01-21,71.1886,71.919,70.552,70.7049,385158.0
2020-01-22,70.9616,71.8548,69.8857,70.1917,294940.0
2020-01-23,69.7377,70.9171,69.3231,70.5914,363974.0
2020-01-24,70.621,70.9171,69.7369,70.5569,330102.0
2020-01-25,70.621,70.9171,69.7369,70.5569,330102.0
2020-01-26,70.621,70.9171,69.7369,70.5569,330102.0
2020-01-27,69.1504,70.8283,68.2522,70.3348,265990.0
2020-01-28,70.6901,71.8597,70.399,71.3958,327132.0
2020-01-29,71.4255,72.1188,71.1787,71.7117,226260.0
2020-01-30,71.3564,72.4816,70.8974,72.3681,236468.0
2020-01-31,72.2842,72.4964,70.3151,71.2527,635126.0
2020-02-01,72.2842,72.4964,70.3151,71.2527,635126.0
2020-02-02,72.2842,72.4964,70.3151,71.2527,635126.0
2020-02-03,71.386,73.666,71.386,73.3156,485316.0
2020-02-04,74.0114,75.2106,73.8042,75.0725,493722.0
2020-02-05,75.7733,75.7733,73.9794,74.8603,286910.0
2020-02-06,75.0182,75.9213,74.8085,75.7683,224738.0
2020-02-07,75.2896,76.4148,74.6902,76.3704,382348.0
2020-02-08,75.2896,76.4148,74.6902,76.3704,382348.0
2020-02-09,75.2896,76.4148,74.6902,76.3704,382348.0
2020-02-10,76.3408,78.5715,75.8522,77.9595,478780.0
2020-02-11,78.6998,79.3561,77.9644,78.8824,527890.0
2020-02-12,79.1637,79.825,78.5517,79.0896,369438.0
2020-02-13,78.8034,80.7528,78.7639,79.8003,415852.0
2020-02-14,79.8891,80.1013,79.1242,80.0421,298902.0
2020-02-15,79.8891,80.1013,79.1242,80.0421,298902.0
2020-02-16,79.8891,80.1013,79.1242,80.0421,298902.0
2020-02-17,79.8891,80.1013,79.1242,80.0421,298902.0
2020-02-18,80.1112,81.0439,79.2377,81.039,589784.0
2020-02-19,81.4585,82.675,81.0982,81.118,350030.0
2020-02-20,81.118,81.8039,78.7096,80.659,385890.0
2020-02-21,80.6689,80.6689,79.3413,79.5733,235298.0
2020-02-22,80.6689,80.6689,79.3413,79.5733,235298.0
2020-02-23,80.6689,80.6689,79.3413,79.5733,235298.0
2020-02-24,77.5598,78.4234,76.5283,77.4117,572400.0
2020-02-25,77.9891,78.2211,73.9325,74.1447,577448.0
2020-02-26,74.4655,75.7042,71.565,71.7759,822144.0
2020-02-27,67.9413,70.9788,64.9147,68.5286,1456930.0
2020-02-28,60.7706,66.0215,60.7706,62.0044,2053416.0
2020-02-29,60.7706,66.0215,60.7706,62.0044,2053416.0
2020-03-01,60.7706,66.0215,60.7706,62.0044,2053416.0
2020-03-02,62.4288,63.7169,60.25,63.401,1198850.0
2020-03-03,63.5441,65.987,61.8169,62.0833,876410.0
2020-03-04,63.5885,65.0592,60.7015,64.2597,834650.0
2020-03-05,62.3696,63.1987,59.1026,60.4597,920074.0
2020-03-06,58.1846,60.6226,56.4277,58.16,985948.0
2020-03-07,58.1846,60.6226,56.4277,58.16,985948.0
2020-03-08,58.1846,60.6226,56.4277,58.16,985948.0
2020-03-09,53.7825,54.1132,50.9177,51.7789,1174110.0
2020-03-10,53.7825,54.8979,51.7641,54.6906,1089618.0
2020-03-11,52.9386,52.9386,47.8851,48.7981,1203082.0
2020-03-12,43.3202,45.5015,37.8027,38.0149,2451256.0
2020-03-13,40.3986,46.0147,38.77,45.7828,1898430.0
2020-03-14,40.3986,46.0147,38.77,45.7828,1898430.0
2020-03-15,40.3986,46.0147,38.77,45.7828,1898430.0
2020-03-16,38.242,43.2116,37.0181,37.2599,2007058.0
2020-03-17,38.0001,41.9334,34.5456,35.4043,1650872.0
2020-03-18,32.7097,33.8201,26.1066,30.1287,2667860.0
2020-03-19,29.6105,35.2464,28.0806,33.3612,1798596.0
2020-03-20,34.0521,40.9365,34.0521,35.8929,1829596.0
2020-03-21,34.0521,40.9365,34.0521,35.8929,1829596.0
2020-03-22,34.0521,40.9365,34.0521,35.8929,1829596.0
2020-03-23,36.87,38.543,34.8022,36.2284,1002360.0
2020-03-24,40.0038,44.3615,38.1186,43.868,1386902.0
2020-03-25,44.9093,51.3495,43.9889,47.1103,1294024.0
2020-03-26,48.3786,50.6512,45.61,48.5365,788606.0
2020-03-27,45.8568,48.0825,44.095,46.4194,1020416.0
2020-03-28,45.8568,48.0825,44.095,46.4194,1020416.0
2020-03-29,45.8568,48.0825,44.095,46.4194,1020416.0
2020-03-30,45.8815,49.5877,44.1394,49.3558,601552.0
