,ES US Equity,ES US Equity,ES US Equity,ES US Equity,ES US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,73.6767,74.2351,73.6244,74.2176,1625867.0
2020-01-02,74.1827,74.1827,72.4815,72.6123,3173615.0
2020-01-03,72.5251,72.8566,72.1499,72.2895,2199106.0
2020-01-04,72.5251,72.8566,72.1499,72.2895,2199106.0
2020-01-05,72.5251,72.8566,72.1499,72.2895,2199106.0
2020-01-06,72.4553,73.066,72.4117,72.6821,2718639.0
2020-01-07,72.6734,72.6734,71.6178,72.1325,2432858.0
2020-01-08,72.0714,72.56,71.8359,72.1936,1548931.0
2020-01-09,72.0191,72.8653,72.0104,72.7606,1372097.0
2020-01-10,72.97,73.7727,72.97,73.6418,2028497.0
2020-01-11,72.97,73.7727,72.97,73.6418,2028497.0
2020-01-12,72.97,73.7727,72.97,73.6418,2028497.0
2020-01-13,73.7116,74.4444,73.6418,74.2874,1691142.0
2020-01-14,74.3834,74.9504,74.2874,74.8981,2317871.0
2020-01-15,75.2035,76.5383,75.1555,76.1806,2197166.0
2020-01-16,76.0672,76.6081,76.0672,76.5644,1908692.0
2020-01-17,76.6866,77.4892,76.2504,77.4107,2209620.0
2020-01-18,76.6866,77.4892,76.2504,77.4107,2209620.0
2020-01-19,76.6866,77.4892,76.2504,77.4107,2209620.0
2020-01-20,76.6866,77.4892,76.2504,77.4107,2209620.0
2020-01-21,77.5852,78.3878,77.2973,78.3442,2227733.0
2020-01-22,77.9691,78.7455,77.3409,78.4751,1521372.0
2020-01-23,78.5361,79.6267,78.4489,79.6005,1809777.0
2020-01-24,79.3998,80.377,79.3475,80.0978,2008431.0
2020-01-25,79.3998,80.377,79.3475,80.0978,2008431.0
2020-01-26,79.3998,80.377,79.3475,80.0978,2008431.0
2020-01-27,79.9844,80.3857,79.5133,79.7139,1727066.0
2020-01-28,79.8448,80.3333,79.4609,80.0803,1743609.0
2020-01-29,80.1501,80.7172,79.7488,80.6038,1376172.0
2020-01-30,80.4817,81.389,80.3464,81.3192,1508332.0
2020-01-31,81.3279,81.6245,80.2723,80.6474,4749769.0
2020-02-01,81.3279,81.6245,80.2723,80.6474,4749769.0
2020-02-02,81.3279,81.6245,80.2723,80.6474,4749769.0
2020-02-03,80.8219,80.9353,80.1327,80.6212,1399163.0
2020-02-04,80.281,80.5078,78.9026,79.0421,2599035.0
2020-02-05,78.8415,79.0334,78.3268,78.9462,2131982.0
2020-02-06,79.2341,79.679,79.0421,79.2777,1286170.0
2020-02-07,79.4871,79.5918,78.8851,79.0247,1243858.0
2020-02-08,79.4871,79.5918,78.8851,79.0247,1243858.0
2020-02-09,79.4871,79.5918,78.8851,79.0247,1243858.0
2020-02-10,79.1294,79.7139,79.0421,79.7139,1246204.0
2020-02-11,79.7663,80.0454,79.4696,79.5482,940792.0
2020-02-12,79.1992,79.9844,79.0596,79.6179,1267056.0
2020-02-13,79.7052,80.7434,79.3911,80.6823,1426387.0
2020-02-14,80.9528,81.8426,80.9528,81.7118,1160261.0
2020-02-15,80.9528,81.8426,80.9528,81.7118,1160261.0
2020-02-16,80.9528,81.8426,80.9528,81.7118,1160261.0
2020-02-17,80.9528,81.8426,80.9528,81.7118,1160261.0
2020-02-18,82.1218,82.7936,81.7903,82.7151,1628380.0
2020-02-19,82.7412,82.8198,82.2701,82.2701,1695022.0
2020-02-20,84.6868,86.737,82.6802,83.4479,2063157.0
2020-02-21,83.509,84.8351,83.2822,83.7184,2462337.0
2020-02-22,83.509,84.8351,83.2822,83.7184,2462337.0
2020-02-23,83.509,84.8351,83.2822,83.7184,2462337.0
2020-02-24,83.6398,84.1371,82.9724,83.064,2160428.0
2020-02-25,83.1513,83.9016,81.2145,81.4675,2102468.0
2020-02-26,81.5198,82.64,81.1709,81.5373,2277460.0
2020-02-27,81.4937,81.9473,78.0476,78.0999,2295226.0
2020-02-28,76.7738,76.7738,73.7029,75.4303,3405927.0
2020-02-29,76.7738,76.7738,73.7029,75.4303,3405927.0
2020-03-01,76.7738,76.7738,73.7029,75.4303,3405927.0
2020-03-02,75.5611,81.7554,75.5611,81.6769,3191542.0
2020-03-03,81.6572,83.4653,80.402,81.1042,2409286.0
2020-03-04,81.7976,86.5813,81.7891,86.4936,1989594.0
2020-03-05,85.3613,86.8271,84.6503,85.528,1990391.0
2020-03-06,83.5531,84.9751,81.8941,84.5801,2262738.0
2020-03-07,83.5531,84.9751,81.8941,84.5801,2262738.0
2020-03-08,83.5531,84.9751,81.8941,84.5801,2262738.0
2020-03-09,80.2264,83.0264,78.9976,81.2446,3900036.0
2020-03-10,81.9293,82.807,76.7593,79.9982,3524352.0
2020-03-11,78.3217,78.6377,75.7148,77.0577,2653771.0
2020-03-12,73.4853,74.1261,64.8684,72.5198,3491336.0
2020-03-13,75.39,77.8477,71.4752,77.7073,4368882.0
2020-03-14,75.39,77.8477,71.4752,77.7073,4368882.0
2020-03-15,75.39,77.8477,71.4752,77.7073,4368882.0
2020-03-16,71.3962,73.8188,67.1216,67.7448,4690230.0
2020-03-17,69.0175,79.138,69.0175,76.5486,5762952.0
2020-03-18,73.0289,77.8916,68.8508,75.706,4556405.0
2020-03-19,76.1185,76.1185,66.2351,67.6307,3691538.0
2020-03-20,68.0345,68.2451,59.178,59.9855,4340543.0
2020-03-21,68.0345,68.2451,59.178,59.9855,4340543.0
2020-03-22,68.0345,68.2451,59.178,59.9855,4340543.0
2020-03-23,59.4149,59.5905,53.2707,54.6224,3432215.0
2020-03-24,56.7905,63.6018,54.3854,62.7065,2697786.0
2020-03-25,61.6532,65.4363,59.6958,63.1103,2180953.0
2020-03-26,63.1893,69.7636,62.7592,69.1141,2771379.0
2020-03-27,67.0865,73.4063,66.2,71.0627,1749817.0
2020-03-28,67.0865,73.4063,66.2,71.0627,1749817.0
2020-03-29,67.0865,73.4063,66.2,71.0627,1749817.0
2020-03-30,72.5373,73.7311,69.9216,73.4239,2672562.0
2020-03-31,72.4583,72.6251,68.4997,68.6489,2984629.0
2020-04-01,66.2702,67.7448,65.8313,66.7003,2425655.0
2020-04-02,65.4188,70.1235,65.4188,69.5969,3084235.0
2020-04-03,68.6401,69.4213,65.3047,65.884,2394021.0
2020-04-04,68.6401,69.4213,65.3047,65.884,2394021.0
2020-04-05,68.6401,69.4213,65.3047,65.884,2394021.0
2020-04-06,68.4733,72.748,67.7009,72.0546,1736850.0
2020-04-07,73.0728,73.7223,69.7373,70.027,2830615.0
2020-04-08,70.4307,73.7574,69.2458,73.1605,2055662.0
2020-04-09,74.1261,79.8753,73.854,79.0853,2348679.0
2020-04-10,74.1261,79.8753,73.854,79.0853,2348679.0
2020-04-11,74.1261,79.8753,73.854,79.0853,2348679.0
2020-04-12,74.1261,79.8753,73.854,79.0853,2348679.0
2020-04-13,77.8828,78.822,75.0301,76.1185,2258525.0
2020-04-14,78.032,80.5161,77.7336,80.2264,2359683.0
2020-04-15,78.8308,79.7349,76.733,78.0496,1767088.0
2020-04-16,78.506,79.2697,77.9443,78.8132,1771372.0
2020-04-17,80.3054,80.876,78.2603,80.3669,1586630.0
2020-04-18,80.3054,80.876,78.2603,80.3669,1586630.0
2020-04-19,80.3054,80.876,78.2603,80.3669,1586630.0
2020-04-20,80.7706,82.0697,76.8295,77.0402,1996250.0
2020-04-21,75.943,77.6195,75.64,76.5399,1763981.0
2020-04-22,77.6809,78.1857,76.7769,77.2508,1434311.0
2020-04-23,77.0929,77.6634,74.7317,75.9781,1434334.0
2020-04-24,76.1185,76.5223,74.4069,75.9869,1571723.0
2020-04-25,76.1185,76.5223,74.4069,75.9869,1571723.0
2020-04-26,76.1185,76.5223,74.4069,75.9869,1571723.0
2020-04-27,76.3731,76.6979,74.9073,75.1091,1770521.0
2020-04-28,75.7587,76.9523,75.2408,75.6797,1427556.0
2020-04-29,76.496,76.496,72.827,73.1781,2346708.0
2020-04-30,72.7041,72.9323,70.4132,70.8345,3111711.0
2020-05-01,70.4132,70.9574,69.632,70.106,1543048.0
2020-05-02,70.4132,70.9574,69.632,70.106,1543048.0
