,CSX US Equity,CSX US Equity,CSX US Equity,CSX US Equity,CSX US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,19.4687,19.5512,19.1665,19.3534,10335123.0
2019-01-02,18.9267,19.3908,18.6962,19.2974,15039270.0
2019-01-03,19.1136,19.2537,18.8021,18.9952,23527131.0
2019-01-04,19.0014,19.5715,18.855,19.559,18543456.0
2019-01-05,19.0014,19.5715,18.855,19.559,18543456.0
2019-01-06,19.0014,19.5715,18.855,19.559,18543456.0
2019-01-07,19.4469,19.6462,19.1105,19.4531,18787398.0
2019-01-08,19.8674,19.992,19.5123,19.7335,15237852.0
2019-01-09,19.8518,20.0232,19.6649,19.9297,13292148.0
2019-01-10,19.8767,20.2412,19.7366,20.1509,16212159.0
2019-01-11,20.0792,20.425,20.0356,20.316,11508570.0
2019-01-12,20.0792,20.425,20.0356,20.316,11508570.0
2019-01-13,20.0792,20.425,20.0356,20.316,11508570.0
2019-01-14,20.2101,20.4232,20.1571,20.3315,13432326.0
2019-01-15,20.3315,20.3814,20.0356,20.2817,12534330.0
2019-01-16,20.2973,20.4546,20.1914,20.3658,17377494.0
2019-01-17,19.9235,20.3284,19.668,20.2755,33753432.0
2019-01-18,20.3689,21.1103,20.3627,20.9826,23062932.0
2019-01-19,20.3689,21.1103,20.3627,20.9826,23062932.0
2019-01-20,20.3689,21.1103,20.3627,20.9826,23062932.0
2019-01-21,20.3689,21.1103,20.3627,20.9826,23062932.0
2019-01-22,20.9047,20.9483,20.3783,20.506,18841245.0
2019-01-23,20.5838,20.6851,19.9733,20.2724,15826359.0
2019-01-24,20.4188,20.4655,20.1291,20.263,21290088.0
2019-01-25,20.4188,20.8549,20.3471,20.6212,24131274.0
2019-01-26,20.4188,20.8549,20.3471,20.6212,24131274.0
2019-01-27,20.4188,20.8549,20.3471,20.6212,24131274.0
2019-01-28,20.3658,20.5278,20.2537,20.4374,12826680.0
2019-01-29,20.5122,20.5901,20.3502,20.3783,13223946.0
2019-01-30,20.4499,20.7661,20.3471,20.6524,18750903.0
2019-01-31,20.6929,20.6929,20.3627,20.4655,17815338.0
2019-02-01,20.4406,20.7147,20.3751,20.6212,13041945.0
2019-02-02,20.4406,20.7147,20.3751,20.6212,13041945.0
2019-02-03,20.4406,20.7147,20.3751,20.6212,13041945.0
2019-02-04,20.5776,21.0137,20.5745,21.0013,15569118.0
2019-02-05,20.9857,21.2691,20.7303,21.266,18077559.0
2019-02-06,21.2068,21.319,21.1383,21.21,16152918.0
2019-02-07,21.0791,21.319,20.9981,21.2473,14533131.0
2019-02-08,21.0978,21.4187,21.0791,21.4156,13010232.0
2019-02-09,21.0978,21.4187,21.0791,21.4156,13010232.0
2019-02-10,21.0978,21.4187,21.0791,21.4156,13010232.0
2019-02-11,21.4903,21.9576,21.4779,21.5588,18703983.0
2019-02-12,21.8049,22.185,21.7675,22.1538,16452096.0
2019-02-13,22.2223,22.2815,22.0448,22.1569,13932795.0
2019-02-14,22.0199,22.3843,21.9901,22.3127,9740382.0
2019-02-15,22.4902,22.6242,22.2753,22.5961,17421486.0
2019-02-16,22.4902,22.6242,22.2753,22.5961,17421486.0
2019-02-17,22.4902,22.6242,22.2753,22.5961,17421486.0
2019-02-18,22.4902,22.6242,22.2753,22.5961,17421486.0
2019-02-19,22.2254,22.702,22.1818,22.5868,14123766.0
2019-02-20,22.6117,22.8391,22.6117,22.8173,11590734.0
2019-02-21,22.8484,22.864,22.5151,22.6055,9765951.0
2019-02-22,22.6366,22.8453,22.6211,22.836,8269401.0
2019-02-23,22.6366,22.8453,22.6211,22.836,8269401.0
2019-02-24,22.6366,22.8453,22.6211,22.836,8269401.0
2019-02-25,22.8889,22.8952,22.6584,22.6834,15393858.0
2019-02-26,22.6678,22.8142,22.6226,22.6647,20600664.0
2019-02-27,22.6084,22.7834,22.5214,22.7084,10802808.0
2019-02-28,22.6521,22.7772,22.599,22.7115,15549240.0
2019-03-01,22.9084,22.924,22.6271,22.6428,14716659.0
2019-03-02,22.9084,22.924,22.6271,22.6428,14716659.0
2019-03-03,22.9084,22.924,22.6271,22.6428,14716659.0
2019-03-04,22.7553,22.9803,22.56,22.7615,12434595.0
