,WNC US Equity,WNC US Equity,WNC US Equity,WNC US Equity,WNC US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,11.5432,11.686,11.2843,11.6771,394809.0
2019-01-02,11.4076,11.9016,11.3896,11.8388,375075.0
2019-01-03,11.8028,11.9106,11.5783,11.7579,398807.0
2019-01-04,11.8927,12.5753,11.8208,12.5663,520508.0
2019-01-05,11.8927,12.5753,11.8208,12.5663,520508.0
2019-01-06,11.8927,12.5753,11.8208,12.5663,520508.0
2019-01-07,12.5484,12.8717,12.3148,12.6292,740751.0
2019-01-08,12.7999,12.9795,12.6202,12.9346,597225.0
2019-01-09,13.0244,13.2131,12.8358,13.1412,653287.0
2019-01-10,13.0604,13.3119,13.0155,13.267,655146.0
2019-01-11,13.1502,13.3388,12.9975,13.2759,382759.0
2019-01-12,13.1502,13.3388,12.9975,13.2759,382759.0
2019-01-13,13.1502,13.3388,12.9975,13.2759,382759.0
2019-01-14,13.1592,13.4736,13.1592,13.3568,250225.0
2019-01-15,13.3568,13.4107,12.993,13.24,398270.0
2019-01-16,13.2759,13.5813,13.1771,13.2849,389825.0
2019-01-17,13.231,13.5634,13.231,13.5185,486323.0
2019-01-18,13.5634,13.8239,13.5454,13.734,582895.0
2019-01-19,13.5634,13.8239,13.5454,13.734,582895.0
2019-01-20,13.5634,13.8239,13.5454,13.734,582895.0
2019-01-21,13.5634,13.8239,13.5454,13.734,582895.0
2019-01-22,13.6891,13.9136,13.4376,13.5005,392898.0
2019-01-23,13.5095,13.5364,13.231,13.3388,401548.0
2019-01-24,13.3388,13.4825,13.2939,13.4017,286355.0
2019-01-25,13.3298,13.4556,12.7909,13.267,537228.0
2019-01-26,13.3298,13.4556,12.7909,13.267,537228.0
2019-01-27,13.3298,13.4556,12.7909,13.267,537228.0
2019-01-28,13.0065,13.4107,12.9122,13.3568,405517.0
2019-01-29,13.4197,13.7161,13.3287,13.4915,391840.0
2019-01-30,12.6023,12.7999,12.1981,12.5843,980292.0
2019-01-31,12.5124,12.5484,11.9151,12.5214,813009.0
2019-02-01,12.6202,12.9032,12.4945,12.6472,687070.0
2019-02-02,12.6202,12.9032,12.4945,12.6472,687070.0
2019-02-03,12.6202,12.9032,12.4945,12.6472,687070.0
2019-02-04,12.6292,12.9885,12.5573,12.9885,622035.0
2019-02-05,13.0065,13.1771,12.9077,13.0155,419503.0
2019-02-06,12.9166,13.0693,12.6741,12.7999,446454.0
2019-02-07,12.755,12.7639,12.3867,12.4765,318486.0
2019-02-08,12.4136,12.5214,12.0723,12.0723,312972.0
2019-02-09,12.4136,12.5214,12.0723,12.0723,312972.0
2019-02-10,12.4136,12.5214,12.0723,12.0723,312972.0
2019-02-11,12.0903,12.1891,11.9735,12.0723,319398.0
2019-02-12,12.1801,12.5035,12.1352,12.3597,251623.0
2019-02-13,12.4316,12.8313,12.4316,12.737,419679.0
2019-02-14,12.6831,12.9616,12.6382,12.8178,481897.0
2019-02-15,12.9166,13.1771,12.8762,12.9616,329892.0
2019-02-16,12.9166,13.1771,12.8762,12.9616,329892.0
2019-02-17,12.9166,13.1771,12.8762,12.9616,329892.0
2019-02-18,12.9166,13.1771,12.8762,12.9616,329892.0
2019-02-19,12.8628,13.2041,12.8628,13.0873,270280.0
2019-02-20,13.0873,13.4197,13.0873,13.3209,452727.0
2019-02-21,13.2759,13.5274,13.011,13.1232,420862.0
2019-02-22,13.1502,13.4466,13.1232,13.2759,426810.0
2019-02-23,13.1502,13.4466,13.1232,13.2759,426810.0
2019-02-24,13.1502,13.4466,13.1232,13.2759,426810.0
2019-02-25,13.3478,13.6801,13.1682,13.1771,381107.0
2019-02-26,13.0873,13.2849,12.8717,12.9526,388255.0
2019-02-27,12.9526,13.0065,12.71,12.9795,333567.0
2019-02-28,13.0244,13.3568,12.9077,13.3298,528974.0
2019-03-01,13.5005,13.9586,13.2131,13.4286,665060.0
2019-03-02,13.5005,13.9586,13.2131,13.4286,665060.0
2019-03-03,13.5005,13.9586,13.2131,13.4286,665060.0
2019-03-04,13.4736,13.77,13.0693,13.1232,572499.0
2019-03-05,13.1053,13.231,12.719,12.728,293447.0
2019-03-06,12.755,12.8268,12.3957,12.4585,331051.0
2019-03-07,12.4316,12.5663,12.216,12.2699,289872.0
2019-03-08,12.2519,12.3687,12.207,12.3238,185628.0
2019-03-09,12.2519,12.3687,12.207,12.3238,185628.0
2019-03-10,12.2519,12.3687,12.207,12.3238,185628.0
2019-03-11,12.3687,12.4945,12.3058,12.3777,269040.0
2019-03-12,12.3777,12.4585,12.0139,12.0992,393061.0
2019-03-13,12.1711,12.4406,12.0454,12.1981,373319.0
2019-03-14,12.1801,12.243,11.7849,11.9825,368314.0
2019-03-15,12.0274,12.1262,11.7849,11.8657,813618.0
2019-03-16,12.0274,12.1262,11.7849,11.8657,813618.0
2019-03-17,12.0274,12.1262,11.7849,11.8657,813618.0
2019-03-18,11.8657,12.3957,11.8477,12.3418,469628.0
2019-03-19,12.4406,12.5124,12.0543,12.1172,248589.0
2019-03-20,12.1082,12.1801,11.8298,12.0004,304080.0
2019-03-21,11.9286,12.216,11.8567,12.1711,374472.0
2019-03-22,12.0543,12.1262,11.6861,11.8118,442485.0
2019-03-23,12.0543,12.1262,11.6861,11.8118,442485.0
2019-03-24,12.0543,12.1262,11.6861,11.8118,442485.0
2019-03-25,11.7938,12.0094,11.74,11.8028,288638.0
2019-03-26,11.9376,12.0722,11.8567,11.9286,330577.0
2019-03-27,11.9196,12.216,11.8657,12.1262,243656.0
2019-03-28,12.1262,12.3328,12.0992,12.2789,366176.0
2019-03-29,12.3328,12.4496,12.1352,12.1711,470643.0
2019-03-30,12.3328,12.4496,12.1352,12.1711,470643.0
2019-03-31,12.3328,12.4496,12.1352,12.1711,470643.0
2019-04-01,12.3508,12.6023,12.1442,12.5663,370578.0
2019-04-02,12.5124,12.5214,12.3328,12.3777,336534.0
2019-04-03,12.5313,12.6487,12.3867,12.5132,324210.0
2019-04-04,12.468,12.8114,12.3867,12.7933,426221.0
2019-04-05,12.8475,12.974,12.6939,12.9559,610659.0
2019-04-06,12.8475,12.974,12.6939,12.9559,610659.0
2019-04-07,12.8475,12.974,12.6939,12.9559,610659.0
2019-04-08,12.8836,13.0914,12.8836,13.0643,430392.0
2019-04-09,12.965,13.0282,12.7752,12.983,465979.0
2019-04-10,12.965,13.3625,12.9379,13.2992,576134.0
2019-04-11,13.3625,13.5613,13.2631,13.2812,523530.0
2019-04-12,13.4257,13.5342,13.4167,13.5161,258151.0
2019-04-13,13.4257,13.5342,13.4167,13.5161,258151.0
2019-04-14,13.4257,13.5342,13.4167,13.5161,258151.0
2019-04-15,13.5161,13.6335,13.245,13.2631,324008.0
2019-04-16,13.2631,13.498,13.2541,13.4709,310756.0
2019-04-17,13.507,13.8504,13.498,13.5613,296382.0
2019-04-18,13.5522,13.76,13.3806,13.5161,292558.0
2019-04-19,13.5522,13.76,13.3806,13.5161,292558.0
2019-04-20,13.5522,13.76,13.3806,13.5161,292558.0
2019-04-21,13.5522,13.76,13.3806,13.5161,292558.0
2019-04-22,13.4438,13.5884,13.3444,13.5793,262976.0
2019-04-23,13.6335,13.9317,13.5342,13.7781,358617.0
2019-04-24,13.7871,13.9226,13.6968,13.76,206097.0
2019-04-25,13.6877,13.6968,13.1186,13.1366,500604.0
2019-04-26,13.1366,13.2902,13.0914,13.2179,279452.0
2019-04-27,13.1366,13.2902,13.0914,13.2179,279452.0
2019-04-28,13.1366,13.2902,13.0914,13.2179,279452.0
2019-04-29,13.245,13.5342,13.2044,13.3535,367320.0
2019-04-30,13.4167,13.6787,13.2721,13.6245,439395.0
2019-05-01,14.004,14.4196,13.1818,13.4167,1112055.0
2019-05-02,13.5522,13.9859,13.498,13.5613,714065.0
2019-05-03,13.6606,14.2569,13.6606,14.1485,493455.0
2019-05-04,13.6606,14.2569,13.6606,14.1485,493455.0
2019-05-05,13.6606,14.2569,13.6606,14.1485,493455.0
2019-05-06,13.8413,14.0717,13.742,14.0582,415072.0
2019-05-07,13.8504,14.013,13.6109,13.751,337164.0
2019-05-08,13.7239,13.7239,13.2089,13.236,329983.0
2019-05-09,13.0914,13.4709,12.8294,13.4077,481014.0
2019-05-10,13.2992,13.3986,13.0372,13.3354,239244.0
2019-05-11,13.2992,13.3986,13.0372,13.3354,239244.0
2019-05-12,13.2992,13.3986,13.0372,13.3354,239244.0
2019-05-13,13.0463,13.1728,12.8023,12.8114,366902.0
2019-05-14,12.8114,13.0282,12.7481,12.9107,568124.0
2019-05-15,12.7301,13.0372,12.6758,12.9921,342605.0
2019-05-16,13.0463,13.2179,12.974,13.0011,297170.0
2019-05-17,12.8385,13.1908,12.8294,13.0282,435705.0
2019-05-18,12.8385,13.1908,12.8294,13.0282,435705.0
2019-05-19,12.8385,13.1908,12.8294,13.0282,435705.0
2019-05-20,12.8746,13.2179,12.8746,13.1908,334714.0
2019-05-21,13.3083,13.4528,13.1999,13.2721,327434.0
2019-05-22,13.227,13.3444,13.0011,13.0914,278590.0
2019-05-23,12.8927,12.8927,12.5403,12.7752,522168.0
2019-05-24,12.9288,13.0101,12.6939,12.9107,218825.0
2019-05-25,12.9288,13.0101,12.6939,12.9107,218825.0
2019-05-26,12.9288,13.0101,12.6939,12.9107,218825.0
2019-05-27,12.9288,13.0101,12.6939,12.9107,218825.0
2019-05-28,12.965,13.0192,12.8565,12.8927,272931.0
2019-05-29,12.7662,12.8565,12.6126,12.8114,280959.0
2019-05-30,12.8746,12.965,12.5584,12.6216,395936.0
2019-05-31,12.3867,12.3867,12.1338,12.206,510655.0
2019-06-01,12.3867,12.3867,12.1338,12.206,510655.0
2019-06-02,12.3867,12.3867,12.1338,12.206,510655.0
2019-06-03,12.1518,12.3958,12.1338,12.2331,393553.0
2019-06-04,12.4409,12.9921,12.4409,12.9469,419452.0
2019-06-05,12.983,13.1276,12.7752,13.0553,299264.0
2019-06-06,13.0463,13.1276,12.8023,12.965,174128.0
2019-06-07,13.0192,13.1728,12.974,13.0824,244076.0
2019-06-08,13.0192,13.1728,12.974,13.0824,244076.0
2019-06-09,13.0192,13.1728,12.974,13.0824,244076.0
2019-06-10,13.1818,13.4619,13.1818,13.4167,222785.0
2019-06-11,13.5884,13.6426,13.3715,13.4348,441523.0
2019-06-12,13.4257,13.4845,13.1457,13.2179,306751.0
2019-06-13,13.2992,13.6787,13.2721,13.6697,419398.0
2019-06-14,13.6426,13.6426,13.2179,13.2992,455772.0
2019-06-15,13.6426,13.6426,13.2179,13.2992,455772.0
2019-06-16,13.6426,13.6426,13.2179,13.2992,455772.0
2019-06-17,13.3354,13.3715,13.1366,13.1908,292486.0
2019-06-18,13.1908,13.6064,13.1908,13.5342,398291.0
2019-06-19,13.5161,13.6335,13.3986,13.6155,213626.0
2019-06-20,13.8233,13.9588,13.7148,13.8413,264832.0
2019-06-21,13.751,13.9407,13.6787,13.9407,482360.0
2019-06-22,13.751,13.9407,13.6787,13.9407,482360.0
2019-06-23,13.751,13.9407,13.6787,13.9407,482360.0
2019-06-24,13.8955,14.0582,13.8052,13.8233,280515.0
2019-06-25,13.7871,14.1937,13.6877,14.1666,456256.0
2019-06-26,14.1937,14.4647,14.1214,14.4105,479231.0
2019-06-27,14.4376,14.6906,14.4015,14.528,437378.0
2019-06-28,14.6093,14.8713,14.6093,14.6996,1003199.0
2019-06-29,14.6093,14.8713,14.6093,14.6996,1003199.0
2019-06-30,14.6093,14.8713,14.6093,14.6996,1003199.0
2019-07-01,14.9617,15.0881,14.4873,14.6454,531213.0
2019-07-02,14.5365,14.6545,14.2187,14.3549,356801.0
2019-07-03,14.373,14.373,14.0371,14.2278,156456.0
