,WASH US Equity,WASH US Equity,WASH US Equity,WASH US Equity,WASH US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,42.574,42.653,42.3371,42.4792,24406.0
2020-01-02,42.574,42.574,42.0251,42.2226,49472.0
2020-01-03,41.808,42.3292,41.6737,41.9896,54429.0
2020-01-04,41.808,42.3292,41.6737,41.9896,54429.0
2020-01-05,41.808,42.3292,41.6737,41.9896,54429.0
2020-01-06,41.7211,42.037,41.5474,41.8632,31309.0
2020-01-07,41.6737,41.7606,41.1841,41.4526,27023.0
2020-01-08,41.4684,42.0192,41.4684,41.7527,45661.0
2020-01-09,41.8711,41.8711,41.4289,41.5395,35271.0
2020-01-10,41.5789,42.2113,41.1604,41.2552,40135.0
2020-01-11,41.5789,42.2113,41.1604,41.2552,40135.0
2020-01-12,41.5789,42.2113,41.1604,41.2552,40135.0
2020-01-13,41.2236,41.3499,38.6333,41.3025,37529.0
2020-01-14,41.1762,41.4052,41.0735,41.1367,36973.0
2020-01-15,40.9393,41.0498,40.655,40.8524,23277.0
2020-01-16,41.0498,41.3025,40.6629,41.2631,53888.0
2020-01-17,41.4605,41.4605,40.8525,41.2078,30312.0
2020-01-18,41.4605,41.4605,40.8525,41.2078,30312.0
2020-01-19,41.4605,41.4605,40.8525,41.2078,30312.0
2020-01-20,41.4605,41.4605,40.8525,41.2078,30312.0
2020-01-21,40.9314,40.9472,40.5049,40.5523,21489.0
2020-01-22,40.576,40.6787,40.2996,40.497,28646.0
2020-01-23,40.2838,40.9393,40.1777,40.884,48443.0
2020-01-24,40.9235,40.9235,40.1022,40.4338,22426.0
2020-01-25,40.9235,40.9235,40.1022,40.4338,22426.0
2020-01-26,40.9235,40.9235,40.1022,40.4338,22426.0
2020-01-27,39.9363,40.4338,39.9363,40.3549,33537.0
2020-01-28,38.6965,39.5738,36.7638,37.3697,93656.0
2020-01-29,37.2197,37.7804,37.1249,37.2118,57156.0
2020-01-30,37.0933,38.42,37.0933,38.3253,46534.0
2020-01-31,38.0726,38.3095,37.2276,37.3776,52833.0
2020-02-01,38.0726,38.3095,37.2276,37.3776,52833.0
2020-02-02,38.0726,38.3095,37.2276,37.3776,52833.0
2020-02-03,37.4329,38.3569,37.4329,38.0884,32430.0
2020-02-04,38.5622,38.657,37.8514,38.3648,27349.0
2020-02-05,38.5859,38.8307,38.4279,38.6965,68052.0
2020-02-06,38.9018,39.0044,38.5622,38.6254,25419.0
2020-02-07,38.3332,38.7043,38.2357,38.5859,40894.0
2020-02-08,38.3332,38.7043,38.2357,38.5859,40894.0
2020-02-09,38.3332,38.7043,38.2357,38.5859,40894.0
2020-02-10,38.5385,38.6965,38.3439,38.6965,25124.0
2020-02-11,38.7359,38.9571,38.7085,38.7596,40573.0
2020-02-12,38.9886,38.9886,38.7517,38.8544,29084.0
2020-02-13,38.6886,38.8741,38.6254,38.8386,38282.0
2020-02-14,38.8544,38.9255,38.5267,38.6491,32181.0
2020-02-15,38.8544,38.9255,38.5267,38.6491,32181.0
2020-02-16,38.8544,38.9255,38.5267,38.6491,32181.0
2020-02-17,38.8544,38.9255,38.5267,38.6491,32181.0
2020-02-18,38.499,38.5227,37.6461,38.2305,23906.0
2020-02-19,38.3174,38.6175,38.1594,38.3411,19796.0
2020-02-20,38.1673,38.6965,38.1279,38.6649,22144.0
2020-02-21,38.6254,38.6254,37.9699,38.3806,23199.0
2020-02-22,38.6254,38.6254,37.9699,38.3806,23199.0
2020-02-23,38.6254,38.6254,37.9699,38.3806,23199.0
2020-02-24,37.7093,37.962,37.4684,37.7567,38477.0
2020-02-25,37.6777,37.6777,36.5642,36.6274,32131.0
2020-02-26,36.7616,37.0696,36.3984,36.4536,28596.0
2020-02-27,36.0904,36.9591,35.7185,35.735,60674.0
2020-02-28,35.1427,35.1427,32.6472,33.8949,82564.0
2020-02-29,35.1427,35.1427,32.6472,33.8949,82564.0
2020-03-01,35.1427,35.1427,32.6472,33.8949,82564.0
2020-03-02,33.7212,34.9295,33.5242,34.8663,55798.0
2020-03-03,34.5662,35.3844,33.8554,34.0766,30296.0
2020-03-04,34.1397,34.3609,33.385,34.0529,31991.0
2020-03-05,33.2868,33.7923,32.0391,32.7814,43798.0
2020-03-06,31.7864,32.7025,31.2291,32.2918,47105.0
2020-03-07,31.7864,32.7025,31.2291,32.2918,47105.0
2020-03-08,31.7864,32.7025,31.2291,32.2918,47105.0
2020-03-09,30.4201,31.4428,27.9404,28.6038,79932.0
2020-03-10,29.3145,30.5622,27.6482,29.7568,62076.0
2020-03-11,29.0618,29.1645,27.7272,28.2326,72880.0
2020-03-12,28.0984,28.6433,26.2662,26.5189,126341.0
2020-03-13,27.8614,30.0648,27.3797,30.0648,103025.0
2020-03-14,27.8614,30.0648,27.3797,30.0648,103025.0
2020-03-15,27.8614,30.0648,27.3797,30.0648,103025.0
2020-03-16,27.2771,29.1503,27.0006,27.0243,85789.0
2020-03-17,27.4192,31.2099,26.9296,31.1072,110013.0
2020-03-18,29.0144,30.5465,28.0826,28.0826,99335.0
2020-03-19,27.2297,29.6936,27.2297,29.1566,81554.0
2020-03-20,28.9513,29.0934,25.1211,25.2159,125678.0
2020-03-21,28.9513,29.0934,25.1211,25.2159,125678.0
2020-03-22,28.9513,29.0934,25.1211,25.2159,125678.0
2020-03-23,25.129,25.129,20.4223,24.205,158586.0
2020-03-24,25.4844,26.9849,23.7075,26.9849,85471.0
2020-03-25,27.127,27.2613,25.4765,26.0056,71924.0
2020-03-26,26.2583,28.7222,26.2346,28.5959,89674.0
2020-03-27,27.206,29.2898,26.5505,27.8614,64612.0
2020-03-28,27.206,29.2898,26.5505,27.8614,64612.0
2020-03-29,27.206,29.2898,26.5505,27.8614,64612.0
2020-03-30,28.0747,29.3258,27.2089,29.2119,68066.0
2020-03-31,29.0917,30.1087,28.1629,29.2759,93465.0
2020-04-01,28.1068,29.0117,27.0818,27.4982,64629.0
