,TRMK US Equity,TRMK US Equity,TRMK US Equity,TRMK US Equity,TRMK US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,30.0351,30.1915,29.9829,29.9916,209570.0
2020-01-02,30.0525,30.0525,29.4615,29.757,274103.0
2020-01-03,29.3659,29.7918,29.2008,29.7048,236158.0
2020-01-04,29.3659,29.7918,29.2008,29.7048,236158.0
2020-01-05,29.3659,29.7918,29.2008,29.7048,236158.0
2020-01-06,29.418,29.8091,29.2442,29.7222,285538.0
2020-01-07,29.5484,29.5832,29.2747,29.3094,281471.0
2020-01-08,29.418,29.6657,29.418,29.5223,177652.0
2020-01-09,29.644,29.644,29.3833,29.4485,126988.0
2020-01-10,29.4267,29.5136,29.1834,29.3225,177016.0
2020-01-11,29.4267,29.5136,29.1834,29.3225,177016.0
2020-01-12,29.4267,29.5136,29.1834,29.3225,177016.0
2020-01-13,29.4528,29.7135,29.2877,29.6701,157845.0
2020-01-14,29.6614,29.9482,29.4876,29.8352,348994.0
2020-01-15,29.7396,29.8526,29.531,29.7309,306151.0
2020-01-16,29.9047,30.1568,29.9047,30.0785,162000.0
2020-01-17,30.2784,30.2784,29.9221,29.9482,166710.0
2020-01-18,30.2784,30.2784,29.9221,29.9482,166710.0
2020-01-19,30.2784,30.2784,29.9221,29.9482,166710.0
2020-01-20,30.2784,30.2784,29.9221,29.9482,166710.0
2020-01-21,29.8352,29.8873,29.4528,29.4876,120057.0
2020-01-22,29.6179,29.6179,29.2964,29.5528,164002.0
2020-01-23,29.5136,29.6092,29.2182,29.4876,187636.0
2020-01-24,29.531,29.531,28.9922,29.2355,353708.0
2020-01-25,29.531,29.531,28.9922,29.2355,353708.0
2020-01-26,29.531,29.531,28.9922,29.2355,353708.0
2020-01-27,28.8184,29.0443,28.7489,28.8532,222572.0
2020-01-28,29.0443,29.3746,28.8792,28.9835,239953.0
2020-01-29,27.6973,28.5142,27.6973,28.1753,687283.0
2020-01-30,27.9146,28.914,27.9146,28.5837,312340.0
2020-01-31,28.323,28.3925,27.706,27.7929,375039.0
2020-02-01,28.323,28.3925,27.706,27.7929,375039.0
2020-02-02,28.323,28.3925,27.706,27.7929,375039.0
2020-02-03,28.0188,28.3404,27.9059,28.0362,297920.0
2020-02-04,28.3317,28.4186,28.0971,28.1492,201754.0
2020-02-05,28.4881,28.9053,28.2969,28.8532,228381.0
2020-02-06,29.027,29.0965,28.3665,28.4099,137466.0
2020-02-07,28.2274,28.3361,27.9059,27.9754,137348.0
2020-02-08,28.2274,28.3361,27.9059,27.9754,137348.0
2020-02-09,28.2274,28.3361,27.9059,27.9754,137348.0
2020-02-10,27.8103,28.0015,27.8103,28.0015,115900.0
2020-02-11,28.1231,28.3491,27.9146,27.9406,196374.0
2020-02-12,28.2361,28.2709,27.9276,28.1144,218690.0
2020-02-13,28.0362,28.3056,28.0362,28.2361,119251.0
2020-02-14,28.1753,28.5664,27.9146,27.9406,183164.0
2020-02-15,28.1753,28.5664,27.9146,27.9406,183164.0
2020-02-16,28.1753,28.5664,27.9146,27.9406,183164.0
2020-02-17,28.1753,28.5664,27.9146,27.9406,183164.0
2020-02-18,27.8363,28.0015,27.5061,27.706,202340.0
2020-02-19,27.7668,28.036,27.6973,27.8016,189462.0
2020-02-20,27.7581,28.0884,27.7234,27.9754,162291.0
2020-02-21,27.9406,27.9754,27.4974,27.6799,380718.0
2020-02-22,27.9406,27.9754,27.4974,27.6799,380718.0
