,MOH US Equity,MOH US Equity,MOH US Equity,MOH US Equity,MOH US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,114.63,116.64,114.63,116.22,467997.0
2019-01-02,114.99,115.2,111.0,112.89,793247.0
2019-01-03,111.36,111.9,105.28,105.9,1207250.0
2019-01-04,106.85,112.66,105.91,109.66,1738794.0
2019-01-05,106.85,112.66,105.91,109.66,1738794.0
2019-01-06,106.85,112.66,105.91,109.66,1738794.0
2019-01-07,110.06,118.39,107.24,117.75,1937318.0
2019-01-08,120.15,128.59,120.15,128.31,1137714.0
2019-01-09,128.75,131.73,127.3,130.59,1378886.0
2019-01-10,129.78,133.45,128.4,133.04,1230683.0
2019-01-11,132.77,134.11,130.5602,133.38,640662.0
2019-01-12,132.77,134.11,130.5602,133.38,640662.0
2019-01-13,132.77,134.11,130.5602,133.38,640662.0
2019-01-14,132.44,134.72,128.74,132.75,598030.0
2019-01-15,133.22,135.94,131.1,135.11,616283.0
2019-01-16,136.34,137.83,134.5,135.97,552279.0
2019-01-17,135.8,137.1,134.905,135.4,704604.0
2019-01-18,137.06,139.18,135.41,136.96,575808.0
2019-01-19,137.06,139.18,135.41,136.96,575808.0
2019-01-20,137.06,139.18,135.41,136.96,575808.0
2019-01-21,137.06,139.18,135.41,136.96,575808.0
2019-01-22,135.92,137.2,133.69,134.57,633370.0
2019-01-23,135.65,137.302,132.48,133.87,675174.0
2019-01-24,133.95,135.66,132.72,133.7,394380.0
2019-01-25,134.64,136.23,134.15,135.32,401244.0
2019-01-26,134.64,136.23,134.15,135.32,401244.0
2019-01-27,134.64,136.23,134.15,135.32,401244.0
2019-01-28,134.77,136.2,133.3529,136.13,380950.0
2019-01-29,136.26,136.26,133.88,134.6,375206.0
2019-01-30,135.95,136.9,132.72,134.0,724721.0
2019-01-31,133.82,135.1,130.62,132.98,862233.0
2019-02-01,132.72,138.96,132.13,138.86,668052.0
2019-02-02,132.72,138.96,132.13,138.86,668052.0
2019-02-03,132.72,138.96,132.13,138.86,668052.0
2019-02-04,138.36,138.9499,135.65,136.36,373998.0
2019-02-05,137.56,141.12,137.19,138.57,786514.0
2019-02-06,137.87,138.41,134.51,138.28,417581.0
2019-02-07,137.44,139.76,136.77,137.8,557085.0
2019-02-08,136.74,137.54,133.66,136.9,574013.0
2019-02-09,136.74,137.54,133.66,136.9,574013.0
2019-02-10,136.74,137.54,133.66,136.9,574013.0
2019-02-11,137.27,138.715,135.315,137.09,905928.0
2019-02-12,136.7,137.09,124.5,129.39,2597602.0
2019-02-13,130.81,137.23,130.81,137.01,1289239.0
2019-02-14,136.97,137.27,133.7,136.08,986029.0
2019-02-15,136.79,138.36,135.06,135.34,729001.0
2019-02-16,136.79,138.36,135.06,135.34,729001.0
2019-02-17,136.79,138.36,135.06,135.34,729001.0
2019-02-18,136.79,138.36,135.06,135.34,729001.0
2019-02-19,134.53,135.5,133.06,134.86,788875.0
2019-02-20,134.34,138.98,134.14,137.67,978673.0
2019-02-21,137.91,142.33,135.7296,136.57,862094.0
2019-02-22,137.28,142.18,136.72,141.73,911918.0
2019-02-23,137.28,142.18,136.72,141.73,911918.0
2019-02-24,137.28,142.18,136.72,141.73,911918.0
2019-02-25,142.65,145.715,142.65,145.6,1039300.0
2019-02-26,145.65,147.76,144.52,145.83,739479.0
2019-02-27,145.09,145.65,137.12,140.33,973112.0
2019-02-28,139.81,141.69,132.29,134.63,1031401.0
2019-03-01,135.85,138.975,135.13,138.4,679608.0
2019-03-02,135.85,138.975,135.13,138.4,679608.0
2019-03-03,135.85,138.975,135.13,138.4,679608.0
2019-03-04,139.41,140.26,131.8651,132.73,838649.0
2019-03-05,133.09,135.6,130.23,134.08,977999.0
2019-03-06,134.45,134.77,128.9207,129.45,822612.0
2019-03-07,130.19,131.76,128.21,130.34,1083867.0
2019-03-08,128.86,132.93,128.86,132.55,866998.0
2019-03-09,128.86,132.93,128.86,132.55,866998.0
2019-03-10,128.86,132.93,128.86,132.55,866998.0
2019-03-11,132.9,136.16,132.5,135.85,735103.0
2019-03-12,136.66,139.15,136.52,138.94,849909.0
2019-03-13,140.09,143.21,139.22,141.77,1003045.0
2019-03-14,142.1,143.5,138.89,140.13,803013.0
2019-03-15,140.0,141.8,138.75,139.4,758084.0
2019-03-16,140.0,141.8,138.75,139.4,758084.0
2019-03-17,140.0,141.8,138.75,139.4,758084.0
2019-03-18,140.14,143.6119,139.5001,143.02,799972.0
2019-03-19,143.28,147.16,143.01,145.63,865591.0
2019-03-20,145.6,146.89,142.03,142.58,920983.0
2019-03-21,142.31,148.73,142.0869,148.29,1053616.0
2019-03-22,147.42,149.66,146.17,146.48,855606.0
2019-03-23,147.42,149.66,146.17,146.48,855606.0
2019-03-24,147.42,149.66,146.17,146.48,855606.0
2019-03-25,146.5,146.7,141.32,144.23,743116.0
2019-03-26,144.03,144.59,129.685,130.21,1669542.0
2019-03-27,133.28,138.6265,129.13,133.08,1701577.0
2019-03-28,133.78,138.63,132.61,138.2,1087121.0
2019-03-29,139.99,142.68,138.81,141.96,1085377.0
2019-03-30,139.99,142.68,138.81,141.96,1085377.0
2019-03-31,139.99,142.68,138.81,141.96,1085377.0
2019-04-01,143.32,144.85,141.2,144.7,924199.0
2019-04-02,145.17,145.17,141.245,142.69,514409.0
2019-04-03,143.47,145.66,142.59,145.07,539212.0
2019-04-04,145.36,147.09,144.22,145.28,491017.0
2019-04-05,146.68,147.94,145.81,147.36,845306.0
2019-04-06,146.68,147.94,145.81,147.36,845306.0
2019-04-07,146.68,147.94,145.81,147.36,845306.0
2019-04-08,147.0,147.82,144.76,147.49,583784.0
2019-04-09,146.73,147.4,144.82,145.6,834466.0
2019-04-10,146.24,147.89,144.25,145.24,1203982.0
2019-04-11,145.6,146.34,140.62,141.53,927625.0
2019-04-12,141.72,142.98,128.57,129.39,1446328.0
2019-04-13,141.72,142.98,128.57,129.39,1446328.0
2019-04-14,141.72,142.98,128.57,129.39,1446328.0
2019-04-15,129.39,132.16,128.47,131.98,904670.0
2019-04-16,134.24,136.56,120.4508,122.09,1404049.0
2019-04-17,121.73,121.73,115.01,116.67,2625528.0
2019-04-18,116.91,120.83,112.16,120.68,1989084.0
2019-04-19,116.91,120.83,112.16,120.68,1989084.0
2019-04-20,116.91,120.83,112.16,120.68,1989084.0
2019-04-21,116.91,120.83,112.16,120.68,1989084.0
2019-04-22,120.78,124.86,119.95,121.22,922837.0
2019-04-23,121.94,125.08,119.22,123.95,1012464.0
2019-04-24,123.83,124.18,122.03,123.72,780917.0
2019-04-25,123.06,124.66,122.15,124.27,418034.0
2019-04-26,124.18,128.55,123.73,128.49,560501.0
2019-04-27,124.18,128.55,123.73,128.49,560501.0
2019-04-28,124.18,128.55,123.73,128.49,560501.0
2019-04-29,128.05,129.99,126.55,128.73,814955.0
2019-04-30,132.5,135.99,126.85,129.63,1477503.0
2019-05-01,129.69,131.0,126.04,126.8,1105802.0
2019-05-02,126.55,127.86,123.14,126.75,710359.0
2019-05-03,127.14,129.49,125.93,128.26,600792.0
2019-05-04,127.14,129.49,125.93,128.26,600792.0
2019-05-05,127.14,129.49,125.93,128.26,600792.0
2019-05-06,125.63,130.61,125.63,130.0,1015214.0
2019-05-07,129.16,129.97,125.31,127.04,480804.0
2019-05-08,126.3,129.95,125.05,129.46,507337.0
2019-05-09,127.99,129.46,125.635,128.38,536462.0
2019-05-10,128.32,129.605,124.68,129.13,400753.0
2019-05-11,128.32,129.605,124.68,129.13,400753.0
2019-05-12,128.32,129.605,124.68,129.13,400753.0
2019-05-13,126.06,127.84,124.27,126.54,389726.0
2019-05-14,127.09,129.04,126.03,128.39,411222.0
2019-05-15,127.32,130.74,126.03,129.6,443240.0
2019-05-16,130.0,132.105,129.17,129.75,610488.0
2019-05-17,129.33,130.73,128.5,129.69,569514.0
2019-05-18,129.33,130.73,128.5,129.69,569514.0
2019-05-19,129.33,130.73,128.5,129.69,569514.0
2019-05-20,128.95,131.13,128.1951,129.76,604981.0
2019-05-21,130.66,134.41,130.66,134.4,600629.0
2019-05-22,133.82,135.0,132.705,133.88,527844.0
2019-05-23,132.43,133.0,127.04,127.45,546252.0
2019-05-24,127.95,132.5422,127.25,132.14,720218.0
2019-05-25,127.95,132.5422,127.25,132.14,720218.0
2019-05-26,127.95,132.5422,127.25,132.14,720218.0
2019-05-27,127.95,132.5422,127.25,132.14,720218.0
2019-05-28,132.14,134.96,131.54,132.0,544835.0
2019-05-29,130.68,132.0717,128.85,131.12,539218.0
