,ORCL US Equity,ORCL US Equity,ORCL US Equity,ORCL US Equity,ORCL US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,41.3415,41.6251,41.0213,41.3049,14932651.0
2019-01-02,40.6919,41.4787,40.6645,41.3689,14320441.0
2019-01-03,40.9389,41.6251,40.6279,40.9664,19868713.0
2019-01-04,41.5061,42.9516,41.3963,42.732,20983953.0
2019-01-05,41.5061,42.9516,41.3963,42.732,20983953.0
2019-01-06,41.5061,42.9516,41.3963,42.732,20983953.0
2019-01-07,42.9333,44.0082,42.5124,43.409,17967907.0
2019-01-08,43.8481,44.2415,43.1803,43.8024,16255688.0
2019-01-09,42.668,44.1226,42.6405,43.7109,19100183.0
2019-01-10,43.345,43.8939,42.8875,43.7475,16652730.0
2019-01-11,43.6103,44.4791,43.3358,44.1775,16397521.0
2019-01-12,43.6103,44.4791,43.3358,44.1775,16397521.0
2019-01-13,43.6103,44.4791,43.3358,44.1775,16397521.0
2019-01-14,43.7749,44.2232,43.5645,44.0768,14869411.0
2019-01-15,43.5992,44.5682,43.5441,44.435,12142144.0
2019-01-16,44.6187,44.807,44.1319,44.1411,14114001.0
2019-01-17,44.0952,44.9218,43.9115,44.6187,12711208.0
2019-01-18,44.9494,45.528,44.8851,45.2525,15930597.0
2019-01-19,44.9494,45.528,44.8851,45.2525,15930597.0
2019-01-20,44.9494,45.528,44.8851,45.2525,15930597.0
2019-01-21,44.9494,45.528,44.8851,45.2525,15930597.0
2019-01-22,44.8575,45.1606,44.6922,44.9494,13318705.0
2019-01-23,45.179,45.4453,44.8483,45.2249,15551202.0
2019-01-24,45.2433,45.3994,44.8851,45.1882,11442236.0
2019-01-25,45.5556,45.8311,45.4178,45.7393,16656580.0
2019-01-26,45.5556,45.8311,45.4178,45.7393,16656580.0
2019-01-27,45.5556,45.8311,45.4178,45.7393,16656580.0
2019-01-28,45.4178,45.675,45.1974,45.4821,11799138.0
2019-01-29,45.3627,45.8495,45.179,45.5647,10838600.0
2019-01-30,45.7944,46.3822,45.5556,46.2536,13483753.0
2019-01-31,46.1434,46.3822,45.9872,46.1342,20403558.0
2019-02-01,46.4005,46.9287,46.1893,46.6669,14849598.0
