,MKL US Equity,MKL US Equity,MKL US Equity,MKL US Equity,MKL US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,1137.75,1148.0,1133.14,1143.17,39307.0
2020-01-02,1143.77,1155.22,1135.01,1155.22,40216.0
2020-01-03,1144.2,1164.96,1144.2,1161.44,35084.0
2020-01-04,1144.2,1164.96,1144.2,1161.44,35084.0
2020-01-05,1144.2,1164.96,1144.2,1161.44,35084.0
2020-01-06,1151.46,1163.81,1148.193,1160.59,50394.0
2020-01-07,1160.01,1169.26,1158.28,1160.14,30346.0
2020-01-08,1159.61,1166.0,1152.72,1152.72,41068.0
2020-01-09,1156.59,1168.79,1156.182,1165.88,25417.0
2020-01-10,1167.73,1171.38,1160.56,1162.21,23956.0
2020-01-11,1167.73,1171.38,1160.56,1162.21,23956.0
2020-01-12,1167.73,1171.38,1160.56,1162.21,23956.0
2020-01-13,1161.25,1171.6,1161.25,1169.17,42731.0
2020-01-14,1165.79,1180.0,1160.862,1178.69,46783.0
2020-01-15,1178.85,1187.25,1164.47,1170.36,44081.0
2020-01-16,1173.6,1185.79,1172.75,1182.54,27264.0
2020-01-17,1182.0,1194.69,1178.16,1192.76,32221.0
2020-01-18,1182.0,1194.69,1178.16,1192.76,32221.0
2020-01-19,1182.0,1194.69,1178.16,1192.76,32221.0
2020-01-20,1182.0,1194.69,1178.16,1192.76,32221.0
2020-01-21,1186.36,1193.0,1175.53,1186.24,32996.0
2020-01-22,1191.97,1193.0,1179.57,1186.05,38688.0
2020-01-23,1178.77,1187.005,1172.5,1180.47,35785.0
2020-01-24,1181.08,1190.95,1179.96,1188.38,30692.0
2020-01-25,1181.08,1190.95,1179.96,1188.38,30692.0
2020-01-26,1181.08,1190.95,1179.96,1188.38,30692.0
2020-01-27,1176.49,1184.32,1170.74,1172.27,30915.0
2020-01-28,1170.58,1183.58,1168.99,1169.19,40656.0
2020-01-29,1169.91,1181.99,1166.0,1171.32,25223.0
2020-01-30,1163.82,1179.31,1161.0,1175.1,34559.0
2020-01-31,1168.21,1184.03,1168.21,1172.97,42524.0
2020-02-01,1168.21,1184.03,1168.21,1172.97,42524.0
2020-02-02,1168.21,1184.03,1168.21,1172.97,42524.0
2020-02-03,1181.0,1194.605,1178.045,1178.07,37248.0
2020-02-04,1185.02,1202.98,1184.13,1192.95,35225.0
2020-02-05,1206.26,1283.63,1204.0,1259.61,69820.0
2020-02-06,1262.38,1301.23,1262.38,1297.77,56245.0
2020-02-07,1288.64,1310.83,1282.829,1303.6,40487.0
2020-02-08,1288.64,1310.83,1282.829,1303.6,40487.0
2020-02-09,1288.64,1310.83,1282.829,1303.6,40487.0
2020-02-10,1303.22,1318.39,1290.1,1294.5,54260.0
2020-02-11,1296.53,1307.98,1291.1,1306.02,41461.0
2020-02-12,1312.22,1319.49,1297.87,1309.97,35499.0
2020-02-13,1306.55,1321.41,1301.08,1319.73,21951.0
2020-02-14,1318.19,1325.23,1310.01,1323.64,24313.0
2020-02-15,1318.19,1325.23,1310.01,1323.64,24313.0
2020-02-16,1318.19,1325.23,1310.01,1323.64,24313.0
2020-02-17,1318.19,1325.23,1310.01,1323.64,24313.0
2020-02-18,1320.0,1329.99,1314.2,1326.69,43267.0
2020-02-19,1328.11,1340.72,1323.07,1336.68,27610.0
2020-02-20,1331.73,1345.45,1325.22,1341.08,30601.0
2020-02-21,1336.93,1347.64,1328.08,1340.84,21434.0
2020-02-22,1336.93,1347.64,1328.08,1340.84,21434.0
2020-02-23,1336.93,1347.64,1328.08,1340.84,21434.0
2020-02-24,1313.93,1332.5,1311.18,1320.04,39065.0
2020-02-25,1326.85,1332.55,1288.65,1294.88,42704.0
2020-02-26,1294.0,1313.91,1271.99,1278.61,43105.0
2020-02-27,1270.0,1274.99,1225.71,1225.71,53851.0
2020-02-28,1196.67,1201.49,1160.01,1181.6,100099.0
2020-02-29,1196.67,1201.49,1160.01,1181.6,100099.0
2020-03-01,1196.67,1201.49,1160.01,1181.6,100099.0
2020-03-02,1181.6,1262.7,1176.481,1262.7,55940.0
2020-03-03,1260.09,1270.0,1229.81,1239.81,66636.0
2020-03-04,1246.98,1273.92,1235.06,1273.92,53434.0
2020-03-05,1239.09,1250.0,1209.0,1228.68,43972.0
2020-03-06,1196.35,1222.05,1182.6,1216.94,48943.0
2020-03-07,1196.35,1222.05,1182.6,1216.94,48943.0
2020-03-08,1196.35,1222.05,1182.6,1216.94,48943.0
2020-03-09,1140.43,1145.814,1082.51,1094.17,78159.0
2020-03-10,1115.97,1164.77,1086.44,1164.77,70935.0
2020-03-11,1136.97,1149.26,1069.0,1086.81,75999.0
2020-03-12,1022.3,1024.0,936.82,947.76,120434.0
2020-03-13,991.91,1047.21,948.02,1046.61,76643.0
2020-03-14,991.91,1047.21,948.02,1046.61,76643.0
2020-03-15,991.91,1047.21,948.02,1046.61,76643.0
2020-03-16,937.0,944.815,805.0,839.06,108001.0
2020-03-17,856.83,871.653,768.62,863.76,146475.0
2020-03-18,802.14,818.906,726.01,792.13,112721.0
2020-03-19,792.06,848.48,750.28,836.56,99838.0
2020-03-20,844.0,875.0,765.75,785.18,84299.0
2020-03-21,844.0,875.0,765.75,785.18,84299.0
2020-03-22,844.0,875.0,765.75,785.18,84299.0
2020-03-23,765.01,781.0,710.52,742.21,92611.0
2020-03-24,799.43,874.99,782.01,854.0,83019.0
2020-03-25,856.3,906.69,844.01,858.28,72189.0
2020-03-26,866.44,950.52,860.0,950.52,101451.0
2020-03-27,909.41,934.67,885.01,892.43,76862.0
2020-03-28,909.41,934.67,885.01,892.43,76862.0
2020-03-29,909.41,934.67,885.01,892.43,76862.0
2020-03-30,897.7,953.65,893.748,946.99,52246.0
2020-03-31,932.49,942.94,911.0,927.89,45348.0
2020-04-01,883.43,913.015,875.0,885.72,38815.0
2020-04-02,889.81,929.97,880.01,909.35,104012.0
2020-04-03,894.19,923.0,857.18,867.3,105481.0
2020-04-04,894.19,923.0,857.18,867.3,105481.0
2020-04-05,894.19,923.0,857.18,867.3,105481.0
2020-04-06,910.35,930.58,902.14,924.94,95051.0
2020-04-07,974.0,997.98,940.57,943.0,73532.0
2020-04-08,961.32,982.6,930.51,980.38,48755.0
2020-04-09,982.0,1022.79,982.0,1005.4,56176.0
2020-04-10,982.0,1022.79,982.0,1005.4,56176.0
2020-04-11,982.0,1022.79,982.0,1005.4,56176.0
2020-04-12,982.0,1022.79,982.0,1005.4,56176.0
2020-04-13,974.54,995.0,940.94,943.99,66730.0
2020-04-14,955.0,980.74,952.0,976.29,61665.0
2020-04-15,965.1,965.1,933.45,938.5,47529.0
2020-04-16,949.7,949.94,913.1,922.86,50167.0
2020-04-17,954.0,959.98,932.3,954.39,48972.0
2020-04-18,954.0,959.98,932.3,954.39,48972.0
2020-04-19,954.0,959.98,932.3,954.39,48972.0
2020-04-20,937.13,946.84,910.06,927.82,59244.0
2020-04-21,905.23,909.798,883.0,889.44,40723.0
2020-04-22,907.29,912.394,875.01,879.04,55697.0
2020-04-23,898.99,902.52,877.23,881.43,72309.0
2020-04-24,881.91,888.9,861.01,879.54,44987.0
2020-04-25,881.91,888.9,861.01,879.54,44987.0
2020-04-26,881.91,888.9,861.01,879.54,44987.0
2020-04-27,890.64,908.11,880.01,900.92,47624.0
2020-04-28,923.88,939.99,901.78,908.11,55455.0
2020-04-29,903.0,939.78,887.111,910.86,96635.0
2020-04-30,904.27,909.5,860.0,865.84,90045.0
2020-05-01,850.26,901.82,820.97,834.08,69638.0
2020-05-02,850.26,901.82,820.97,834.08,69638.0
2020-05-03,850.26,901.82,820.97,834.08,69638.0
2020-05-04,831.0,834.006,815.0,822.82,75031.0
2020-05-05,839.86,861.97,824.78,828.36,62737.0
2020-05-06,828.36,834.37,804.47,810.03,70088.0
2020-05-07,834.0,854.97,827.13,836.01,72191.0
2020-05-08,848.98,877.79,844.91,869.71,58917.0
2020-05-09,848.98,877.79,844.91,869.71,58917.0
2020-05-10,848.98,877.79,844.91,869.71,58917.0
2020-05-11,858.03,874.965,847.375,858.67,80797.0
2020-05-12,861.89,873.99,831.01,837.39,46384.0
2020-05-13,830.79,835.99,781.31,790.45,78465.0
2020-05-14,782.46,814.98,761.06,813.18,66165.0
2020-05-15,810.0,835.98,800.0,831.55,63695.0
2020-05-16,810.0,835.98,800.0,831.55,63695.0
2020-05-17,810.0,835.98,800.0,831.55,63695.0
2020-05-18,836.77,859.18,836.77,844.06,60169.0
2020-05-19,840.28,857.27,831.33,846.54,77839.0
2020-05-20,855.0,879.99,852.19,860.0,100057.0
2020-05-21,857.1,885.0,852.01,863.08,90437.0
2020-05-22,861.35,885.0,844.98,868.85,49175.0
2020-05-23,861.35,885.0,844.98,868.85,49175.0
2020-05-24,861.35,885.0,844.98,868.85,49175.0
2020-05-25,861.35,885.0,844.98,868.85,49175.0
2020-05-26,896.75,924.335,888.14,918.99,70792.0
2020-05-27,938.03,947.675,923.21,937.75,63306.0
2020-05-28,942.34,943.81,923.01,930.6,58827.0
2020-05-29,919.4,925.3,891.298,897.42,72968.0
2020-05-30,919.4,925.3,891.298,897.42,72968.0
2020-05-31,919.4,925.3,891.298,897.42,72968.0
2020-06-01,900.0,905.68,894.29,897.75,44267.0
2020-06-02,901.78,937.36,897.59,930.77,83448.0
2020-06-03,949.74,986.26,945.213,973.45,59276.0
2020-06-04,981.36,985.62,956.705,981.41,42820.0
2020-06-05,1005.82,1034.5,1000.0,1021.42,56891.0
2020-06-06,1005.82,1034.5,1000.0,1021.42,56891.0
2020-06-07,1005.82,1034.5,1000.0,1021.42,56891.0
2020-06-08,1032.09,1049.56,1017.38,1049.55,42266.0
2020-06-09,1030.09,1043.33,1015.45,1031.9,70150.0
2020-06-10,1022.28,1029.15,976.07,982.83,72849.0
2020-06-11,942.73,950.0,928.99,929.8,100596.0
2020-06-12,969.63,974.39,921.88,949.95,55969.0
2020-06-13,969.63,974.39,921.88,949.95,55969.0
2020-06-14,969.63,974.39,921.88,949.95,55969.0
2020-06-15,914.86,954.67,903.21,945.39,51895.0
2020-06-16,980.93,985.0,951.0,966.15,42108.0
2020-06-17,963.64,965.82,945.42,948.08,34845.0
2020-06-18,939.55,956.18,926.67,947.03,43856.0
2020-06-19,965.11,965.11,928.065,930.76,86959.0
2020-06-20,965.11,965.11,928.065,930.76,86959.0
2020-06-21,965.11,965.11,928.065,930.76,86959.0
2020-06-22,925.0,941.095,915.01,934.74,31928.0
2020-06-23,948.24,952.13,928.52,932.76,37200.0
2020-06-24,920.88,924.6,895.14,895.15,43080.0
2020-06-25,892.51,911.86,881.66,907.86,43361.0
2020-06-26,900.85,906.525,880.59,882.33,110243.0
2020-06-27,900.85,906.525,880.59,882.33,110243.0
2020-06-28,900.85,906.525,880.59,882.33,110243.0
2020-06-29,889.49,913.77,881.5,907.18,41246.0
2020-06-30,902.58,955.0,898.7,923.17,82794.0
2020-07-01,921.71,934.2,908.49,914.17,37114.0
2020-07-02,933.13,939.7,903.35,905.33,49420.0
2020-07-03,933.13,939.7,903.35,905.33,49420.0
2020-07-04,933.13,939.7,903.35,905.33,49420.0
2020-07-05,933.13,939.7,903.35,905.33,49420.0
2020-07-06,916.24,924.99,903.55,914.36,50641.0
2020-07-07,905.01,913.0,890.01,893.46,38013.0
2020-07-08,895.0,907.82,887.09,898.09,38050.0
2020-07-09,894.48,905.0,881.0,892.91,62321.0
