,NAVI US Equity,NAVI US Equity,NAVI US Equity,NAVI US Equity,NAVI US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,7.0029,7.0029,6.8067,6.9166,1947123.0
2019-01-02,6.8145,7.2934,6.7831,7.2934,2378419.0
2019-01-03,7.2463,7.5172,7.1599,7.419,2889890.0
2019-01-04,7.5368,7.8194,7.5368,7.7174,2800157.0
2019-01-05,7.5368,7.8194,7.5368,7.7174,2800157.0
2019-01-06,7.5368,7.8194,7.5368,7.7174,2800157.0
2019-01-07,7.7488,7.9843,7.6938,7.8901,2920898.0
2019-01-08,7.9607,8.1099,7.8744,7.9921,2390576.0
2019-01-09,8.0235,8.2198,7.9686,8.157,1635994.0
2019-01-10,8.1334,8.2237,8.0432,8.2041,2039445.0
2019-01-11,8.1334,8.2434,8.0471,8.157,2082007.0
2019-01-12,8.1334,8.2434,8.0471,8.157,2082007.0
2019-01-13,8.1334,8.2434,8.0471,8.157,2082007.0
2019-01-14,8.0942,8.2355,8.0078,8.1727,1508392.0
2019-01-15,8.1649,8.2277,8.0706,8.212,1581712.0
2019-01-16,8.314,8.4907,8.3062,8.3611,2520416.0
2019-01-17,8.3062,8.3964,8.2434,8.2905,2205529.0
2019-01-18,8.3768,8.5888,8.3611,8.5652,1777750.0
2019-01-19,8.3768,8.5888,8.3611,8.5652,1777750.0
2019-01-20,8.3768,8.5888,8.3611,8.5652,1777750.0
2019-01-21,8.3768,8.5888,8.3611,8.5652,1777750.0
2019-01-22,8.5024,8.5692,8.3847,8.5181,2990966.0
2019-01-23,9.1069,9.1148,8.4789,8.7223,2585603.0
2019-01-24,8.7066,9.0481,8.6727,8.9813,2150151.0
2019-01-25,9.1069,9.1305,8.9813,9.0598,2168309.0
2019-01-26,9.1069,9.1305,8.9813,9.0598,2168309.0
2019-01-27,9.1069,9.1305,8.9813,9.0598,2168309.0
2019-01-28,8.9264,9.0598,8.895,8.9813,1613848.0
2019-01-29,8.9499,9.0441,8.9028,8.9892,1750005.0
2019-01-30,8.997,9.0834,8.8714,8.9892,1737497.0
2019-01-31,8.9578,9.0206,8.8557,8.9499,2384705.0
2019-02-01,8.9499,9.0441,8.8871,8.9813,1492926.0
2019-02-02,8.9499,9.0441,8.8871,8.9813,1492926.0
2019-02-03,8.9499,9.0441,8.8871,8.9813,1492926.0
2019-02-04,8.9499,9.0677,8.8557,8.9499,1745876.0
2019-02-05,8.9578,9.0284,8.8871,8.9813,1297274.0
2019-02-06,8.9656,9.0088,8.9028,8.9656,1611679.0
2019-02-07,8.9499,9.0363,8.8675,8.9264,1459065.0
2019-02-08,8.84,8.9185,8.7301,8.8322,1436543.0
2019-02-09,8.84,8.9185,8.7301,8.8322,1436543.0
2019-02-10,8.84,8.9185,8.7301,8.8322,1436543.0
2019-02-11,8.8479,8.9539,8.8479,8.9421,1285365.0
2019-02-12,8.9892,9.1776,8.9735,9.0912,1661986.0
2019-02-13,9.1384,9.2483,9.0834,9.1776,1203823.0
2019-02-14,9.1227,9.1894,9.0363,9.1227,1206301.0
2019-02-15,9.1855,9.3228,9.1148,9.209,1754283.0
2019-02-16,9.1855,9.3228,9.1148,9.209,1754283.0
2019-02-17,9.1855,9.3228,9.1148,9.209,1754283.0
2019-02-18,9.1855,9.3228,9.1148,9.209,1754283.0
2019-02-19,9.8606,10.1276,9.6644,10.0412,6228747.0
2019-02-20,10.0647,10.0883,9.8528,9.9391,4288196.0
2019-02-21,9.3739,9.6879,9.3111,9.6722,3545265.0
2019-02-22,9.735,9.7821,9.633,9.7664,1583554.0
2019-02-23,9.735,9.7821,9.633,9.7664,1583554.0
2019-02-24,9.735,9.7821,9.633,9.7664,1583554.0
2019-02-25,9.8214,9.947,9.79,9.8842,2563109.0
2019-02-26,9.8528,9.9352,9.79,9.892,2243011.0
2019-02-27,9.9234,9.9234,9.7743,9.8528,1733175.0
2019-02-28,9.9482,9.9482,9.7176,9.7176,2460990.0
2019-03-01,9.8051,9.8607,9.6858,9.7096,2054371.0
2019-03-02,9.8051,9.8607,9.6858,9.7096,2054371.0
2019-03-03,9.8051,9.8607,9.6858,9.7096,2054371.0
2019-03-04,9.6937,9.8289,9.6063,9.6381,2157673.0
2019-03-05,9.5347,9.6619,9.5188,9.5267,1744891.0
2019-03-06,9.5585,9.5665,9.3915,9.3915,1881833.0
2019-03-07,9.4234,9.4273,9.153,9.1768,1541508.0
2019-03-08,9.0973,9.4234,9.0814,9.3279,1312027.0
2019-03-09,9.0973,9.4234,9.0814,9.3279,1312027.0
2019-03-10,9.0973,9.4234,9.0814,9.3279,1312027.0
2019-03-11,9.3518,9.3995,9.1768,9.3438,1412886.0
2019-03-12,9.3597,9.8528,9.2086,9.3438,2474369.0
2019-03-13,9.3995,9.4393,9.312,9.3836,1553679.0
2019-03-14,9.3836,9.5029,9.3677,9.4234,1651955.0
2019-03-15,9.4154,9.5983,9.3915,9.5665,4576211.0
2019-03-16,9.4154,9.5983,9.3915,9.5665,4576211.0
2019-03-17,9.4154,9.5983,9.3915,9.5665,4576211.0
2019-03-18,9.6301,9.7414,9.6301,9.654,1307097.0
2019-03-19,9.7176,9.7255,9.4949,9.5108,1408123.0
2019-03-20,9.5029,9.5029,9.32,9.3756,1779668.0
2019-03-21,9.3279,9.646,9.2802,9.5744,1272192.0
2019-03-22,9.5029,9.5029,9.1291,9.2166,1694731.0
2019-03-23,9.5029,9.5029,9.1291,9.2166,1694731.0
2019-03-24,9.5029,9.5029,9.1291,9.2166,1694731.0
2019-03-25,9.2007,9.3518,9.1132,9.2166,1316855.0
2019-03-26,9.2802,9.3518,9.1371,9.2405,1466700.0
2019-03-27,9.2643,9.3359,9.1848,9.1927,1793376.0
2019-03-28,9.2086,9.3717,9.2086,9.3279,1189326.0
2019-03-29,9.4234,9.4989,9.1768,9.2007,1941026.0
2019-03-30,9.4234,9.4989,9.1768,9.2007,1941026.0
2019-03-31,9.4234,9.4989,9.1768,9.2007,1941026.0
2019-04-01,9.312,9.6301,9.2961,9.6222,1516501.0
2019-04-02,9.6063,9.6937,9.3836,9.4075,1457559.0
2019-04-03,9.4552,9.6301,9.4552,9.5267,1216334.0
2019-04-04,9.5665,9.7176,9.5029,9.7096,1430929.0
2019-04-05,9.7414,9.809,9.654,9.6778,1081642.0
2019-04-06,9.7414,9.809,9.654,9.6778,1081642.0
2019-04-07,9.7414,9.809,9.654,9.6778,1081642.0
2019-04-08,9.7017,9.7574,9.5864,9.7494,1831917.0
2019-04-09,9.7255,9.7335,9.4631,9.479,1328500.0
2019-04-10,9.5188,9.6858,9.5069,9.6619,1080446.0
2019-04-11,9.7017,9.7414,9.5744,9.6699,971816.0
2019-04-12,9.8051,9.9522,9.7334,9.8766,1116233.0
2019-04-13,9.8051,9.9522,9.7334,9.8766,1116233.0
2019-04-14,9.8051,9.9522,9.7334,9.8766,1116233.0
2019-04-15,9.8607,9.9084,9.7335,9.7574,954450.0
2019-04-16,9.813,9.8766,9.7176,9.821,1057871.0
2019-04-17,9.8687,9.8687,9.6301,9.6778,1598981.0
2019-04-18,9.7017,9.7494,9.6142,9.6937,1274414.0
2019-04-19,9.7017,9.7494,9.6142,9.6937,1274414.0
2019-04-20,9.7017,9.7494,9.6142,9.6937,1274414.0
2019-04-21,9.7017,9.7494,9.6142,9.6937,1274414.0
2019-04-22,9.7017,9.7335,9.5625,9.5904,1409330.0
2019-04-23,9.6301,9.9005,9.6063,9.8846,2363960.0
2019-04-24,9.9323,10.4015,9.8846,10.3061,2264205.0
2019-04-25,10.4969,10.7037,10.4492,10.489,3668305.0
