,AUB US Equity,AUB US Equity,AUB US Equity,AUB US Equity,AUB US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,32.5111,32.7784,32.261,32.3818,261353.0
2020-01-02,32.6663,32.6663,31.9937,32.4939,261553.0
2020-01-03,32.0885,32.4464,31.8126,32.399,196381.0
2020-01-04,32.0885,32.4464,31.8126,32.399,196381.0
2020-01-05,32.0885,32.4464,31.8126,32.399,196381.0
2020-01-06,32.0282,32.3904,31.7947,32.3214,304806.0
2020-01-07,32.1403,32.1403,31.5453,31.6229,190661.0
2020-01-08,31.6056,31.9851,31.597,31.7177,213714.0
2020-01-09,31.8902,31.9075,31.4849,31.5366,152453.0
2020-01-10,31.4763,31.5539,31.1227,31.2348,170762.0
2020-01-11,31.4763,31.5539,31.1227,31.2348,170762.0
2020-01-12,31.4763,31.5539,31.1227,31.2348,170762.0
2020-01-13,31.4418,31.7005,31.1227,31.666,170531.0
2020-01-14,31.5711,31.8816,31.459,31.8643,289631.0
2020-01-15,31.6919,31.8816,31.4763,31.5711,368751.0
2020-01-16,31.6487,31.9851,31.6315,31.804,374718.0
2020-01-17,31.9937,32.0388,31.7264,31.735,311967.0
2020-01-18,31.9937,32.0388,31.7264,31.735,311967.0
2020-01-19,31.9937,32.0388,31.7264,31.735,311967.0
2020-01-20,31.9937,32.0388,31.7264,31.735,311967.0
2020-01-21,31.0451,31.2344,30.1827,30.7001,611348.0
2020-01-22,30.7088,30.8036,30.4242,30.6096,281162.0
2020-01-23,30.5622,30.7864,30.1396,30.6398,336082.0
2020-01-24,30.6053,30.6053,30.0447,30.3724,283944.0
2020-01-25,30.6053,30.6053,30.0447,30.3724,283944.0
2020-01-26,30.6053,30.6053,30.0447,30.3724,283944.0
2020-01-27,29.8205,30.1482,29.7602,29.8119,266689.0
2020-01-28,30.1137,30.1569,29.6912,29.6955,196649.0
2020-01-29,29.855,29.9326,29.2772,29.3031,199667.0
2020-01-30,29.0961,29.924,29.0099,29.9068,361711.0
2020-01-31,29.7084,29.7774,28.915,29.053,353393.0
2020-02-01,29.7084,29.7774,28.915,29.053,353393.0
2020-02-02,29.7084,29.7774,28.915,29.053,353393.0
