,CFR US Equity,CFR US Equity,CFR US Equity,CFR US Equity,CFR US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,86.2412,86.6375,85.9593,86.1267,200496.0
2020-01-02,86.4261,86.5054,85.5673,86.1883,317293.0
2020-01-03,85.0521,85.9593,84.9552,85.3339,299787.0
2020-01-04,85.0521,85.9593,84.9552,85.3339,299787.0
2020-01-05,85.0521,85.9593,84.9552,85.3339,299787.0
2020-01-06,84.5588,84.7085,83.744,84.3562,342840.0
2020-01-07,84.4795,84.8142,83.4416,84.1801,315933.0
2020-01-08,84.3298,85.0168,84.0039,84.5148,210620.0
2020-01-09,85.0256,85.0917,83.8894,84.2593,272034.0
2020-01-10,84.2417,84.2417,82.85,82.9998,308648.0
2020-01-11,84.2417,84.2417,82.85,82.9998,308648.0
2020-01-12,84.2417,84.2417,82.85,82.9998,308648.0
2020-01-13,83.4314,83.8497,82.7267,83.6604,327728.0
2020-01-14,83.5987,84.3122,83.3257,84.1096,387512.0
2020-01-15,83.3345,83.8013,82.9557,83.3961,374182.0
2020-01-16,84.0391,84.9199,83.6383,84.8495,258608.0
2020-01-17,85.2194,85.378,84.3826,84.6821,200430.0
2020-01-18,85.2194,85.378,84.3826,84.6821,200430.0
2020-01-19,85.2194,85.378,84.3826,84.6821,200430.0
2020-01-20,85.2194,85.378,84.3826,84.6821,200430.0
2020-01-21,84.1536,84.4267,83.3785,83.4842,216198.0
2020-01-22,83.7661,83.9334,83.1231,83.678,267509.0
2020-01-23,83.2728,83.7837,82.5505,83.7044,278154.0
2020-01-24,83.678,83.722,81.6169,82.3656,361129.0
2020-01-25,83.678,83.722,81.6169,82.3656,361129.0
2020-01-26,83.678,83.722,81.6169,82.3656,361129.0
2020-01-27,80.6832,81.564,80.3485,81.0179,306279.0
2020-01-28,81.5024,82.1365,81.0884,81.8106,465664.0
2020-01-29,82.1101,82.4713,80.5687,80.9474,570285.0
2020-01-30,80.8241,81.6609,79.3443,81.6345,568350.0
2020-01-31,80.5775,80.5775,78.1552,78.534,785107.0
2020-02-01,80.5775,80.5775,78.1552,78.534,785107.0
2020-02-02,80.5775,80.5775,78.1552,78.534,785107.0
2020-02-03,79.0184,80.1723,78.8687,79.8464,520188.0
2020-02-04,81.2998,81.8547,80.7449,81.291,428077.0
2020-02-05,82.5593,83.101,82.2599,82.8941,235217.0
2020-02-06,83.4578,83.6163,81.5816,81.6257,320119.0
2020-02-07,81.0884,81.0884,80.3573,80.8682,254161.0
2020-02-08,81.0884,81.0884,80.3573,80.8682,254161.0
2020-02-09,81.0884,81.0884,80.3573,80.8682,254161.0
2020-02-10,80.5511,81.4936,80.5222,81.4671,295547.0
2020-02-11,82.022,82.8764,81.7578,82.0925,316973.0
2020-02-12,82.7795,82.8764,81.5794,82.2422,256648.0
2020-02-13,81.5816,82.8236,81.5816,82.621,276516.0
2020-02-14,82.5329,82.6827,82.0309,82.4448,242143.0
2020-02-15,82.5329,82.6827,82.0309,82.4448,242143.0
2020-02-16,82.5329,82.6827,82.0309,82.4448,242143.0
2020-02-17,82.5329,82.6827,82.0309,82.4448,242143.0
2020-02-18,82.0837,82.7972,81.0531,81.4847,329564.0
2020-02-19,82.0309,82.2334,81.6961,81.9163,189101.0
2020-02-20,81.564,83.2112,81.564,83.1319,356329.0
2020-02-21,82.665,82.665,81.749,81.9163,248105.0
2020-02-22,82.665,82.665,81.749,81.9163,248105.0
2020-02-23,82.665,82.665,81.749,81.9163,248105.0
2020-02-24,80.1547,80.3925,78.5692,79.82,335327.0
2020-02-25,79.9345,80.3133,77.0938,78.3843,540826.0
2020-02-26,79.0449,79.2254,76.5874,76.8957,332379.0
2020-02-27,75.1462,76.7625,73.3879,73.4412,452402.0
2020-02-28,71.0435,72.3283,68.7967,69.6137,828082.0
2020-02-29,71.0435,72.3283,68.7967,69.6137,828082.0
