,NVGS US Equity,NVGS US Equity,NVGS US Equity,NVGS US Equity,NVGS US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,12.9647,13.4299,12.8658,13.3309,49294.0
2020-01-02,13.2517,13.4893,13.0439,13.1132,72093.0
2020-01-03,13.1033,13.4893,13.0305,13.4695,151609.0
2020-01-04,13.1033,13.4893,13.0305,13.4695,151609.0
2020-01-05,13.1033,13.4893,13.0305,13.4695,151609.0
2020-01-06,13.4299,13.4497,13.321,13.3606,68637.0
2020-01-07,13.3507,13.42,13.2122,13.2616,105478.0
2020-01-08,13.2616,13.3309,12.9405,13.0439,77556.0
2020-01-09,13.0637,13.2023,12.935,13.0637,86065.0
2020-01-10,13.0637,13.5882,12.8856,13.5882,160220.0
2020-01-11,13.0637,13.5882,12.8856,13.5882,160220.0
2020-01-12,13.0637,13.5882,12.8856,13.5882,160220.0
2020-01-13,13.608,13.6575,13.3408,13.3606,96953.0
2020-01-14,13.3606,13.4596,13.0538,13.1132,89620.0
2020-01-15,13.1627,13.1627,12.8658,13.0835,70465.0
2020-01-16,13.1429,13.3044,13.0439,13.1726,135360.0
2020-01-17,13.232,13.2616,12.8757,12.9252,124559.0
2020-01-18,13.232,13.2616,12.8757,12.9252,124559.0
2020-01-19,13.232,13.2616,12.8757,12.9252,124559.0
2020-01-20,13.232,13.2616,12.8757,12.9252,124559.0
2020-01-21,12.9647,13.0367,12.5293,12.5788,86035.0
2020-01-22,12.5788,12.8856,12.3907,12.8262,145569.0
2020-01-23,12.6678,12.7767,12.4863,12.5392,197537.0
2020-01-24,12.4501,12.6184,12.3709,12.4798,75819.0
2020-01-25,12.4501,12.6184,12.3709,12.4798,75819.0
2020-01-26,12.4501,12.6184,12.3709,12.4798,75819.0
2020-01-27,12.3709,12.5491,12.0938,12.4105,99243.0
2020-01-28,12.4105,12.6777,12.3313,12.4204,122774.0
2020-01-29,12.5392,12.7668,12.2324,12.3313,74640.0
2020-01-30,12.2225,12.2621,11.9751,12.1829,105443.0
2020-01-31,12.0443,12.2324,11.787,11.9256,237707.0
2020-02-01,12.0443,12.2324,11.787,11.9256,237707.0
2020-02-02,12.0443,12.2324,11.787,11.9256,237707.0
2020-02-03,11.9652,12.074,11.7771,11.8365,106373.0
2020-02-04,11.9454,11.9454,11.7771,11.8563,113683.0
2020-02-05,11.985,11.985,11.8464,11.8662,223702.0
2020-02-06,11.9553,11.9751,11.7771,11.8266,109999.0
2020-02-07,11.7771,11.8449,11.6287,11.7969,90153.0
2020-02-08,11.7771,11.8449,11.6287,11.7969,90153.0
2020-02-09,11.7771,11.8449,11.6287,11.7969,90153.0
2020-02-10,11.6782,11.6782,11.0943,11.1734,152863.0
2020-02-11,11.1734,11.5198,11.0745,11.4901,104953.0
2020-02-12,11.6386,11.8959,11.5396,11.8563,95835.0
2020-02-13,11.5594,11.7672,11.3516,11.5,68167.0
2020-02-14,11.4802,11.5297,11.3615,11.4307,67297.0
2020-02-15,11.4802,11.5297,11.3615,11.4307,67297.0
2020-02-16,11.4802,11.5297,11.3615,11.4307,67297.0
2020-02-17,11.4802,11.5297,11.3615,11.4307,67297.0
2020-02-18,11.2922,11.4802,11.1536,11.2031,69939.0
2020-02-19,11.1833,11.312,11.1042,11.2328,62519.0
2020-02-20,11.2031,11.4901,11.1932,11.2625,67378.0
2020-02-21,11.1833,11.2625,10.8864,11.1338,63958.0
2020-02-22,11.1833,11.2625,10.8864,11.1338,63958.0
2020-02-23,11.1833,11.2625,10.8864,11.1338,63958.0
2020-02-24,10.9656,10.9656,10.54,10.6588,123383.0
2020-02-25,10.5895,10.6786,10.0947,10.0947,116479.0
2020-02-26,10.1442,10.2134,9.8869,9.9165,100723.0
2020-02-27,9.6889,9.7601,8.719,9.2238,182870.0
2020-02-28,8.9566,9.2436,8.7722,9.1149,125722.0
2020-02-29,8.9566,9.2436,8.7722,9.1149,125722.0
2020-03-01,8.9566,9.2436,8.7722,9.1149,125722.0
2020-03-02,9.1842,9.3128,8.8279,9.3128,89648.0
2020-03-03,9.3623,9.3722,8.9467,9.0258,76462.0
2020-03-04,9.1446,9.2139,8.9763,9.0258,123450.0
2020-03-05,8.8279,8.8873,8.1747,8.2737,165126.0
2020-03-06,8.0263,8.0362,7.5215,7.5314,156023.0
2020-03-07,8.0263,8.0362,7.5215,7.5314,156023.0
2020-03-08,8.0263,8.0362,7.5215,7.5314,156023.0
2020-03-09,6.4329,6.8782,6.2894,6.4923,332389.0
2020-03-10,6.6803,8.0263,6.5417,7.9174,331512.0
2020-03-11,7.9174,7.9966,7.571,7.8184,261675.0
2020-03-12,7.0762,7.571,6.423,6.5714,132899.0
2020-03-13,6.6407,6.7694,6.3537,6.4824,152600.0
2020-03-14,6.6407,6.7694,6.3537,6.4824,152600.0
2020-03-15,6.6407,6.7694,6.3537,6.4824,152600.0
2020-03-16,5.4432,6.2745,5.2849,5.6411,150232.0
2020-03-17,5.8688,5.938,5.0275,5.077,184150.0
2020-03-18,4.7405,4.7405,3.8201,3.8399,225578.0
2020-03-19,3.8795,4.4535,3.8795,4.3051,326773.0
2020-03-20,4.5822,4.6119,4.0676,4.1863,318418.0
2020-03-21,4.5822,4.6119,4.0676,4.1863,318418.0
2020-03-22,4.5822,4.6119,4.0676,4.1863,318418.0
2020-03-23,4.1566,4.2457,3.7608,4.2061,271237.0
2020-03-24,4.4041,4.9484,4.2655,4.7306,166228.0
2020-03-25,4.6911,4.8205,4.2358,4.4931,96069.0
2020-03-26,4.503,5.2848,4.2952,4.9484,269302.0
2020-03-27,4.4832,4.9583,4.1566,4.8197,110423.0
2020-03-28,4.4832,4.9583,4.1566,4.8197,110423.0
2020-03-29,4.4832,4.9583,4.1566,4.8197,110423.0
2020-03-30,4.602,5.1364,4.5822,4.8197,152874.0
2020-03-31,4.9385,4.9385,4.3249,4.4139,186834.0
2020-04-01,4.4139,4.4535,4.1072,4.315,136734.0
2020-04-02,4.2952,4.3744,3.8993,4.0181,207927.0
2020-04-03,3.8201,4.315,3.8004,4.2457,218980.0
2020-04-04,3.8201,4.315,3.8004,4.2457,218980.0
2020-04-05,3.8201,4.315,3.8004,4.2457,218980.0
2020-04-06,4.3546,4.4931,4.2259,4.4238,96541.0
2020-04-07,4.5228,4.6911,4.2061,4.6416,162564.0
2020-04-08,4.6911,5.3541,4.6317,5.2354,180555.0
2020-04-09,5.3937,5.938,5.1859,5.463,173645.0
2020-04-10,5.3937,5.938,5.1859,5.463,173645.0
2020-04-11,5.3937,5.938,5.1859,5.463,173645.0
2020-04-12,5.3937,5.938,5.1859,5.463,173645.0
2020-04-13,5.2651,5.4531,4.7377,5.0968,118991.0
2020-04-14,5.1958,5.6115,5.0275,5.2453,134703.0
2020-04-15,5.1364,5.3146,4.7702,5.2453,103398.0
2020-04-16,5.0572,5.1364,4.8395,4.9286,81146.0
2020-04-17,5.0177,5.9084,4.9781,5.6906,162973.0
2020-04-18,5.0177,5.9084,4.9781,5.6906,162973.0
2020-04-19,5.0177,5.9084,4.9781,5.6906,162973.0
2020-04-20,5.364,5.6807,5.1463,5.6312,145783.0
2020-04-21,5.4432,6.2547,5.3541,6.2053,316092.0
2020-04-22,6.3636,6.6068,6.136,6.2943,417529.0
2020-04-23,6.2943,6.4527,5.7203,6.2251,229084.0
2020-04-24,6.1855,6.5912,5.9578,6.2745,177492.0
2020-04-25,6.1855,6.5912,5.9578,6.2745,177492.0
2020-04-26,6.1855,6.5912,5.9578,6.2745,177492.0
2020-04-27,6.235,6.5813,6.235,6.4626,79089.0
2020-04-28,6.5319,6.7793,6.1459,6.1558,76561.0
2020-04-29,6.0766,6.5319,5.9282,6.4131,193645.0
