,NPO US Equity,NPO US Equity,NPO US Equity,NPO US Equity,NPO US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,62.8793,63.9226,62.8793,63.4294,104536.0
2020-01-02,64.1122,64.245,63.05,64.226,107543.0
2020-01-03,63.0311,64.4157,62.9362,64.1502,94933.0
2020-01-04,63.0311,64.4157,62.9362,64.1502,94933.0
2020-01-05,63.0311,64.4157,62.9362,64.1502,94933.0
2020-01-06,63.4009,64.2687,63.1543,63.9984,64152.0
2020-01-07,63.638,64.2924,62.6612,63.4578,86053.0
2020-01-08,63.6191,64.1881,63.2682,63.3345,75673.0
2020-01-09,63.8372,64.7951,63.2018,64.2355,86942.0
2020-01-10,64.2355,64.2355,62.6517,62.9552,65198.0
2020-01-11,64.2355,64.2355,62.6517,62.9552,65198.0
2020-01-12,64.2355,64.2355,62.6517,62.9552,65198.0
2020-01-13,63.088,64.3968,63.0026,64.264,63811.0
2020-01-14,64.0838,64.482,63.0405,63.1543,94623.0
2020-01-15,63.0121,63.6475,62.1585,62.6707,79985.0
2020-01-16,63.3345,64.0458,63.0358,63.7518,58085.0
2020-01-17,64.1312,64.4631,63.2397,63.6001,56152.0
2020-01-18,64.1312,64.4631,63.2397,63.6001,56152.0
2020-01-19,64.1312,64.4631,63.2397,63.6001,56152.0
2020-01-20,64.1312,64.4631,63.2397,63.6001,56152.0
2020-01-21,63.0595,63.4199,61.7593,61.9404,77172.0
2020-01-22,62.0352,62.2723,60.7549,61.6464,67748.0
2020-01-23,61.4377,61.9878,60.1479,61.7412,150995.0
2020-01-24,62.0637,62.187,59.7021,59.9582,98093.0
2020-01-25,62.0637,62.187,59.7021,59.9582,98093.0
2020-01-26,62.0637,62.187,59.7021,59.9582,98093.0
2020-01-27,58.4503,59.484,58.3934,59.0003,88641.0
2020-01-28,59.522,59.522,58.7869,59.0477,46929.0
2020-01-29,59.1236,59.3038,57.2837,57.4165,72344.0
2020-01-30,56.7526,57.5113,56.2594,57.3975,75855.0
2020-01-31,56.9233,56.9233,55.3395,55.4248,97014.0
2020-02-01,56.9233,56.9233,55.3395,55.4248,97014.0
2020-02-02,56.9233,56.9233,55.3395,55.4248,97014.0
2020-02-03,55.8042,56.1788,54.2583,54.429,141817.0
2020-02-04,55.643,56.3875,55.0928,56.0887,210299.0
2020-02-05,57.1794,58.5925,56.4871,58.3933,83413.0
2020-02-06,58.7443,58.7443,56.4017,56.7526,64530.0
2020-02-07,55.9559,56.4159,55.1593,55.7663,102709.0
2020-02-08,55.9559,56.4159,55.1593,55.7663,102709.0
2020-02-09,55.9559,56.4159,55.1593,55.7663,102709.0
2020-02-10,55.5197,55.8801,55.2446,55.7568,72847.0
2020-02-11,56.3258,57.0561,56.1322,56.3638,48331.0
2020-02-12,56.9992,56.9992,56.0887,56.4965,56062.0
2020-02-13,56.1646,56.6862,55.6714,56.525,40455.0
2020-02-14,56.6388,56.6388,55.6619,56.0034,49291.0
2020-02-15,56.6388,56.6388,55.6619,56.0034,49291.0
2020-02-16,56.6388,56.6388,55.6619,56.0034,49291.0
2020-02-17,56.6388,56.6388,55.6619,56.0034,49291.0
2020-02-18,55.6335,56.2215,55.1213,55.9844,63913.0
2020-02-19,56.2025,56.2025,55.2541,55.9654,95539.0
2020-02-20,55.7094,57.6631,55.7094,57.5303,69560.0
2020-02-21,57.4924,57.9286,56.525,57.3975,88026.0
2020-02-22,57.4924,57.9286,56.525,57.3975,88026.0
2020-02-23,57.4924,57.9286,56.525,57.3975,88026.0
2020-02-24,54.9886,55.7283,54.1729,55.1877,99767.0
2020-02-25,62.737,63.5053,56.7811,57.113,172655.0
2020-02-26,57.7864,57.8907,53.7746,53.7746,213324.0
2020-02-27,52.0201,54.0212,51.0053,51.0053,133603.0
2020-02-28,49.4878,51.2519,48.5015,51.1665,169925.0
2020-02-29,49.4878,51.2519,48.5015,51.1665,169925.0
2020-03-01,49.4878,51.2519,48.5015,51.1665,169925.0
2020-03-02,51.3088,53.0728,50.2181,53.0443,102317.0
2020-03-03,53.092,53.9496,49.5475,49.7571,129085.0
2020-03-04,50.6527,51.8962,49.6427,51.577,75774.0
2020-03-05,50.0906,50.3383,47.556,48.0515,114157.0
2020-03-06,46.1935,48.6708,46.1935,47.9943,95513.0
2020-03-07,46.1935,48.6708,46.1935,47.9943,95513.0
2020-03-08,46.1935,48.6708,46.1935,47.9943,95513.0
2020-03-09,43.8304,44.8404,43.1349,44.0782,124936.0
2020-03-10,45.9076,47.1225,44.8023,46.9462,137669.0
2020-03-11,45.3454,45.3454,42.8585,43.697,127425.0
2020-03-12,38.4564,40.8004,38.0277,38.5994,161382.0
2020-03-13,41.0005,44.9071,38.3135,44.9071,174954.0
2020-03-14,41.0005,44.9071,38.3135,44.9071,174954.0
2020-03-15,41.0005,44.9071,38.3135,44.9071,174954.0
2020-03-16,40.4479,45.0882,37.1606,37.7037,179543.0
2020-03-17,38.3707,39.3998,35.8076,39.3902,218303.0
2020-03-18,36.7128,37.8086,31.0148,31.0434,122872.0
2020-03-19,30.4907,32.8824,28.6232,30.5193,191407.0
2020-03-20,30.8433,32.2821,29.4521,29.738,268819.0
2020-03-21,30.8433,32.2821,29.4521,29.738,268819.0
2020-03-22,30.8433,32.2821,29.4521,29.738,268819.0
2020-03-23,29.919,31.7485,28.8519,31.2435,126481.0
2020-03-24,33.1682,36.122,32.2916,35.9505,202221.0
2020-03-25,36.0648,37.3416,34.5593,35.0262,224862.0
2020-03-26,35.5312,40.4002,34.8261,40.3621,185607.0
2020-03-27,38.3516,39.3045,36.2078,36.4555,178153.0
2020-03-28,38.3516,39.3045,36.2078,36.4555,178153.0
2020-03-29,38.3516,39.3045,36.2078,36.4555,178153.0
2020-03-30,36.3793,39.2378,35.617,39.0472,103707.0
2020-03-31,38.7137,39.5998,36.5317,37.7132,148817.0
2020-04-01,35.9219,37.3607,35.2549,36.8843,133699.0
2020-04-02,35.9219,39.1806,35.293,36.7128,117869.0
2020-04-03,36.0077,36.3602,32.5298,34.5879,137970.0
2020-04-04,36.0077,36.3602,32.5298,34.5879,137970.0
2020-04-05,36.0077,36.3602,32.5298,34.5879,137970.0
2020-04-06,36.2078,39.0234,36.2078,38.9519,114882.0
2020-04-07,40.648,41.8962,37.8371,38.3612,126081.0
2020-04-08,39.2759,39.8762,37.6322,39.4188,91718.0
2020-04-09,40.7433,41.5055,39.6951,41.0482,114626.0
2020-04-10,40.7433,41.5055,39.6951,41.0482,114626.0
2020-04-11,40.7433,41.5055,39.6951,41.0482,114626.0
2020-04-12,40.7433,41.5055,39.6951,41.0482,114626.0
2020-04-13,40.5527,40.7433,38.0372,38.7899,69848.0
2020-04-14,39.8476,40.0096,38.7232,39.6094,113083.0
2020-04-15,38.2087,38.6756,35.5027,36.8366,117702.0
2020-04-16,37.0177,37.5084,35.1882,36.2173,105575.0
2020-04-17,36.8843,38.7852,36.8843,38.3612,147497.0
2020-04-18,36.8843,38.7852,36.8843,38.3612,147497.0
2020-04-19,36.8843,38.7852,36.8843,38.3612,147497.0
2020-04-20,37.1129,38.5184,36.2649,37.6275,96500.0
2020-04-21,36.2078,37.2368,35.7027,37.0367,85741.0
2020-04-22,37.8752,37.9181,37.051,37.5703,76853.0
2020-04-23,37.6179,39.1425,37.6179,37.8752,75617.0
2020-04-24,38.142,39.3616,37.9229,39.0472,113884.0
2020-04-25,38.142,39.3616,37.9229,39.0472,113884.0
2020-04-26,38.142,39.3616,37.9229,39.0472,113884.0
2020-04-27,39.3998,42.1344,39.3998,41.7342,111341.0
2020-04-28,43.3064,44.8881,42.9919,43.2206,171927.0
2020-04-29,44.7547,47.1558,44.0019,45.4979,179951.0
2020-04-30,44.1449,44.1449,42.5851,43.2111,150786.0
2020-05-01,42.4012,42.8776,40.2764,41.8104,125106.0
2020-05-02,42.4012,42.8776,40.2764,41.8104,125106.0
2020-05-03,42.4012,42.8776,40.2764,41.8104,125106.0
2020-05-04,41.0386,42.0963,40.2192,42.0963,131754.0
2020-05-05,46.2697,46.6794,40.3907,40.5146,162434.0
2020-05-06,41.4198,42.2583,39.1711,40.1144,119339.0
2020-05-07,41.01,41.1149,39.5141,41.0196,195029.0
2020-05-08,42.1725,43.3826,41.7723,43.335,112013.0
2020-05-09,42.1725,43.3826,41.7723,43.335,112013.0
2020-05-10,42.1725,43.3826,41.7723,43.335,112013.0
2020-05-11,42.344,42.4917,41.4769,41.4769,116436.0
2020-05-12,41.4769,41.4769,38.8852,38.8852,147288.0
2020-05-13,38.5422,38.5613,36.9033,37.6465,123208.0
2020-05-14,36.8176,38.7232,35.7599,38.4564,136124.0
