,TPR US Equity,TPR US Equity,TPR US Equity,TPR US Equity,TPR US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,29.1384,29.3363,28.6694,29.0437,2650570.0
2019-01-02,28.5876,29.758,28.1659,29.6117,3352426.0
2019-01-03,29.3191,29.3535,28.209,28.4155,3419840.0
2019-01-04,28.8028,29.6805,28.7167,29.4912,4259075.0
2019-01-05,28.8028,29.6805,28.7167,29.4912,4259075.0
2019-01-06,28.8028,29.6805,28.7167,29.4912,4259075.0
2019-01-07,29.5859,30.4464,29.2933,29.7838,3025014.0
2019-01-08,30.2485,30.8681,30.1022,30.4808,3614211.0
2019-01-09,30.782,31.9352,30.3345,31.8405,5831059.0
2019-01-10,30.7132,31.3973,30.6486,31.0746,4433366.0
2019-01-11,31.2984,31.7932,30.9068,31.2812,2428844.0
2019-01-12,31.2984,31.7932,30.9068,31.2812,2428844.0
2019-01-13,31.2984,31.7932,30.9068,31.2812,2428844.0
2019-01-14,30.9886,31.4016,30.6702,31.1004,2914049.0
2019-01-15,31.2898,31.3586,30.5798,30.8939,2532209.0
2019-01-16,30.7734,30.9628,30.0118,30.3776,3314805.0
2019-01-17,30.2915,31.2855,30.2915,31.0832,2800699.0
2019-01-18,31.4361,32.0729,31.2984,31.9094,3154772.0
2019-01-19,31.4361,32.0729,31.2984,31.9094,3154772.0
2019-01-20,31.4361,32.0729,31.2984,31.9094,3154772.0
2019-01-21,31.4361,32.0729,31.2984,31.9094,3154772.0
2019-01-22,31.8405,31.8405,30.9886,31.2812,2520129.0
2019-01-23,31.4963,31.6254,31.0832,31.4188,3010907.0
2019-01-24,31.1521,31.2898,30.7519,31.0832,4143293.0
2019-01-25,31.6684,32.5247,31.6684,32.2708,3583580.0
2019-01-26,31.6684,32.5247,31.6684,32.2708,3583580.0
2019-01-27,31.6684,32.5247,31.6684,32.2708,3583580.0
2019-01-28,32.004,32.6666,31.8491,32.5978,3056242.0
2019-01-29,32.4945,33.0883,32.2192,32.5204,4155434.0
2019-01-30,32.9248,33.0281,32.1417,33.0281,4211962.0
2019-01-31,33.0281,33.4498,32.6925,33.3121,3912338.0
2019-02-01,33.3035,33.5616,33.14,33.2432,3583422.0
2019-02-02,33.3035,33.5616,33.14,33.2432,3583422.0
2019-02-03,33.3035,33.5616,33.14,33.2432,3583422.0
2019-02-04,32.9937,33.2346,32.8129,33.1141,3184139.0
2019-02-05,33.467,33.6907,33.1572,33.3379,3116953.0
2019-02-06,33.8456,34.1038,33.2862,33.8284,4566209.0
2019-02-07,29.0179,29.4138,27.4603,28.8114,23453472.0
2019-02-08,28.8114,29.7537,28.7855,29.1384,9726200.0
2019-02-09,28.8114,29.7537,28.7855,29.1384,9726200.0
2019-02-10,28.8114,29.7537,28.7855,29.1384,9726200.0
2019-02-11,29.3449,30.1615,29.2416,29.8182,4569538.0
2019-02-12,30.0936,30.4981,29.8957,30.4206,6239197.0
2019-02-13,30.5411,30.6013,30.085,30.2055,4891865.0
2019-02-14,29.801,30.2829,29.3793,30.2485,4712844.0
2019-02-15,30.5497,31.1822,30.3432,30.9025,5092354.0
2019-02-16,30.5497,31.1822,30.3432,30.9025,5092354.0
2019-02-17,30.5497,31.1822,30.3432,30.9025,5092354.0
2019-02-18,30.5497,31.1822,30.3432,30.9025,5092354.0
2019-02-19,30.8939,30.8939,30.3173,30.5755,3278351.0
2019-02-20,30.8165,30.8165,30.0678,30.1108,4463650.0
2019-02-21,30.0161,30.369,29.9049,29.9731,3839532.0
2019-02-22,30.128,30.5841,30.1194,30.5153,2457648.0
2019-02-23,30.128,30.5841,30.1194,30.5153,2457648.0
2019-02-24,30.128,30.5841,30.1194,30.5153,2457648.0
2019-02-25,30.7476,31.2037,30.6443,31.1176,3767622.0
2019-02-26,31.3242,31.4533,30.6616,30.6874,2786741.0
2019-02-27,30.3948,30.739,30.3259,30.5067,2063840.0
2019-02-28,30.6013,30.6013,30.042,30.0678,2929387.0
2019-03-01,30.6185,30.7218,29.9387,30.4292,2748450.0
2019-03-02,30.6185,30.7218,29.9387,30.4292,2748450.0
2019-03-03,30.6185,30.7218,29.9387,30.4292,2748450.0
2019-03-04,30.3001,30.5755,29.6031,29.7752,2947074.0
2019-03-05,29.9817,30.2743,29.7494,29.7838,2873190.0
2019-03-06,30.0161,30.0592,29.6461,29.7063,2322116.0
2019-03-07,29.8867,29.8867,29.2436,29.7042,4275605.0
2019-03-08,29.2957,29.4261,28.9307,29.148,3279036.0
2019-03-09,29.2957,29.4261,28.9307,29.148,3279036.0
2019-03-10,29.2957,29.4261,28.9307,29.148,3279036.0
2019-03-11,29.2436,29.5782,29.0698,29.4261,2910843.0
2019-03-12,29.4956,29.626,29.0611,29.3565,2244906.0
2019-03-13,29.3652,29.8736,29.2827,29.4261,2569764.0
2019-03-14,29.4087,29.4261,28.6787,28.7656,4871821.0
2019-03-15,28.7917,28.8177,27.9574,27.9834,9722114.0
2019-03-16,28.7917,28.8177,27.9574,27.9834,9722114.0
2019-03-17,28.7917,28.8177,27.9574,27.9834,9722114.0
2019-03-18,28.1051,28.6787,28.0356,28.6265,4258834.0
2019-03-19,28.7569,29.1349,28.5005,28.6179,3494946.0
2019-03-20,28.557,28.557,27.5489,27.6793,7136485.0
2019-03-21,27.7227,27.9565,27.4446,27.7662,4624021.0
2019-03-22,27.4099,27.6271,26.8624,26.8798,4594663.0
2019-03-23,27.4099,27.6271,26.8624,26.8798,4594663.0
2019-03-24,27.4099,27.6271,26.8624,26.8798,4594663.0
2019-03-25,26.8711,27.6358,26.6712,27.4359,4300693.0
2019-03-26,27.5489,28.053,27.5489,27.7662,2889897.0
2019-03-27,27.9052,28.3311,27.8965,28.2268,3430203.0
2019-03-28,28.6092,28.8351,28.2789,28.4267,3961149.0
2019-03-29,28.6352,28.7569,28.1051,28.2355,3836563.0
2019-03-30,28.6352,28.7569,28.1051,28.2355,3836563.0
2019-03-31,28.6352,28.7569,28.1051,28.2355,3836563.0
2019-04-01,28.418,29.1219,28.3919,29.0176,3683962.0
2019-04-02,29.1654,29.2262,28.8438,28.8873,2810768.0
2019-04-03,29.1219,29.5043,29.035,29.4521,3666898.0
2019-04-04,29.4608,29.9475,29.3652,29.9388,2308619.0
2019-04-05,30.0344,30.1821,29.6564,29.765,3066989.0
2019-04-06,30.0344,30.1821,29.6564,29.765,3066989.0
2019-04-07,30.0344,30.1821,29.6564,29.765,3066989.0
2019-04-08,29.6433,29.6781,29.261,29.3826,2725106.0
2019-04-09,29.1219,29.1654,28.6787,29.1654,3787883.0
2019-04-10,29.1654,29.3392,28.7221,29.035,3682857.0
2019-04-11,29.2001,29.3826,28.5223,28.5918,4033278.0
2019-04-12,28.783,28.9742,28.1399,28.305,4185650.0
2019-04-13,28.783,28.9742,28.1399,28.305,4185650.0
2019-04-14,28.783,28.9742,28.1399,28.305,4185650.0
2019-04-15,28.3832,28.4701,27.9226,28.0704,3388094.0
2019-04-16,27.9921,28.1225,27.7401,28.0356,4098176.0
2019-04-17,28.2876,28.8525,28.0008,28.0704,5136901.0
2019-04-18,28.0617,28.4093,27.8792,28.2876,3086964.0
2019-04-19,28.0617,28.4093,27.8792,28.2876,3086964.0
2019-04-20,28.0617,28.4093,27.8792,28.2876,3086964.0
2019-04-21,28.0617,28.4093,27.8792,28.2876,3086964.0
2019-04-22,28.1659,28.2876,26.5669,26.6799,5799583.0
2019-04-23,26.593,26.9145,26.115,26.8015,9500106.0
2019-04-24,26.8015,27.7314,26.7885,27.4012,6854923.0
2019-04-25,27.3751,27.3751,26.7016,26.7668,4741025.0
2019-04-26,26.9667,27.5837,26.8276,27.5055,4016593.0
2019-04-27,26.9667,27.5837,26.8276,27.5055,4016593.0
2019-04-28,26.9667,27.5837,26.8276,27.5055,4016593.0
2019-04-29,27.4273,28.1138,27.4273,28.0964,4843072.0
2019-04-30,27.8444,28.0617,27.5055,28.0443,4366667.0
2019-05-01,28.1225,28.2702,26.9145,26.958,5216964.0
2019-05-02,27.0623,27.4533,26.7928,27.2795,5692176.0
2019-05-03,27.4707,27.7054,27.0275,27.1144,6443047.0
2019-05-04,27.4707,27.7054,27.0275,27.1144,6443047.0
2019-05-05,27.4707,27.7054,27.0275,27.1144,6443047.0
2019-05-06,26.4713,27.5098,26.3757,27.3925,5566123.0
2019-05-07,27.1318,27.3317,26.5148,26.6973,6211834.0
2019-05-08,26.5756,27.1926,26.5061,26.7233,6156399.0
2019-05-09,31.338,31.338,28.6179,28.9915,20422858.0
2019-05-10,28.7221,28.9481,27.2448,28.0269,8356549.0
2019-05-11,28.7221,28.9481,27.2448,28.0269,8356549.0
2019-05-12,28.7221,28.9481,27.2448,28.0269,8356549.0
2019-05-13,27.2795,27.3143,26.0628,26.2627,6769626.0
2019-05-14,26.4887,26.9015,25.9151,26.7494,5466422.0
2019-05-15,26.5408,27.2795,26.2888,27.0101,6206158.0
2019-05-16,27.1665,27.6228,27.1231,27.2361,4150496.0
2019-05-17,27.0101,27.1752,26.6538,26.7494,4654192.0
2019-05-18,27.0101,27.1752,26.6538,26.7494,4654192.0
2019-05-19,27.0101,27.1752,26.6538,26.7494,4654192.0
2019-05-20,26.48,26.7668,26.3583,26.6973,4181531.0
2019-05-21,26.9058,27.3186,26.7755,27.2708,4239111.0
2019-05-22,27.0275,27.0362,26.5556,26.8189,4009490.0
2019-05-23,26.5148,26.6712,26.0759,26.2714,4253570.0
2019-05-24,26.5148,26.5321,25.5805,25.8195,5984346.0
2019-05-25,26.5148,26.5321,25.5805,25.8195,5984346.0
2019-05-26,26.5148,26.5321,25.5805,25.8195,5984346.0
2019-05-27,26.5148,26.5321,25.5805,25.8195,5984346.0
2019-05-28,25.8977,26.1498,25.5501,25.5501,9148450.0
2019-05-29,25.1417,25.6196,24.8809,25.2025,4588038.0
2019-05-30,25.1156,25.2025,24.6202,24.6463,5787568.0
2019-05-31,24.3682,24.9592,24.2726,24.8201,4355099.0
2019-06-01,24.3682,24.9592,24.2726,24.8201,4355099.0
2019-06-02,24.3682,24.9592,24.2726,24.8201,4355099.0
2019-06-03,24.8027,25.272,24.6984,25.0461,4469732.0
2019-06-04,25.4197,26.2845,25.4024,26.115,4840632.0
2019-06-05,26.4887,26.606,25.7065,26.2193,5328466.0
2019-06-06,26.1907,26.2478,25.5285,26.0237,3323515.0
2019-06-07,26.1116,26.6214,25.9095,26.5862,3214990.0
2019-06-08,26.1116,26.6214,25.9095,26.5862,3214990.0
2019-06-09,26.1116,26.6214,25.9095,26.5862,3214990.0
2019-06-10,26.7796,27.052,26.305,26.3401,3625380.0
2019-06-11,26.6829,26.7532,26.0765,26.1204,3752476.0
2019-06-12,26.2347,26.305,25.3382,25.3382,7146380.0
2019-06-13,25.5843,26.3138,25.4349,26.3138,3018972.0
2019-06-14,26.2083,26.2698,25.7073,25.9622,3581467.0
2019-06-15,26.2083,26.2698,25.7073,25.9622,3581467.0
2019-06-16,26.2083,26.2698,25.7073,25.9622,3581467.0
2019-06-17,25.8831,26.3929,25.7425,26.0677,2662705.0
2019-06-18,26.2786,27.1751,26.2786,26.639,4011291.0
2019-06-19,26.6302,26.8938,26.3929,26.7884,3110728.0
2019-06-20,27.0608,27.1575,26.7444,27.1399,3452963.0
2019-06-21,27.2014,27.553,26.885,27.5354,5174738.0
2019-06-22,27.2014,27.553,26.885,27.5354,5174738.0
2019-06-23,27.2014,27.553,26.885,27.5354,5174738.0
2019-06-24,27.4036,27.7947,27.219,27.5969,4444920.0
2019-06-25,27.3684,27.4124,26.4632,26.5423,6473360.0
2019-06-26,26.6741,27.2761,26.6741,27.052,3473392.0
2019-06-27,27.5354,27.8606,27.0169,27.2805,4493041.0
2019-06-28,27.553,27.9485,27.1926,27.887,5114021.0
2019-06-29,27.553,27.9485,27.1926,27.887,5114021.0
2019-06-30,27.553,27.9485,27.1926,27.887,5114021.0
2019-07-01,28.3791,28.511,27.3948,27.509,4976549.0
2019-07-02,27.5442,27.5618,26.5483,26.6653,3581752.0
2019-07-03,26.8587,26.929,26.3489,26.7005,1887328.0
2019-07-04,26.8587,26.929,26.3489,26.7005,1887328.0
2019-07-05,26.5686,26.7005,26.2522,26.5774,3478432.0
2019-07-06,26.5686,26.7005,26.2522,26.5774,3478432.0
2019-07-07,26.5686,26.7005,26.2522,26.5774,3478432.0
2019-07-08,26.5686,26.7172,26.305,26.595,4733522.0
2019-07-09,26.4104,26.4104,25.9358,26.0501,4061038.0
2019-07-10,26.0677,26.1731,25.2591,25.3646,4785364.0
2019-07-11,25.4876,26.2083,25.3778,26.1204,3651648.0
2019-07-12,26.2786,26.9553,26.1995,26.6653,2658918.0
2019-07-13,26.2786,26.9553,26.1995,26.6653,2658918.0
2019-07-14,26.2786,26.9553,26.1995,26.6653,2658918.0
2019-07-15,26.6917,27.0564,26.6917,27.0257,2748398.0
2019-07-16,27.0608,27.5442,26.9729,27.4212,3080854.0
2019-07-17,27.263,27.263,26.5423,26.6038,2700693.0
2019-07-18,26.5774,26.8499,26.3665,26.7181,2131212.0
2019-07-19,26.8675,27.0696,26.6126,26.6302,2258515.0
2019-07-20,26.8675,27.0696,26.6126,26.6302,2258515.0
2019-07-21,26.8675,27.0696,26.6126,26.6302,2258515.0
2019-07-22,26.7181,26.8763,25.7287,25.8304,3822276.0
2019-07-23,26.0149,26.4808,25.9183,26.4017,3228651.0
2019-07-24,26.6126,27.1135,26.4104,27.0696,3232979.0
2019-07-25,26.885,27.219,26.8587,27.0872,3322440.0
2019-07-26,27.1926,27.1926,26.6302,26.9114,2694825.0
2019-07-27,27.1926,27.1926,26.6302,26.9114,2694825.0
2019-07-28,27.1926,27.1926,26.6302,26.9114,2694825.0
2019-07-29,26.762,26.9817,26.3138,26.9026,3274618.0
2019-07-30,26.8147,27.052,26.1995,26.9466,2891845.0
2019-07-31,26.8323,27.2849,26.5115,27.1839,5031729.0
2019-08-01,27.1399,27.197,25.5403,25.7249,4887101.0
2019-08-02,25.6898,26.3313,25.637,26.1468,4254977.0
2019-08-03,25.6898,26.3313,25.637,26.1468,4254977.0
2019-08-04,25.6898,26.3313,25.637,26.1468,4254977.0
2019-08-05,25.4788,25.4788,24.3011,24.4681,4657214.0
2019-08-06,24.5999,24.7845,24.1869,24.5033,3424400.0
2019-08-07,24.1429,24.8372,23.9408,24.7669,3092342.0
2019-08-08,24.7669,25.1361,24.679,25.0218,2418728.0
2019-08-09,24.9076,24.9076,24.0023,24.0726,2731700.0
2019-08-10,24.9076,24.9076,24.0023,24.0726,2731700.0
2019-08-11,24.9076,24.9076,24.0023,24.0726,2731700.0
2019-08-12,23.5541,24.1034,22.8378,23.0707,4151350.0
2019-08-13,23.2465,24.2923,22.7631,23.475,4585091.0
2019-08-14,22.7455,22.7455,21.7524,21.9721,6490579.0
2019-08-15,19.2475,19.5639,16.2906,17.0943,26321962.0
2019-08-16,16.5274,17.8501,16.5274,17.5425,13902897.0
2019-08-17,16.5274,17.8501,16.5274,17.5425,13902897.0
2019-08-18,16.5274,17.8501,16.5274,17.5425,13902897.0
2019-08-19,17.8677,18.5972,17.6656,18.4302,10607282.0
2019-08-20,18.3247,18.5313,17.982,18.4917,6774068.0
2019-08-21,18.7642,19.1509,18.7391,19.1157,7477744.0
2019-08-22,19.2036,19.3354,18.3247,18.7026,5733383.0
2019-08-23,18.5093,18.6938,17.7974,17.8501,7300649.0
2019-08-24,18.5093,18.6938,17.7974,17.8501,7300649.0
