,UTL US Equity,UTL US Equity,UTL US Equity,UTL US Equity,UTL US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,53.6298,54.1012,53.4115,53.9703,114828.0
2020-01-02,54.2671,54.2933,52.7915,53.0973,52395.0
2020-01-03,52.9488,53.7695,52.8601,53.4465,76346.0
2020-01-04,52.9488,53.7695,52.8601,53.4465,76346.0
2020-01-05,52.9488,53.7695,52.8601,53.4465,76346.0
2020-01-06,53.3592,53.6254,53.0798,53.2544,57635.0
2020-01-07,53.0361,53.1322,52.4425,53.0798,66894.0
2020-01-08,53.0187,53.1671,52.7044,52.8877,99858.0
2020-01-09,52.783,53.2282,52.7393,52.9139,100298.0
2020-01-10,52.9663,53.525,52.879,53.5076,82677.0
2020-01-11,52.9663,53.525,52.879,53.5076,82677.0
2020-01-12,52.9663,53.525,52.879,53.5076,82677.0
2020-01-13,53.3941,54.2235,53.3941,54.1012,40770.0
2020-01-14,53.7433,54.075,53.1584,53.4552,53618.0
2020-01-15,53.3941,54.4373,53.3941,54.206,53285.0
2020-01-16,54.1973,55.2274,54.0401,55.1052,65222.0
2020-01-17,55.2362,55.3322,54.4854,55.0179,47458.0
2020-01-18,55.2362,55.3322,54.4854,55.0179,47458.0
2020-01-19,55.2362,55.3322,54.4854,55.0179,47458.0
2020-01-20,55.2362,55.3322,54.4854,55.0179,47458.0
2020-01-21,55.0179,55.2274,54.6512,55.1314,38783.0
2020-01-22,55.0965,55.4893,55.0354,55.2362,51998.0
2020-01-23,55.0877,55.8516,55.0877,55.6989,83106.0
2020-01-24,55.6465,56.523,55.6465,55.9171,48850.0
2020-01-25,55.6465,56.523,55.6465,55.9171,48850.0
2020-01-26,55.6465,56.523,55.6465,55.9171,48850.0
2020-01-27,55.8822,56.1266,55.6203,55.6727,38065.0
2020-01-28,55.7687,56.1266,55.2754,55.7949,42505.0
2020-01-29,55.7251,55.7774,55.079,55.2711,36490.0
2020-01-30,54.7211,56.4322,54.4417,55.7862,56322.0
2020-01-31,55.6989,56.0917,53.8044,53.8568,60588.0
2020-02-01,55.6989,56.0917,53.8044,53.8568,60588.0
2020-02-02,55.6989,56.0917,53.8044,53.8568,60588.0
2020-02-03,53.8219,53.8219,52.9401,53.4901,52569.0
2020-02-04,53.4203,54.0314,53.3854,53.8568,62714.0
