,PARA US Equity,PARA US Equity,PARA US Equity,PARA US Equity,PARA US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,37.815,37.8911,37.0025,37.7891,3278857.0
2019-01-02,37.7027,39.5438,37.4606,39.4659,4704618.0
2019-01-03,39.1807,40.3562,39.0078,39.8722,5106621.0
2019-01-04,40.2784,40.9267,39.9067,40.7711,3917680.0
2019-01-05,40.2784,40.9267,39.9067,40.7711,3917680.0
2019-01-06,40.2784,40.9267,39.9067,40.7711,3917680.0
2019-01-07,40.7365,41.7305,40.5118,41.2032,3413800.0
2019-01-08,41.4971,42.0633,40.8376,41.8083,3219865.0
2019-01-09,41.8947,41.912,41.2292,41.3156,3239601.0
2019-01-10,41.1687,41.575,40.797,41.3588,3106077.0
2019-01-11,41.3502,41.7651,41.1168,41.4626,2636051.0
2019-01-12,41.3502,41.7651,41.1168,41.4626,2636051.0
2019-01-13,41.3502,41.7651,41.1168,41.4626,2636051.0
2019-01-14,41.2378,41.8083,41.0045,41.428,1998261.0
2019-01-15,41.3848,41.7305,41.1773,41.3156,2360883.0
2019-01-16,41.3761,41.6894,41.1168,41.3243,4400566.0
2019-01-17,42.1108,42.4652,41.6614,42.154,6261571.0
2019-01-18,42.3788,42.9838,42.2318,42.5603,3277307.0
2019-01-19,42.3788,42.9838,42.2318,42.5603,3277307.0
2019-01-20,42.3788,42.9838,42.2318,42.5603,3277307.0
2019-01-21,42.3788,42.9838,42.2318,42.5603,3277307.0
2019-01-22,42.4393,42.543,41.6959,41.8861,3263490.0
2019-01-23,42.1454,42.7245,41.6095,41.8774,2437264.0
2019-01-24,41.8861,42.4306,41.7305,42.3355,2220063.0
2019-01-25,42.6121,42.785,42.2577,42.4998,1735274.0
2019-01-26,42.6121,42.785,42.2577,42.4998,1735274.0
2019-01-27,42.6121,42.785,42.2577,42.4998,1735274.0
2019-01-28,42.3096,43.511,42.1108,43.2604,3265748.0
2019-01-29,43.1221,43.7401,42.8369,43.5283,2226615.0
2019-01-30,43.4765,43.7703,42.033,42.785,2261156.0
2019-01-31,42.6294,43.1912,42.5689,42.7504,2831039.0
2019-02-01,42.9492,43.027,42.3615,42.9319,1902344.0
2019-02-02,42.9492,43.027,42.3615,42.9319,1902344.0
2019-02-03,42.9492,43.027,42.3615,42.9319,1902344.0
2019-02-04,42.8455,43.0357,42.5732,42.7936,1594325.0
2019-02-05,42.8196,43.2085,42.6597,43.0529,2385140.0
2019-02-06,43.1653,43.3814,42.8628,43.027,1771165.0
2019-02-07,42.8023,42.8541,41.9466,42.4825,1483077.0
2019-02-08,42.3269,42.8369,42.0417,42.8369,1781687.0
2019-02-09,42.3269,42.8369,42.0417,42.8369,1781687.0
2019-02-10,42.3269,42.8369,42.0417,42.8369,1781687.0
2019-02-11,42.5084,42.8801,41.4409,41.5663,2586085.0
2019-02-12,41.7564,42.1454,41.6008,41.8169,3191849.0
2019-02-13,42.0417,42.1713,41.6527,41.8602,3068404.0
2019-02-14,41.7737,42.8936,41.6181,42.4393,4485569.0
2019-02-15,42.0071,44.142,41.8861,43.7703,6830871.0
2019-02-16,42.0071,44.142,41.8861,43.7703,6830871.0
2019-02-17,42.0071,44.142,41.8861,43.7703,6830871.0
2019-02-18,42.0071,44.142,41.8861,43.7703,6830871.0
2019-02-19,43.7358,43.9259,43.4678,43.7098,4189907.0
2019-02-20,43.658,44.626,43.6061,44.2544,4281082.0
2019-02-21,44.2544,44.263,43.6839,44.0124,1901540.0
2019-02-22,44.0729,44.6822,43.7323,44.6779,3410480.0
2019-02-23,44.0729,44.6822,43.7323,44.6779,3410480.0
2019-02-24,44.0729,44.6822,43.7323,44.6779,3410480.0
2019-02-25,44.894,44.894,43.6839,43.7185,2584592.0
2019-02-26,43.6493,43.779,43.1912,43.6234,2121184.0
2019-02-27,43.3814,43.4592,42.7418,42.8887,2439160.0
2019-02-28,43.0011,43.5716,42.5084,43.3987,2865901.0
2019-03-01,43.7358,44.021,43.5456,43.9,2426075.0
2019-03-02,43.7358,44.021,43.5456,43.9,2426075.0
2019-03-03,43.7358,44.021,43.5456,43.9,2426075.0
2019-03-04,44.1507,44.2371,42.9492,43.3122,2029449.0
2019-03-05,43.1653,43.416,43.0011,43.39,2081790.0
2019-03-06,43.4592,43.5802,42.9492,43.2345,2226059.0
2019-03-07,43.2431,43.2431,42.154,42.4738,2499662.0
2019-03-08,42.1529,42.5346,41.9446,42.5172,1856363.0
2019-03-09,42.1529,42.5346,41.9446,42.5172,1856363.0
2019-03-10,42.1529,42.5346,41.9446,42.5172,1856363.0
2019-03-11,42.6213,42.63,42.1442,42.5779,3113224.0
2019-03-12,42.7948,43.0551,42.6647,42.8902,1964936.0
2019-03-13,42.9076,43.2806,41.8926,42.2483,3821306.0
2019-03-14,42.5259,42.604,41.6107,41.8492,5885838.0
2019-03-15,41.7364,41.8926,41.3461,41.3808,6755151.0
2019-03-16,41.7364,41.8926,41.3461,41.3808,6755151.0
2019-03-17,41.7364,41.8926,41.3461,41.3808,6755151.0
2019-03-18,41.4241,41.5021,40.973,41.3287,3620597.0
2019-03-19,41.3374,41.7105,40.8906,40.9643,1989969.0
2019-03-20,40.7735,40.947,39.8713,40.0448,5196574.0
