,OEC US Equity,OEC US Equity,OEC US Equity,OEC US Equity,OEC US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,23.2028,23.6994,23.0997,23.6901,321926.0
2019-01-02,23.334,24.1305,23.1466,23.915,322652.0
2019-01-03,23.7369,23.8634,23.1747,23.4371,232048.0
2019-01-04,23.8025,24.407,23.8025,24.1586,329234.0
2019-01-05,23.8025,24.407,23.8025,24.1586,329234.0
2019-01-06,23.8025,24.407,23.8025,24.1586,329234.0
2019-01-07,24.2805,25.0301,24.1118,24.749,411109.0
2019-01-08,24.9927,25.2738,24.6834,25.002,192192.0
2019-01-09,25.2738,25.6393,25.0395,25.1332,311030.0
2019-01-10,24.9458,25.5971,24.5803,25.48,293741.0
2019-01-11,25.2832,25.6767,25.0957,25.3019,180969.0
2019-01-12,25.2832,25.6767,25.0957,25.3019,180969.0
2019-01-13,25.2832,25.6767,25.0957,25.3019,180969.0
2019-01-14,25.1988,25.4706,24.8655,25.2644,217060.0
2019-01-15,25.1988,25.4706,24.8708,25.0114,489603.0
2019-01-16,25.0676,25.5362,25.0676,25.3019,542374.0
2019-01-17,25.255,25.8267,25.255,25.7423,244697.0
2019-01-18,25.8548,26.3608,25.7705,25.8079,189778.0
2019-01-19,25.8548,26.3608,25.7705,25.8079,189778.0
2019-01-20,25.8548,26.3608,25.7705,25.8079,189778.0
2019-01-21,25.8548,26.3608,25.7705,25.8079,189778.0
2019-01-22,25.8173,25.9579,25.0676,25.2363,273886.0
2019-01-23,25.3581,25.3581,23.9618,24.1305,519941.0
2019-01-24,24.1961,24.5054,24.1493,24.3554,551880.0
2019-01-25,24.6272,25.5549,24.5991,25.3488,360777.0
2019-01-26,24.6272,25.5549,24.5991,25.3488,360777.0
2019-01-27,24.6272,25.5549,24.5991,25.3488,360777.0
2019-01-28,25.0583,25.7236,25.0208,25.5362,348548.0
2019-01-29,25.5362,25.7423,25.2597,25.6018,223403.0
2019-01-30,25.911,26.1069,25.5924,25.8829,290439.0
2019-01-31,25.6955,26.0235,25.6486,25.8548,247604.0
2019-02-01,25.7049,26.1453,25.5924,25.7798,172643.0
2019-02-02,25.7049,26.1453,25.5924,25.7798,172643.0
2019-02-03,25.7049,26.1453,25.5924,25.7798,172643.0
2019-02-04,25.7705,25.7705,25.3769,25.4706,170543.0
2019-02-05,25.405,25.4706,24.5335,24.5803,511930.0
2019-02-06,24.496,24.6647,24.168,24.1961,290118.0
2019-02-07,24.4116,24.4304,23.7276,23.7932,316503.0
2019-02-08,23.6526,24.4304,23.5495,24.4023,281380.0
2019-02-09,23.6526,24.4304,23.5495,24.4023,281380.0
2019-02-10,23.6526,24.4304,23.5495,24.4023,281380.0
2019-02-11,24.4116,24.9364,24.4023,24.9271,224698.0
2019-02-12,25.1145,25.6299,25.1145,25.5924,299748.0
2019-02-13,25.7705,25.8735,25.2832,25.3675,335240.0
2019-02-14,25.2832,25.6767,25.255,25.3956,199185.0
2019-02-15,25.6955,25.8735,25.4425,25.583,284224.0
2019-02-16,25.6955,25.8735,25.4425,25.583,284224.0
2019-02-17,25.6955,25.8735,25.4425,25.583,284224.0
2019-02-18,25.6955,25.8735,25.4425,25.583,284224.0
2019-02-19,25.4987,25.8548,25.3019,25.7142,470695.0
2019-02-20,25.9485,26.2952,25.8548,26.2109,350263.0
2019-02-21,26.3702,26.6045,25.9485,26.0984,168515.0
2019-02-22,26.2859,26.5576,26.1734,26.3702,194861.0
2019-02-23,26.2859,26.5576,26.1734,26.3702,194861.0
2019-02-24,26.2859,26.5576,26.1734,26.3702,194861.0
2019-02-25,26.6045,26.7169,26.3046,26.7076,214283.0
2019-02-26,26.5857,26.6982,26.1547,26.4358,220414.0
2019-02-27,26.3796,26.4545,26.0141,26.0797,129118.0
2019-02-28,26.0235,26.1922,25.5877,26.1172,192656.0
2019-03-01,26.3702,26.4452,26.075,26.2015,265918.0
2019-03-02,26.3702,26.4452,26.075,26.2015,265918.0
2019-03-03,26.3702,26.4452,26.075,26.2015,265918.0
2019-03-04,26.2578,26.5108,25.6767,26.0422,169899.0
2019-03-05,25.911,25.9298,25.5362,25.6299,162283.0
2019-03-06,25.7517,25.7892,25.2925,25.3113,243623.0
2019-03-07,25.3019,25.3019,24.6366,24.8708,360856.0
2019-03-08,22.6614,22.6614,19.9775,20.5841,2442978.0
2019-03-09,22.6614,22.6614,19.9775,20.5841,2442978.0
2019-03-10,22.6614,22.6614,19.9775,20.5841,2442978.0
2019-03-11,20.2914,20.433,19.366,19.7531,1605852.0
2019-03-12,19.621,19.9325,19.4793,19.7343,714473.0
2019-03-13,19.7815,19.9041,19.2338,19.3471,489453.0
2019-03-14,19.2244,19.4416,18.8373,18.9883,621106.0
2019-03-15,18.9978,19.2433,18.4124,19.2433,962634.0
2019-03-16,18.9978,19.2433,18.4124,19.2433,962634.0
2019-03-17,18.9978,19.2433,18.4124,19.2433,962634.0
2019-03-18,19.2433,19.8948,19.1111,19.1866,445939.0
2019-03-19,19.3094,19.3943,18.6578,18.8278,279971.0
2019-03-20,18.79,18.8845,18.3368,18.6106,281238.0
