,PATK US Equity,PATK US Equity,PATK US Equity,PATK US Equity,PATK US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,27.3806,27.6548,26.092,27.0608,331254.0
2019-01-02,26.4576,28.3585,26.3114,28.0661,353511.0
2019-01-03,27.8376,28.4088,27.2435,27.3441,202430.0
2019-01-04,27.536,29.3364,27.536,29.1353,237330.0
2019-01-05,27.536,29.3364,27.536,29.1353,237330.0
2019-01-06,27.536,29.3364,27.536,29.1353,237330.0
2019-01-07,29.1536,30.9723,28.3219,30.6158,531253.0
2019-01-08,30.8169,31.3653,30.2401,31.0271,373730.0
2019-01-09,30.7986,32.6264,30.5884,32.206,513744.0
2019-01-10,31.9136,32.6173,31.1368,32.0415,425221.0
2019-01-11,31.8405,32.3157,31.1094,32.1786,225534.0
2019-01-12,31.8405,32.3157,31.1094,32.1786,225534.0
2019-01-13,31.8405,32.3157,31.1094,32.1786,225534.0
2019-01-14,31.8953,33.0925,31.6531,32.7544,220237.0
2019-01-15,32.8275,32.8275,31.347,32.2609,181818.0
2019-01-16,32.2426,33.6135,32.2426,33.0468,281987.0
2019-01-17,32.8366,34.1618,32.8366,34.1252,422236.0
2019-01-18,34.2989,35.7703,34.1892,35.5966,794748.0
2019-01-19,34.2989,35.7703,34.1892,35.5966,794748.0
2019-01-20,34.2989,35.7703,34.1892,35.5966,794748.0
2019-01-21,34.2989,35.7703,34.1892,35.5966,794748.0
2019-01-22,35.423,36.0445,34.7467,35.5601,403820.0
2019-01-23,35.6058,35.6058,34.7558,35.2676,633392.0
2019-01-24,35.2676,36.346,35.2676,35.6241,223212.0
2019-01-25,35.9439,36.4009,35.6515,35.9988,349858.0
2019-01-26,35.9439,36.4009,35.6515,35.9988,349858.0
2019-01-27,35.9439,36.4009,35.6515,35.9988,349858.0
2019-01-28,35.6058,36.6111,35.295,36.4557,306701.0
2019-01-29,36.346,36.8304,35.6972,36.0993,160400.0
2019-01-30,36.3278,36.6385,35.7154,35.9165,183685.0
2019-01-31,35.8343,36.5288,35.3499,36.4648,186690.0
2019-02-01,36.4831,36.7253,35.8251,36.346,271549.0
2019-02-02,36.4831,36.7253,35.8251,36.346,271549.0
2019-02-03,36.4831,36.7253,35.8251,36.346,271549.0
2019-02-04,36.1176,36.346,35.1488,35.9988,279412.0
2019-02-05,36.0719,37.4701,36.0719,36.7756,321928.0
2019-02-06,36.7847,38.2195,36.3049,36.5197,376004.0
2019-02-07,36.4466,36.538,35.2676,35.6972,399061.0
2019-02-08,35.688,36.4557,35.4413,36.4009,240865.0
2019-02-09,35.688,36.4557,35.4413,36.4009,240865.0
2019-02-10,35.688,36.4557,35.4413,36.4009,240865.0
2019-02-11,36.41,37.3879,36.209,37.1229,190231.0
2019-02-12,37.2965,38.3109,37.2965,38.1282,225061.0
2019-02-13,38.0825,39.3071,38.0002,38.9598,414281.0
2019-02-14,41.5553,43.4105,39.5813,41.2263,759654.0
2019-02-15,41.5187,43.0358,40.8562,42.981,395403.0
2019-02-16,41.5187,43.0358,40.8562,42.981,395403.0
2019-02-17,41.5187,43.0358,40.8562,42.981,395403.0
2019-02-18,41.5187,43.0358,40.8562,42.981,395403.0
2019-02-19,43.2095,43.8309,42.3413,43.1181,289115.0
2019-02-20,42.9627,43.246,41.9026,42.7708,275374.0
2019-02-21,42.8805,43.342,41.9004,42.9901,246916.0
2019-02-22,43.0541,43.639,42.588,43.5385,133565.0
2019-02-23,43.0541,43.639,42.588,43.5385,133565.0
2019-02-24,43.0541,43.639,42.588,43.5385,133565.0
2019-02-25,43.767,44.4524,42.8165,42.8622,160712.0
2019-02-26,42.8622,43.1181,41.8386,41.9757,152645.0
2019-02-27,41.9848,42.3961,41.3634,42.3504,143805.0
2019-02-28,42.3504,42.4327,41.3131,41.3177,144041.0
2019-03-01,41.8386,43.703,41.8386,43.575,290402.0
2019-03-02,41.8386,43.703,41.8386,43.575,290402.0
2019-03-03,41.8386,43.703,41.8386,43.575,290402.0
2019-03-04,43.5842,43.6738,42.9079,43.0815,315826.0
2019-03-05,43.0724,43.0724,42.195,42.4509,166820.0
2019-03-06,42.2499,43.1364,41.7015,41.8934,325491.0
2019-03-07,41.7015,41.9848,40.7145,41.1166,264323.0
2019-03-08,40.6688,42.0305,40.5591,41.2263,232061.0
2019-03-09,40.6688,42.0305,40.5591,41.2263,232061.0
2019-03-10,40.6688,42.0305,40.5591,41.2263,232061.0
2019-03-11,41.3817,42.5423,41.3817,42.4509,121505.0
2019-03-12,42.4418,42.5423,41.5005,41.93,113774.0
2019-03-13,42.1311,42.2225,41.3634,41.4091,96810.0
2019-03-14,41.4456,41.8386,40.9156,40.943,154509.0
2019-03-15,41.1532,41.866,40.943,41.2537,275665.0
2019-03-16,41.1532,41.866,40.943,41.2537,275665.0
2019-03-17,41.1532,41.866,40.943,41.2537,275665.0
2019-03-18,41.3725,42.9262,41.0984,42.652,201189.0
2019-03-19,42.8256,43.1364,41.1349,41.1349,253284.0
2019-03-20,41.1258,41.3838,38.7405,38.9141,374903.0
2019-03-21,38.8501,40.2758,38.8501,39.6727,168748.0
2019-03-22,39.2888,39.5538,37.1777,37.4336,227511.0
2019-03-23,39.2888,39.5538,37.1777,37.4336,227511.0
2019-03-24,39.2888,39.5538,37.1777,37.4336,227511.0
2019-03-25,37.3148,38.9507,36.9786,38.5577,173025.0
2019-03-26,39.2797,39.6727,38.4206,38.8227,154334.0
2019-03-27,38.6308,40.1479,38.6262,39.828,150445.0
2019-03-28,39.8372,40.8744,39.8372,40.7328,127710.0
2019-03-29,41.1258,41.7107,40.7876,41.4182,205706.0
2019-03-30,41.1258,41.7107,40.7876,41.4182,205706.0
2019-03-31,41.1258,41.7107,40.7876,41.4182,205706.0
2019-04-01,41.9209,42.7799,41.3862,42.0945,166111.0
2019-04-02,41.9483,42.323,40.7236,40.8425,129401.0
2019-04-03,41.4182,42.0214,40.943,41.4548,152302.0
2019-04-04,41.4639,43.0441,41.4639,42.4875,165172.0
2019-04-05,42.8165,43.4014,42.5697,42.9262,272462.0
2019-04-06,42.8165,43.4014,42.5697,42.9262,272462.0
2019-04-07,42.8165,43.4014,42.5697,42.9262,272462.0
2019-04-08,42.5515,43.0907,41.8569,43.0907,325453.0
2019-04-09,42.716,43.1181,42.1768,42.6337,219388.0
2019-04-10,42.6429,44.5255,42.4966,44.0594,286036.0
2019-04-11,44.1417,45.3754,43.9406,44.7814,412823.0
2019-04-12,45.1835,46.2162,44.2513,44.955,217817.0
2019-04-13,45.1835,46.2162,44.2513,44.955,217817.0
2019-04-14,45.1835,46.2162,44.2513,44.955,217817.0
2019-04-15,45.4303,47.6602,45.4303,47.5688,402866.0
2019-04-16,47.7424,49.5154,47.3776,49.4606,395253.0
2019-04-17,49.6891,51.0416,49.4149,50.7675,355626.0
2019-04-18,51.0142,51.0142,49.6799,50.3836,303217.0
2019-04-19,51.0142,51.0142,49.6799,50.3836,303217.0
2019-04-20,51.0142,51.0142,49.6799,50.3836,303217.0
2019-04-21,51.0142,51.0142,49.6799,50.3836,303217.0
2019-04-22,50.1734,50.7218,49.6434,49.7622,231497.0
2019-04-23,49.7987,50.5756,49.6616,50.4933,203614.0
2019-04-24,50.1734,51.0554,50.1734,50.6487,442279.0
2019-04-25,48.437,50.5573,45.1835,47.5688,765366.0
2019-04-26,46.6092,47.8155,44.9002,47.4591,542900.0
2019-04-27,46.6092,47.8155,44.9002,47.4591,542900.0
2019-04-28,46.6092,47.8155,44.9002,47.4591,542900.0
2019-04-29,47.4591,47.8475,45.5582,45.6587,324432.0
2019-04-30,45.741,46.0243,44.5346,45.5765,440632.0
2019-05-01,45.6679,45.8095,43.7852,43.8492,361446.0
2019-05-02,43.8766,44.2102,42.3687,43.2003,337112.0
2019-05-03,43.3923,45.1424,43.1316,45.0738,194282.0
2019-05-04,43.3923,45.1424,43.1316,45.0738,194282.0
2019-05-05,43.3923,45.1424,43.1316,45.0738,194282.0
2019-05-06,44.3244,45.1195,43.5476,44.4067,194478.0
2019-05-07,43.7304,44.7448,42.716,43.2095,273732.0
2019-05-08,42.9444,43.4654,42.4052,42.4144,213609.0
2019-05-09,41.7929,43.0541,41.0024,42.9993,486400.0
2019-05-10,42.7434,42.7434,41.3908,42.0488,163663.0
2019-05-11,42.7434,42.7434,41.3908,42.0488,163663.0
2019-05-12,42.7434,42.7434,41.3908,42.0488,163663.0
2019-05-13,40.815,41.2498,39.5721,40.1296,234024.0
2019-05-14,40.1479,41.0161,39.4533,40.7145,220149.0
2019-05-15,40.1936,40.9156,39.6635,40.7876,233236.0
2019-05-16,40.8607,41.3634,40.4403,40.614,137298.0
2019-05-17,39.9103,40.5369,37.6438,39.6361,169715.0
2019-05-18,39.9103,40.5369,37.6438,39.6361,169715.0
2019-05-19,39.9103,40.5369,37.6438,39.6361,169715.0
2019-05-20,39.2614,39.711,38.7222,39.4259,162575.0
2019-05-21,39.7732,40.7328,39.7237,40.7054,133951.0
2019-05-22,40.3215,40.7693,39.9286,40.4312,127546.0
2019-05-23,39.9834,40.8699,39.422,40.1936,138382.0
2019-05-24,40.5957,40.879,40.0017,40.157,111550.0
2019-05-25,40.5957,40.879,40.0017,40.157,111550.0
2019-05-26,40.5957,40.879,40.0017,40.157,111550.0
2019-05-27,40.5957,40.879,40.0017,40.157,111550.0
2019-05-28,40.3946,40.7693,39.1791,39.3893,237073.0
2019-05-29,39.106,39.3287,38.4389,38.6674,136234.0
2019-05-30,38.841,39.8463,38.2744,38.6125,126881.0
2019-05-31,38.0002,38.2515,36.9766,37.2782,135826.0
2019-06-01,38.0002,38.2515,36.9766,37.2782,135826.0
2019-06-02,38.0002,38.2515,36.9766,37.2782,135826.0
2019-06-03,36.9858,38.9141,36.9035,38.2195,202660.0
2019-06-04,38.841,39.9468,38.6125,39.9468,84154.0
2019-06-05,39.9468,40.4892,38.8136,39.4168,194034.0
2019-06-06,39.3619,39.3619,37.822,39.2523,105879.0
2019-06-07,39.1609,40.6688,38.7131,40.0565,161946.0
2019-06-08,39.1609,40.6688,38.7131,40.0565,161946.0
2019-06-09,39.1609,40.6688,38.7131,40.0565,161946.0
2019-06-10,40.3581,42.1859,40.3581,42.0671,126684.0
2019-06-11,42.4966,42.9627,40.9685,41.6101,148335.0
2019-06-12,41.5553,41.5782,40.5866,40.9613,125514.0
2019-06-13,41.4091,42.6109,41.4091,42.4783,130384.0
2019-06-14,42.387,43.0632,41.9848,42.7708,160467.0
2019-06-15,42.387,43.0632,41.9848,42.7708,160467.0
2019-06-16,42.387,43.0632,41.9848,42.7708,160467.0
2019-06-17,42.7708,42.8348,41.9117,41.9666,92233.0
2019-06-18,42.1311,43.4425,41.5233,42.8622,130419.0
2019-06-19,43.0632,43.3374,41.9026,43.0724,157682.0
2019-06-20,43.4105,44.0411,42.9262,43.7121,117774.0
2019-06-21,43.5568,44.5895,43.5476,43.9497,177792.0
2019-06-22,43.5568,44.5895,43.5476,43.9497,177792.0
2019-06-23,43.5568,44.5895,43.5476,43.9497,177792.0
2019-06-24,44.0594,44.0594,42.3184,42.3778,163117.0
2019-06-25,42.5789,42.5789,40.9978,41.0984,125066.0
2019-06-26,41.3634,42.4418,41.3268,42.3595,150643.0
2019-06-27,42.5332,43.6299,42.0854,43.6299,149426.0
2019-06-28,43.8309,45.4211,43.8309,44.955,424458.0
2019-06-29,43.8309,45.4211,43.8309,44.955,424458.0
2019-06-30,43.8309,45.4211,43.8309,44.955,424458.0
2019-07-01,45.8964,45.8964,43.8309,44.297,123987.0
2019-07-02,44.2056,44.2513,42.4692,42.652,111159.0
2019-07-03,42.8074,44.0503,42.2133,43.9132,74782.0
2019-07-04,42.8074,44.0503,42.2133,43.9132,74782.0
2019-07-05,43.6938,44.3701,43.1216,44.1599,77092.0
2019-07-06,43.6938,44.3701,43.1216,44.1599,77092.0
2019-07-07,43.6938,44.3701,43.1216,44.1599,77092.0
2019-07-08,44.0228,44.2422,42.716,42.7251,119012.0
2019-07-09,42.5149,42.748,41.8021,42.2407,130610.0
2019-07-10,42.5606,42.6977,41.6741,42.1493,90691.0
2019-07-11,42.323,42.323,40.8699,40.9064,111730.0
2019-07-12,41.208,42.2042,41.208,42.0945,118138.0
2019-07-13,41.208,42.2042,41.208,42.0945,118138.0
2019-07-14,41.208,42.2042,41.208,42.0945,118138.0
2019-07-15,42.2773,42.2773,40.3124,40.9795,132169.0
2019-07-16,41.0435,41.6695,40.8516,41.1897,206147.0
2019-07-17,41.1897,41.4866,40.0108,40.7419,139917.0
2019-07-18,40.4129,40.8457,40.2393,40.3033,120157.0
2019-07-19,40.486,40.614,39.4259,39.4716,220038.0
2019-07-20,40.486,40.614,39.4259,39.4716,220038.0
2019-07-21,40.486,40.614,39.4259,39.4716,220038.0
2019-07-22,39.6178,39.7092,38.3932,38.6399,216962.0
2019-07-23,38.9233,40.3489,38.7953,40.2027,271107.0
2019-07-24,40.1022,41.8386,39.8737,41.8295,205262.0
2019-07-25,44.0137,44.0137,40.7785,41.1166,267269.0
2019-07-26,41.3085,42.3321,40.9795,42.2316,164451.0
2019-07-27,41.3085,42.3321,40.9795,42.2316,164451.0
2019-07-28,41.3085,42.3321,40.9795,42.2316,164451.0
2019-07-29,42.0671,42.2225,39.7549,40.2119,203687.0
2019-07-30,39.7366,41.7746,39.3162,41.7107,151603.0
2019-07-31,41.6376,42.9079,41.6101,41.9209,160888.0
2019-08-01,41.7838,42.2773,40.0839,40.3033,135777.0
2019-08-02,39.9742,40.3764,39.1609,40.2301,177022.0
2019-08-03,39.9742,40.3764,39.1609,40.2301,177022.0
2019-08-04,39.9742,40.3764,39.1609,40.2301,177022.0
2019-08-05,39.2157,39.2157,38.1419,38.9781,226501.0
2019-08-06,39.4625,39.8829,38.9233,39.8554,125954.0
2019-08-07,39.0695,39.627,38.5394,39.3619,105048.0
2019-08-08,39.3711,40.2393,38.841,40.0839,142264.0
2019-08-09,39.7366,39.7915,38.2195,38.2744,114329.0
2019-08-10,39.7366,39.7915,38.2195,38.2744,114329.0
2019-08-11,39.7366,39.7915,38.2195,38.2744,114329.0
2019-08-12,38.055,38.055,37.0315,37.1411,119405.0
2019-08-13,36.9766,39.0878,36.8304,37.4427,121273.0
2019-08-14,36.6385,36.6385,35.2356,35.4596,195074.0
2019-08-15,35.6697,35.7292,33.7505,34.043,222124.0
2019-08-16,34.5456,35.5784,34.5456,35.3864,231075.0
2019-08-17,34.5456,35.5784,34.5456,35.3864,231075.0
2019-08-18,34.5456,35.5784,34.5456,35.3864,231075.0
2019-08-19,36.145,36.5699,35.6515,35.9988,292873.0
2019-08-20,36.145,36.1541,34.765,34.9752,129837.0
2019-08-21,35.5327,35.8434,34.9386,35.5875,148738.0
2019-08-22,35.6972,36.1541,34.9341,34.9752,145267.0
2019-08-23,34.7284,34.9706,32.2792,32.4894,168803.0
2019-08-24,34.7284,34.9706,32.2792,32.4894,168803.0
2019-08-25,34.7284,34.9706,32.2792,32.4894,168803.0
2019-08-26,33.0468,33.12,32.1512,32.2792,122078.0
2019-08-27,32.727,32.727,30.8535,31.018,254038.0
2019-08-28,31.1916,32.567,30.3508,32.1604,314587.0
2019-08-29,32.7178,33.6729,32.6904,33.4033,340368.0
2019-08-30,33.7688,34.5913,32.8321,33.0286,135461.0
2019-08-31,33.7688,34.5913,32.8321,33.0286,135461.0
2019-09-01,33.7688,34.5913,32.8321,33.0286,135461.0
2019-09-02,33.7688,34.5913,32.8321,33.0286,135461.0
2019-09-03,32.6447,32.6447,31.4201,31.8862,140755.0
2019-09-04,30.9266,31.2099,30.1406,30.3782,265561.0
2019-09-05,30.7438,32.7635,30.7209,32.1238,251569.0
2019-09-06,32.4437,32.6082,31.5937,31.6211,120816.0
2019-09-07,32.4437,32.6082,31.5937,31.6211,120816.0
2019-09-08,32.4437,32.6082,31.5937,31.6211,120816.0
2019-09-09,31.8679,33.1932,31.8542,32.6356,155582.0
2019-09-10,32.7361,35.3956,32.7087,35.2585,198542.0
2019-09-11,35.2859,37.918,34.6188,37.8357,301324.0
