,BOH US Equity,BOH US Equity,BOH US Equity,BOH US Equity,BOH US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,80.3546,80.7471,80.304,80.3124,182862.0
2020-01-02,80.5825,80.6247,79.0718,79.6457,173895.0
2020-01-03,78.8524,79.7217,78.3629,79.6035,236294.0
2020-01-04,78.8524,79.7217,78.3629,79.6035,236294.0
2020-01-05,78.8524,79.7217,78.3629,79.6035,236294.0
2020-01-06,79.0718,79.1815,78.4304,78.6667,253020.0
2020-01-07,78.6583,78.9705,78.2785,78.7511,129398.0
2020-01-08,78.5485,79.2912,78.3122,78.9705,145349.0
2020-01-09,79.536,79.7554,79.0465,79.4009,100955.0
2020-01-10,79.46,79.46,78.5106,78.7089,160166.0
2020-01-11,79.46,79.46,78.5106,78.7089,160166.0
2020-01-12,79.46,79.46,78.5106,78.7089,160166.0
2020-01-13,78.9536,79.1646,78.4937,79.1646,114979.0
2020-01-14,79.2068,79.5191,78.9494,79.114,184059.0
2020-01-15,78.7511,79.0465,78.0168,78.4051,202568.0
2020-01-16,78.9368,79.422,78.9368,79.3419,139118.0
2020-01-17,79.6963,79.6963,79.325,79.4431,104593.0
2020-01-18,79.6963,79.6963,79.325,79.4431,104593.0
2020-01-19,79.6963,79.6963,79.325,79.4431,104593.0
2020-01-20,79.6963,79.6963,79.325,79.4431,104593.0
2020-01-21,79.1646,79.4558,78.3797,78.4304,132678.0
2020-01-22,78.557,78.692,78.1265,78.2785,124477.0
2020-01-23,78.1265,78.6161,77.5175,78.4219,165988.0
2020-01-24,78.4135,78.4135,76.8268,77.5864,240138.0
2020-01-25,78.4135,78.4135,76.8268,77.5864,240138.0
2020-01-26,78.4135,78.4135,76.8268,77.5864,240138.0
2020-01-27,76.7846,78.4473,76.7256,77.1307,379626.0
2020-01-28,77.6286,78.4979,77.6286,78.2447,248284.0
2020-01-29,76.5568,78.1181,76.3795,76.7424,304094.0
2020-01-30,76.599,77.2235,76.1685,77.1897,200054.0
2020-01-31,76.7256,76.8437,75.5271,75.6199,186671.0
2020-02-01,76.7256,76.8437,75.5271,75.6199,186671.0
2020-02-02,76.7256,76.8437,75.5271,75.6199,186671.0
2020-02-03,75.9575,77.0378,75.9575,76.6412,160581.0
2020-02-04,77.6455,78.1181,77.2151,77.2488,160100.0
2020-02-05,78.0928,78.3207,77.4429,77.8902,240938.0
2020-02-06,78.2109,78.2109,76.7087,76.7593,167574.0
2020-02-07,76.4724,76.8859,75.8478,75.9322,113233.0
2020-02-08,76.4724,76.8859,75.8478,75.9322,113233.0
2020-02-09,76.4724,76.8859,75.8478,75.9322,113233.0
2020-02-10,75.5862,76.3964,75.5862,76.388,115265.0
2020-02-11,76.599,77.253,76.3036,76.447,169373.0
2020-02-12,77.0631,77.0631,75.8309,76.5568,177096.0
2020-02-13,76.0926,77.3923,76.0926,77.2826,105559.0
2020-02-14,77.2404,77.329,76.6454,76.7424,114167.0
2020-02-15,77.2404,77.329,76.6454,76.7424,114167.0
2020-02-16,77.2404,77.329,76.6454,76.7424,114167.0
2020-02-17,77.2404,77.329,76.6454,76.7424,114167.0
2020-02-18,76.5314,76.8353,75.6199,75.7465,99960.0
2020-02-19,75.89,76.3204,75.89,75.9153,111400.0
2020-02-20,75.7465,76.8268,75.7465,76.7256,170460.0
