,INGR US Equity,INGR US Equity,INGR US Equity,INGR US Equity,INGR US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,81.275,82.226,81.196,81.865,313010.0
2020-01-02,82.719,83.054,81.284,81.865,828310.0
2020-01-03,81.381,82.944,81.227,82.526,377794.0
2020-01-04,81.381,82.944,81.227,82.526,377794.0
2020-01-05,81.381,82.944,81.227,82.526,377794.0
2020-01-06,82.226,82.658,81.522,81.839,473221.0
2020-01-07,82.068,82.068,80.562,80.782,456904.0
2020-01-08,80.72,81.05,79.822,80.421,436003.0
2020-01-09,80.518,80.896,79.214,79.945,748553.0
2020-01-10,80.033,80.711,79.496,80.597,465674.0
2020-01-11,80.033,80.711,79.496,80.597,465674.0
2020-01-12,80.033,80.711,79.496,80.597,465674.0
2020-01-13,80.685,81.178,80.123,80.949,393427.0
2020-01-14,81.055,81.072,80.275,81.028,519064.0
2020-01-15,80.641,81.31,80.121,80.35,445346.0
2020-01-16,80.852,81.892,80.791,81.803,644828.0
2020-01-17,81.821,82.028,81.337,81.539,517438.0
2020-01-18,81.821,82.028,81.337,81.539,517438.0
2020-01-19,81.821,82.028,81.337,81.539,517438.0
2020-01-20,81.821,82.028,81.337,81.539,517438.0
2020-01-21,81.275,82.112,80.808,80.967,589411.0
2020-01-22,81.795,82.085,80.879,81.249,436517.0
2020-01-23,81.425,82.173,80.896,81.803,663211.0
2020-01-24,81.962,81.962,80.879,81.257,273622.0
2020-01-25,81.962,81.962,80.879,81.257,273622.0
2020-01-26,81.962,81.962,80.879,81.257,273622.0
2020-01-27,80.148,81.108,79.549,80.491,426692.0
2020-01-28,80.623,81.09,79.971,80.341,387656.0
2020-01-29,80.403,80.57,79.443,79.452,402104.0
2020-01-30,78.959,80.289,78.782,80.253,301233.0
2020-01-31,79.804,79.954,77.285,77.505,851194.0
2020-02-01,79.804,79.954,77.285,77.505,851194.0
2020-02-02,79.804,79.954,77.285,77.505,851194.0
2020-02-03,77.849,78.809,77.47,77.717,526571.0
2020-02-04,78.562,78.686,77.463,77.814,598502.0
2020-02-05,78.307,79.742,78.307,79.584,326700.0
2020-02-06,79.707,80.06,78.897,78.994,235595.0
2020-02-07,78.871,79.302,78.248,79.214,421893.0
2020-02-08,78.871,79.302,78.248,79.214,421893.0
2020-02-09,78.871,79.302,78.248,79.214,421893.0
2020-02-10,79.038,80.271,78.545,80.165,604410.0
2020-02-11,83.336,87.282,83.248,86.762,1091522.0
2020-02-12,87.194,87.643,85.67,86.137,642719.0
2020-02-13,85.82,86.339,85.52,85.74,407605.0
2020-02-14,85.74,86.313,85.397,85.732,464890.0
2020-02-15,85.74,86.313,85.397,85.732,464890.0
2020-02-16,85.74,86.313,85.397,85.732,464890.0
2020-02-17,85.74,86.313,85.397,85.732,464890.0
2020-02-18,85.309,85.379,84.419,84.851,549389.0
2020-02-19,84.86,84.939,83.063,83.292,597498.0
2020-02-20,83.169,84.058,82.49,83.618,404299.0
2020-02-21,83.221,83.864,82.068,83.556,1252407.0
2020-02-22,83.221,83.864,82.068,83.556,1252407.0
2020-02-23,83.221,83.864,82.068,83.556,1252407.0
2020-02-24,81.883,82.596,81.143,82.349,639895.0
2020-02-25,82.517,82.772,80.165,80.791,623442.0
2020-02-26,80.852,81.971,79.778,79.91,486424.0
2020-02-27,78.219,78.263,74.484,74.502,692531.0
2020-02-28,72.697,73.718,71.351,73.366,1410481.0
2020-02-29,72.697,73.718,71.351,73.366,1410481.0
2020-03-01,72.697,73.718,71.351,73.366,1410481.0
2020-03-02,73.78,75.392,73.243,75.392,581854.0
2020-03-03,75.11,76.532,73.181,73.621,683892.0
2020-03-04,75.048,78.078,74.678,77.893,584199.0
2020-03-05,76.281,76.281,72.785,73.542,871430.0
2020-03-06,71.402,75.304,71.155,75.022,843666.0
2020-03-07,71.402,75.304,71.155,75.022,843666.0
2020-03-08,71.402,75.304,71.155,75.022,843666.0
2020-03-09,71.138,72.133,69.165,70.459,1010160.0
2020-03-10,72.045,72.93,69.508,72.52,571191.0
2020-03-11,70.662,71.789,69.737,69.975,650128.0
2020-03-12,66.602,66.936,59.838,61.229,783169.0
2020-03-13,63.819,64.541,57.865,64.426,1142982.0
2020-03-14,63.819,64.541,57.865,64.426,1142982.0
2020-03-15,63.819,64.541,57.865,64.426,1142982.0
2020-03-16,58.182,61.353,56.051,56.2,612001.0
2020-03-17,57.019,62.374,56.526,62.295,673507.0
2020-03-18,57.9,60.269,52.061,53.549,774414.0
2020-03-19,53.937,58.781,53.725,57.609,773758.0
2020-03-20,57.988,60.974,57.468,58.349,1147252.0
2020-03-21,57.988,60.974,57.468,58.349,1147252.0
2020-03-22,57.988,60.974,57.468,58.349,1147252.0
2020-03-23,57.926,60.683,57.019,59.433,796010.0
2020-03-24,62.427,64.488,60.437,61.423,485082.0
2020-03-25,61.996,64.008,60.815,61.546,476924.0
2020-03-26,61.626,65.994,61.335,65.994,436516.0
2020-03-27,63.916,65.761,63.427,64.928,434273.0
2020-03-28,63.916,65.761,63.427,64.928,434273.0
2020-03-29,63.916,65.761,63.427,64.928,434273.0
2020-03-30,65.862,68.487,63.872,68.064,504236.0
2020-03-31,68.259,68.304,65.684,67.043,627576.0
2020-04-01,65.231,68.135,64.805,67.078,569465.0
2020-04-02,66.98,69.236,66.279,68.463,455139.0
2020-04-03,67.877,68.623,66.394,67.673,594289.0
2020-04-04,67.877,68.623,66.394,67.673,594289.0
2020-04-05,67.877,68.623,66.394,67.673,594289.0
2020-04-06,69.644,72.14,68.89,71.536,592957.0
2020-04-07,73.037,74.075,69.937,70.293,517851.0
2020-04-08,70.834,72.078,69.511,71.19,404511.0
2020-04-09,71.713,74.031,71.447,72.903,538798.0
2020-04-10,71.713,74.031,71.447,72.903,538798.0
2020-04-11,71.713,74.031,71.447,72.903,538798.0
2020-04-12,71.713,74.031,71.447,72.903,538798.0
2020-04-13,72.797,73.409,72.042,72.486,285564.0
