,RUSHA US Equity,RUSHA US Equity,RUSHA US Equity,RUSHA US Equity,RUSHA US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,19.2574,19.4448,19.1449,19.3656,211379.0
2020-01-02,19.5031,19.5031,18.895,19.1616,280726.0
2020-01-03,18.97,19.2823,18.9075,19.1782,229086.0
2020-01-04,18.97,19.2823,18.9075,19.1782,229086.0
2020-01-05,18.97,19.2823,18.9075,19.1782,229086.0
2020-01-06,19.0408,19.0783,18.7951,18.9658,217274.0
2020-01-07,18.8742,19.0908,18.7618,18.9908,298330.0
2020-01-08,18.9492,19.2532,18.945,18.9617,310147.0
2020-01-09,19.0783,19.0783,18.6785,18.716,229478.0
2020-01-10,18.6743,18.8221,18.5952,18.7326,228393.0
2020-01-11,18.6743,18.8221,18.5952,18.7326,228393.0
2020-01-12,18.6743,18.8221,18.5952,18.7326,228393.0
2020-01-13,18.7076,18.8659,18.5577,18.7867,203580.0
2020-01-14,18.7618,19.0575,18.6327,18.8825,174204.0
2020-01-15,18.8909,19.0449,18.7243,18.8909,148903.0
2020-01-16,19.0033,19.2698,18.9721,19.1449,172265.0
2020-01-17,19.2365,19.4219,19.1553,19.2282,187758.0
2020-01-18,19.2365,19.4219,19.1553,19.2282,187758.0
2020-01-19,19.2365,19.4219,19.1553,19.2282,187758.0
2020-01-20,19.2365,19.4219,19.1553,19.2282,187758.0
2020-01-21,19.1366,19.1366,18.5327,18.6327,276851.0
2020-01-22,18.6868,18.8617,18.5202,18.566,287714.0
2020-01-23,18.5827,18.5827,18.2782,18.3786,175399.0
2020-01-24,18.3661,18.3661,18.1162,18.187,254525.0
2020-01-25,18.3661,18.3661,18.1162,18.187,254525.0
2020-01-26,18.3661,18.3661,18.1162,18.187,254525.0
2020-01-27,17.9413,18.1912,17.8955,17.9913,313400.0
2020-01-28,18.1412,18.337,18.008,18.2953,370816.0
2020-01-29,18.3078,18.5369,18.1912,18.4369,203526.0
2020-01-30,18.2745,18.4619,18.1912,18.4286,195066.0
2020-01-31,18.337,18.337,17.9038,17.908,511432.0
2020-02-01,18.337,18.337,17.9038,17.908,511432.0
2020-02-02,18.337,18.337,17.9038,17.908,511432.0
2020-02-03,17.9913,18.3578,17.9455,18.1829,287597.0
2020-02-04,18.3453,18.5036,18.1745,18.1912,140092.0
2020-02-05,18.4078,18.818,18.4071,18.7826,232472.0
2020-02-06,18.8451,18.8991,18.2787,18.362,159840.0
2020-02-07,18.2329,18.312,18.0267,18.1829,339408.0
2020-02-08,18.2329,18.312,18.0267,18.1829,339408.0
2020-02-09,18.2329,18.312,18.0267,18.1829,339408.0
2020-02-10,18.1537,18.362,18.1204,18.337,270421.0
2020-02-11,18.4494,18.9034,18.2745,18.6368,224388.0
2020-02-12,18.8117,18.9492,18.5327,18.9492,297945.0
2020-02-13,16.6794,17.2833,15.7424,17.1625,1908675.0
2020-02-14,17.1292,17.8539,17.0251,17.7622,584024.0
