,NUE US Equity,NUE US Equity,NUE US Equity,NUE US Equity,NUE US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,51.1734,51.6677,51.091,51.5121,1445536.0
2020-01-02,52.0155,52.0429,50.3954,50.4503,2453736.0
2020-01-03,49.8829,50.2764,49.6357,49.7822,2837374.0
2020-01-04,49.8829,50.2764,49.6357,49.7822,2837374.0
2020-01-05,49.8829,50.2764,49.6357,49.7822,2837374.0
2020-01-06,49.6174,50.0019,49.2056,49.3612,2242497.0
2020-01-07,49.1964,49.9652,49.0683,49.2513,2560287.0
2020-01-08,49.2879,49.7547,49.0866,49.1323,2130220.0
2020-01-09,49.1964,49.2605,48.574,48.9676,2672890.0
2020-01-10,48.9676,49.2284,48.1804,48.2994,1645971.0
2020-01-11,48.9676,49.2284,48.1804,48.2994,1645971.0
2020-01-12,48.9676,49.2284,48.1804,48.2994,1645971.0
2020-01-13,48.5008,49.4069,48.4001,48.8486,1951139.0
2020-01-14,48.8578,49.5168,48.8028,49.4252,1845178.0
2020-01-15,49.1323,49.4252,48.7159,48.9035,1196127.0
2020-01-16,49.2422,49.2422,48.6655,48.8303,1782548.0
2020-01-17,49.0957,49.4252,48.7479,49.2513,2341258.0
2020-01-18,49.0957,49.4252,48.7479,49.2513,2341258.0
2020-01-19,49.0957,49.4252,48.7479,49.2513,2341258.0
2020-01-20,49.0957,49.4252,48.7479,49.2513,2341258.0
2020-01-21,49.0408,49.0408,47.6587,47.9242,2282506.0
2020-01-22,48.0981,48.1438,47.3841,47.5672,1612453.0
2020-01-23,47.2194,47.4025,46.4048,47.3658,1652352.0
2020-01-24,47.2194,47.2194,45.6177,46.0661,2009664.0
2020-01-25,47.2194,47.2194,45.6177,46.0661,2009664.0
2020-01-26,47.2194,47.2194,45.6177,46.0661,2009664.0
2020-01-27,45.2424,45.636,44.9129,45.0136,3016397.0
2020-01-28,48.2171,48.2171,45.1875,45.279,4406659.0
2020-01-29,45.1051,45.4621,43.9701,43.9885,2862079.0
2020-01-30,43.8878,44.7481,43.6315,44.7207,2845865.0
2020-01-31,43.9518,44.1898,43.265,43.4667,3214864.0
2020-02-01,43.9518,44.1898,43.265,43.4667,3214864.0
2020-02-02,43.9518,44.1898,43.265,43.4667,3214864.0
2020-02-03,43.6315,44.1257,43.5125,43.8786,2270049.0
2020-02-04,44.7664,45.0822,44.1624,44.7024,2984447.0
2020-02-05,45.4163,45.4346,44.858,45.3248,2513124.0
2020-02-06,45.7641,45.7641,44.6932,44.8946,2033415.0
2020-02-07,44.4461,44.5422,43.7093,43.8603,1988372.0
2020-02-08,44.4461,44.5422,43.7093,43.8603,1988372.0
2020-02-09,44.4461,44.5422,43.7093,43.8603,1988372.0
2020-02-10,43.6132,44.0251,43.4759,43.6223,1850697.0
2020-02-11,43.842,44.8305,43.8145,44.2447,1994179.0
2020-02-12,44.8214,44.858,43.9198,44.2722,1770361.0
2020-02-13,43.8878,44.2173,43.6864,43.8878,2108897.0
2020-02-14,43.9061,44.0159,42.8352,43.1555,1995630.0
2020-02-15,43.9061,44.0159,42.8352,43.1555,1995630.0
2020-02-16,43.9061,44.0159,42.8352,43.1555,1995630.0
2020-02-17,43.9061,44.0159,42.8352,43.1555,1995630.0
