,GPS US Equity,GPS US Equity,GPS US Equity,GPS US Equity,GPS US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,21.0309,21.1862,20.7939,21.0554,3825053.0
2019-01-02,20.6794,21.2516,20.6794,21.0473,5218923.0
2019-01-03,20.941,21.2761,20.7694,21.08,5326267.0
2019-01-04,21.3415,21.3415,20.5487,20.7612,8308140.0
2019-01-05,21.3415,21.3415,20.5487,20.7612,8308140.0
2019-01-06,21.3415,21.3415,20.5487,20.7612,8308140.0
2019-01-07,20.6876,22.069,20.6876,21.7175,8962895.0
2019-01-08,21.8351,22.0372,20.4575,20.8039,8925660.0
2019-01-09,20.9524,21.8928,20.8782,21.4968,6006117.0
2019-01-10,20.7627,20.9359,20.3337,20.8287,6410548.0
2019-01-11,20.3337,21.0102,20.21,20.8204,4509064.0
2019-01-12,20.3337,21.0102,20.21,20.8204,4509064.0
2019-01-13,20.3337,21.0102,20.21,20.8204,4509064.0
2019-01-14,20.6802,21.2205,20.6307,20.8947,3393542.0
2019-01-15,20.8864,20.9277,20.5193,20.5482,3882736.0
2019-01-16,20.4162,20.6967,20.375,20.5482,3575443.0
2019-01-17,20.408,21.1174,20.3997,21.1091,3508374.0
2019-01-18,21.1586,21.6907,21.1504,21.4556,3612151.0
2019-01-19,21.1586,21.6907,21.1504,21.4556,3612151.0
2019-01-20,21.1586,21.6907,21.1504,21.4556,3612151.0
2019-01-21,21.1586,21.6907,21.1504,21.4556,3612151.0
2019-01-22,20.7132,21.0679,20.3832,20.573,5969572.0
2019-01-23,20.6472,21.0308,20.4822,20.9359,4452139.0
2019-01-24,20.8534,20.8864,20.639,20.8287,2159630.0
2019-01-25,21.0762,21.3649,20.9689,21.1834,3030393.0
2019-01-26,21.0762,21.3649,20.9689,21.1834,3030393.0
2019-01-27,21.0762,21.3649,20.9689,21.1834,3030393.0
2019-01-28,21.0349,21.2783,20.8617,21.2576,3269346.0
2019-01-29,21.2329,21.2741,20.8039,21.0267,4226048.0
2019-01-30,21.0184,21.0926,20.8122,20.8287,2733766.0
2019-01-31,20.7792,21.1545,20.7214,20.9854,3380047.0
2019-02-01,20.9854,21.0926,20.4657,20.6225,3103311.0
2019-02-02,20.9854,21.0926,20.4657,20.6225,3103311.0
2019-02-03,20.9854,21.0926,20.4657,20.6225,3103311.0
2019-02-04,20.5647,20.8947,20.4822,20.8534,2132289.0
2019-02-05,20.8699,20.9648,20.6513,20.8039,2743753.0
2019-02-06,20.6967,20.7792,20.1234,20.3667,4185620.0
2019-02-07,20.2513,20.5853,20.1893,20.5647,3586999.0
2019-02-08,20.4327,20.7627,20.3337,20.54,3972470.0
2019-02-09,20.4327,20.7627,20.3337,20.54,3972470.0
2019-02-10,20.4327,20.7627,20.3337,20.54,3972470.0
2019-02-11,20.4987,20.5565,20.309,20.4905,3307267.0
2019-02-12,20.4987,20.8947,20.4162,20.7379,3016127.0
2019-02-13,20.7379,20.7874,20.2678,20.7132,2789923.0
2019-02-14,20.5152,20.8204,20.3997,20.5565,2679772.0
2019-02-15,20.7214,20.9194,20.6307,20.6802,3039225.0
2019-02-16,20.7214,20.9194,20.6307,20.6802,3039225.0
2019-02-17,20.7214,20.9194,20.6307,20.6802,3039225.0
2019-02-18,20.7214,20.9194,20.6307,20.6802,3039225.0
2019-02-19,20.6802,20.8452,20.4987,20.7792,2995519.0
2019-02-20,20.7379,20.9359,20.6803,20.7544,1924767.0
2019-02-21,20.7049,20.8782,20.3255,20.441,2892491.0
2019-02-22,20.4987,20.6225,20.1935,20.4245,4505677.0
2019-02-23,20.4987,20.6225,20.1935,20.4245,4505677.0
2019-02-24,20.4987,20.6225,20.1935,20.4245,4505677.0
2019-02-25,20.573,20.8204,20.4946,20.7297,4588424.0
2019-02-26,20.7132,20.7544,20.276,20.4987,4422203.0
2019-02-27,20.6225,21.1174,20.507,20.9194,8974058.0
2019-02-28,20.8947,21.0514,20.5317,20.9524,14924361.0
2019-03-01,24.7469,25.8936,24.219,24.3427,41867571.0
2019-03-02,24.7469,25.8936,24.219,24.3427,41867571.0
2019-03-03,24.7469,25.8936,24.219,24.3427,41867571.0
2019-03-04,24.3345,24.4087,22.8002,22.8827,16185332.0
2019-03-05,23.0064,23.0147,22.3052,22.4455,8351880.0
2019-03-06,22.3135,22.5115,21.9258,21.9258,7091177.0
2019-03-07,21.8268,22.1485,21.5876,22.0413,6340214.0
2019-03-08,21.8103,22.033,21.3731,21.3896,7524224.0
2019-03-09,21.8103,22.033,21.3731,21.3896,7524224.0
2019-03-10,21.8103,22.033,21.3731,21.3896,7524224.0
2019-03-11,21.3814,21.8186,21.3814,21.6948,6713471.0
2019-03-12,21.7196,21.7299,21.2824,21.4226,4494884.0
2019-03-13,21.4144,21.6371,21.2741,21.4474,3925445.0
2019-03-14,21.4556,21.5133,20.9235,21.0514,5769855.0
2019-03-15,21.1504,21.1669,20.2925,20.8617,15898862.0
2019-03-16,21.1504,21.1669,20.2925,20.8617,15898862.0
2019-03-17,21.1504,21.1669,20.2925,20.8617,15898862.0
2019-03-18,20.9112,21.1339,20.7421,21.0844,3956963.0
2019-03-19,21.1091,21.3484,21.0184,21.1999,4836948.0
2019-03-20,21.1421,21.2659,20.8039,20.8947,3484856.0
2019-03-21,20.8699,20.8699,20.54,20.7214,4204967.0
2019-03-22,20.7544,20.7544,20.0698,20.2265,4478507.0
2019-03-23,20.7544,20.7544,20.0698,20.2265,4478507.0
2019-03-24,20.7544,20.7544,20.0698,20.2265,4478507.0
2019-03-25,20.0863,20.6802,20.0863,20.4657,6663842.0
2019-03-26,20.7297,21.0267,20.672,20.8947,4738874.0
2019-03-27,20.8369,21.6701,20.8369,21.4391,7393406.0
2019-03-28,21.6536,21.8846,21.2617,21.5381,5349910.0
2019-03-29,21.5711,21.8186,21.4061,21.5958,4855071.0
