,MAR US Equity,MAR US Equity,MAR US Equity,MAR US Equity,MAR US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,148.2748,149.0177,147.4146,148.0207,1186070.0
2020-01-02,148.0891,149.1643,147.6297,148.0793,1777471.0
2020-01-03,145.8311,146.6424,145.3912,145.9093,2116944.0
2020-01-04,145.8311,146.6424,145.3912,145.9093,2116944.0
2020-01-05,145.8311,146.6424,145.3912,145.9093,2116944.0
2020-01-06,144.5701,144.6581,142.9182,144.0227,2178244.0
2020-01-07,143.4363,143.9054,141.4226,141.6768,2073528.0
2020-01-08,141.8625,144.2964,141.4617,143.4265,1412775.0
2020-01-09,144.14,144.267,142.9084,143.1528,1197938.0
2020-01-10,142.9084,143.2701,141.7843,142.1166,848173.0
2020-01-11,142.9084,143.2701,141.7843,142.1166,848173.0
2020-01-12,142.9084,143.2701,141.7843,142.1166,848173.0
2020-01-13,142.4783,143.6708,142.2633,143.4949,987538.0
2020-01-14,143.1137,144.3062,142.8204,143.837,944731.0
2020-01-15,143.4656,144.8145,143.3483,143.9836,800192.0
2020-01-16,144.6483,145.6845,144.1791,145.6649,804480.0
2020-01-17,145.8311,147.2387,144.7363,146.877,1058863.0
2020-01-18,145.8311,147.2387,144.7363,146.877,1058863.0
2020-01-19,145.8311,147.2387,144.7363,146.877,1058863.0
2020-01-20,145.8311,147.2387,144.7363,146.877,1058863.0
2020-01-21,144.7461,145.098,140.191,141.1196,2757179.0
2020-01-22,141.7354,143.8777,140.5136,140.8752,1297129.0
2020-01-23,139.2233,141.7941,138.0699,141.6963,1863062.0
2020-01-24,141.7061,141.755,136.6916,137.845,2073428.0
2020-01-25,141.7061,141.755,136.6916,137.845,2073428.0
2020-01-26,141.7061,141.755,136.6916,137.845,2073428.0
2020-01-27,134.6291,136.4863,130.3575,134.893,2641198.0
2020-01-28,135.587,138.5977,135.2107,138.0699,1958468.0
2020-01-29,138.3142,140.0102,137.2194,139.3992,1290673.0
2020-01-30,137.371,140.3083,135.7043,140.0835,1848612.0
2020-01-31,138.9496,139.0473,135.8216,136.9066,2070215.0
2020-02-01,138.9496,139.0473,135.8216,136.9066,2070215.0
2020-02-02,138.9496,139.0473,135.8216,136.9066,2070215.0
2020-02-03,138.5097,141.2076,137.6984,138.2947,1527564.0
2020-02-04,141.2174,144.9025,140.4427,144.0814,1812857.0
2020-02-05,146.3492,146.789,143.9934,144.3844,1872525.0
2020-02-06,144.9514,145.5183,142.4979,142.928,1065851.0
2020-02-07,141.6475,142.1264,139.5654,140.8264,1717590.0
2020-02-08,141.6475,142.1264,139.5654,140.8264,1717590.0
2020-02-09,141.6475,142.1264,139.5654,140.8264,1717590.0
2020-02-10,139.7902,142.5614,139.2428,142.449,1169798.0
2020-02-11,142.5858,145.5965,141.9505,143.8761,1461280.0
2020-02-12,144.707,147.571,144.707,147.3853,1583792.0
2020-02-13,146.0852,146.1634,143.3581,143.4167,1933876.0
2020-02-14,143.6708,144.0423,140.6602,141.6377,2441278.0
2020-02-15,143.6708,144.0423,140.6602,141.6377,2441278.0
2020-02-16,143.6708,144.0423,140.6602,141.6377,2441278.0
2020-02-17,143.6708,144.0423,140.6602,141.6377,2441278.0
2020-02-18,140.9828,142.5761,140.9828,141.6768,2353889.0
2020-02-19,141.3053,144.5799,141.3053,144.3062,2018045.0
2020-02-20,144.2085,145.5571,142.9768,143.534,1279602.0
2020-02-21,142.1069,142.2437,139.3308,140.0151,1858050.0
2020-02-22,142.1069,142.2437,139.3308,140.0151,1858050.0
2020-02-23,142.1069,142.2437,139.3308,140.0151,1858050.0
2020-02-24,133.7396,134.287,131.1981,131.7944,3197451.0
2020-02-25,132.9283,132.9869,120.6999,121.2864,5128449.0
2020-02-26,123.4467,124.7956,117.1517,117.484,4964341.0
2020-02-27,114.8244,124.9133,112.3317,117.4153,6958568.0
2020-02-28,114.0884,122.0181,113.843,121.6943,6660793.0
2020-02-29,114.0884,122.0181,113.843,121.6943,6660793.0
2020-03-01,114.0884,122.0181,113.843,121.6943,6660793.0
2020-03-02,120.7816,121.3802,114.4733,120.6736,6375455.0
2020-03-03,120.4773,121.4391,111.7625,112.155,6796506.0
2020-03-04,113.3425,116.3358,109.2108,116.1297,7343706.0
2020-03-05,111.6741,112.8616,106.7769,108.1705,6977165.0
2020-03-06,102.6943,111.5073,101.9582,108.6023,6790291.0
2020-03-07,102.6943,111.5073,101.9582,108.6023,6790291.0
2020-03-08,102.6943,111.5073,101.9582,108.6023,6790291.0
2020-03-09,100.1034,106.8947,99.8678,102.2526,6687359.0
2020-03-10,106.8064,107.984,100.8885,107.935,5395484.0
2020-03-11,104.2253,104.5197,97.7087,98.2485,8901640.0
2020-03-12,88.3265,95.9913,87.1095,91.9675,9065674.0
2020-03-13,96.4035,98.906,89.8967,93.8322,8552816.0
2020-03-14,96.4035,98.906,89.8967,93.8322,8552816.0
2020-03-15,96.4035,98.906,89.8967,93.8322,8552816.0
2020-03-16,83.1054,89.3799,76.6674,84.8131,9327208.0
2020-03-17,85.8926,87.9437,66.4804,73.8409,12101621.0
2020-03-18,65.9014,65.9112,45.6964,62.6235,25881829.0
2020-03-19,60.0424,71.3482,51.671,65.5579,17497680.0
2020-03-20,72.3394,82.4381,68.2273,73.1932,18154670.0
2020-03-21,72.3394,82.4381,68.2273,73.1932,18154670.0
2020-03-22,72.3394,82.4381,68.2273,73.1932,18154670.0
2020-03-23,73.625,79.1994,66.029,68.826,12931810.0
2020-03-24,74.6359,79.8477,73.6054,77.6684,9113056.0
2020-03-25,81.9523,90.9567,77.7568,83.6648,8717945.0
2020-03-26,85.9711,94.2179,79.0915,81.2702,10449609.0
2020-03-27,77.2366,81.2506,74.8322,77.3838,5749800.0
2020-03-28,77.2366,81.2506,74.8322,77.3838,5749800.0
2020-03-29,77.2366,81.2506,74.8322,77.3838,5749800.0
2020-03-30,75.2836,76.9716,71.4856,74.7438,6097793.0
2020-03-31,73.5858,77.7666,73.1343,73.4189,5176088.0
2020-04-01,68.6984,70.0822,66.3921,67.8642,7651268.0
2020-04-02,68.0016,69.2774,60.4055,61.8285,8062657.0
2020-04-03,63.1633,63.5067,55.9401,57.9814,10622239.0
2020-04-04,63.1633,63.5067,55.9401,57.9814,10622239.0
2020-04-05,63.1633,63.5067,55.9401,57.9814,10622239.0
2020-04-06,63.3497,69.5816,62.594,69.2774,12186119.0
2020-04-07,76.849,80.4556,71.3285,72.4473,11850384.0
2020-04-08,73.8409,82.3792,73.5662,80.9954,9143563.0
2020-04-09,84.4362,87.3745,78.1886,79.7981,10342955.0
2020-04-10,84.4362,87.3745,78.1886,79.7981,10342955.0
2020-04-11,84.4362,87.3745,78.1886,79.7981,10342955.0
2020-04-12,84.4362,87.3745,78.1886,79.7981,10342955.0
2020-04-13,80.0434,80.0532,74.3022,76.638,4157842.0
2020-04-14,79.4938,81.7511,77.3936,81.1426,6093093.0
2020-04-15,76.5693,80.4654,76.0884,79.2289,4822723.0
2020-04-16,78.6008,79.484,74.8322,78.8952,5398754.0
2020-04-17,83.7092,84.0377,80.7599,82.6932,5299531.0
2020-04-18,83.7092,84.0377,80.7599,82.6932,5299531.0
2020-04-19,83.7092,84.0377,80.7599,82.6932,5299531.0
2020-04-20,80.0925,81.702,77.8156,78.2867,4155031.0
2020-04-21,76.1865,78.5615,75.6762,78.4143,4746956.0
2020-04-22,79.9158,80.9411,77.2857,78.5321,3710079.0
2020-04-23,78.9541,81.9474,78.4732,79.592,4540340.0
2020-04-24,79.7392,80.6519,76.9422,79.2092,3545323.0
2020-04-25,79.7392,80.6519,76.9422,79.2092,3545323.0
2020-04-26,79.7392,80.6519,76.9422,79.2092,3545323.0
2020-04-27,80.8482,84.656,80.014,83.6844,5419851.0
2020-04-28,85.7851,87.0899,82.9484,85.7945,4210942.0
2020-04-29,89.2785,95.638,88.6896,94.2051,7369508.0
2020-04-30,91.8595,92.154,87.6101,89.249,5366076.0
2020-05-01,85.4706,86.8348,82.6638,83.1741,4234307.0
2020-05-02,85.4706,86.8348,82.6638,83.1741,4234307.0
2020-05-03,85.4706,86.8348,82.6638,83.1741,4234307.0
