,BBY US Equity,BBY US Equity,BBY US Equity,BBY US Equity,BBY US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,42.9667,43.9968,42.9649,43.9968,3330873.0
2019-01-02,43.3571,44.894,43.1993,44.5285,3335728.0
2019-01-03,43.7808,44.8525,42.3187,43.6147,6208400.0
2019-01-04,44.1214,44.595,43.6562,43.8224,4910850.0
2019-01-05,44.1214,44.595,43.6562,43.8224,4910850.0
2019-01-06,44.1214,44.595,43.6562,43.8224,4910850.0
2019-01-07,43.9802,46.7051,43.9802,46.3229,4250972.0
2019-01-08,46.8214,47.7851,45.8162,47.6854,4040145.0
2019-01-09,47.5026,48.4123,46.6303,48.0426,5282558.0
2019-01-10,46.8463,47.2949,45.7912,47.2451,3645884.0
2019-01-11,46.8712,47.81,46.5223,46.946,3413355.0
2019-01-12,46.8712,47.81,46.5223,46.946,3413355.0
2019-01-13,46.8712,47.81,46.5223,46.946,3413355.0
2019-01-14,46.6137,48.1672,46.3894,47.5857,2627295.0
2019-01-15,47.5608,47.7019,46.5971,47.0789,3795612.0
2019-01-16,47.0374,47.2368,46.4974,46.7965,2652184.0
2019-01-17,46.838,48.2669,46.5472,48.0343,3293590.0
2019-01-18,48.3915,49.4133,48.3749,48.7737,2807026.0
2019-01-19,48.3915,49.4133,48.3749,48.7737,2807026.0
2019-01-20,48.3915,49.4133,48.3749,48.7737,2807026.0
2019-01-21,48.3915,49.4133,48.3749,48.7737,2807026.0
2019-01-22,48.4164,48.7487,47.5275,47.9928,2520336.0
2019-01-23,48.1672,48.25,46.8463,47.6106,2346269.0
2019-01-24,47.7352,47.9346,47.1205,47.8515,1757775.0
2019-01-25,48.3001,49.3884,48.3001,49.297,2821396.0
2019-01-26,48.3001,49.3884,48.3001,49.297,2821396.0
2019-01-27,48.3001,49.3884,48.3001,49.297,2821396.0
2019-01-28,48.7986,49.4632,48.242,49.43,2746716.0
2019-01-29,49.3801,49.3884,48.458,48.8318,2094660.0
2019-01-30,48.9066,49.2389,48.4829,48.998,2477236.0
2019-01-31,48.998,49.405,48.865,49.214,3653264.0
2019-02-01,49.214,49.214,47.9989,48.5743,3784812.0
2019-02-02,49.214,49.214,47.9989,48.5743,3784812.0
2019-02-03,49.214,49.214,47.9989,48.5743,3784812.0
2019-02-04,48.6823,49.3386,48.3749,49.189,1859478.0
2019-02-05,49.2638,49.513,48.9315,49.4466,3132223.0
2019-02-06,49.513,49.7456,48.8567,49.3967,1900737.0
2019-02-07,49.1558,49.3137,48.242,48.8983,1845950.0
2019-02-08,48.3583,49.0312,48.3084,48.973,1701541.0
2019-02-09,48.3583,49.0312,48.3084,48.973,1701541.0
2019-02-10,48.3583,49.0312,48.3084,48.973,1701541.0
2019-02-11,49.0229,49.0893,48.3666,48.5577,2227139.0
2019-02-12,48.8069,50.2773,48.8069,49.729,2970337.0
2019-02-13,49.9367,50.1527,49.2057,49.4217,3001667.0
2019-02-14,49.0561,49.9243,48.7321,49.4881,2908447.0
2019-02-15,49.8952,50.2026,49.538,49.9949,1951642.0
2019-02-16,49.8952,50.2026,49.538,49.9949,1951642.0
2019-02-17,49.8952,50.2026,49.538,49.9949,1951642.0
2019-02-18,49.8952,50.2026,49.538,49.9949,1951642.0
2019-02-19,50.053,50.2773,49.4383,50.1278,2869899.0
2019-02-20,50.2607,50.485,49.9592,50.1112,2878647.0
