,GL US Equity,GL US Equity,GL US Equity,GL US Equity,GL US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,101.2926,101.7451,101.0229,101.3503,548333.0
2020-01-02,101.5939,102.1051,100.639,101.8157,837106.0
2020-01-03,100.9284,100.9284,100.0506,100.6004,392683.0
2020-01-04,100.9284,100.9284,100.0506,100.6004,392683.0
2020-01-05,100.9284,100.9284,100.0506,100.6004,392683.0
2020-01-06,99.8192,100.1857,99.4237,100.0699,571566.0
2020-01-07,99.7034,100.3321,99.3755,99.9735,311390.0
2020-01-08,100.1374,100.9766,99.4719,99.9253,367558.0
2020-01-09,100.6969,100.9477,100.2146,100.938,311178.0
2020-01-10,100.8994,101.2852,100.3014,100.5522,270411.0
2020-01-11,100.8994,101.2852,100.3014,100.5522,270411.0
2020-01-12,100.8994,101.2852,100.3014,100.5522,270411.0
2020-01-13,100.5136,100.7933,100.1953,100.3979,772172.0
2020-01-14,100.3207,100.5426,99.9735,100.2435,396619.0
2020-01-15,99.8384,100.3014,99.6745,100.041,440349.0
2020-01-16,100.504,100.8319,100.0603,100.7451,577498.0
2020-01-17,101.102,101.6228,100.3689,100.7451,613820.0
2020-01-18,101.102,101.6228,100.3689,100.7451,613820.0
2020-01-19,101.102,101.6228,100.3689,100.7451,613820.0
2020-01-20,101.102,101.6228,100.3689,100.7451,613820.0
2020-01-21,100.2532,100.9669,99.9349,100.1664,381639.0
2020-01-22,100.5426,101.0827,99.8963,99.9831,433604.0
2020-01-23,99.3658,101.2756,99.144,101.0538,386229.0
2020-01-24,101.1695,101.7579,100.2435,101.073,299955.0
2020-01-25,101.1695,101.7579,100.2435,101.073,299955.0
2020-01-26,101.1695,101.7579,100.2435,101.073,299955.0
2020-01-27,99.1729,100.1079,99.0186,99.578,366211.0
2020-01-28,100.1182,101.9025,99.6898,101.2659,474789.0
2020-01-29,101.5071,102.4813,101.5071,102.2015,299855.0
2020-01-30,101.4685,103.5615,101.4685,103.4844,329542.0
2020-01-31,102.597,102.9153,100.176,100.5618,506683.0
2020-02-01,102.597,102.9153,100.176,100.5618,506683.0
2020-02-02,102.597,102.9153,100.176,100.5618,506683.0
2020-02-03,101.4781,102.3366,101.3383,101.6711,436382.0
2020-02-04,102.761,103.8509,102.761,103.33,454379.0
2020-02-05,101.8447,104.7961,100.8994,104.555,652262.0
2020-02-06,105.1144,105.2302,103.6676,104.2463,370313.0
2020-02-07,104.092,105.1337,103.9394,104.7286,383013.0
2020-02-08,104.092,105.1337,103.9394,104.7286,383013.0
2020-02-09,104.092,105.1337,103.9394,104.7286,383013.0
2020-02-10,104.2078,105.0855,104.0631,104.9312,241481.0
2020-02-11,105.1337,105.9294,105.0566,105.5581,424282.0
2020-02-12,105.8957,106.4841,105.399,105.5099,236882.0
2020-02-13,105.2784,106.7445,105.1144,106.6673,334420.0
2020-02-14,106.6963,107.0628,106.2043,107.0145,288507.0
2020-02-15,106.6963,107.0628,106.2043,107.0145,288507.0
2020-02-16,106.6963,107.0628,106.2043,107.0145,288507.0
2020-02-17,106.6963,107.0628,106.2043,107.0145,288507.0
2020-02-18,106.6673,107.1303,105.8185,106.4165,298680.0
2020-02-19,106.8795,107.1399,106.3297,106.648,215049.0
2020-02-20,106.3587,107.4775,105.4713,107.2171,414116.0
2020-02-21,106.7831,107.1785,105.7414,106.2333,428846.0
2020-02-22,106.7831,107.1785,105.7414,106.2333,428846.0
2020-02-23,106.7831,107.1785,105.7414,106.2333,428846.0
2020-02-24,103.8702,104.6322,102.4523,102.8864,371799.0
2020-02-25,103.1178,103.1178,99.0475,99.4237,454458.0
2020-02-26,99.8288,100.4943,97.0992,97.1667,676028.0
2020-02-27,95.4884,96.9256,92.0547,92.0933,744261.0
2020-02-28,89.19,90.4825,87.0681,89.3733,1402357.0
2020-02-29,89.19,90.4825,87.0681,89.3733,1402357.0
2020-03-01,89.19,90.4825,87.0681,89.3733,1402357.0
2020-03-02,89.8556,92.7492,88.8168,92.7299,773204.0
2020-03-03,92.2862,93.3761,87.7529,87.9458,822617.0
2020-03-04,89.4794,91.7557,87.1259,91.6785,787774.0
2020-03-05,88.7367,89.1804,85.3898,86.4701,639245.0
2020-03-06,83.0074,84.5217,81.7246,83.5283,990307.0
2020-03-07,83.0074,84.5217,81.7246,83.5283,990307.0
2020-03-08,83.0074,84.5217,81.7246,83.5283,990307.0
2020-03-09,76.1978,77.3167,71.5295,72.3108,1235854.0
2020-03-10,74.5099,75.9856,71.2401,75.9374,959636.0
2020-03-11,73.7479,74.4906,70.2949,70.7675,1045636.0
2020-03-12,65.5784,66.2584,60.3506,61.5177,1134672.0
2020-03-13,65.7616,69.1085,61.537,69.041,1003281.0
2020-03-14,65.7616,69.1085,61.537,69.041,1003281.0
2020-03-15,65.7616,69.1085,61.537,69.041,1003281.0
2020-03-16,60.3506,65.2408,59.415,59.7526,947257.0
2020-03-17,61.0451,65.3855,58.5759,65.2311,928798.0
2020-03-18,61.6527,66.5622,59.8105,64.6813,1512504.0
2020-03-19,63.331,64.7103,60.1673,62.2122,804842.0
2020-03-20,62.3279,64.6042,58.8652,59.2318,1224541.0
2020-03-21,62.3279,64.6042,58.8652,59.2318,1224541.0
2020-03-22,62.3279,64.6042,58.8652,59.2318,1224541.0
2020-03-23,59.3186,59.3186,54.7274,56.0874,720120.0
2020-03-24,58.4216,63.2731,58.3637,63.0609,660401.0
2020-03-25,62.598,69.1085,61.4116,65.4144,978278.0
2020-03-26,66.2921,70.4107,64.6945,69.7451,1027132.0
2020-03-27,67.6425,70.401,66.4754,68.7034,631207.0
2020-03-28,67.6425,70.401,66.4754,68.7034,631207.0
2020-03-29,67.6425,70.401,66.4754,68.7034,631207.0
2020-03-30,68.4623,71.9925,66.514,71.5874,808352.0
2020-03-31,70.5939,72.1275,68.7613,69.4172,869094.0
2020-04-01,65.6555,67.2036,62.733,63.6782,857078.0
2020-04-02,62.9213,65.62,62.7859,64.7688,768738.0
2020-04-03,63.6565,64.5367,61.0158,61.838,816737.0
2020-04-04,63.6565,64.5367,61.0158,61.838,816737.0
2020-04-05,63.6565,64.5367,61.0158,61.838,816737.0
2020-04-06,65.591,70.1227,65.1364,69.5182,715250.0
2020-04-07,73.2035,74.0934,68.7153,68.9668,727662.0
2020-04-08,69.2377,73.1551,68.3284,72.7489,614490.0
2020-04-09,73.5807,78.6106,73.455,77.769,668401.0
2020-04-10,73.5807,78.6106,73.455,77.769,668401.0
2020-04-11,73.5807,78.6106,73.455,77.769,668401.0
2020-04-12,73.5807,78.6106,73.455,77.769,668401.0
2020-04-13,76.173,77.6143,74.9881,77.1016,517508.0
2020-04-14,78.833,78.9926,76.057,77.4015,834703.0
2020-04-15,74.6641,74.7415,72.1298,72.5457,698252.0
2020-04-16,71.7622,72.686,70.1759,70.4177,610376.0
2020-04-17,73.6388,75.2735,72.4442,74.7221,646608.0
2020-04-18,73.6388,75.2735,72.4442,74.7221,646608.0
2020-04-19,73.6388,75.2735,72.4442,74.7221,646608.0
2020-04-20,73.3389,74.1901,71.6462,73.1261,723359.0
2020-04-21,71.1529,72.3039,70.5048,71.1045,598960.0
2020-04-22,73.1938,73.1938,70.8046,70.824,503657.0
2020-04-23,70.5048,74.5867,69.3054,72.4103,871184.0
2020-04-24,73.2132,73.7161,71.4721,73.5807,599898.0
2020-04-25,73.2132,73.7161,71.4721,73.5807,599898.0
2020-04-26,73.2132,73.7161,71.4721,73.5807,599898.0
2020-04-27,73.8709,79.7906,73.8419,79.5391,863672.0
2020-04-28,81.6768,83.2632,80.105,80.3517,759725.0
2020-04-29,82.8956,83.5824,80.9224,82.5957,439484.0
2020-04-30,80.3807,81.8026,79.5585,79.6456,485860.0
2020-05-01,78.1559,78.3833,76.468,77.3725,532169.0
2020-05-02,78.1559,78.3833,76.468,77.3725,532169.0
2020-05-03,78.1559,78.3833,76.468,77.3725,532169.0
2020-05-04,76.4052,77.1016,74.9252,75.9892,641295.0
2020-05-05,77.769,77.9722,74.9639,75.0026,475879.0
2020-05-06,75.5153,75.7571,71.6655,71.7622,529232.0
2020-05-07,72.5844,75.2976,72.5844,73.2519,661663.0
2020-05-08,74.9156,75.2058,73.0487,75.2058,645465.0
2020-05-09,74.9156,75.2058,73.0487,75.2058,645465.0
2020-05-10,74.9156,75.2058,73.0487,75.2058,645465.0
2020-05-11,73.9676,74.7511,72.5457,72.6521,612485.0
2020-05-12,72.5264,72.923,69.2667,69.2667,574209.0
2020-05-13,68.4929,68.4929,63.7435,64.3723,821761.0
2020-05-14,63.1535,65.3347,60.6966,65.1654,754360.0
2020-05-15,64.3045,66.7711,63.1728,66.5099,2836480.0
2020-05-16,64.3045,66.7711,63.1728,66.5099,2836480.0
2020-05-17,64.3045,66.7711,63.1728,66.5099,2836480.0
2020-05-18,70.1179,72.5844,69.257,71.5204,1604318.0
2020-05-19,71.2689,71.414,68.4251,68.4348,481570.0
2020-05-20,69.4601,71.2109,69.228,70.2243,447479.0
2020-05-21,69.76,71.4334,69.76,70.9788,397297.0
2020-05-22,70.9594,71.0465,69.3247,70.1662,546926.0
2020-05-23,70.9594,71.0465,69.3247,70.1662,546926.0
2020-05-24,70.9594,71.0465,69.3247,70.1662,546926.0
2020-05-25,70.9594,71.0465,69.3247,70.1662,546926.0
2020-05-26,73.3389,75.67,72.8069,74.3159,471966.0
2020-05-27,77.7207,78.4026,75.583,75.8732,578275.0
2020-05-28,76.589,76.589,74.2191,74.5577,516476.0
2020-05-29,73.5517,75.2638,72.7876,74.4996,879002.0
2020-05-30,73.5517,75.2638,72.7876,74.4996,879002.0
2020-05-31,73.5517,75.2638,72.7876,74.4996,879002.0
2020-06-01,74.7995,77.3338,73.8806,76.6567,696229.0
2020-06-02,78.0302,78.3542,75.9409,76.3568,620497.0
2020-06-03,78.2914,80.0615,77.711,78.214,521309.0
2020-06-04,77.6239,79.9744,76.9372,79.9357,651268.0
2020-06-05,84.5013,85.5363,82.8859,83.1084,611761.0
2020-06-06,84.5013,85.5363,82.8859,83.1084,611761.0
2020-06-07,84.5013,85.5363,82.8859,83.1084,611761.0
