,TROW US Equity,TROW US Equity,TROW US Equity,TROW US Equity,TROW US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,75.9609,76.4642,75.3422,76.1589,1449392.0
2019-01-02,74.4265,76.2414,74.4265,75.763,1180463.0
2019-01-03,75.0783,75.598,73.0736,73.2634,1908997.0
2019-01-04,74.2368,75.9444,73.5933,75.8784,1823811.0
2019-01-05,74.2368,75.9444,73.5933,75.8784,1823811.0
2019-01-06,74.2368,75.9444,73.5933,75.8784,1823811.0
2019-01-07,75.9444,76.6456,75.1855,75.7712,1372821.0
2019-01-08,76.4559,76.9839,75.4247,76.1589,1691012.0
2019-01-09,76.8436,77.2809,75.4907,76.4312,1470440.0
2019-01-10,76.2579,76.5714,75.4,76.1342,1678084.0
2019-01-11,75.6805,75.6805,73.8656,74.4513,2427268.0
2019-01-12,75.6805,75.6805,73.8656,74.4513,2427268.0
2019-01-13,75.6805,75.6805,73.8656,74.4513,2427268.0
2019-01-14,73.7088,75.9568,73.6098,75.2267,1472046.0
2019-01-15,75.2102,76.5302,75.1236,76.5137,1297548.0
2019-01-16,76.8766,79.0586,76.7199,78.5925,2030894.0
2019-01-17,77.9656,78.7121,76.9921,78.1553,1865916.0
2019-01-18,78.972,79.8299,78.5018,79.6979,1554695.0
2019-01-19,78.972,79.8299,78.5018,79.6979,1554695.0
2019-01-20,78.972,79.8299,78.5018,79.6979,1554695.0
2019-01-21,78.972,79.8299,78.5018,79.6979,1554695.0
2019-01-22,79.3432,79.4505,77.5613,77.9326,1713271.0
2019-01-23,78.1635,78.1635,76.5137,77.2314,1435890.0
2019-01-24,77.1241,77.8501,76.9261,77.4293,1016234.0
2019-01-25,78.0398,78.7493,77.8253,77.9986,1042586.0
2019-01-26,78.0398,78.7493,77.8253,77.9986,1042586.0
2019-01-27,78.0398,78.7493,77.8253,77.9986,1042586.0
2019-01-28,77.5118,78.0646,77.1324,77.9161,1053647.0
2019-01-29,78.246,78.2955,76.4889,76.5137,1681070.0
2019-01-30,74.2533,74.7978,71.4485,73.6181,5357113.0
2019-01-31,73.8326,77.2149,73.8326,77.0994,2456508.0
2019-02-01,77.0911,77.9573,76.8024,77.6686,1309496.0
2019-02-02,77.0911,77.9573,76.8024,77.6686,1309496.0
2019-02-03,77.0911,77.9573,76.8024,77.6686,1309496.0
2019-02-04,77.9243,78.5265,77.3881,78.51,1267858.0
2019-02-05,78.5678,79.1401,77.4046,78.0398,1678027.0
2019-02-06,77.9986,78.4357,77.4293,77.7263,1201747.0
2019-02-07,77.4128,77.9491,76.5219,77.3304,1450437.0
2019-02-08,77.1654,77.3798,75.3835,76.2084,1953588.0
2019-02-09,77.1654,77.3798,75.3835,76.2084,1953588.0
2019-02-10,77.1654,77.3798,75.3835,76.2084,1953588.0
2019-02-11,76.7034,76.7735,76.2579,76.4477,1461475.0
2019-02-12,77.3139,80.1434,77.2355,80.0939,1599068.0
2019-02-13,80.3826,81.6118,80.3826,80.9519,1694171.0
2019-02-14,80.4899,80.8776,79.6649,80.3002,1403307.0
2019-02-15,80.6714,80.7126,79.8217,80.4981,1696044.0
2019-02-16,80.6714,80.7126,79.8217,80.4981,1696044.0
2019-02-17,80.6714,80.7126,79.8217,80.4981,1696044.0
2019-02-18,80.6714,80.7126,79.8217,80.4981,1696044.0
2019-02-19,80.3002,80.4981,79.5577,80.3496,1553321.0
2019-02-20,80.0444,80.9931,79.6732,80.9931,1446114.0
2019-02-21,81.0591,81.1416,79.7557,80.1022,1190344.0
2019-02-22,80.1764,80.9519,80.1764,80.8859,1007565.0
2019-02-23,80.1764,80.9519,80.1764,80.8859,1007565.0
2019-02-24,80.1764,80.9519,80.1764,80.8859,1007565.0
2019-02-25,81.5046,82.1315,80.7374,80.9354,1100038.0
2019-02-26,80.8199,81.7768,80.4404,81.2653,1124524.0
2019-02-27,81.1993,82.742,81.0674,82.6925,1096766.0
2019-02-28,82.8245,83.1668,82.1728,82.8492,1317581.0
2019-03-01,83.2452,84.4125,82.9194,83.0472,1099690.0
2019-03-02,83.2452,84.4125,82.9194,83.0472,1099690.0
2019-03-03,83.2452,84.4125,82.9194,83.0472,1099690.0
2019-03-04,83.4267,83.9299,81.4798,82.115,1975947.0
2019-03-05,82.28,82.28,81.4716,81.5128,1152693.0
2019-03-06,81.5706,81.884,80.8859,80.8941,1125976.0
2019-03-07,80.6961,80.9684,79.2277,79.4175,1223987.0
2019-03-08,78.8318,79.9537,78.4275,79.8877,1106800.0
2019-03-09,78.8318,79.9537,78.4275,79.8877,1106800.0
2019-03-10,78.8318,79.9537,78.4275,79.8877,1106800.0
2019-03-11,80.3991,81.7933,80.3991,81.7438,1043904.0
2019-03-12,81.8675,82.9812,81.8675,82.8492,1241405.0
2019-03-13,83.2782,83.6989,82.742,83.6082,1227025.0
2019-03-14,83.9074,83.9074,82.9682,83.683,1180380.0
2019-03-15,83.5001,85.2539,83.2757,85.1459,2842189.0
2019-03-16,83.5001,85.2539,83.2757,85.1459,2842189.0
2019-03-17,83.5001,85.2539,83.2757,85.1459,2842189.0
2019-03-18,85.2041,85.7443,85.1126,85.4867,1539187.0
2019-03-19,85.603,86.5838,85.0212,85.3121,1684725.0
2019-03-20,85.2539,85.2539,83.7038,83.8326,1122452.0
2019-03-21,83.6165,85.2041,83.1594,85.0378,1210151.0
2019-03-22,84.3563,84.5142,81.7547,82.0871,1243016.0
2019-03-23,84.3563,84.5142,81.7547,82.0871,1243016.0
2019-03-24,84.3563,84.5142,81.7547,82.0871,1243016.0
2019-03-25,82.2035,82.6108,81.098,81.6383,950105.0
2019-03-26,82.3448,83.0929,82.0207,83.0264,942070.0
2019-03-27,83.1843,83.7412,81.7796,82.3614,872199.0
2019-03-28,82.4861,83.0596,82.0705,82.3614,1266068.0
2019-03-29,83.1427,83.3505,82.6607,83.2175,935354.0
2019-03-30,83.1427,83.3505,82.6607,83.2175,935354.0
2019-03-31,83.1427,83.3505,82.6607,83.2175,935354.0
2019-04-01,84.2316,86.135,84.2067,85.8607,1802742.0
2019-04-02,85.8856,86.1849,85.4451,85.8358,686969.0
2019-04-03,86.3926,86.6794,85.7942,85.8607,948637.0
2019-04-04,85.8191,86.2597,85.0378,85.6197,646533.0
2019-04-05,86.0186,86.8997,85.7028,86.8082,1035023.0
2019-04-06,86.0186,86.8997,85.7028,86.8082,1035023.0
2019-04-07,86.0186,86.8997,85.7028,86.8082,1035023.0
2019-04-08,86.8082,87.0991,86.5256,86.8581,828237.0
2019-04-09,86.5007,86.8498,85.8274,86.2929,782229.0
