,PEP US Equity,PEP US Equity,PEP US Equity,PEP US Equity,PEP US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,121.255,121.763,120.67,121.238,3229369.0
2020-01-02,121.415,121.734,119.88,120.484,3596407.0
2020-01-03,120.164,121.344,119.867,120.315,4000070.0
2020-01-04,120.164,121.344,119.867,120.315,4000070.0
2020-01-05,120.164,121.344,119.867,120.315,4000070.0
2020-01-06,120.022,120.927,119.935,120.776,4085432.0
2020-01-07,120.643,120.705,118.825,118.878,5722453.0
2020-01-08,119.277,120.076,118.931,119.49,3681357.0
2020-01-09,120.014,120.093,119.339,119.57,3954737.0
2020-01-10,119.907,120.129,119.215,119.339,3100675.0
2020-01-11,119.907,120.129,119.215,119.339,3100675.0
2020-01-12,119.907,120.129,119.215,119.339,3100675.0
2020-01-13,119.446,121.167,119.428,121.114,5127511.0
2020-01-14,120.803,121.477,120.373,121.397,4161493.0
2020-01-15,121.566,123.526,121.353,123.482,5002877.0
2020-01-16,123.615,124.334,122.95,123.846,4977937.0
2020-01-17,124.28,125.363,124.103,125.309,6909002.0
2020-01-18,124.28,125.363,124.103,125.309,6909002.0
2020-01-19,124.28,125.363,124.103,125.309,6909002.0
2020-01-20,124.28,125.363,124.103,125.309,6909002.0
2020-01-21,124.733,126.072,124.493,125.842,4439998.0
2020-01-22,125.797,127.359,125.718,127.19,5366139.0
2020-01-23,126.933,127.607,126.294,127.43,3916109.0
2020-01-24,127.589,127.873,126.365,126.778,2791516.0
2020-01-25,127.589,127.873,126.365,126.778,2791516.0
2020-01-26,127.589,127.873,126.365,126.778,2791516.0
2020-01-27,125.655,127.172,125.123,126.09,3895268.0
2020-01-28,126.081,126.782,125.753,126.356,2908401.0
2020-01-29,125.966,126.365,125.23,125.726,3263305.0
2020-01-30,126.25,127.705,125.54,127.589,4058489.0
2020-01-31,127.572,128.317,125.589,125.984,4753380.0
2020-02-01,127.572,128.317,125.589,125.984,4753380.0
2020-02-02,127.572,128.317,125.589,125.984,4753380.0
2020-02-03,126.649,126.92,125.824,126.418,3978171.0
2020-02-04,127.03,127.793,126.055,127.048,3494609.0
2020-02-05,127.456,128.263,127.234,128.006,3504869.0
2020-02-06,128.308,128.891,127.802,128.033,3571487.0
2020-02-07,127.971,129.266,127.589,128.955,3138839.0
2020-02-08,127.971,129.266,127.589,128.955,3138839.0
2020-02-09,127.971,129.266,127.589,128.955,3138839.0
2020-02-10,129.452,129.887,128.742,129.213,3775732.0
2020-02-11,129.701,129.834,128.512,129.585,3870894.0
2020-02-12,130.117,130.171,128.938,129.585,4217415.0
2020-02-13,128.849,130.517,127.314,129.931,5041366.0
2020-02-14,130.02,130.534,129.461,130.392,3555977.0
2020-02-15,130.02,130.534,129.461,130.392,3555977.0
2020-02-16,130.02,130.534,129.461,130.392,3555977.0
2020-02-17,130.02,130.534,129.461,130.392,3555977.0
2020-02-18,130.499,130.579,128.982,129.159,4938697.0
2020-02-19,129.177,129.94,129.062,129.097,2978831.0
2020-02-20,129.31,129.337,127.696,128.769,2806193.0
2020-02-21,128.68,129.443,128.454,129.381,4271865.0
2020-02-22,128.68,129.443,128.454,129.381,4271865.0
2020-02-23,128.68,129.443,128.454,129.381,4271865.0
2020-02-24,129.39,130.534,126.463,126.534,5027743.0
2020-02-25,126.489,128.077,124.697,125.168,7586027.0
2020-02-26,126.352,127.518,125.221,125.948,6159441.0
2020-02-27,125.443,126.977,120.918,120.972,8604968.0
2020-02-28,118.195,118.647,113.857,117.122,14169964.0
2020-02-29,118.195,118.647,113.857,117.122,14169964.0
2020-03-01,118.195,118.647,113.857,117.122,14169964.0
2020-03-02,117.095,122.214,116.847,122.045,8504547.0
