,NGHC US Equity,NGHC US Equity,NGHC US Equity,NGHC US Equity,NGHC US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,21.7753,22.14,21.7206,22.0762,288991.0
2019-01-02,21.7297,22.2312,21.6932,22.1947,414471.0
2019-01-03,22.0215,22.3452,21.52,21.5838,225878.0
2019-01-04,21.7662,22.3589,21.4835,22.3133,255860.0
2019-01-05,21.7662,22.3589,21.4835,22.3133,255860.0
2019-01-06,21.7662,22.3589,21.4835,22.3133,255860.0
2019-01-07,22.3224,22.3589,21.9941,22.0853,297329.0
2019-01-08,22.1491,22.2495,21.5108,21.6112,306681.0
2019-01-09,21.675,22.0669,21.6476,21.7206,293665.0
2019-01-10,21.7297,21.9029,21.7115,21.8026,186768.0
2019-01-11,21.6841,21.9033,21.6841,21.7662,150936.0
2019-01-12,21.6841,21.9033,21.6841,21.7662,150936.0
2019-01-13,21.6841,21.9033,21.6841,21.7662,150936.0
2019-01-14,21.6294,21.8391,21.5291,21.6294,134129.0
2019-01-15,21.5291,21.83,21.4561,21.757,132608.0
2019-01-16,21.83,21.9394,21.5564,21.602,219835.0
2019-01-17,21.52,21.8847,21.4835,21.7935,233117.0
2019-01-18,21.8026,22.0853,21.6932,21.9121,203027.0
2019-01-19,21.8026,22.0853,21.6932,21.9121,203027.0
2019-01-20,21.8026,22.0853,21.6932,21.9121,203027.0
2019-01-21,21.8026,22.0853,21.6932,21.9121,203027.0
2019-01-22,21.8209,21.9531,21.447,21.8118,231697.0
2019-01-23,21.8118,22.1674,21.577,21.9303,166472.0
2019-01-24,21.9212,22.1902,21.9212,21.985,139972.0
2019-01-25,22.0762,22.2677,21.8391,21.9668,145256.0
2019-01-26,22.0762,22.2677,21.8391,21.9668,145256.0
2019-01-27,22.0762,22.2677,21.8391,21.9668,145256.0
2019-01-28,21.8209,21.9029,21.5838,21.6841,133924.0
2019-01-29,21.675,21.757,21.5108,21.6385,113263.0
2019-01-30,21.7206,21.9987,21.447,21.8756,100299.0
2019-01-31,21.8026,22.0671,21.675,22.0215,146822.0
2019-02-01,22.0215,22.1218,21.9212,22.0033,164433.0
2019-02-02,22.0215,22.1218,21.9212,22.0033,164433.0
2019-02-03,22.0215,22.1218,21.9212,22.0033,164433.0
2019-02-04,21.9668,22.368,21.602,22.3589,210351.0
2019-02-05,22.3954,22.5777,22.2039,22.5777,138996.0
2019-02-06,22.5413,22.6644,22.4774,22.6324,144419.0
2019-02-07,22.5413,22.6598,22.3361,22.4318,154631.0
2019-02-08,22.3224,22.5777,22.1856,22.5686,145148.0
2019-02-09,22.3224,22.5777,22.1856,22.5686,145148.0
2019-02-10,22.3224,22.5777,22.1856,22.5686,145148.0
2019-02-11,22.5777,22.6598,22.3862,22.6507,145671.0
2019-02-12,22.7601,22.9425,22.5595,22.6689,221231.0
2019-02-13,22.6598,23.4714,22.5686,23.4349,237680.0
2019-02-14,23.2981,23.346,22.8513,22.8786,206429.0
2019-02-15,22.9972,23.3528,22.9972,23.2707,221515.0
2019-02-16,22.9972,23.3528,22.9972,23.2707,221515.0
2019-02-17,22.9972,23.3528,22.9972,23.2707,221515.0
2019-02-18,22.9972,23.3528,22.9972,23.2707,221515.0
2019-02-19,23.0975,23.2707,23.0641,23.1796,138995.0
2019-02-20,23.1796,23.4166,23.061,23.4075,147261.0
2019-02-21,23.371,23.5716,23.2434,23.4714,112022.0
2019-02-22,23.5899,23.6264,23.1248,23.2799,167924.0
2019-02-23,23.5899,23.6264,23.1248,23.2799,167924.0
2019-02-24,23.5899,23.6264,23.1248,23.2799,167924.0
2019-02-25,23.3893,23.7449,23.2343,23.3437,218881.0
