,NKE US Equity,NKE US Equity,NKE US Equity,NKE US Equity,NKE US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,96.2436,97.0187,96.1766,96.9421,3213979.0
2020-01-02,96.99,97.8033,96.6598,97.7938,5644162.0
2020-01-03,96.2532,97.6024,95.9852,97.5258,4542003.0
2020-01-04,96.2532,97.6024,95.9852,97.5258,4542003.0
2020-01-05,96.2532,97.6024,95.9852,97.5258,4542003.0
2020-01-06,96.5976,97.4493,96.5198,97.4397,4612752.0
2020-01-07,97.4206,98.3105,96.4662,97.3919,6818719.0
2020-01-08,96.9421,97.7363,96.502,97.1718,4942205.0
2020-01-09,97.545,97.9947,97.0139,97.1048,5007639.0
2020-01-10,97.4971,97.5354,96.4158,96.5498,5135459.0
2020-01-11,97.4971,97.5354,96.4158,96.5498,5135459.0
2020-01-12,97.4971,97.5354,96.4158,96.5498,5135459.0
2020-01-13,96.6455,97.9277,96.4733,97.7555,6722718.0
2020-01-14,98.033,99.4109,97.9373,98.4827,5088633.0
2020-01-15,98.7985,99.229,98.0569,98.3583,4209191.0
2020-01-16,98.4444,99.1047,98.4157,98.9133,6571710.0
2020-01-17,98.9707,100.0424,98.8846,100.0233,6271369.0
2020-01-18,98.9707,100.0424,98.8846,100.0233,6271369.0
2020-01-19,98.9707,100.0424,98.8846,100.0233,6271369.0
2020-01-20,98.9707,100.0424,98.8846,100.0233,6271369.0
2020-01-21,99.7554,100.1764,99.3343,100.0711,4854693.0
2020-01-22,100.473,101.0663,99.918,99.985,5031401.0
2020-01-23,99.5449,99.8702,98.1956,98.5784,7102868.0
2020-01-24,99.1238,99.4109,97.277,97.6311,3839278.0
2020-01-25,99.1238,99.4109,97.277,97.6311,3839278.0
2020-01-26,99.1238,99.4109,97.277,97.6311,3839278.0
2020-01-27,93.9758,96.368,93.7844,95.9183,9841427.0
2020-01-28,96.0139,96.6933,95.2293,96.0809,5673193.0
2020-01-29,96.7125,96.9326,94.8944,95.5355,4504110.0
2020-01-30,94.7509,95.4494,93.172,93.9566,7065065.0
2020-01-31,93.8801,94.2054,91.7845,92.1481,8780345.0
2020-02-01,93.8801,94.2054,91.7845,92.1481,8780345.0
2020-02-02,93.8801,94.2054,91.7845,92.1481,8780345.0
2020-02-03,94.7317,96.5689,94.3203,94.9901,9727690.0
2020-02-04,97.5163,98.3487,96.8943,97.0091,6559561.0
2020-02-05,97.3727,97.5737,95.2389,96.2053,6108309.0
2020-02-06,96.5498,97.1526,95.8369,95.947,5641823.0
2020-02-07,95.5068,96.0714,94.703,95.1528,4122035.0
2020-02-08,95.5068,96.0714,94.703,95.1528,4122035.0
2020-02-09,95.5068,96.0714,94.703,95.1528,4122035.0
2020-02-10,94.9422,96.1766,94.7317,95.7077,4213929.0
2020-02-11,95.7556,96.0235,95.1528,95.7077,4871893.0
2020-02-12,96.3967,98.6358,96.1096,98.5593,8075612.0
2020-02-13,98.0904,99.2674,97.2962,98.9133,5386913.0
2020-02-14,99.0664,99.4109,98.0282,99.076,4305480.0
2020-02-15,99.0664,99.4109,98.0282,99.076,4305480.0
2020-02-16,99.0664,99.4109,98.0282,99.076,4305480.0
2020-02-17,99.0664,99.4109,98.0282,99.076,4305480.0
2020-02-18,98.5593,98.9229,97.2292,97.6024,4916709.0
2020-02-19,98.2339,98.9324,98.0138,98.0425,6200501.0
2020-02-20,98.0425,98.2052,96.2149,98.1095,6427606.0
2020-02-21,97.6024,97.6789,95.3346,95.9278,5750854.0
2020-02-22,97.6024,97.6789,95.3346,95.9278,5750854.0
2020-02-23,97.6024,97.6789,95.3346,95.9278,5750854.0
2020-02-24,91.4209,92.8849,91.1434,91.7749,8364218.0
2020-02-25,92.196,92.5883,88.6268,88.8947,9602121.0
2020-02-26,89.067,90.5693,88.0239,88.0335,9308916.0
2020-02-27,86.1197,89.0478,84.6844,84.7323,12825658.0
2020-02-28,82.5493,85.8501,81.7049,85.7638,16565661.0
2020-02-29,82.5493,85.8501,81.7049,85.7638,16565661.0
2020-03-01,82.5493,85.8501,81.7049,85.7638,16565661.0
2020-03-02,85.9749,89.3717,84.3533,88.9303,14102048.0
2020-03-03,88.9878,91.1372,86.9056,87.2511,14767611.0
2020-03-04,88.3545,90.0241,87.1647,89.9954,6904443.0
2020-03-05,87.5677,87.9707,86.3011,86.9152,8851096.0
2020-03-06,84.7851,85.7734,82.4054,84.7851,12336707.0
2020-03-07,84.7851,85.7734,82.4054,84.7851,12336707.0
