,FHI US Equity,FHI US Equity,FHI US Equity,FHI US Equity,FHI US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,20.3827,20.5903,20.0444,20.4135,630509.0
2019-01-02,20.1598,20.375,19.9445,20.1674,1023518.0
2019-01-03,20.0752,20.129,19.5447,19.7984,934403.0
2019-01-04,20.0521,20.3597,19.8138,19.9445,1004347.0
2019-01-05,20.0521,20.3597,19.8138,19.9445,1004347.0
2019-01-06,20.0521,20.3597,19.8138,19.9445,1004347.0
2019-01-07,19.9829,20.252,19.7369,20.0137,812803.0
2019-01-08,20.2059,20.3097,19.8371,19.9445,570713.0
2019-01-09,20.0906,20.2366,19.9137,20.0137,501434.0
2019-01-10,20.0291,20.0752,19.7984,19.9214,604742.0
2019-01-11,19.7369,19.7369,18.9757,19.4524,702338.0
2019-01-12,19.7369,19.7369,18.9757,19.4524,702338.0
2019-01-13,19.7369,19.7369,18.9757,19.4524,702338.0
2019-01-14,19.3986,19.5793,19.3217,19.3678,652484.0
2019-01-15,19.3217,19.4447,18.9065,19.4447,824595.0
2019-01-16,19.6139,19.9522,19.5908,19.8753,695814.0
2019-01-17,19.8291,20.2351,19.7215,19.9829,807902.0
2019-01-18,20.0906,20.548,20.0521,20.3212,883603.0
2019-01-19,20.0906,20.548,20.0521,20.3212,883603.0
2019-01-20,20.0906,20.548,20.0521,20.3212,883603.0
2019-01-21,20.0906,20.548,20.0521,20.3212,883603.0
2019-01-22,20.1444,20.3827,20.0598,20.2828,669251.0
2019-01-23,20.3212,20.375,19.8368,19.9137,1010902.0
2019-01-24,19.8983,19.9368,19.2371,19.2909,1310131.0
2019-01-25,19.314,19.8445,18.9526,19.5908,1613577.0
2019-01-26,19.314,19.8445,18.9526,19.5908,1613577.0
2019-01-27,19.314,19.8445,18.9526,19.5908,1613577.0
2019-01-28,19.7138,20.3443,19.7138,20.2905,1222780.0
2019-01-29,20.3443,20.7825,20.0675,20.5365,1693989.0
2019-01-30,20.5673,20.698,19.8368,19.9137,798538.0
2019-01-31,19.8522,20.1598,19.7446,20.0906,977790.0
2019-02-01,20.129,20.2059,19.8445,19.9906,920701.0
2019-02-02,20.129,20.2059,19.8445,19.9906,920701.0
2019-02-03,20.129,20.2059,19.8445,19.9906,920701.0
2019-02-04,20.006,20.2828,19.9599,20.1905,339311.0
2019-02-05,20.2443,20.575,20.2213,20.5442,693135.0
2019-02-06,20.5058,21.0747,20.5058,21.0055,1207659.0
2019-02-07,21.0055,21.254,20.757,21.2462,798139.0
2019-02-08,21.2851,21.3084,20.9512,21.2385,1011473.0
2019-02-09,21.2851,21.3084,20.9512,21.2385,1011473.0
2019-02-10,21.2851,21.3084,20.9512,21.2385,1011473.0
2019-02-11,21.2773,21.5724,21.1801,21.5491,675361.0
2019-02-12,21.6578,21.7432,21.4831,21.5646,1093523.0
2019-02-13,21.6345,21.8131,21.5103,21.6112,920654.0
2019-02-14,21.5103,21.7199,21.3783,21.619,901933.0
2019-02-15,21.7432,22.1781,21.6501,22.0306,972851.0
2019-02-16,21.7432,22.1781,21.6501,22.0306,972851.0
2019-02-17,21.7432,22.1781,21.6501,22.0306,972851.0
2019-02-18,21.7432,22.1781,21.6501,22.0306,972851.0
2019-02-19,21.8985,22.1703,21.3006,22.0694,579129.0
2019-02-20,21.984,22.3023,21.9218,22.2791,870824.0
2019-02-21,22.2014,22.4887,22.1315,22.4111,934994.0
2019-02-22,22.4344,22.4965,22.147,22.4654,450309.0
2019-02-23,22.4344,22.4965,22.147,22.4654,450309.0
2019-02-24,22.4344,22.4965,22.147,22.4654,450309.0
2019-02-25,22.5198,22.8304,22.4344,22.4887,818335.0
2019-02-26,22.4654,22.6052,22.2868,22.4266,749926.0
2019-02-27,22.4344,22.8071,22.2402,22.7527,694865.0
2019-02-28,22.8304,23.242,22.776,23.1022,890184.0
2019-03-01,23.2575,23.5681,22.9158,22.9469,1090223.0
2019-03-02,23.2575,23.5681,22.9158,22.9469,1090223.0
2019-03-03,23.2575,23.5681,22.9158,22.9469,1090223.0
2019-03-04,22.9314,23.3119,22.8537,22.9779,734011.0
2019-03-05,22.9624,23.3623,22.9624,23.2109,819144.0
2019-03-06,23.1488,23.5604,23.0711,23.1643,1033693.0
2019-03-07,23.1333,23.1643,22.5353,22.6363,659405.0
2019-03-08,22.5974,22.7722,22.3101,22.7372,499282.0
2019-03-09,22.5974,22.7722,22.3101,22.7372,499282.0
2019-03-10,22.5974,22.7722,22.3101,22.7372,499282.0
2019-03-11,22.877,23.1798,22.7294,23.1721,562719.0
2019-03-12,23.1798,23.2303,22.9236,23.0401,550856.0
2019-03-13,23.11,23.2187,22.8459,23.0634,1120554.0
2019-03-14,23.0634,23.1565,22.7527,22.8071,711328.0
2019-03-15,22.7993,23.242,22.7993,23.1022,1883120.0
2019-03-16,22.7993,23.242,22.7993,23.1022,1883120.0
2019-03-17,22.7993,23.242,22.7993,23.1022,1883120.0
2019-03-18,23.1798,23.6264,23.1255,23.6069,699112.0
2019-03-19,23.6846,23.7467,22.8071,22.9857,991399.0
2019-03-20,22.9546,23.1255,22.6518,22.6906,1149736.0
2019-03-21,22.5664,22.9818,22.481,22.6285,1120426.0
2019-03-22,22.5974,22.5974,21.8985,22.147,857869.0
2019-03-23,22.5974,22.5974,21.8985,22.147,857869.0
2019-03-24,22.5974,22.5974,21.8985,22.147,857869.0
2019-03-25,22.116,22.2363,21.7277,22.1315,1707422.0
2019-03-26,22.2635,22.6673,22.2635,22.5741,672676.0
2019-03-27,22.613,22.7683,22.4111,22.6363,732160.0
2019-03-28,22.6052,22.9546,22.2092,22.8537,623048.0
2019-03-29,22.9935,23.0245,22.7062,22.7605,695966.0
2019-03-30,22.9935,23.0245,22.7062,22.7605,695966.0
2019-03-31,22.9935,23.0245,22.7062,22.7605,695966.0
2019-04-01,22.9236,23.3429,22.8304,23.3429,587952.0
2019-04-02,23.3584,23.4749,22.9702,23.0711,611078.0
2019-04-03,23.2497,23.4905,23.11,23.3507,587386.0
2019-04-04,23.3973,23.6768,23.3536,23.6768,496877.0
2019-04-05,23.6846,23.9952,23.5604,23.9952,563049.0
2019-04-06,23.6846,23.9952,23.5604,23.9952,563049.0
2019-04-07,23.6846,23.9952,23.5604,23.9952,563049.0
2019-04-08,24.034,24.2592,23.9409,24.2204,689489.0
2019-04-09,24.2282,24.2437,23.8632,24.2437,631623.0
2019-04-10,24.2592,24.7485,24.0962,24.6553,633395.0
2019-04-11,24.6941,25.2532,24.6669,24.997,663564.0
2019-04-12,25.2222,25.4085,25.028,25.3542,587138.0
2019-04-13,25.2222,25.4085,25.028,25.3542,587138.0
2019-04-14,25.2222,25.4085,25.028,25.3542,587138.0
2019-04-15,25.3852,25.4396,25.1678,25.2066,841123.0
2019-04-16,25.393,25.7657,25.3309,25.6415,706108.0
2019-04-17,25.7114,25.7114,24.8339,25.0047,1095403.0
2019-04-18,24.9892,25.3542,24.8649,25.2843,478737.0
2019-04-19,24.9892,25.3542,24.8649,25.2843,478737.0
2019-04-20,24.9892,25.3542,24.8649,25.2843,478737.0
