,CAKE US Equity,CAKE US Equity,CAKE US Equity,CAKE US Equity,CAKE US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,35.98,36.6291,35.9336,36.0356,777825.0
2020-01-02,36.388,37.0742,35.98,36.1376,677852.0
2020-01-03,35.9151,36.184,35.609,35.9336,612415.0
2020-01-04,35.9151,36.184,35.609,35.9336,612415.0
2020-01-05,35.9151,36.184,35.609,35.9336,612415.0
2020-01-06,35.7296,37.0186,35.7203,36.8238,715919.0
2020-01-07,36.6476,37.0,36.2953,36.5178,745743.0
2020-01-08,36.4529,37.1484,36.3602,36.7589,490256.0
2020-01-09,36.9166,37.1113,36.7682,36.8517,343030.0
2020-01-10,36.7126,36.8238,36.3694,36.5735,609968.0
2020-01-11,36.7126,36.8238,36.3694,36.5735,609968.0
2020-01-12,36.7126,36.8238,36.3694,36.5735,609968.0
2020-01-13,36.4807,36.8795,36.3973,36.5364,460268.0
2020-01-14,36.5085,36.7311,36.082,36.6847,787067.0
2020-01-15,36.4993,36.898,36.286,36.4251,466144.0
2020-01-16,36.5364,37.8717,36.5364,37.575,799199.0
2020-01-17,36.9722,37.1159,35.9707,36.0171,1067671.0
2020-01-18,36.9722,37.1159,35.9707,36.0171,1067671.0
2020-01-19,36.9722,37.1159,35.9707,36.0171,1067671.0
2020-01-20,36.9722,37.1159,35.9707,36.0171,1067671.0
2020-01-21,35.9151,36.592,35.609,36.5642,856996.0
2020-01-22,36.5364,37.0464,36.082,36.2489,541145.0
2020-01-23,35.9429,36.8795,35.9429,36.7311,520451.0
2020-01-24,36.8517,37.0278,36.4807,36.6105,561356.0
2020-01-25,36.8517,37.0278,36.4807,36.6105,561356.0
2020-01-26,36.8517,37.0278,36.4807,36.6105,561356.0
2020-01-27,36.2025,36.4436,35.609,35.6832,786080.0
2020-01-28,35.98,36.3787,35.6832,35.7667,403018.0
2020-01-29,35.7111,36.5085,35.3216,36.1052,659676.0
2020-01-30,35.9892,36.6105,35.7203,36.1562,815517.0
2020-01-31,36.0449,36.2303,35.4421,35.609,709251.0
2020-02-01,36.0449,36.2303,35.4421,35.609,709251.0
2020-02-02,36.0449,36.2303,35.4421,35.609,709251.0
2020-02-03,35.7018,35.8826,34.9877,35.1732,733196.0
2020-02-04,35.5627,36.3324,35.4792,36.1098,720965.0
2020-02-05,36.3973,37.2226,36.2674,37.0928,514614.0
2020-02-06,37.1577,37.5379,36.8331,37.473,375297.0
2020-02-07,37.2689,37.4915,36.49,36.6384,451452.0
2020-02-08,37.2689,37.4915,36.49,36.6384,451452.0
2020-02-09,37.2689,37.4915,36.49,36.6384,451452.0
2020-02-10,36.4622,37.4822,36.4622,37.3895,587734.0
2020-02-11,37.51,37.6491,36.9908,37.1484,559770.0
2020-02-12,37.408,37.6862,36.9537,37.2133,453377.0
2020-02-13,37.0928,37.4498,36.898,37.0464,677842.0
2020-02-14,37.1298,37.4637,36.8702,37.3802,437913.0
2020-02-15,37.1298,37.4637,36.8702,37.3802,437913.0
2020-02-16,37.1298,37.4637,36.8702,37.3802,437913.0
2020-02-17,37.1298,37.4637,36.8702,37.3802,437913.0
2020-02-18,37.0557,37.4451,36.5085,37.2411,865660.0
2020-02-19,37.3153,38.3632,37.1438,37.9088,1665979.0
2020-02-20,36.9073,39.8747,36.49,39.1792,2548790.0
2020-02-21,39.1792,39.4273,38.493,39.0679,1184947.0
2020-02-22,39.1792,39.4273,38.493,39.0679,1184947.0
2020-02-23,39.1792,39.4273,38.493,39.0679,1184947.0
2020-02-24,38.0757,38.9752,37.473,38.6877,1078738.0
2020-02-25,38.9567,39.0494,35.8594,35.9985,1400357.0
2020-02-26,36.184,36.184,33.8286,34.0141,2238599.0
2020-02-27,33.3928,34.5241,31.2506,32.5489,2285904.0
2020-02-28,31.8627,33.5319,31.1579,33.0404,2057213.0
2020-02-29,31.8627,33.5319,31.1579,33.0404,2057213.0
2020-03-01,31.8627,33.5319,31.1579,33.0404,2057213.0
2020-03-02,33.2907,33.5782,32.1687,33.4206,1288335.0
2020-03-03,33.3278,34.1161,31.8256,32.1316,1371997.0
2020-03-04,32.6231,33.2444,32.0203,33.2073,989717.0
2020-03-05,32.382,32.382,28.8628,29.2291,3133004.0
2020-03-06,28.1972,30.7487,27.625,29.4917,2040340.0
2020-03-07,28.1972,30.7487,27.625,29.4917,2040340.0
2020-03-08,28.1972,30.7487,27.625,29.4917,2040340.0
2020-03-09,27.278,28.0847,26.0023,27.2123,2567841.0
2020-03-10,28.2629,29.7731,25.3738,26.9684,1960782.0
2020-03-11,26.1992,26.2555,22.9912,23.6478,2668588.0
2020-03-12,21.6404,21.6404,18.2916,20.1489,3592664.0
2020-03-13,21.6404,22.5034,19.5768,22.0531,2549290.0
2020-03-14,21.6404,22.5034,19.5768,22.0531,2549290.0
2020-03-15,21.6404,22.5034,19.5768,22.0531,2549290.0
2020-03-16,18.77,19.4079,15.8246,15.8621,3123207.0
2020-03-17,16.4249,17.8977,13.6202,17.5506,3737563.0
2020-03-18,15.7683,19.5861,14.0142,19.558,3951241.0
2020-03-19,17.8414,21.8561,15.9841,19.239,6709609.0
2020-03-20,19.5486,20.6367,14.774,14.8584,4615764.0
2020-03-21,19.5486,20.6367,14.774,14.8584,4615764.0
2020-03-22,19.5486,20.6367,14.774,14.8584,4615764.0
2020-03-23,15.0742,15.6651,14.0705,14.7365,3114604.0
2020-03-24,16.7345,18.5918,16.4156,18.029,2894802.0
2020-03-25,19.1171,20.7211,16.697,17.7007,7038281.0
2020-03-26,15.9465,19.8206,15.5104,18.4417,9616736.0
2020-03-27,16.9221,17.3255,15.0648,15.1774,6858610.0
2020-03-28,16.9221,17.3255,15.0648,15.1774,6858610.0
2020-03-29,16.9221,17.3255,15.0648,15.1774,6858610.0
2020-03-30,17.1285,17.153,15.2618,15.4775,5469068.0
2020-03-31,15.6464,16.8283,15.5244,16.0216,3755980.0
2020-04-01,15.1492,15.6651,14.5583,14.7459,3555676.0
2020-04-02,14.577,15.0648,13.7234,14.1643,3520507.0
2020-04-03,14.4176,14.8397,13.8454,14.5489,2351614.0
2020-04-04,14.4176,14.8397,13.8454,14.5489,2351614.0
2020-04-05,14.4176,14.8397,13.8454,14.5489,2351614.0
2020-04-06,15.5713,16.2186,15.168,15.7496,4035224.0
2020-04-07,16.8846,17.2927,15.0836,15.3274,4587218.0
2020-04-08,15.5807,17.4849,15.0085,17.3348,5933619.0
2020-04-09,18.1978,19.905,17.8695,18.9482,5190770.0
2020-04-10,18.1978,19.905,17.8695,18.9482,5190770.0
2020-04-11,18.1978,19.905,17.8695,18.9482,5190770.0
2020-04-12,18.1978,19.905,17.8695,18.9482,5190770.0
2020-04-13,19.3704,19.3704,17.1472,17.71,3449690.0
2020-04-14,18.2447,19.1733,17.3911,17.8039,2960471.0
2020-04-15,16.9971,17.4003,16.0591,16.3405,3148340.0
2020-04-16,16.4249,16.6688,15.5995,16.6032,2721675.0
2020-04-17,17.635,18.0102,16.8471,17.56,3346299.0
2020-04-18,17.635,18.0102,16.8471,17.56,3346299.0
2020-04-19,17.635,18.0102,16.8471,17.56,3346299.0
2020-04-20,17.9164,19.1452,17.3817,17.7569,5786045.0
2020-04-21,17.1847,18.0571,17.1847,17.635,2499360.0
2020-04-22,18.0477,18.8075,17.8977,18.6856,3327633.0
2020-04-23,18.8826,18.8826,17.1566,17.166,3778199.0
2020-04-24,17.4193,17.6678,16.9316,17.4427,2515419.0
2020-04-25,17.4193,17.6678,16.9316,17.4427,2515419.0
2020-04-26,17.4193,17.6678,16.9316,17.4427,2515419.0
2020-04-27,17.6725,19.1695,17.485,18.7982,3816906.0
2020-04-28,19.8641,20.89,19.1077,20.0082,4645902.0
2020-04-29,21.1151,24.1168,21.1151,22.8505,5675798.0
2020-04-30,21.9969,22.5034,20.5007,20.9087,4208743.0
2020-05-01,20.1771,20.5523,18.6199,18.8826,3578473.0
2020-05-02,20.1771,20.5523,18.6199,18.8826,3578473.0
2020-05-03,20.1771,20.5523,18.6199,18.8826,3578473.0
2020-05-04,18.301,19.164,17.6725,18.7794,2370925.0
2020-05-05,19.2297,19.4173,18.2822,18.3104,3382940.0
2020-05-06,18.967,19.4923,18.0759,18.4886,3747114.0
2020-05-07,18.7513,19.5485,17.9915,19.3235,5946489.0
2020-05-08,19.9519,21.1245,19.6143,21.0494,3689079.0
2020-05-09,19.9519,21.1245,19.6143,21.0494,3689079.0
2020-05-10,19.9519,21.1245,19.6143,21.0494,3689079.0
2020-05-11,20.3272,20.965,19.9332,20.0317,2956141.0
2020-05-12,20.102,20.299,18.1322,18.1415,3563835.0
2020-05-13,17.8695,17.8695,16.1904,17.1378,5406450.0
2020-05-14,16.2936,17.4849,15.7589,17.0769,3482572.0
2020-05-15,16.8095,17.6631,16.4156,17.3677,2240418.0
2020-05-16,16.8095,17.6631,16.4156,17.3677,2240418.0
2020-05-17,16.8095,17.6631,16.4156,17.3677,2240418.0
2020-05-18,18.5543,18.8544,17.8601,18.5449,2726147.0
2020-05-19,18.4417,19.3235,17.6256,18.8263,2883853.0
2020-05-20,19.2203,19.4266,18.5918,18.7231,1649505.0
2020-05-21,18.7982,19.0983,18.4417,18.7231,1858848.0
2020-05-22,18.9107,19.1265,18.2729,18.7325,1524061.0
2020-05-23,18.9107,19.1265,18.2729,18.7325,1524061.0
2020-05-24,18.9107,19.1265,18.2729,18.7325,1524061.0
2020-05-25,18.9107,19.1265,18.2729,18.7325,1524061.0
2020-05-26,19.7362,20.1349,19.3891,19.9801,3226893.0
2020-05-27,20.6836,22.3627,20.4116,22.1,5626848.0
2020-05-28,22.1282,22.5128,20.1771,20.421,3520313.0
2020-05-29,19.8581,20.3928,19.4644,20.1489,3838374.0
2020-05-30,19.8581,20.3928,19.4644,20.1489,3838374.0
2020-05-31,19.8581,20.3928,19.4644,20.1489,3838374.0
2020-06-01,20.2427,20.5898,19.3985,19.4923,2751159.0
2020-06-02,19.83,19.9895,18.8451,19.6518,3922823.0
2020-06-03,21.359,23.8917,21.3496,22.8598,12285246.0
2020-06-04,23.0568,25.5145,22.6816,24.5952,9108286.0
2020-06-05,27.2029,27.5312,25.5708,26.4525,6835360.0
2020-06-06,27.2029,27.5312,25.5708,26.4525,6835360.0
2020-06-07,27.2029,27.5312,25.5708,26.4525,6835360.0
2020-06-08,27.7751,28.5256,26.6777,27.9627,6005513.0
2020-06-09,26.687,26.7996,25.158,25.2284,4755351.0
2020-06-10,25.5239,25.5239,22.8692,23.4133,5170784.0
2020-06-11,21.1057,22.3533,20.6367,20.8243,5779366.0
2020-06-12,22.5128,22.7567,21.0494,22.7285,3454955.0
2020-06-13,22.5128,22.7567,21.0494,22.7285,3454955.0
2020-06-14,22.5128,22.7567,21.0494,22.7285,3454955.0
2020-06-15,21.6685,23.7322,21.5747,23.5727,3830443.0
2020-06-16,25.0924,25.1862,22.9818,23.3382,3591883.0
2020-06-17,23.2726,23.5727,22.4471,22.6441,2477025.0
2020-06-18,21.9969,23.3289,21.9031,23.0099,2027897.0
2020-06-19,23.357,23.4414,21.4153,21.4997,10184292.0
2020-06-20,23.357,23.4414,21.4153,21.4997,10184292.0
2020-06-21,23.357,23.4414,21.4153,21.4997,10184292.0
2020-06-22,21.3871,21.4622,20.768,21.1432,2301304.0
2020-06-23,21.2933,22.9724,21.162,22.7754,4327124.0
2020-06-24,21.578,21.7764,20.0176,20.9087,5236127.0
2020-06-25,20.7868,21.4622,19.9332,20.6086,2966870.0
2020-06-26,20.3675,20.9087,18.5542,18.892,5726444.0
2020-06-27,20.3675,20.9087,18.5542,18.892,5726444.0
2020-06-28,20.3675,20.9087,18.5542,18.892,5726444.0
2020-06-29,19.2953,21.4527,19.1452,21.3309,4488866.0
2020-06-30,21.2839,21.7436,20.7774,21.4997,3055248.0
2020-07-01,21.6216,22.1751,20.2803,20.4022,4017115.0
2020-07-02,21.0682,21.1151,19.9988,20.224,2329025.0
2020-07-03,21.0682,21.1151,19.9988,20.224,2329025.0
2020-07-04,21.0682,21.1151,19.9988,20.224,2329025.0
2020-07-05,21.0682,21.1151,19.9988,20.224,2329025.0
2020-07-06,20.89,21.0588,19.8112,20.6648,2991664.0
2020-07-07,20.0739,20.2897,19.6331,19.8019,2339096.0
2020-07-08,19.6738,20.1208,19.3421,20.1208,1610504.0
2020-07-09,19.9144,20.2733,19.089,19.633,2147956.0
2020-07-10,19.5486,20.3741,19.1172,20.3459,2506236.0
2020-07-11,19.5486,20.3741,19.1172,20.3459,2506236.0
2020-07-12,19.5486,20.3741,19.1172,20.3459,2506236.0
2020-07-13,20.5523,20.8712,19.5955,19.7174,2592235.0
2020-07-14,19.6893,19.8769,18.9952,19.2953,1961965.0
2020-07-15,20.3928,21.9593,20.3365,21.828,4021184.0
2020-07-16,21.1995,21.6779,20.7399,21.237,1696939.0
2020-07-17,20.8806,21.6216,20.8806,21.1808,1704058.0
2020-07-18,20.8806,21.6216,20.8806,21.1808,1704058.0
2020-07-19,20.8806,21.6216,20.8806,21.1808,1704058.0
2020-07-20,20.9932,21.3402,20.0551,20.6179,1704428.0
2020-07-21,20.7962,21.4153,20.6555,21.1948,1469931.0
2020-07-22,20.7305,22.4706,20.7305,22.1376,2447326.0
2020-07-23,21.9687,22.6066,21.4997,22.5081,2237545.0
2020-07-24,22.8548,23.4508,22.2783,23.2726,2322193.0
2020-07-25,22.8548,23.4508,22.2783,23.2726,2322193.0
2020-07-26,22.8548,23.4508,22.2783,23.2726,2322193.0
2020-07-27,23.1506,23.5165,22.7567,23.1788,2028085.0
2020-07-28,23.0474,24.0418,23.0005,23.751,2136208.0
2020-07-29,24.0136,25.5895,24.0136,24.9235,3650100.0
2020-07-30,23.4508,24.1074,22.8786,23.8635,3077210.0
2020-07-31,23.8917,24.1356,22.2032,22.5128,2115763.0
2020-08-01,23.8917,24.1356,22.2032,22.5128,2115763.0
2020-08-02,23.8917,24.1356,22.2032,22.5128,2115763.0
2020-08-03,21.9218,22.1094,21.3402,21.8092,1982956.0
2020-08-04,21.9593,22.9818,21.95,22.3158,1712366.0
2020-08-05,22.8411,23.1031,22.3908,22.6535,1346574.0
2020-08-06,22.6535,23.7416,22.3345,23.5165,1784765.0
2020-08-07,23.3382,24.2669,23.1131,24.2388,1363680.0
2020-08-08,23.3382,24.2669,23.1131,24.2388,1363680.0
2020-08-09,23.3382,24.2669,23.1131,24.2388,1363680.0
2020-08-10,24.7359,25.274,24.3701,24.7078,1107942.0
2020-08-11,25.6552,26.2649,25.1862,25.2987,2438679.0
2020-08-12,25.8053,25.9741,25.0079,25.477,1384957.0
2020-08-13,25.3925,25.8615,25.1486,25.3269,1019667.0
2020-08-14,25.0455,25.7115,24.6796,25.4957,972364.0
2020-08-15,25.0455,25.7115,24.6796,25.4957,972364.0
2020-08-16,25.0455,25.7115,24.6796,25.4957,972364.0
2020-08-17,25.4207,25.4957,24.2575,24.5952,1572159.0
2020-08-18,24.5952,24.5966,23.7604,24.417,1258501.0
2020-08-19,24.2575,24.5764,23.9198,23.9855,1025389.0
2020-08-20,23.6388,24.295,23.3195,24.1731,1568818.0
2020-08-21,24.098,24.6515,24.0324,24.4264,959173.0
2020-08-22,24.098,24.6515,24.0324,24.4264,959173.0
2020-08-23,24.098,24.6515,24.0324,24.4264,959173.0
2020-08-24,24.9235,25.5801,24.1918,25.5708,1449420.0
2020-08-25,25.6552,26.4525,25.0455,25.6364,1462446.0
2020-08-26,25.7021,25.946,25.1955,25.4113,1145280.0
