,HBI US Equity,HBI US Equity,HBI US Equity,HBI US Equity,HBI US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,10.3009,10.4934,10.2507,10.485,6082855.0
2019-01-02,10.3093,10.8448,10.1294,10.6021,5905405.0
2019-01-03,10.5436,10.7569,10.3344,10.4766,4764235.0
2019-01-04,10.6272,10.9118,10.5519,10.7946,4062004.0
2019-01-05,10.6272,10.9118,10.5519,10.7946,4062004.0
2019-01-06,10.6272,10.9118,10.5519,10.7946,4062004.0
2019-01-07,10.8364,11.2925,10.7611,11.1377,7133933.0
2019-01-08,11.2297,11.531,11.0958,11.5059,6165717.0
2019-01-09,11.5896,11.6816,11.4096,11.5644,6560001.0
2019-01-10,11.2799,11.6732,11.1712,11.3971,4952364.0
2019-01-11,11.2967,11.5644,11.2297,11.464,5345635.0
2019-01-12,11.2967,11.5644,11.2297,11.464,5345635.0
2019-01-13,11.2967,11.5644,11.2297,11.464,5345635.0
2019-01-14,11.4222,11.7904,11.3469,11.5561,5852485.0
2019-01-15,11.531,11.6816,11.4389,11.531,4801847.0
2019-01-16,11.5142,11.6816,11.4557,11.5561,5186938.0
2019-01-17,11.5477,12.1628,11.5477,11.9828,5241321.0
2019-01-18,12.2088,12.4682,12.0791,12.418,4935949.0
2019-01-19,12.2088,12.4682,12.0791,12.418,4935949.0
2019-01-20,12.2088,12.4682,12.0791,12.418,4935949.0
2019-01-21,12.2088,12.4682,12.0791,12.418,4935949.0
2019-01-22,12.418,12.4514,12.0749,12.2004,8084720.0
2019-01-23,12.3092,12.4347,12.1167,12.3845,9176900.0
2019-01-24,12.351,12.3803,12.0833,12.3092,7189873.0
2019-01-25,12.4933,12.7569,12.3929,12.7192,5181616.0
2019-01-26,12.4933,12.7569,12.3929,12.7192,5181616.0
2019-01-27,12.4933,12.7569,12.3929,12.7192,5181616.0
2019-01-28,12.669,12.9242,12.6565,12.8531,4128335.0
2019-01-29,12.8113,12.8866,12.5937,12.7443,4303974.0
2019-01-30,12.8029,12.8196,12.418,12.51,5407813.0
2019-01-31,12.5017,12.5519,12.3176,12.5435,8454133.0
2019-02-01,12.577,12.7276,12.3594,12.7109,7738841.0
2019-02-02,12.577,12.7276,12.3594,12.7109,7738841.0
2019-02-03,12.577,12.7276,12.3594,12.7109,7738841.0
2019-02-04,12.7109,12.9033,12.6481,12.8615,4346604.0
2019-02-05,12.9703,13.1962,12.92,13.0539,5987379.0
2019-02-06,13.0372,13.1334,12.8282,13.0288,6784084.0
2019-02-07,13.9493,15.6647,13.6899,15.6564,29578024.0
2019-02-08,15.5894,15.8404,14.761,14.9283,12135265.0
2019-02-09,15.5894,15.8404,14.761,14.9283,12135265.0
2019-02-10,15.5894,15.8404,14.761,14.9283,12135265.0
2019-02-11,14.9283,15.5308,14.8865,15.3886,7503208.0
2019-02-12,15.4555,15.807,15.2714,15.5643,7281521.0
2019-02-13,15.6313,15.807,15.4974,15.7484,5437873.0
2019-02-14,15.5894,15.7735,15.4174,15.6564,4556797.0
2019-02-15,15.7745,15.8925,15.6395,15.8335,4532162.0
2019-02-16,15.7745,15.8925,15.6395,15.8335,4532162.0
2019-02-17,15.7745,15.8925,15.6395,15.8335,4532162.0
2019-02-18,15.7745,15.8925,15.6395,15.8335,4532162.0
2019-02-19,15.8166,15.9685,15.631,15.8504,4437945.0
2019-02-20,15.9347,16.0781,15.7534,15.9938,4634151.0
2019-02-21,16.0275,16.3481,15.9685,16.1456,4042112.0
2019-02-22,16.1287,16.327,16.0191,16.1372,4913347.0
2019-02-23,16.1287,16.327,16.0191,16.1372,4913347.0
2019-02-24,16.1287,16.327,16.0191,16.1372,4913347.0
2019-02-25,16.3143,16.3396,16.0233,16.0613,5179347.0
2019-02-26,16.0697,16.1709,15.7491,15.766,6032619.0
2019-02-27,15.7154,16.0528,15.6648,15.8419,4753940.0
2019-02-28,15.8588,15.8588,15.5678,15.6817,4529072.0
2019-03-01,15.8672,16.1287,15.6142,15.6226,5976920.0
2019-03-02,15.8672,16.1287,15.6142,15.6226,5976920.0
2019-03-03,15.8672,16.1287,15.6142,15.6226,5976920.0
2019-03-04,15.6817,15.804,15.534,15.5383,4107149.0
2019-03-05,15.5889,15.766,15.4708,15.6226,5742911.0
2019-03-06,15.6564,15.6817,15.3738,15.4117,4545647.0
2019-03-07,15.3442,15.5847,15.1968,15.4623,3574760.0
2019-03-08,15.3189,15.4708,15.1924,15.4286,3020352.0
2019-03-09,15.3189,15.4708,15.1924,15.4286,3020352.0
2019-03-10,15.3189,15.4708,15.1924,15.4286,3020352.0
2019-03-11,15.5045,15.5973,14.9225,15.0912,7060981.0
2019-03-12,15.1418,15.1418,14.7031,14.9646,6051643.0
2019-03-13,14.9984,15.2514,14.914,14.9225,7061874.0
2019-03-14,14.9899,15.1165,14.8086,14.9731,4575796.0
2019-03-15,14.9646,15.0827,14.8465,14.8718,7950092.0
2019-03-16,14.9646,15.0827,14.8465,14.8718,7950092.0
2019-03-17,14.9646,15.0827,14.8465,14.8718,7950092.0
2019-03-18,14.914,14.9646,14.7369,14.8887,5285707.0
2019-03-19,14.9225,15.2768,14.8634,15.0574,7745302.0
2019-03-20,15.0659,15.2514,14.7959,14.8465,5072531.0
2019-03-21,14.8634,15.049,14.7959,14.9984,3595151.0
2019-03-22,14.8803,14.9899,14.2223,14.2729,4026237.0
2019-03-23,14.8803,14.9899,14.2223,14.2729,4026237.0
2019-03-24,14.8803,14.9899,14.2223,14.2729,4026237.0
2019-03-25,14.1801,14.391,14.0705,14.2476,3862608.0
2019-03-26,14.3657,14.5977,14.2898,14.4332,2727822.0
2019-03-27,14.4585,14.6272,14.3657,14.4838,2771068.0
2019-03-28,14.7031,15.4623,14.7031,14.9478,5212212.0
2019-03-29,15.0068,15.1502,14.9056,15.0827,4365890.0
2019-03-30,15.0068,15.1502,14.9056,15.0827,4365890.0
2019-03-31,15.0068,15.1502,14.9056,15.0827,4365890.0
2019-04-01,15.1418,15.3527,15.1123,15.3358,5498767.0
2019-04-02,15.3695,15.3949,15.0237,15.108,3235121.0
2019-04-03,15.2514,15.2852,15.0321,15.0406,4099494.0
2019-04-04,15.0659,15.5467,15.0555,15.5129,3165298.0
2019-04-05,15.5804,15.7618,15.5256,15.572,4303464.0
2019-04-06,15.5804,15.7618,15.5256,15.572,4303464.0
2019-04-07,15.5804,15.7618,15.5256,15.572,4303464.0
2019-04-08,15.5467,15.8166,15.3949,15.4708,3398857.0
2019-04-09,15.3949,15.4708,15.1418,15.1671,3168733.0
2019-04-10,15.1671,15.3189,14.9899,15.2008,3247856.0
2019-04-11,15.2599,15.6142,15.2177,15.4539,5940761.0
2019-04-12,15.5045,15.631,15.4033,15.6226,4787762.0
2019-04-13,15.5045,15.631,15.4033,15.6226,4787762.0
2019-04-14,15.5045,15.631,15.4033,15.6226,4787762.0
2019-04-15,15.6226,15.7618,15.5467,15.5973,6548808.0
2019-04-16,15.6479,15.8757,15.6015,15.8166,5223287.0
2019-04-17,15.8672,16.0444,15.8166,15.8672,3035777.0
2019-04-18,15.8082,16.0866,15.766,15.9347,3786260.0
2019-04-19,15.8082,16.0866,15.766,15.9347,3786260.0
2019-04-20,15.8082,16.0866,15.766,15.9347,3786260.0
2019-04-21,15.8082,16.0866,15.766,15.9347,3786260.0
2019-04-22,15.901,15.9769,15.6985,15.7154,3681048.0
2019-04-23,15.7998,15.8841,15.5636,15.8757,3473751.0
2019-04-24,15.9516,16.0781,15.804,15.9938,3088104.0
2019-04-25,15.9263,15.9853,15.6142,15.8082,3668656.0
2019-04-26,15.8419,15.9516,15.6437,15.8419,3433790.0
2019-04-27,15.8419,15.9516,15.6437,15.8419,3433790.0
2019-04-28,15.8419,15.9516,15.6437,15.8419,3433790.0
2019-04-29,15.7998,15.9938,15.5804,15.6564,4502710.0
2019-04-30,15.5551,15.6395,15.2008,15.243,5350713.0
2019-05-01,15.2768,15.5383,15.2683,15.3021,9151096.0
2019-05-02,15.5298,16.1119,14.4248,14.5344,13816966.0
2019-05-03,14.6019,15.1291,14.4669,15.0321,9776216.0
2019-05-04,14.6019,15.1291,14.4669,15.0321,9776216.0
2019-05-05,14.6019,15.1291,14.4669,15.0321,9776216.0
2019-05-06,14.7622,15.0659,14.5682,15.0153,5906937.0
2019-05-07,14.9309,15.1418,14.8128,14.9731,5117263.0
2019-05-08,14.914,15.1165,14.6947,14.7791,5694481.0
2019-05-09,14.8718,14.8718,14.4627,14.7791,6422435.0
2019-05-10,14.7284,14.7622,14.138,14.3404,9089521.0
2019-05-11,14.7284,14.7622,14.138,14.3404,9089521.0
2019-05-12,14.7284,14.7622,14.138,14.3404,9089521.0
2019-05-13,14.0766,14.0936,13.6085,13.7191,6575273.0
2019-05-14,13.7787,14.0766,13.6,14.0255,7064894.0
2019-05-15,13.9659,14.3574,13.7361,13.9574,3603908.0
2019-05-16,14.051,14.4681,13.9574,14.3149,4026422.0
2019-05-17,14.1702,14.5872,14.1447,14.3149,3798178.0
2019-05-18,14.1702,14.5872,14.1447,14.3149,3798178.0
2019-05-19,14.1702,14.5872,14.1447,14.3149,3798178.0
2019-05-20,14.2298,14.2298,13.9106,14.1021,3779309.0
2019-05-21,14.1106,14.383,14.0596,14.3744,3056444.0
2019-05-22,14.2042,14.2638,13.9489,13.9574,4495238.0
2019-05-23,13.8127,13.9149,13.434,13.5234,4759534.0
2019-05-24,13.617,13.7532,13.3106,13.4298,3938947.0
2019-05-25,13.617,13.7532,13.3106,13.4298,3938947.0
