,AAWW US Equity,AAWW US Equity,AAWW US Equity,AAWW US Equity,AAWW US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,41.82,42.42,40.8801,42.19,247362.0
2019-01-02,41.28,42.7,40.7,41.71,442871.0
2019-01-03,41.2,42.395,39.88,40.61,290861.0
2019-01-04,41.14,42.77,41.105,41.9,247998.0
2019-01-05,41.14,42.77,41.105,41.9,247998.0
2019-01-06,41.14,42.77,41.105,41.9,247998.0
2019-01-07,42.13,43.43,41.65,42.81,209612.0
2019-01-08,43.46,44.26,42.79,43.68,298595.0
2019-01-09,43.97,47.12,43.97,46.91,485337.0
2019-01-10,46.35,47.8,46.015,47.71,190920.0
2019-01-11,47.43,48.79,43.9704,48.55,317828.0
2019-01-12,47.43,48.79,43.9704,48.55,317828.0
2019-01-13,47.43,48.79,43.9704,48.55,317828.0
2019-01-14,47.85,48.86,47.4952,47.7,213735.0
2019-01-15,47.8,48.22,47.0,47.77,278989.0
2019-01-16,48.0,49.08,47.57,47.94,204723.0
2019-01-17,47.55,49.33,47.41,49.15,248937.0
2019-01-18,49.42,50.91,49.27,50.55,321118.0
2019-01-19,49.42,50.91,49.27,50.55,321118.0
2019-01-20,49.42,50.91,49.27,50.55,321118.0
2019-01-21,49.42,50.91,49.27,50.55,321118.0
2019-01-22,50.15,50.59,49.37,50.22,300659.0
2019-01-23,50.35,50.57,49.25,49.65,270728.0
2019-01-24,49.84,50.99,49.72,50.76,188131.0
2019-01-25,51.19,51.99,50.955,51.3,141180.0
2019-01-26,51.19,51.99,50.955,51.3,141180.0
2019-01-27,51.19,51.99,50.955,51.3,141180.0
2019-01-28,50.55,51.93,50.5,51.29,178996.0
2019-01-29,51.49,51.5,50.835,51.31,162796.0
2019-01-30,51.49,52.91,50.3,52.89,339217.0
2019-01-31,52.8,54.125,52.75,53.22,464195.0
2019-02-01,53.55,54.93,53.21,53.51,387495.0
2019-02-02,53.55,54.93,53.21,53.51,387495.0
2019-02-03,53.55,54.93,53.21,53.51,387495.0
2019-02-04,53.49,54.58,53.045,54.52,313792.0
2019-02-05,54.5,54.5,53.05,54.02,205324.0
2019-02-06,54.08,54.41,52.49,52.65,285227.0
2019-02-07,52.47,52.54,50.87,51.21,331040.0
2019-02-08,51.12,51.67,50.25,51.58,226009.0
2019-02-09,51.12,51.67,50.25,51.58,226009.0
2019-02-10,51.12,51.67,50.25,51.58,226009.0
2019-02-11,51.56,53.38,50.97,53.25,304921.0
2019-02-12,53.6,54.7043,53.54,54.28,229446.0
2019-02-13,54.46,54.8,53.61,53.8,166763.0
2019-02-14,53.63,54.66,52.88,54.28,257796.0
2019-02-15,54.35,54.865,53.9381,54.23,347983.0
2019-02-16,54.35,54.865,53.9381,54.23,347983.0
2019-02-17,54.35,54.865,53.9381,54.23,347983.0
2019-02-18,54.35,54.865,53.9381,54.23,347983.0
2019-02-19,57.32,59.935,56.005,58.38,915064.0
2019-02-20,59.6,60.45,58.09,60.31,347602.0
2019-02-21,60.69,60.72,59.17,59.41,303565.0
2019-02-22,59.61,59.61,58.03,58.9,236799.0
2019-02-23,59.61,59.61,58.03,58.9,236799.0
2019-02-24,59.61,59.61,58.03,58.9,236799.0
2019-02-25,55.92,57.22,55.26,55.51,783757.0
2019-02-26,55.39,56.12,54.89,54.94,293247.0
2019-02-27,54.93,55.26,54.23,54.54,257631.0
2019-02-28,54.53,54.55,53.7,53.74,242066.0
2019-03-01,54.19,54.54,53.26,54.0,345575.0
2019-03-02,54.19,54.54,53.26,54.0,345575.0
2019-03-03,54.19,54.54,53.26,54.0,345575.0
2019-03-04,54.14,54.92,51.535,51.92,382880.0
2019-03-05,51.66,51.83,50.6,51.29,528722.0
2019-03-06,51.42,51.89,49.92,49.93,308468.0
2019-03-07,49.83,50.27,48.64,49.04,239765.0
2019-03-08,48.4,49.225,48.28,48.93,171152.0
2019-03-09,48.4,49.225,48.28,48.93,171152.0
2019-03-10,48.4,49.225,48.28,48.93,171152.0
2019-03-11,49.13,49.86,48.99,49.19,397733.0
2019-03-12,49.29,49.77,49.01,49.3,150319.0
2019-03-13,49.53,50.4,49.52,49.82,308949.0
2019-03-14,49.78,50.68,49.4474,50.46,185092.0
2019-03-15,50.55,51.43,49.49,49.57,372203.0
2019-03-16,50.55,51.43,49.49,49.57,372203.0
2019-03-17,50.55,51.43,49.49,49.57,372203.0
2019-03-18,50.03,50.2,49.295,49.89,265121.0
2019-03-19,50.16,50.16,48.8,49.06,278881.0
2019-03-20,48.7,49.39,47.33,47.96,310176.0
2019-03-21,47.62,49.56,47.51,49.03,223797.0
2019-03-22,48.56,48.7,46.58,46.7,297571.0
2019-03-23,48.56,48.7,46.58,46.7,297571.0
2019-03-24,48.56,48.7,46.58,46.7,297571.0
2019-03-25,46.65,47.9,46.16,46.51,191777.0
2019-03-26,46.94,47.75,46.78,47.45,154648.0
2019-03-27,47.48,48.27,46.7,47.7,309876.0
2019-03-28,47.82,49.2,47.15,48.22,286799.0
2019-03-29,49.12,51.75,49.0415,50.56,535636.0
2019-03-30,49.12,51.75,49.0415,50.56,535636.0
2019-03-31,49.12,51.75,49.0415,50.56,535636.0
