,SAVE US Equity,SAVE US Equity,SAVE US Equity,SAVE US Equity,SAVE US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,52.0966,53.4087,51.9699,52.4133,770896.0
2019-01-02,51.7346,52.6576,51.1555,52.3409,734549.0
2019-01-03,51.6532,51.9065,47.5267,48.8298,1431142.0
2019-01-04,49.5537,52.0694,49.418,50.7663,929153.0
2019-01-05,49.5537,52.0694,49.418,50.7663,929153.0
2019-01-06,49.5537,52.0694,49.418,50.7663,929153.0
2019-01-07,50.5582,53.1282,50.1284,52.1871,1616887.0
2019-01-08,53.0015,53.0287,51.4993,51.6351,1406984.0
2019-01-09,51.6351,53.9517,51.4631,53.7978,1078515.0
2019-01-10,52.4133,55.2819,50.8025,54.9742,1665560.0
2019-01-11,54.4222,54.7661,53.5913,54.3951,1098035.0
2019-01-12,54.4222,54.7661,53.5913,54.3951,1098035.0
2019-01-13,54.4222,54.7661,53.5913,54.3951,1098035.0
2019-01-14,53.6983,54.1236,52.6486,53.2368,874942.0
2019-01-15,53.4178,54.2322,52.549,52.9925,1203895.0
2019-01-16,53.7345,55.8339,53.7345,54.9833,1384864.0
2019-01-17,55.843,56.0783,53.8883,54.5761,1347713.0
2019-01-18,55.119,55.1914,53.2277,53.7164,1191036.0
2019-01-19,55.119,55.1914,53.2277,53.7164,1191036.0
2019-01-20,55.119,55.1914,53.2277,53.7164,1191036.0
2019-01-21,55.119,55.1914,53.2277,53.7164,1191036.0
2019-01-22,53.5897,53.9788,52.1871,52.54,1063340.0
2019-01-23,52.9382,53.0467,51.7527,51.9608,1136317.0
2019-01-24,52.6124,53.0196,51.626,51.997,1188163.0
2019-01-25,52.3138,52.9834,51.3998,52.4495,1235084.0
2019-01-26,52.3138,52.9834,51.3998,52.4495,1235084.0
2019-01-27,52.3138,52.9834,51.3998,52.4495,1235084.0
2019-01-28,52.8703,53.7978,52.2052,52.9291,845108.0
2019-01-29,52.8024,53.0558,52.1328,52.1599,588611.0
2019-01-30,52.4857,54.2051,51.7799,53.7797,1038634.0
2019-01-31,53.4178,53.8974,52.7391,53.2277,732392.0
2019-02-01,53.7616,56.3135,53.3024,55.3181,1487934.0
2019-02-02,53.7616,56.3135,53.3024,55.3181,1487934.0
2019-02-03,53.7616,56.3135,53.3024,55.3181,1487934.0
2019-02-04,55.7977,56.947,55.2729,56.8112,1056000.0
2019-02-05,57.0827,57.68,56.214,56.9651,1386058.0
2019-02-06,54.2503,56.6031,51.7256,55.11,2856503.0
2019-02-07,55.9154,57.0737,55.3905,56.7479,1566843.0
2019-02-08,56.0602,56.2229,54.8385,55.5986,920208.0
2019-02-09,56.0602,56.2229,54.8385,55.5986,920208.0
2019-02-10,56.0602,56.2229,54.8385,55.5986,920208.0
2019-02-11,56.1506,57.2456,55.8068,57.0646,1193698.0
2019-02-12,57.5804,58.603,55.7072,55.7887,1217390.0
2019-02-13,55.8792,56.1687,54.8385,55.1371,1306867.0
2019-02-14,54.7661,55.9878,54.7571,55.5805,1024128.0
2019-02-15,55.8339,56.3226,55.5081,55.8068,703380.0
2019-02-16,55.8339,56.3226,55.5081,55.8068,703380.0
2019-02-17,55.8339,56.3226,55.5081,55.8068,703380.0
2019-02-18,55.8339,56.3226,55.5081,55.8068,703380.0
2019-02-19,55.8068,57.2275,55.8068,56.4131,1113304.0
2019-02-20,55.4267,55.9697,52.35,52.4947,2314318.0
2019-02-21,53.1463,54.0422,52.7843,53.9155,1435498.0
2019-02-22,53.9879,54.4946,53.7073,54.4041,1200523.0
2019-02-23,53.9879,54.4946,53.7073,54.4041,1200523.0
2019-02-24,53.9879,54.4946,53.7073,54.4041,1200523.0
2019-02-25,54.4494,55.2005,54.4494,54.8295,927154.0
2019-02-26,54.8023,55.7344,54.8023,55.2095,680807.0
2019-02-27,54.8928,55.5081,52.7934,53.0015,1581564.0
2019-02-28,52.9291,53.1372,50.0876,50.9021,2763990.0
2019-03-01,51.2912,51.9699,50.6758,51.2278,1651915.0
2019-03-02,51.2912,51.9699,50.6758,51.2278,1651915.0
2019-03-03,51.2912,51.9699,50.6758,51.2278,1651915.0
2019-03-04,51.1193,51.9156,51.0107,51.6351,1353410.0
2019-03-05,51.8613,52.2142,50.7663,50.8659,1925167.0
2019-03-06,50.8659,51.2731,48.1782,48.2325,2608280.0
2019-03-07,48.0878,48.0878,47.1285,47.771,1613136.0
2019-03-08,47.3457,48.1782,46.5584,46.7666,951910.0
2019-03-09,47.3457,48.1782,46.5584,46.7666,951910.0
2019-03-10,47.3457,48.1782,46.5584,46.7666,951910.0
2019-03-11,47.8977,48.5674,47.0109,48.0244,1242459.0
2019-03-12,47.5403,48.3953,47.1557,47.7891,1132904.0
2019-03-13,48.0516,49.6714,47.9792,49.5628,1410091.0
2019-03-14,49.8886,50.9202,49.789,49.9067,1106294.0
2019-03-15,50.4677,50.8478,48.9474,49.047,1564143.0
2019-03-16,50.4677,50.8478,48.9474,49.047,1564143.0
2019-03-17,50.4677,50.8478,48.9474,49.047,1564143.0
2019-03-18,48.8569,48.9022,47.5358,47.8253,1066550.0
2019-03-19,47.8253,49.2099,47.8253,48.5945,694571.0
2019-03-20,48.4678,48.5945,47.2824,47.5991,788474.0
2019-03-21,47.6715,49.0017,47.5448,48.8569,574218.0
2019-03-22,48.8569,49.1556,47.3819,48.0063,1463414.0
2019-03-23,48.8569,49.1556,47.3819,48.0063,1463414.0
2019-03-24,48.8569,49.1556,47.3819,48.0063,1463414.0
2019-03-25,48.0063,48.2687,46.6218,46.6489,1360131.0
2019-03-26,47.6715,47.9068,47.0652,47.4634,883237.0
2019-03-27,47.3186,48.7665,47.3186,48.1511,959369.0
2019-03-28,48.3502,48.8117,46.1965,46.8299,1523586.0
2019-03-29,46.8842,48.2687,46.5675,47.8344,992361.0
2019-03-30,46.8842,48.2687,46.5675,47.8344,992361.0
2019-03-31,46.8842,48.2687,46.5675,47.8344,992361.0
2019-04-01,48.3502,49.0741,47.8494,48.1692,836604.0
2019-04-02,48.8388,49.2189,47.7348,48.7031,854908.0
2019-04-03,49.0108,49.5085,48.676,49.1194,680634.0
2019-04-04,48.875,49.2642,47.8163,49.1375,546484.0
2019-04-05,49.2008,49.3547,48.5221,49.2642,800364.0
2019-04-06,49.2008,49.3547,48.5221,49.2642,800364.0
2019-04-07,49.2008,49.3547,48.5221,49.2642,800364.0
2019-04-08,48.4045,49.7619,48.2959,49.4994,685912.0
2019-04-09,48.8841,49.8614,48.8841,49.599,747920.0
2019-04-10,50.2234,51.5898,50.1329,51.436,1386274.0
2019-04-11,51.255,52.8748,51.074,51.5084,1216185.0
2019-04-12,51.6622,52.0785,50.0967,50.8749,1275524.0
2019-04-13,51.6622,52.0785,50.0967,50.8749,1275524.0
2019-04-14,51.6622,52.0785,50.0967,50.8749,1275524.0
2019-04-15,50.3591,51.0876,49.6352,49.9248,653033.0
2019-04-16,50.1872,50.2958,49.427,49.7528,470119.0
2019-04-17,50.2234,50.3998,49.4904,50.2777,726836.0
2019-04-18,50.1781,50.8478,49.3818,50.8478,941951.0
2019-04-19,50.1781,50.8478,49.3818,50.8478,941951.0
2019-04-20,50.1781,50.8478,49.3818,50.8478,941951.0
2019-04-21,50.1781,50.8478,49.3818,50.8478,941951.0
2019-04-22,50.4677,50.8478,49.7709,50.3591,891638.0
2019-04-23,50.5311,52.2142,50.2687,52.0242,1208767.0
2019-04-24,52.2595,52.9789,52.0423,52.7572,1482085.0
2019-04-25,47.5991,48.9927,45.2463,47.8525,3954821.0
2019-04-26,47.9611,50.0152,47.5177,47.6896,2103931.0
2019-04-27,47.9611,50.0152,47.5177,47.6896,2103931.0
2019-04-28,47.9611,50.0152,47.5177,47.6896,2103931.0
2019-04-29,47.6896,49.1255,47.6896,48.676,1496292.0
2019-04-30,48.0425,49.7528,48.0425,49.2099,1273658.0
2019-05-01,49.1737,49.3637,47.486,47.5629,1295005.0
2019-05-02,47.6805,48.2325,46.9295,47.5267,1333748.0
