,PNM US Equity,PNM US Equity,PNM US Equity,PNM US Equity,PNM US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,44.592,44.9097,44.5744,44.742,316558.0
2020-01-02,44.9185,44.9185,43.7362,43.8421,369445.0
2020-01-03,43.7538,44.1332,43.7538,43.9921,263367.0
2020-01-04,43.7538,44.1332,43.7538,43.9921,263367.0
2020-01-05,43.7538,44.1332,43.7538,43.9921,263367.0
2020-01-06,44.0274,44.2303,43.8244,43.895,429784.0
2020-01-07,43.8068,43.8068,43.348,43.4097,268353.0
2020-01-08,43.1539,43.4539,43.0039,43.2244,2726729.0
2020-01-09,43.2333,43.2774,42.8098,43.1627,1001237.0
2020-01-10,43.2686,43.9038,43.1274,43.8597,916070.0
2020-01-11,43.2686,43.9038,43.1274,43.8597,916070.0
2020-01-12,43.2686,43.9038,43.1274,43.8597,916070.0
2020-01-13,43.8597,44.3891,43.8597,44.2744,1045789.0
2020-01-14,44.3715,44.6891,43.9832,44.2744,739154.0
2020-01-15,44.345,45.1744,44.345,45.1567,662397.0
2020-01-16,45.2538,45.5008,45.0685,45.1655,553439.0
2020-01-17,45.2626,45.4346,44.9008,45.3332,453334.0
2020-01-18,45.2626,45.4346,44.9008,45.3332,453334.0
2020-01-19,45.2626,45.4346,44.9008,45.3332,453334.0
2020-01-20,45.2626,45.4346,44.9008,45.3332,453334.0
2020-01-21,45.4302,45.8626,45.1655,45.7743,512344.0
2020-01-22,45.8802,46.2331,45.3773,46.1714,1358342.0
2020-01-23,46.1184,46.7184,46.0302,46.6655,550133.0
2020-01-24,46.639,47.1684,46.6125,47.1507,751595.0
2020-01-25,46.639,47.1684,46.6125,47.1507,751595.0
2020-01-26,46.639,47.1684,46.6125,47.1507,751595.0
2020-01-27,47.1419,47.6095,47.0272,47.4066,768239.0
2020-01-28,47.4154,48.0154,47.4154,47.9272,667970.0
2020-01-29,47.9007,48.7389,47.6757,48.1742,1095864.0
2020-01-30,48.0419,48.5713,47.9889,48.5271,680176.0
2020-01-31,48.4983,48.8177,48.0458,48.1168,622272.0
2020-02-01,48.4983,48.8177,48.0458,48.1168,622272.0
2020-02-02,48.4983,48.8177,48.0458,48.1168,622272.0
2020-02-03,48.1878,48.4007,47.8861,48.3741,576597.0
2020-02-04,48.3652,48.4451,47.9305,48.0635,672359.0
2020-02-05,48.0635,48.4806,47.8772,48.3652,492211.0
2020-02-06,48.383,48.7201,48.3209,48.5161,343165.0
2020-02-07,48.6314,48.729,48.3209,48.3475,376436.0
2020-02-08,48.6314,48.729,48.3209,48.3475,376436.0
2020-02-09,48.6314,48.729,48.3209,48.3475,376436.0
2020-02-10,48.4362,48.5338,48.0192,48.312,494872.0
2020-02-11,48.3918,48.9686,48.3918,48.9153,478341.0
2020-02-12,48.9863,49.4654,48.7246,48.8976,585119.0
2020-02-13,48.8266,49.5054,48.778,49.4832,279960.0
2020-02-14,49.5719,49.7671,49.3501,49.4921,252521.0
2020-02-15,49.5719,49.7671,49.3501,49.4921,252521.0
2020-02-16,49.5719,49.7671,49.3501,49.4921,252521.0
2020-02-17,49.5719,49.7671,49.3501,49.4921,252521.0
2020-02-18,49.6518,49.8115,49.4832,49.5009,278905.0
2020-02-19,49.4211,49.5808,48.8,48.8443,438894.0
2020-02-20,48.7201,48.9774,48.3652,48.6491,282513.0
2020-02-21,48.7113,49.0839,48.3031,48.3652,577106.0
2020-02-22,48.7113,49.0839,48.3031,48.3652,577106.0
2020-02-23,48.7113,49.0839,48.3031,48.3652,577106.0
2020-02-24,48.0192,48.5427,47.9393,48.1434,840703.0
2020-02-25,48.1345,48.2587,47.0964,47.1142,495072.0
2020-02-26,47.2206,47.7974,46.2713,46.3422,519835.0
2020-02-27,45.9785,46.3866,43.9022,43.9643,579677.0
2020-02-28,43.3078,43.4535,40.3443,41.7728,1689157.0
2020-02-29,43.3078,43.4535,40.3443,41.7728,1689157.0
2020-03-01,43.3078,43.4535,40.3443,41.7728,1689157.0
2020-03-02,41.7728,43.991,41.4889,43.9555,825588.0
2020-03-03,43.8401,44.8649,43.0593,43.5473,671803.0
2020-03-04,44.1862,46.2446,44.0087,46.218,707996.0
2020-03-05,45.2953,46.3511,45.2509,46.0139,638702.0
2020-03-06,44.9936,46.2091,44.2926,45.9873,498071.0
2020-03-07,44.9936,46.2091,44.2926,45.9873,498071.0
2020-03-08,44.9936,46.2091,44.2926,45.9873,498071.0
2020-03-09,43.4763,43.92,41.4356,41.9325,1018200.0
2020-03-10,42.7044,44.5854,41.2404,43.2368,1271200.0
2020-03-11,42.1454,42.7665,39.6877,40.504,740758.0
2020-03-12,37.7978,37.9309,34.1866,35.0473,1116639.0
2020-03-13,36.9105,37.1678,34.1334,36.7153,956369.0
2020-03-14,36.9105,37.1678,34.1334,36.7153,956369.0
2020-03-15,36.9105,37.1678,34.1334,36.7153,956369.0
2020-03-16,31.232,34.1777,29.5018,29.9809,1384136.0
2020-03-17,30.7174,33.3171,30.3536,32.5185,1293713.0
2020-03-18,30.5932,32.2435,24.0273,27.6208,1724649.0
2020-03-19,27.4256,30.5399,26.796,29.6615,1265952.0
2020-03-20,29.8124,31.0102,26.2633,26.5561,1369063.0
2020-03-21,29.8124,31.0102,26.2633,26.5561,1369063.0
2020-03-22,29.8124,31.0102,26.2633,26.5561,1369063.0
2020-03-23,26.139,28.9961,24.8614,27.7006,1153075.0
2020-03-24,28.5347,30.1761,26.7513,29.9721,715492.0
2020-03-25,29.6615,31.5425,28.4903,30.4246,838758.0
2020-03-26,30.3181,34.5681,30.3181,34.4173,717018.0
2020-03-27,33.2284,36.5113,32.6428,35.136,647270.0
2020-03-28,33.2284,36.5113,32.6428,35.136,647270.0
2020-03-29,33.2284,36.5113,32.6428,35.136,647270.0
2020-03-30,35.6506,35.6506,34.1334,34.9763,670711.0
2020-03-31,34.6125,35.2158,32.9444,33.7164,856466.0
2020-04-01,32.2346,32.7093,31.4094,32.1193,861415.0
2020-04-02,31.4006,34.4705,31.4006,34.1068,764454.0
2020-04-03,33.7696,34.9452,33.5034,33.8051,1178614.0
2020-04-04,33.7696,34.9452,33.5034,33.8051,1178614.0
2020-04-05,33.7696,34.9452,33.5034,33.8051,1178614.0
2020-04-06,35.3578,37.5494,35.2114,37.23,760149.0
2020-04-07,38.1793,38.9158,36.4403,37.434,912592.0
2020-04-08,37.4961,39.5191,36.9638,39.3239,836625.0
2020-04-09,40.0249,41.5421,39.4393,41.3291,703961.0
2020-04-10,40.0249,41.5421,39.4393,41.3291,703961.0
2020-04-11,40.0249,41.5421,39.4393,41.3291,703961.0
2020-04-12,40.0249,41.5421,39.4393,41.3291,703961.0
2020-04-13,40.5483,41.3291,38.0374,38.8537,695818.0
2020-04-14,39.8829,40.3354,38.9868,39.945,630728.0
2020-04-15,38.6407,39.5724,37.6913,38.0285,643307.0
2020-04-16,38.0019,38.5076,36.8307,37.851,670750.0
2020-04-17,38.694,38.796,37.6825,38.339,504100.0
2020-04-18,38.694,38.796,37.6825,38.339,504100.0
2020-04-19,38.694,38.796,37.6825,38.339,504100.0
2020-04-20,37.7357,38.0462,35.9257,36.0499,637861.0
2020-04-21,35.1626,35.8636,34.6391,35.2247,549905.0
2020-04-22,35.9434,36.9194,35.136,36.4758,581213.0
2020-04-23,36.4758,36.8515,35.8281,36.0233,408496.0
2020-04-24,36.0233,36.875,35.5086,36.6621,510657.0
2020-04-25,36.0233,36.875,35.5086,36.6621,510657.0
2020-04-26,36.0233,36.875,35.5086,36.6621,510657.0
2020-04-27,36.9904,38.7206,36.8218,37.5849,767389.0
2020-04-28,38.552,38.8182,37.576,37.8599,549748.0
2020-04-29,38.8537,39.3417,37.8422,37.9575,579171.0
2020-04-30,37.4816,37.5531,36.1053,36.1858,511178.0
2020-05-01,35.5959,35.5959,34.5146,34.9078,651737.0
2020-05-02,35.5959,35.5959,34.5146,34.9078,651737.0
2020-05-03,35.5959,35.5959,34.5146,34.9078,651737.0
2020-05-04,34.6039,35.1938,33.6209,34.6844,599657.0
2020-05-05,35.1223,35.6764,34.7558,34.7558,482286.0
2020-05-06,34.7827,34.7827,33.1114,33.2455,451244.0
2020-05-07,33.7549,34.595,33.6566,34.1749,501155.0
2020-05-08,34.9257,35.2921,34.2554,35.167,335863.0
2020-05-09,34.9257,35.2921,34.2554,35.167,335863.0
2020-05-10,34.9257,35.2921,34.2554,35.167,335863.0
2020-05-11,34.6754,34.7112,33.3081,33.9515,788039.0
2020-05-12,33.9515,34.3179,32.7629,32.897,724842.0
2020-05-13,32.5395,32.5395,31.1989,31.9675,613059.0
2020-05-14,31.5207,32.2803,30.6002,32.2088,694342.0
2020-05-15,32.3071,33.317,31.896,33.2544,1993447.0
2020-05-16,32.3071,33.317,31.896,33.2544,1993447.0
2020-05-17,32.3071,33.317,31.896,33.2544,1993447.0
2020-05-18,34.6575,35.8283,34.2733,35.7479,828268.0
2020-05-19,35.2921,35.9534,34.9167,35.5423,1001732.0
2020-05-20,36.0249,36.5075,35.3546,35.4797,575192.0
2020-05-21,35.3278,35.6406,34.3582,34.5146,565947.0
2020-05-22,34.5324,34.6218,33.9605,34.4252,306303.0
2020-05-23,34.5324,34.6218,33.9605,34.4252,306303.0
2020-05-24,34.5324,34.6218,33.9605,34.4252,306303.0
2020-05-25,34.5324,34.6218,33.9605,34.4252,306303.0
2020-05-26,35.4082,35.7925,34.7558,34.8631,345250.0
2020-05-27,35.6317,35.8015,34.8631,35.0686,375369.0
2020-05-28,35.7836,36.4092,35.2831,36.0338,664466.0
2020-05-29,35.7479,36.9812,35.5959,36.4807,776157.0
2020-05-30,35.7479,36.9812,35.5959,36.4807,776157.0
2020-05-31,35.7479,36.9812,35.5959,36.4807,776157.0
2020-06-01,36.6594,36.7399,36.016,36.1411,548995.0
2020-06-02,36.3734,36.9275,36.0517,36.4092,422338.0
2020-06-03,37.2939,38.2502,36.9454,36.9812,526639.0
2020-06-04,36.6058,37.0616,35.8193,36.3198,423531.0
2020-06-05,37.0705,38.6345,37.0705,37.9821,602269.0
2020-06-06,37.0705,38.6345,37.0705,37.9821,602269.0
2020-06-07,37.0705,38.6345,37.0705,37.9821,602269.0
2020-06-08,38.2323,38.8758,38.0893,38.563,548129.0
2020-06-09,37.9553,38.0625,37.0437,37.4459,484331.0
2020-06-10,37.4459,37.5442,36.159,36.4092,444071.0
2020-06-11,35.3814,35.3814,34.1213,34.5324,577667.0
2020-06-12,35.8908,35.8908,33.9158,34.6129,845135.0
2020-06-13,35.8908,35.8908,33.9158,34.6129,845135.0
2020-06-14,35.8908,35.8908,33.9158,34.6129,845135.0
2020-06-15,33.5672,34.881,33.3974,34.8452,554853.0
2020-06-16,36.0785,36.1411,34.9435,35.1223,408550.0
2020-06-17,35.3457,35.3457,34.032,34.5056,319513.0
2020-06-18,34.0588,34.6129,33.8443,34.4252,409823.0
