,ULH US Equity,ULH US Equity,ULH US Equity,ULH US Equity,ULH US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,16.7009,16.9149,16.2729,16.4732,72775.0
2019-01-02,16.1727,17.1744,16.1727,17.138,63704.0
2019-01-03,16.9832,16.9832,15.9951,16.5096,48130.0
2019-01-04,16.628,17.311,16.4641,16.883,48338.0
2019-01-05,16.628,17.311,16.4641,16.883,48338.0
2019-01-06,16.628,17.311,16.4641,16.883,48338.0
2019-01-07,16.883,17.5842,16.883,17.5022,78909.0
2019-01-08,17.6297,18.381,17.6297,18.3127,82038.0
2019-01-09,18.258,18.9957,18.0213,18.8864,53450.0
2019-01-10,18.7498,18.7771,18.2672,18.3036,49762.0
2019-01-11,18.2216,18.5859,17.9849,18.5494,48027.0
2019-01-12,18.2216,18.5859,17.9849,18.5494,48027.0
2019-01-13,18.2216,18.5859,17.9849,18.5494,48027.0
2019-01-14,18.4766,18.5449,17.8574,17.9211,40416.0
2019-01-15,17.8301,18.0416,17.2473,17.6206,41609.0
2019-01-16,17.5569,18.1214,17.393,17.6115,49723.0
2019-01-17,17.5295,18.5221,17.4886,18.3946,50864.0
2019-01-18,18.5494,19.0048,18.34,18.8591,47988.0
2019-01-19,18.5494,19.0048,18.34,18.8591,47988.0
2019-01-20,18.5494,19.0048,18.34,18.8591,47988.0
2019-01-21,18.5494,19.0048,18.34,18.8591,47988.0
2019-01-22,18.8773,18.8773,18.0213,18.513,155163.0
2019-01-23,18.6405,19.0503,18.3946,18.6041,44445.0
2019-01-24,18.6041,18.7771,18.258,18.4584,171065.0
2019-01-25,18.4948,19.1869,18.34,18.8044,36942.0
2019-01-26,18.4948,19.1869,18.34,18.8044,36942.0
2019-01-27,18.4948,19.1869,18.34,18.8044,36942.0
2019-01-28,18.6314,18.85,18.1943,18.595,136783.0
2019-01-29,18.7134,18.7316,18.34,18.4493,44192.0
2019-01-30,18.4402,18.7589,18.2307,18.6132,21558.0
2019-01-31,18.6223,18.8044,18.4129,18.5586,24684.0
2019-02-01,18.5043,18.8317,18.2489,18.7043,27684.0
2019-02-02,18.5043,18.8317,18.2489,18.7043,27684.0
2019-02-03,18.5043,18.8317,18.2489,18.7043,27684.0
2019-02-04,18.7134,18.8044,18.3311,18.7134,24511.0
2019-02-05,18.8955,20.225,18.8955,19.7242,95108.0
2019-02-06,19.7606,19.797,19.451,19.6422,34161.0
2019-02-07,19.4783,19.9063,19.3235,19.5967,44360.0
2019-02-08,19.5147,19.6604,19.0048,19.4692,47598.0
2019-02-09,19.5147,19.6604,19.0048,19.4692,47598.0
2019-02-10,19.5147,19.6604,19.0048,19.4692,47598.0
2019-02-11,19.4965,19.6422,19.0867,19.5967,29208.0
2019-02-12,19.7333,20.1612,19.5238,19.8607,22060.0
2019-02-13,19.9154,20.3343,19.797,20.2614,30494.0
2019-02-14,20.1248,20.5801,20.0884,20.4162,37603.0
2019-02-15,20.48,20.8169,20.3798,20.7623,38198.0
2019-02-16,20.48,20.8169,20.3798,20.7623,38198.0
2019-02-17,20.48,20.8169,20.3798,20.7623,38198.0
2019-02-18,20.48,20.8169,20.3798,20.7623,38198.0
2019-02-19,20.7441,21.2722,20.7441,21.2722,41065.0
2019-02-20,21.2995,21.6274,20.9626,21.4543,42819.0
2019-02-21,21.5454,21.5454,20.7987,21.4543,27496.0
2019-02-22,20.8078,21.1721,20.1339,20.5255,72603.0
2019-02-23,20.8078,21.1721,20.1339,20.5255,72603.0
2019-02-24,20.8078,21.1721,20.1339,20.5255,72603.0
2019-02-25,20.7987,20.908,20.5437,20.6075,37567.0
2019-02-26,20.6166,20.6581,20.0429,20.307,41716.0
2019-02-27,20.307,20.3161,19.9791,20.1977,43219.0
2019-02-28,20.1248,20.3889,19.9882,20.1704,39084.0
2019-03-01,20.2485,20.4968,20.1658,20.2485,35733.0
2019-03-02,20.2485,20.4968,20.1658,20.2485,35733.0
2019-03-03,20.2485,20.4968,20.1658,20.2485,35733.0
2019-03-04,20.3497,20.6347,19.8071,19.8439,27576.0
2019-03-05,20.3405,20.3405,19.3658,19.4945,35665.0
2019-03-06,19.4853,19.4853,18.7221,18.814,31286.0
2019-03-07,18.7037,19.2646,18.5841,18.86,29514.0
2019-03-08,18.7313,19.1267,18.6117,18.768,40140.0
2019-03-09,18.7313,19.1267,18.6117,18.768,40140.0
2019-03-10,18.7313,19.1267,18.6117,18.768,40140.0
2019-03-11,18.8324,19.3933,17.9496,19.3474,44070.0
2019-03-12,19.3474,19.7639,19.1313,19.2186,43264.0
2019-03-13,19.3106,19.7795,19.237,19.5497,15664.0
2019-03-14,19.5405,19.706,19.3566,19.5037,22769.0
2019-03-15,19.614,20.4876,19.3749,19.5405,153618.0
2019-03-16,19.614,20.4876,19.3749,19.5405,153618.0
2019-03-17,19.614,20.4876,19.3749,19.5405,153618.0
2019-03-18,19.5405,19.8347,19.3106,19.6784,18792.0
2019-03-19,19.6876,19.6876,18.6393,18.6577,33551.0
2019-03-20,18.6393,19.3979,18.0508,18.4002,29807.0
2019-03-21,18.391,18.6393,17.4899,17.6646,130540.0
2019-03-22,17.5266,17.5595,16.8646,16.8646,68355.0
2019-03-23,17.5266,17.5595,16.8646,16.8646,68355.0
2019-03-24,17.5266,17.5595,16.8646,16.8646,68355.0
2019-03-25,16.9473,18.0445,16.9289,17.7749,88773.0
2019-03-26,17.7933,18.1887,17.7565,17.968,45771.0
2019-03-27,17.968,18.2163,17.7933,17.9404,27504.0
2019-03-28,17.9956,18.1336,17.7473,17.9129,27228.0
2019-03-29,18.0508,18.3818,17.8669,18.0968,145976.0
2019-03-30,18.0508,18.3818,17.8669,18.0968,145976.0
2019-03-31,18.0508,18.3818,17.8669,18.0968,145976.0
2019-04-01,18.2531,18.9244,18.1688,18.7497,52707.0
2019-04-02,18.7588,18.9795,18.483,18.9152,33407.0
2019-04-03,19.0623,19.3106,18.8692,19.0899,93217.0
2019-04-04,19.1543,19.3933,18.9611,19.2646,24426.0
2019-04-05,19.283,19.5313,18.9474,19.1451,31466.0
2019-04-06,19.283,19.5313,18.9474,19.1451,31466.0
2019-04-07,19.283,19.5313,18.9474,19.1451,31466.0
2019-04-08,18.9703,19.2462,18.9152,19.1083,27145.0
2019-04-09,19.0163,19.1818,18.8784,19.0347,30834.0
2019-04-10,19.1451,19.6094,18.9887,19.5405,26712.0
2019-04-11,19.5497,20.0462,19.0899,19.9635,33111.0
2019-04-12,20.0738,20.4048,20.0738,20.2761,34261.0
2019-04-13,20.0738,20.4048,20.0738,20.2761,34261.0
2019-04-14,20.0738,20.4048,20.0738,20.2761,34261.0
2019-04-15,20.2853,20.4232,19.8899,20.0186,36035.0
2019-04-16,20.083,20.3359,19.8761,20.2209,24940.0
2019-04-17,20.1658,20.4784,20.0048,20.4048,34273.0
2019-04-18,20.4048,20.6715,20.1382,20.506,20889.0
2019-04-19,20.4048,20.6715,20.1382,20.506,20889.0
2019-04-20,20.4048,20.6715,20.1382,20.506,20889.0
2019-04-21,20.4048,20.6715,20.1382,20.506,20889.0
2019-04-22,20.4048,20.8738,20.2761,20.4416,30052.0
2019-04-23,20.5979,20.6623,20.3037,20.414,60137.0
2019-04-24,20.4324,21.0393,20.4324,20.6623,24767.0
2019-04-25,20.6439,21.9497,20.2853,20.2853,72059.0
2019-04-26,20.6071,21.214,20.2301,20.9566,58040.0
2019-04-27,20.6071,21.214,20.2301,20.9566,58040.0
2019-04-28,20.6071,21.214,20.2301,20.9566,58040.0
2019-04-29,21.2692,22.1014,21.1037,21.8853,70219.0
2019-04-30,22.6853,23.1221,22.1152,22.4554,108698.0
2019-05-01,22.4646,22.4646,21.3428,21.7474,68279.0
2019-05-02,21.7474,21.9497,21.1865,21.3888,35015.0
2019-05-03,21.3934,21.6982,20.9038,21.3657,69627.0
2019-05-04,21.3934,21.6982,20.9038,21.3657,69627.0
2019-05-05,21.3934,21.6982,20.9038,21.3657,69627.0
2019-05-06,21.144,21.9661,21.144,21.9568,32297.0
2019-05-07,21.6243,21.9476,21.338,21.883,30959.0
2019-05-08,21.8091,21.8091,21.338,21.4211,44797.0
2019-05-09,21.338,21.6428,21.1301,21.5227,29217.0
2019-05-10,21.3472,21.4858,20.9223,21.1255,49539.0
2019-05-11,21.3472,21.4858,20.9223,21.1255,49539.0
2019-05-12,21.3472,21.4858,20.9223,21.1255,49539.0
2019-05-13,20.599,21.0655,19.897,20.2664,88767.0
2019-05-14,20.3773,21.2179,20.0725,20.7745,68181.0
2019-05-15,20.6082,21.2271,20.6082,21.0978,48496.0
2019-05-16,20.9527,21.2271,20.3865,20.4974,55271.0
