,FNF US Equity,FNF US Equity,FNF US Equity,FNF US Equity,FNF US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,36.352,36.6429,36.2995,36.6429,1055447.0
2020-01-02,36.7318,36.8126,36.0526,36.3359,990879.0
2020-01-03,36.0611,36.5379,36.0369,36.4894,1208534.0
2020-01-04,36.0611,36.5379,36.0369,36.4894,1208534.0
2020-01-05,36.0611,36.5379,36.0369,36.4894,1208534.0
2020-01-06,36.4167,37.0711,36.3601,37.0631,1550443.0
2020-01-07,37.1196,37.1196,36.7277,36.7722,802566.0
2020-01-08,36.7641,37.0146,36.7156,36.8691,1076620.0
2020-01-09,36.958,37.2247,36.8449,37.1115,1389467.0
2020-01-10,37.1196,37.4428,36.853,36.9823,1002316.0
2020-01-11,37.1196,37.4428,36.853,36.9823,1002316.0
2020-01-12,37.1196,37.4428,36.853,36.9823,1002316.0
2020-01-13,37.0873,37.5398,37.0227,37.4267,1455898.0
2020-01-14,37.4751,37.5721,37.3055,37.4509,1431727.0
2020-01-15,37.5721,38.0327,37.4509,37.8226,1312239.0
2020-01-16,37.9519,38.0973,37.7256,37.7822,773253.0
2020-01-17,37.8711,38.3316,37.8711,38.2266,1511728.0
2020-01-18,37.8711,38.3316,37.8711,38.2266,1511728.0
2020-01-19,37.8711,38.3316,37.8711,38.2266,1511728.0
2020-01-20,37.8711,38.3316,37.8711,38.2266,1511728.0
2020-01-21,38.2589,38.5336,38.1054,38.1054,1310724.0
2020-01-22,38.2589,38.5498,38.2104,38.5255,893322.0
2020-01-23,38.4367,38.8568,38.1458,38.8083,860681.0
2020-01-24,38.8407,39.0992,38.7518,39.0265,956817.0
2020-01-25,38.8407,39.0992,38.7518,39.0265,956817.0
2020-01-26,38.8407,39.0992,38.7518,39.0265,956817.0
2020-01-27,38.8568,39.3093,38.6791,39.2689,845445.0
2020-01-28,39.3497,39.7699,39.2932,39.3093,1115923.0
2020-01-29,39.4709,39.7295,39.3093,39.5921,1375868.0
2020-01-30,39.5517,39.7618,39.4184,39.7618,1085820.0
2020-01-31,39.7295,39.786,39.0427,39.3901,1456767.0
2020-02-01,39.7295,39.786,39.0427,39.3901,1456767.0
2020-02-02,39.7295,39.786,39.0427,39.3901,1456767.0
2020-02-03,39.5356,39.8184,39.374,39.4063,942368.0
2020-02-04,39.6164,39.7214,39.1962,39.2204,1872690.0
2020-02-05,39.4305,39.786,39.3578,39.6164,1031155.0
