,ED US Equity,ED US Equity,ED US Equity,ED US Equity,ED US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,76.978,77.2341,76.6579,77.217,1153574.0
2020-01-02,77.2853,77.3747,75.51,75.8428,1281564.0
2020-01-03,75.5868,76.1586,75.5014,75.6465,1379633.0
2020-01-04,75.5868,76.1586,75.5014,75.6465,1379633.0
2020-01-05,75.5868,76.1586,75.5014,75.6465,1379633.0
2020-01-06,75.6807,76.0135,75.1942,75.399,1395456.0
2020-01-07,75.1088,75.6039,74.4089,74.8272,1898475.0
2020-01-08,74.3236,74.5796,73.9907,74.2297,2254984.0
2020-01-09,74.1017,74.4687,74.0078,74.1529,1523204.0
2020-01-10,74.3407,74.8954,74.3108,74.6735,1453411.0
2020-01-11,74.3407,74.8954,74.3108,74.6735,1453411.0
2020-01-12,74.3407,74.8954,74.3108,74.6735,1453411.0
2020-01-13,74.6565,75.271,74.5028,74.9296,1351795.0
2020-01-14,74.9637,75.1558,74.3663,74.921,2134494.0
2020-01-15,75.16,76.1288,75.0619,75.9282,1944206.0
2020-01-16,76.0306,76.2355,75.9282,76.1074,1707107.0
2020-01-17,76.1074,77.17,75.9026,77.0207,2538383.0
2020-01-18,76.1074,77.17,75.9026,77.0207,2538383.0
2020-01-19,76.1074,77.17,75.9026,77.0207,2538383.0
2020-01-20,76.1074,77.17,75.9026,77.0207,2538383.0
2020-01-21,77.1316,77.5584,76.7134,77.5243,2140873.0
2020-01-22,77.84,78.1815,77.6779,77.8059,1581737.0
2020-01-23,77.84,79.1971,77.84,79.1801,1741860.0
2020-01-24,79.0008,79.9909,78.9667,79.897,1455865.0
2020-01-25,79.0008,79.9909,78.9667,79.897,1455865.0
2020-01-26,79.0008,79.9909,78.9667,79.897,1455865.0
2020-01-27,79.9824,80.3664,79.4831,79.7263,1999367.0
2020-01-28,79.7775,80.8103,79.7775,80.3835,1496505.0
2020-01-29,80.2896,80.7591,79.8415,80.6054,1640796.0
2020-01-30,80.6566,81.0236,80.1531,80.8615,1429726.0
2020-01-31,80.7761,81.1687,79.8458,80.2299,3781529.0
2020-02-01,80.7761,81.1687,79.8458,80.2299,3781529.0
2020-02-02,80.7761,81.1687,79.8458,80.2299,3781529.0
2020-02-03,80.3664,80.503,79.6666,80.1018,1434353.0
2020-02-04,79.9994,80.2811,78.9496,78.9838,1631889.0
2020-02-05,78.8643,79.7946,78.6765,79.7178,1270831.0
2020-02-06,79.8629,80.1957,79.5727,79.7775,1212741.0
2020-02-07,80.0421,80.1957,79.1886,79.1886,1098516.0
2020-02-08,80.0421,80.1957,79.1886,79.1886,1098516.0
2020-02-09,80.0421,80.1957,79.1886,79.1886,1098516.0
2020-02-10,79.2142,79.4532,78.7704,79.4446,1029868.0
2020-02-11,79.6239,79.9055,79.3849,79.53,1141743.0
2020-02-12,79.1971,79.5044,78.9027,79.2654,1552527.0
2020-02-13,79.2057,80.008,78.7192,79.9226,1244306.0
2020-02-14,80.1616,80.6396,80.0165,80.4859,1249173.0
2020-02-15,80.1616,80.6396,80.0165,80.4859,1249173.0
2020-02-16,80.1616,80.6396,80.0165,80.4859,1249173.0
2020-02-17,80.1616,80.6396,80.0165,80.4859,1249173.0
2020-02-18,80.6451,81.3851,80.5676,81.1872,2172713.0
2020-02-19,81.1184,81.3851,80.658,80.7828,1029906.0
2020-02-20,80.7742,81.4453,80.5676,81.3851,1319292.0
2020-02-21,78.4853,78.8897,76.8159,77.599,3976892.0
2020-02-22,78.4853,78.8897,76.8159,77.599,3976892.0
2020-02-23,78.4853,78.8897,76.8159,77.599,3976892.0
2020-02-24,76.9794,77.5559,76.2394,76.4889,2393497.0
2020-02-25,76.7557,76.9278,75.7403,75.9382,2328693.0
2020-02-26,76.0931,76.7126,75.4391,75.4563,2455375.0
2020-02-27,75.1638,75.6284,71.5669,71.5841,2752617.0
2020-02-28,69.9234,69.9406,66.9461,67.8238,5357530.0
2020-02-29,69.9234,69.9406,66.9461,67.8238,5357530.0
2020-03-01,69.9234,69.9406,66.9461,67.8238,5357530.0
2020-03-02,68.4864,72.9867,68.2196,72.7372,3615465.0
2020-03-03,72.6167,74.3721,71.9111,72.1434,3129749.0
2020-03-04,72.9781,76.0157,72.9781,75.7317,2415126.0
2020-03-05,74.5614,75.7919,74.0623,75.3617,2282940.0
2020-03-06,73.3912,76.1533,73.2793,75.637,4705566.0
2020-03-07,73.3912,76.1533,73.2793,75.637,4705566.0
2020-03-08,73.3912,76.1533,73.2793,75.637,4705566.0
2020-03-09,73.6149,77.3838,71.8681,76.291,5398434.0
2020-03-10,76.9364,78.7563,75.2068,76.9278,4040365.0
2020-03-11,75.3531,75.7231,72.8749,74.4324,4162782.0
2020-03-12,69.3813,74.0107,67.4882,72.1004,6073045.0
2020-03-13,74.2947,76.7213,72.2983,75.7833,5699658.0
2020-03-14,74.2947,76.7213,72.2983,75.7833,5699658.0
2020-03-15,74.2947,76.7213,72.2983,75.7833,5699658.0
2020-03-16,71.1195,74.5528,67.8238,68.4519,5037269.0
2020-03-17,70.0611,81.4281,70.0611,80.7828,5431965.0
2020-03-18,76.5061,80.7828,74.3721,79.3371,4117639.0
2020-03-19,79.6469,79.6469,68.4606,68.9166,5082117.0
2020-03-20,69.9062,70.1299,61.155,62.4629,4902417.0
2020-03-21,69.9062,70.1299,61.155,62.4629,4902417.0
2020-03-22,69.9062,70.1299,61.155,62.4629,4902417.0
2020-03-23,62.3855,62.549,53.3762,56.233,5018114.0
2020-03-24,58.083,61.2755,55.5704,60.6731,3372220.0
2020-03-25,59.675,64.0721,58.3412,61.0345,3122064.0
2020-03-26,60.7678,66.0254,60.4064,65.3284,2771015.0
2020-03-27,63.9,68.5982,63.6848,67.0321,2291656.0
2020-03-28,63.9,68.5982,63.6848,67.0321,2291656.0
2020-03-29,63.9,68.5982,63.6848,67.0321,2291656.0
2020-03-30,68.5982,69.7771,67.1526,69.4673,2557246.0
2020-03-31,68.624,68.8392,66.5503,67.1182,3390908.0
2020-04-01,65.1477,67.4968,64.7518,66.7826,6352538.0
2020-04-02,65.3972,68.5208,65.3972,67.9184,3021824.0
2020-04-03,67.3075,67.9184,66.2491,67.0321,3904532.0
2020-04-04,67.3075,67.9184,66.2491,67.0321,3904532.0
2020-04-05,67.3075,67.9184,66.2491,67.0321,3904532.0
2020-04-06,69.4501,71.4206,68.4692,69.7427,2608074.0
2020-04-07,71.369,71.6099,68.538,68.7703,2173713.0
2020-04-08,69.321,72.9179,68.4261,72.1348,1975116.0
2020-04-09,72.1865,76.902,72.1607,75.6715,2111902.0
2020-04-10,72.1865,76.902,72.1607,75.6715,2111902.0
2020-04-11,72.1865,76.902,72.1607,75.6715,2111902.0
2020-04-12,72.1865,76.902,72.1607,75.6715,2111902.0
2020-04-13,74.157,74.9917,72.3414,73.0039,1095858.0
2020-04-14,74.8712,77.0052,74.0709,76.8417,1814029.0
2020-04-15,75.7145,75.7919,74.0882,74.8368,1425709.0
2020-04-16,75.4477,76.8503,75.1681,76.0759,1594483.0
2020-04-17,77.0396,77.4441,75.4219,77.0654,1211986.0
2020-04-18,77.0396,77.4441,75.4219,77.0654,1211986.0
2020-04-19,77.0396,77.4441,75.4219,77.0654,1211986.0
