,LGIH US Equity,LGIH US Equity,LGIH US Equity,LGIH US Equity,LGIH US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,46.32,46.84,43.645,45.22,272507.0
2019-01-02,44.54,46.83,44.196,46.69,464862.0
2019-01-03,46.27,47.41,45.8,46.74,289030.0
2019-01-04,47.51,49.59,47.0001,48.92,424280.0
2019-01-05,47.51,49.59,47.0001,48.92,424280.0
2019-01-06,47.51,49.59,47.0001,48.92,424280.0
2019-01-07,51.53,56.27,51.0259,55.99,994683.0
2019-01-08,56.84,57.52,55.25,55.79,683955.0
2019-01-09,55.77,57.763,54.98,57.11,444317.0
2019-01-10,56.92,57.9,56.21,56.58,310938.0
2019-01-11,56.37,58.77,56.37,58.0,287461.0
2019-01-12,56.37,58.77,56.37,58.0,287461.0
2019-01-13,56.37,58.77,56.37,58.0,287461.0
2019-01-14,57.52,57.97,55.5103,56.08,212877.0
2019-01-15,56.09,57.22,55.18,57.02,196748.0
2019-01-16,56.8,57.55,55.67,56.13,188578.0
2019-01-17,55.58,56.93,55.39,56.28,269684.0
2019-01-18,56.47,56.98,55.52,55.6,258175.0
2019-01-19,56.47,56.98,55.52,55.6,258175.0
2019-01-20,56.47,56.98,55.52,55.6,258175.0
2019-01-21,56.47,56.98,55.52,55.6,258175.0
2019-01-22,55.25,55.76,53.69,54.38,426336.0
2019-01-23,54.62,56.58,54.6,56.46,279644.0
2019-01-24,56.27,57.65,54.772,57.65,130148.0
2019-01-25,58.19,59.581,57.09,57.94,244849.0
2019-01-26,58.19,59.581,57.09,57.94,244849.0
2019-01-27,58.19,59.581,57.09,57.94,244849.0
2019-01-28,57.48,59.09,57.4,58.04,192631.0
2019-01-29,57.91,59.84,56.22,59.68,296621.0
2019-01-30,59.87,60.17,58.51,59.38,256568.0
2019-01-31,59.69,60.3,58.72,59.3,767061.0
2019-02-01,59.66,60.37,59.06,60.02,626181.0
2019-02-02,59.66,60.37,59.06,60.02,626181.0
2019-02-03,59.66,60.37,59.06,60.02,626181.0
2019-02-04,59.85,60.09,58.89,59.93,405580.0
2019-02-05,59.95,61.5399,59.49,61.26,364685.0
2019-02-06,61.35,61.71,57.08,57.37,270925.0
2019-02-07,57.19,58.45,57.12,58.06,286373.0
2019-02-08,57.99,58.4399,57.24,57.39,342695.0
2019-02-09,57.99,58.4399,57.24,57.39,342695.0
2019-02-10,57.99,58.4399,57.24,57.39,342695.0
2019-02-11,57.47,58.76,56.94,57.8,240144.0
2019-02-12,58.11,61.18,57.85,60.77,304234.0
2019-02-13,60.79,60.79,59.68,60.3,238342.0
2019-02-14,59.81,60.6,59.3,60.0,243270.0
2019-02-15,60.06,60.96,59.51,60.37,241646.0
2019-02-16,60.06,60.96,59.51,60.37,241646.0
2019-02-17,60.06,60.96,59.51,60.37,241646.0
2019-02-18,60.06,60.96,59.51,60.37,241646.0
2019-02-19,60.11,62.07,59.795,61.89,203583.0
2019-02-20,61.87,62.36,60.52,60.81,287915.0
