,VZ US Equity,VZ US Equity,VZ US Equity,VZ US Equity,VZ US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,41.741,42.2672,41.3953,42.2597,15331758.0
2019-01-02,42.2146,42.2146,41.5531,42.1094,13969691.0
2019-01-03,42.3198,42.8384,42.1394,42.2597,19245411.0
2019-01-04,42.4627,42.7633,42.0567,42.3649,17035848.0
2019-01-05,42.4627,42.7633,42.0567,42.3649,17035848.0
2019-01-06,42.4627,42.7633,42.0567,42.3649,17035848.0
2019-01-07,42.6656,43.0415,42.5078,42.6355,16348982.0
2019-01-08,43.049,44.1164,42.8836,43.8833,21425008.0
2019-01-09,43.8093,43.8397,43.1789,43.3308,18136000.0
2019-01-10,43.5131,43.8245,43.1941,43.7485,14259910.0
2019-01-11,43.9308,44.246,43.6118,44.0675,15801548.0
2019-01-12,43.9308,44.246,43.6118,44.0675,15801548.0
2019-01-13,43.9308,44.246,43.6118,44.0675,15801548.0
2019-01-14,43.9232,44.1662,43.8055,44.0751,11342293.0
2019-01-15,43.8548,44.2726,43.7333,44.1283,10057967.0
2019-01-16,43.9992,43.9992,43.2928,43.3536,13411691.0
2019-01-17,43.4143,43.5966,42.6928,43.1637,15223854.0
2019-01-18,43.232,43.646,43.1713,43.3612,16802516.0
2019-01-19,43.232,43.646,43.1713,43.3612,16802516.0
2019-01-20,43.232,43.646,43.1713,43.3612,16802516.0
2019-01-21,43.232,43.646,43.1713,43.3612,16802516.0
2019-01-22,43.4675,43.589,42.8333,43.2852,18284771.0
2019-01-23,43.2776,43.9536,43.2396,43.87,15109007.0
2019-01-24,43.7561,43.7865,42.913,43.346,12494109.0
2019-01-25,43.4295,43.6498,42.708,42.8371,17806822.0
2019-01-26,43.4295,43.6498,42.708,42.8371,17806822.0
2019-01-27,43.4295,43.6498,42.708,42.8371,17806822.0
2019-01-28,42.6244,42.7004,41.6218,41.8269,25955718.0
2019-01-29,40.7256,41.2421,40.2319,40.4674,33789235.0
2019-01-30,40.3307,41.0294,39.7078,41.0142,27260036.0
2019-01-31,41.0522,41.9181,40.6573,41.8193,28585447.0
2019-02-01,41.9333,42.0016,41.3712,41.432,13778392.0
2019-02-02,41.9333,42.0016,41.3712,41.432,13778392.0
2019-02-03,41.9333,42.0016,41.3712,41.432,13778392.0
2019-02-04,41.4699,41.5383,40.7636,41.0446,15818901.0
2019-02-05,41.0902,41.2725,40.718,41.1206,14124794.0
2019-02-06,41.0978,41.2915,40.7712,40.8547,11391442.0
2019-02-07,40.718,40.8054,40.2699,40.6876,12436168.0
2019-02-08,40.5281,40.9838,40.4826,40.9763,12011657.0
2019-02-09,40.5281,40.9838,40.4826,40.9763,12011657.0
