,KR US Equity,KR US Equity,KR US Equity,KR US Equity,KR US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,24.5926,24.6547,24.0512,24.4062,5122790.0
2019-01-02,24.3086,24.4328,24.0335,24.2287,5512178.0
2019-01-03,24.0778,24.7124,24.0778,24.2731,8780681.0
2019-01-04,24.4417,25.034,24.4328,24.5482,10298986.0
2019-01-05,24.4417,25.034,24.4328,24.5482,10298986.0
2019-01-06,24.4417,25.034,24.4328,24.5482,10298986.0
2019-01-07,24.5393,25.0186,24.1843,24.779,8238552.0
2019-01-08,24.9831,25.2804,24.7878,25.2582,6063046.0
2019-01-09,25.2937,25.3558,24.7967,24.8943,5669461.0
2019-01-10,25.0186,25.2848,24.7523,25.276,6859855.0
2019-01-11,25.1517,25.5023,25.0452,25.2316,4447567.0
2019-01-12,25.1517,25.5023,25.0452,25.2316,4447567.0
2019-01-13,25.1517,25.5023,25.0452,25.2316,4447567.0
2019-01-14,25.1783,25.4668,25.063,25.1162,8318234.0
2019-01-15,25.205,25.4401,24.992,25.4002,4592355.0
2019-01-16,25.2848,25.5067,24.992,25.4712,5165397.0
2019-01-17,25.4002,25.7818,25.4002,25.6753,4386569.0
2019-01-18,25.7375,26.2256,25.7375,26.1191,5500062.0
2019-01-19,25.7375,26.2256,25.7375,26.1191,5500062.0
2019-01-20,25.7375,26.2256,25.7375,26.1191,5500062.0
2019-01-21,25.7375,26.2256,25.7375,26.1191,5500062.0
2019-01-22,26.1013,26.2256,25.8928,26.0215,4577178.0
2019-01-23,26.0836,26.2788,25.7108,25.9505,5379575.0
2019-01-24,25.8617,26.1368,25.3203,25.4801,9579173.0
2019-01-25,25.5955,25.6487,24.8988,24.9565,7998176.0
2019-01-26,25.5955,25.6487,24.8988,24.9565,7998176.0
2019-01-27,25.5955,25.6487,24.8988,24.9565,7998176.0
2019-01-28,24.85,25.0807,24.6103,25.0452,5721924.0
2019-01-29,24.9565,24.9742,24.7523,24.921,4151492.0
2019-01-30,24.9298,25.1251,24.7168,25.0807,4684567.0
2019-01-31,25.0541,25.1428,24.7878,25.1428,6217860.0
2019-02-01,25.205,25.2138,24.7479,24.9121,5164526.0
2019-02-02,25.205,25.2138,24.7479,24.9121,5164526.0
2019-02-03,25.205,25.2138,24.7479,24.9121,5164526.0
2019-02-04,24.9121,24.9565,24.7168,24.9565,4005250.0
2019-02-05,24.8943,25.2316,24.8145,25.1162,6587427.0
2019-02-06,25.1428,25.2538,24.8698,25.1073,4837502.0
2019-02-07,25.0363,25.063,24.8758,25.0097,4115654.0
2019-02-08,24.9653,25.063,24.5127,24.6991,4411798.0
2019-02-09,24.9653,25.063,24.5127,24.6991,4411798.0
2019-02-10,24.9653,25.063,24.5127,24.6991,4411798.0
2019-02-11,24.6547,24.6813,24.424,24.4506,5061726.0
2019-02-12,24.7346,25.56,24.6813,25.3647,8450913.0
2019-02-13,25.6132,25.7996,25.5245,25.702,6533421.0
