,CTXS US Equity,CTXS US Equity,CTXS US Equity,CTXS US Equity,CTXS US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,107.3466,108.2342,107.3466,108.1659,655235.0
2020-01-02,108.8389,109.229,108.322,108.9169,1352558.0
2020-01-03,107.844,109.2095,107.6392,109.0632,1107030.0
2020-01-04,107.844,109.2095,107.6392,109.0632,1107030.0
2020-01-05,107.844,109.2095,107.6392,109.0632,1107030.0
2020-01-06,108.5755,110.2726,108.5755,110.2239,1046672.0
2020-01-07,109.7362,110.6335,109.4534,109.6387,933693.0
2020-01-08,109.8533,111.2139,109.8337,110.9554,1261607.0
2020-01-09,111.1797,111.5504,110.7116,111.2382,1606078.0
2020-01-10,111.8039,111.9746,110.6628,110.9359,964591.0
2020-01-11,111.8039,111.9746,110.6628,110.9359,964591.0
2020-01-12,111.8039,111.9746,110.6628,110.9359,964591.0
2020-01-13,111.3943,112.6622,109.5216,112.3014,1548902.0
2020-01-14,112.1648,112.5452,111.5699,112.1258,895115.0
2020-01-15,112.0575,113.2767,111.4918,112.4672,892093.0
2020-01-16,112.8476,114.5739,112.8476,113.9985,796029.0
2020-01-17,114.2618,114.3984,113.2231,114.3301,1416439.0
2020-01-18,114.2618,114.3984,113.2231,114.3301,1416439.0
2020-01-19,114.2618,114.3984,113.2231,114.3301,1416439.0
2020-01-20,114.2618,114.3984,113.2231,114.3301,1416439.0
2020-01-21,113.8229,115.2372,113.8229,114.9446,1442039.0
2020-01-22,115.1104,116.6709,115.1104,116.2905,1948145.0
2020-01-23,120.0554,127.3315,119.1873,125.3125,4300853.0
2020-01-24,125.2735,126.0733,123.6349,125.0979,2063803.0
2020-01-25,125.2735,126.0733,123.6349,125.0979,2063803.0
2020-01-26,125.2735,126.0733,123.6349,125.0979,2063803.0
2020-01-27,124.1908,125.0784,123.6251,123.7714,1312320.0
2020-01-28,123.4301,124.064,122.1231,122.4547,1530548.0
2020-01-29,122.9619,122.9619,119.8506,119.9773,1570472.0
2020-01-30,119.4214,120.3577,118.6216,119.5189,1541155.0
2020-01-31,120.504,120.7235,117.7145,118.2315,2397782.0
2020-02-01,120.504,120.7235,117.7145,118.2315,2397782.0
2020-02-02,120.504,120.7235,117.7145,118.2315,2397782.0
2020-02-03,118.1047,120.2504,118.1047,119.6457,1373348.0
2020-02-04,119.8993,121.0502,119.6457,120.4455,1698659.0
2020-02-05,120.6211,121.06,119.2458,119.7238,1882524.0
2020-02-06,120.1627,120.7771,118.7484,119.2166,1305516.0
2020-02-07,118.8947,119.5189,117.8804,118.0949,1014876.0
2020-02-08,118.8947,119.5189,117.8804,118.0949,1014876.0
2020-02-09,118.8947,119.5189,117.8804,118.0949,1014876.0
2020-02-10,117.9584,118.8655,117.3291,118.8167,1618884.0
2020-02-11,119.3921,119.597,118.3973,118.6216,1006311.0
2020-02-12,119.1678,119.5677,118.3485,119.0313,1036009.0
2020-02-13,118.5924,120.387,118.5924,119.9676,867894.0
2020-02-14,119.8506,120.4065,118.7507,119.0215,1257241.0
2020-02-15,119.8506,120.4065,118.7507,119.0215,1257241.0
2020-02-16,119.8506,120.4065,118.7507,119.0215,1257241.0
2020-02-17,119.8506,120.4065,118.7507,119.0215,1257241.0
2020-02-18,118.9337,120.4943,118.8362,120.465,1915089.0
2020-02-19,120.5918,121.4209,119.0898,119.2361,1273113.0
2020-02-20,119.1288,119.4994,115.9784,116.6222,1384700.0
2020-02-21,116.076,116.9635,112.9841,113.2182,1739983.0
2020-02-22,116.076,116.9635,112.9841,113.2182,1739983.0
2020-02-23,116.076,116.9635,112.9841,113.2182,1739983.0
2020-02-24,111.3163,112.0575,109.0827,109.1803,2128174.0
2020-02-25,109.3168,109.6289,105.6885,105.9714,2277755.0
2020-02-26,106.976,107.6685,103.7817,104.167,1676184.0
2020-02-27,102.4601,104.4011,100.3729,100.4314,2536859.0
2020-02-28,98.2174,100.9191,97.837,100.8411,4823412.0
2020-02-29,98.2174,100.9191,97.837,100.8411,4823412.0
2020-03-01,98.2174,100.9191,97.837,100.8411,4823412.0
2020-03-02,101.4945,106.2835,101.2312,106.0982,3897068.0
2020-03-03,105.5032,106.7224,102.4699,103.7768,2596231.0
2020-03-04,105.2008,107.4149,104.6059,107.4149,2649260.0
2020-03-05,105.1938,114.8414,105.1938,113.951,4652271.0
2020-03-06,109.8219,117.5419,109.6849,115.3697,4220938.0
2020-03-07,109.8219,117.5419,109.6849,115.3697,4220938.0
2020-03-08,109.8219,117.5419,109.6849,115.3697,4220938.0
2020-03-09,109.5871,116.1427,108.6559,113.452,2854112.0
2020-03-10,116.2405,116.6809,107.5127,112.3072,2749669.0
2020-03-11,109.4109,114.4402,108.2955,112.3267,3315675.0
2020-03-12,107.6399,111.2406,101.5735,102.7966,3493121.0
2020-03-13,106.4756,111.3874,104.0881,111.2211,3337805.0
2020-03-14,106.4756,111.3874,104.0881,111.2211,3337805.0
2020-03-15,106.4756,111.3874,104.0881,111.2211,3337805.0
2020-03-16,103.8729,117.2288,102.4932,108.3542,4232471.0
2020-03-17,111.3091,131.5142,111.2798,124.714,5231577.0
2020-03-18,119.9978,136.1521,117.4147,127.6885,3862464.0
2020-03-19,129.2442,137.9721,120.9665,122.6103,3889429.0
2020-03-20,123.2854,129.1268,114.313,116.7591,4509370.0
2020-03-21,123.2854,129.1268,114.313,116.7591,4509370.0
2020-03-22,123.2854,129.1268,114.313,116.7591,4509370.0
2020-03-23,118.716,120.6338,112.1017,118.9802,3061792.0
2020-03-24,122.5418,123.2854,113.7063,119.3716,3012974.0
2020-03-25,123.2854,128.2853,119.2151,123.9312,3576459.0
