,AXP US Equity,AXP US Equity,AXP US Equity,AXP US Equity,AXP US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,88.0159,88.46,87.2479,88.1916,2821052.0
2019-01-02,86.8871,89.0706,86.7576,88.5247,4175396.0
2019-01-03,88.0602,88.4225,86.611,86.7968,4776595.0
2019-01-04,88.599,91.3675,88.1624,90.7079,4637540.0
2019-01-05,88.599,91.3675,88.1624,90.7079,4637540.0
2019-01-06,88.599,91.3675,88.1624,90.7079,4637540.0
2019-01-07,90.8286,91.897,90.1319,91.2002,3289030.0
2019-01-08,91.6833,92.4544,90.5964,91.6462,3227198.0
2019-01-09,91.7298,92.5194,91.1817,91.8134,2954557.0
2019-01-10,91.4604,91.6647,90.8751,91.2839,3523808.0
2019-01-11,90.9308,91.674,90.4478,91.5533,2770739.0
2019-01-12,90.9308,91.674,90.4478,91.5533,2770739.0
2019-01-13,90.9308,91.674,90.4478,91.5533,2770739.0
2019-01-14,90.8194,91.9992,90.6893,91.4511,4120483.0
2019-01-15,91.609,91.8505,90.8008,91.033,5795081.0
2019-01-16,91.9156,92.8632,91.5198,92.3522,4701930.0
2019-01-17,92.3522,93.1233,91.5672,92.4265,5693263.0
2019-01-18,91.2188,93.6528,89.528,93.3462,9872459.0
2019-01-19,91.2188,93.6528,89.528,93.3462,9872459.0
2019-01-20,91.2188,93.6528,89.528,93.3462,9872459.0
2019-01-21,91.2188,93.6528,89.528,93.3462,9872459.0
2019-01-22,92.761,93.532,91.9342,92.7424,4699835.0
2019-01-23,92.8353,93.0768,91.4697,92.6309,3585120.0
2019-01-24,92.6123,93.402,92.3243,92.6402,3415966.0
2019-01-25,93.2998,94.3774,92.9839,93.6157,3488839.0
2019-01-26,93.2998,94.3774,92.9839,93.6157,3488839.0
2019-01-27,93.2998,94.3774,92.9839,93.6157,3488839.0
2019-01-28,92.9468,93.2812,92.4172,93.2533,3185376.0
2019-01-29,93.7736,94.2195,93.402,93.7922,2827361.0
2019-01-30,93.9129,95.548,93.402,95.3808,3501688.0
2019-01-31,94.7583,95.5944,94.4796,95.4086,4302055.0
2019-02-01,95.1392,96.1797,95.1392,95.7431,4727795.0
2019-02-02,95.1392,96.1797,95.1392,95.7431,4727795.0
2019-02-03,95.1392,96.1797,95.1392,95.7431,4727795.0
2019-02-04,95.7245,96.1147,95.2414,96.0775,2578258.0
2019-02-05,96.2726,96.7789,96.0682,96.5234,2231188.0
2019-02-06,96.477,97.6197,96.0868,97.5082,3595668.0
2019-02-07,96.6691,97.341,96.254,96.9786,3857255.0
2019-02-08,96.3655,97.0994,96.0868,97.0994,2581890.0
2019-02-09,96.3655,97.0994,96.0868,97.0994,2581890.0
2019-02-10,96.3655,97.0994,96.0868,97.0994,2581890.0
2019-02-11,97.4989,98.0656,97.3688,97.9262,2653833.0
2019-02-12,98.7252,99.8028,98.7159,99.4033,3238637.0
2019-02-13,99.9143,100.769,99.4962,99.9236,3182109.0
2019-02-14,99.4033,99.7378,98.6973,99.0503,2385903.0
2019-02-15,99.7099,100.416,99.5148,99.7564,3882306.0
2019-02-16,99.7099,100.416,99.5148,99.7564,3882306.0
2019-02-17,99.7099,100.416,99.5148,99.7564,3882306.0
2019-02-18,99.7099,100.416,99.5148,99.7564,3882306.0
2019-02-19,99.4498,99.617,98.9017,98.9388,3692762.0
2019-02-20,99.0039,99.5696,98.9388,99.199,3840786.0
2019-02-21,99.1618,99.3569,98.7716,99.041,2566460.0
2019-02-22,99.3848,99.9143,99.2733,99.8121,2256445.0
2019-02-23,99.3848,99.9143,99.2733,99.8121,2256445.0
2019-02-24,99.3848,99.9143,99.2733,99.8121,2256445.0
2019-02-25,100.5181,101.1196,99.1804,99.3383,3333498.0
2019-02-26,99.0968,99.9793,98.8645,99.3476,2548075.0
2019-02-27,99.2733,99.984,99.0317,99.7935,2393450.0
2019-02-28,99.6077,100.7464,99.4777,100.0908,3295799.0
2019-03-01,100.7039,101.8652,100.5181,101.1685,2682041.0
2019-03-02,100.7039,101.8652,100.5181,101.1685,2682041.0
2019-03-03,100.7039,101.8652,100.5181,101.1685,2682041.0
2019-03-04,101.7816,102.274,100.1094,101.2614,4053186.0
2019-03-05,101.2892,101.554,100.6296,101.122,2685668.0
2019-03-06,101.1963,101.6794,101.122,101.2428,2616046.0
2019-03-07,100.8526,100.9176,99.7749,100.2023,3048239.0
2019-03-08,99.2083,100.3974,99.1061,100.3138,2077156.0
2019-03-09,99.2083,100.3974,99.1061,100.3138,2077156.0
2019-03-10,99.2083,100.3974,99.1061,100.3138,2077156.0
2019-03-11,101.2706,101.9953,100.9919,101.7816,3289261.0
2019-03-12,101.9488,103.3748,101.9488,102.5898,3917755.0
2019-03-13,102.3576,104.2899,102.274,104.1784,4234169.0
2019-03-14,104.4107,104.773,103.9369,104.3735,3538237.0
2019-03-15,104.708,105.6927,104.5407,105.4604,4780401.0
2019-03-16,104.708,105.6927,104.5407,105.4604,4780401.0
2019-03-17,104.708,105.6927,104.5407,105.4604,4780401.0
