,OXY US Equity,OXY US Equity,OXY US Equity,OXY US Equity,OXY US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,38.2424,38.9319,38.0818,38.9224,10374814.0
2020-01-02,39.3191,40.3203,39.2719,40.2164,12791380.0
2020-01-03,41.3781,41.7937,40.7689,41.1892,15099860.0
2020-01-04,41.3781,41.7937,40.7689,41.1892,15099860.0
2020-01-05,41.3781,41.7937,40.7689,41.1892,15099860.0
2020-01-06,41.5387,42.9271,41.2648,42.5493,16660648.0
2020-01-07,42.5776,42.7665,41.7276,42.7571,12171792.0
2020-01-08,43.0121,43.2388,41.8126,42.4832,12253385.0
2020-01-09,42.3604,42.8799,41.3403,42.8515,14636205.0
2020-01-10,42.7382,43.6449,42.4737,43.3521,10543314.0
2020-01-11,42.7382,43.6449,42.4737,43.3521,10543314.0
2020-01-12,42.7382,43.6449,42.4737,43.3521,10543314.0
2020-01-13,43.6921,44.0227,42.9932,43.9849,8457171.0
2020-01-14,44.2494,44.7972,44.1171,44.6177,12187350.0
2020-01-15,44.5327,44.8727,44.2021,44.6366,7085996.0
2020-01-16,44.5799,44.9388,44.0321,44.0794,9757575.0
2020-01-17,44.1549,44.4005,43.116,43.286,14379270.0
2020-01-18,44.1549,44.4005,43.116,43.286,14379270.0
2020-01-19,44.1549,44.4005,43.116,43.286,14379270.0
2020-01-20,44.1549,44.4005,43.116,43.286,14379270.0
2020-01-21,42.8515,42.9271,41.8504,41.8598,10814191.0
2020-01-22,41.5576,41.5953,40.495,40.887,12953206.0
2020-01-23,40.2542,40.3675,39.8669,40.1597,10789804.0
2020-01-24,40.1125,40.3203,39.5177,39.8764,8797598.0
2020-01-25,40.1125,40.3203,39.5177,39.8764,8797598.0
2020-01-26,40.1125,40.3203,39.5177,39.8764,8797598.0
2020-01-27,38.743,39.1113,38.4313,38.9508,9303860.0
2020-01-28,39.3191,39.3475,38.8374,38.913,7206362.0
2020-01-29,39.0169,39.2156,38.2141,38.2235,6656869.0
2020-01-30,37.7229,38.4124,37.2318,38.3369,9509075.0
2020-01-31,37.8741,38.1174,37.2979,37.5151,16035687.0
2020-02-01,37.8741,38.1174,37.2979,37.5151,16035687.0
2020-02-02,37.8741,38.1174,37.2979,37.5151,16035687.0
2020-02-03,37.4963,38.181,37.251,37.8552,8731785.0
2020-02-04,38.6674,39.1397,38.148,38.2519,7859617.0
2020-02-05,38.9791,40.0274,38.9224,39.7819,8613192.0
2020-02-06,39.9614,40.0936,39.2625,39.7819,6201474.0
2020-02-07,39.3852,39.6686,39.1633,39.5647,5030134.0
2020-02-08,39.3852,39.6686,39.1633,39.5647,5030134.0
2020-02-09,39.3852,39.6686,39.1633,39.5647,5030134.0
2020-02-10,39.1869,39.253,37.9496,38.2519,7915417.0
2020-02-11,39.8103,40.0086,38.7572,38.8847,12132742.0
