,2078185D US Equity,2078185D US Equity,2078185D US Equity,2078185D US Equity,2078185D US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,130.9223,131.1675,130.9125,131.0694,1163428.0
2020-01-02,131.1576,131.2851,130.9713,131.2655,1721799.0
2020-01-03,130.9909,131.2165,130.9713,131.1871,1430397.0
2020-01-04,130.9909,131.2165,130.9713,131.1871,1430397.0
2020-01-05,130.9909,131.2165,130.9713,131.1871,1430397.0
2020-01-06,130.9909,131.2459,130.9909,131.0694,2024549.0
2020-01-07,131.04,131.1675,131.0007,131.0498,2341825.0
2020-01-08,131.1184,131.2753,131.0792,131.2557,1640318.0
2020-01-09,131.2655,131.3538,131.1773,131.2067,1510003.0
2020-01-10,131.1969,131.3146,131.138,131.2459,1564252.0
2020-01-11,131.1969,131.3146,131.138,131.2459,1564252.0
2020-01-12,131.1969,131.3146,131.138,131.2459,1564252.0
2020-01-13,131.2557,131.3244,131.1773,131.2753,1684315.0
2020-01-14,131.2655,131.4519,131.2165,131.4519,1369899.0
2020-01-15,131.3244,131.5107,131.2949,131.4911,817263.0
2020-01-16,131.5107,131.5597,131.4322,131.5303,932287.0
2020-01-17,131.5597,131.6578,131.5009,131.6578,1276130.0
2020-01-18,131.5597,131.6578,131.5009,131.6578,1276130.0
2020-01-19,131.5597,131.6578,131.5009,131.6578,1276130.0
2020-01-20,131.5597,131.6578,131.5009,131.6578,1276130.0
2020-01-21,131.5107,131.697,131.442,131.697,1829562.0
2020-01-22,131.648,131.648,131.4126,131.4617,1100836.0
2020-01-23,131.442,131.6676,131.4322,131.6186,1262845.0
2020-01-24,131.5695,131.7951,131.5303,131.697,1051078.0
2020-01-25,131.5695,131.7951,131.5303,131.697,1051078.0
2020-01-26,131.5695,131.7951,131.5303,131.697,1051078.0
2020-01-27,131.4224,131.5499,131.4224,131.4911,1797437.0
2020-01-28,131.4911,131.6088,131.442,131.5009,1546420.0
2020-01-29,131.5303,131.6578,131.4715,131.5009,2369711.0
2020-01-30,131.4617,131.5597,131.344,131.4911,2371567.0
2020-01-31,131.4617,131.5107,131.4028,131.4322,1528835.0
2020-02-01,131.4617,131.5107,131.4028,131.4322,1528835.0
2020-02-02,131.4617,131.5107,131.4028,131.4322,1528835.0
2020-02-03,131.5499,131.6872,131.4715,131.6088,1468337.0
2020-02-04,131.6578,131.7166,131.4911,131.4911,1590894.0
2020-02-05,131.6088,131.7166,131.4813,131.6284,3121122.0
2020-02-06,131.6872,131.697,131.5303,131.5303,1151482.0
2020-02-07,131.5597,131.6088,131.4813,131.5205,1479552.0
2020-02-08,131.5597,131.6088,131.4813,131.5205,1479552.0
2020-02-09,131.5597,131.6088,131.4813,131.5205,1479552.0
2020-02-10,131.5107,131.6676,131.4715,131.6186,1242108.0
2020-02-11,131.6088,131.7461,131.5891,131.6774,1219636.0
2020-02-12,131.6676,131.7951,131.6382,131.7166,1329800.0
2020-02-13,131.6774,131.7853,131.6774,131.7657,1403503.0
2020-02-14,131.7068,131.8245,131.6186,131.6774,917048.0
2020-02-15,131.7068,131.8245,131.6186,131.6774,917048.0
2020-02-16,131.7068,131.8245,131.6186,131.6774,917048.0
2020-02-17,131.7068,131.8245,131.6186,131.6774,917048.0
2020-02-18,131.6578,131.7215,131.6578,131.6774,866321.0
2020-02-19,131.6578,131.6872,131.6186,131.6578,1247314.0
2020-02-20,131.6186,131.6774,131.1478,131.599,1325861.0
2020-02-21,131.599,131.697,131.5303,131.648,934396.0
2020-02-22,131.599,131.697,131.5303,131.648,934396.0
2020-02-23,131.599,131.697,131.5303,131.648,934396.0
2020-02-24,131.2263,131.5597,131.0302,131.3734,2229318.0
2020-02-25,131.4224,131.4666,131.1184,131.1675,3979798.0
2020-02-26,131.3342,131.4126,130.9321,130.9321,3635333.0
2020-02-27,130.7654,130.9223,130.4221,130.4319,4433306.0
2020-02-28,130.1868,131.1871,130.1181,131.0105,7694302.0
2020-02-29,130.1868,131.1871,130.1181,131.0105,7694302.0
2020-03-01,130.1868,131.1871,130.1181,131.0105,7694302.0
2020-03-02,131.0203,131.2459,130.6477,131.089,4772694.0
2020-03-03,131.089,131.4813,130.5398,130.785,4056901.0
2020-03-04,131.1675,131.1969,130.9223,131.1086,1710416.0
2020-03-05,130.7261,131.0203,130.2652,130.6771,2439557.0
2020-03-06,130.1377,130.4123,129.8533,130.1377,3477070.0
2020-03-07,130.1377,130.4123,129.8533,130.1377,3477070.0
2020-03-08,130.1377,130.4123,129.8533,130.1377,3477070.0
2020-03-09,128.8824,129.2355,126.8916,127.5291,6021590.0
2020-03-10,128.039,129.5591,128.039,129.3728,6822897.0
2020-03-11,128.8628,129.0099,127.5879,127.9116,5710428.0
2020-03-12,126.9995,127.2055,120.88,125.0185,6187087.0
2020-03-13,125.9404,126.7789,123.4984,125.4696,4844185.0
2020-03-14,125.9404,126.7789,123.4984,125.4696,4844185.0
2020-03-15,125.9404,126.7789,123.4984,125.4696,4844185.0
2020-03-16,122.5864,123.9741,112.8678,113.4464,5917438.0
2020-03-17,114.1917,115.0351,107.3465,113.6425,7992288.0
2020-03-18,110.7397,114.7605,101.884,109.0725,5856700.0
2020-03-19,108.619,125.5852,108.4416,124.2149,5492108.0
2020-03-20,126.1865,126.3344,123.2389,123.6628,4309707.0
2020-03-21,126.1865,126.3344,123.2389,123.6628,4309707.0
2020-03-22,126.1865,126.3344,123.2389,123.6628,4309707.0
2020-03-23,122.2432,124.1853,119.7786,119.9462,3940477.0
2020-03-24,122.7854,124.8261,122.5094,124.8162,2806314.0
2020-03-25,124.0473,126.1077,123.229,124.8655,3541023.0
2020-03-26,125.7429,127.4583,124.9449,127.2907,5536441.0
2020-03-27,126.1865,127.1428,125.2106,125.6345,2625401.0
2020-03-28,126.1865,127.1428,125.2106,125.6345,2625401.0
2020-03-29,126.1865,127.1428,125.2106,125.6345,2625401.0
2020-03-30,126.1865,127.3104,125.7429,126.6696,2254072.0
2020-03-31,126.1865,127.9709,126.088,127.6653,2698975.0
2020-04-01,125.9401,127.9117,125.9401,127.5076,2760029.0
2020-04-02,126.8175,128.0991,126.4133,127.9315,1726601.0
2020-04-03,127.1724,127.4681,125.9401,126.4626,1969300.0
2020-04-04,127.1724,127.4681,125.9401,126.4626,1969300.0
2020-04-05,127.1724,127.4681,125.9401,126.4626,1969300.0
2020-04-06,127.5667,127.5667,126.2063,126.3541,2810448.0
2020-04-07,127.3005,127.4385,126.3246,126.5809,2948992.0
2020-04-08,127.0738,128.7201,126.6302,127.5371,3382154.0
2020-04-09,127.2808,128.1582,126.1372,126.1372,5298180.0
2020-04-10,127.2808,128.1582,126.1372,126.1372,5298180.0
2020-04-11,127.2808,128.1582,126.1372,126.1372,5298180.0
2020-04-12,127.2808,128.1582,126.1372,126.1372,5298180.0
2020-04-13,127.0245,127.1724,126.1767,126.3936,2082656.0
2020-04-14,126.6203,127.8822,126.4823,127.34,3046359.0
2020-04-15,126.6795,127.6653,126.4034,126.9358,1014272.0
2020-04-16,126.9358,128.2157,124.5106,125.9598,4455979.0
2020-04-17,126.4823,127.4878,126.433,127.3202,1705933.0
2020-04-18,126.4823,127.4878,126.433,127.3202,1705933.0
2020-04-19,126.4823,127.4878,126.433,127.3202,1705933.0
2020-04-20,126.5119,127.7146,126.5119,127.1231,1492149.0
2020-04-21,126.5809,127.6653,126.4527,127.4878,708010.0
2020-04-22,127.5174,127.616,125.4669,126.2555,1753436.0
2020-04-23,126.3738,126.5612,125.2007,125.2599,1917397.0
2020-04-24,126.0387,126.0387,123.8205,124.5599,2381758.0
2020-04-25,126.0387,126.0387,123.8205,124.5599,2381758.0
2020-04-26,126.0387,126.0387,123.8205,124.5599,2381758.0
2020-04-27,125.1711,125.2697,123.0122,123.2192,3017634.0
2020-04-28,123.8205,124.9345,123.5682,124.7571,1554048.0
2020-04-29,125.1711,126.226,124.6191,125.5556,1265901.0
2020-04-30,125.4472,126.226,124.6092,124.7078,1611104.0
2020-05-01,124.9838,125.5457,124.6585,125.2599,1324258.0
2020-05-02,124.9838,125.5457,124.6585,125.2599,1324258.0
2020-05-03,124.9838,125.5457,124.6585,125.2599,1324258.0
2020-05-04,125.319,125.319,124.6092,125.2697,797098.0
2020-05-05,125.181,126.1372,125.1218,125.6542,888071.0
2020-05-06,125.7922,126.3048,125.2007,126.088,1658457.0
2020-05-07,126.3344,126.6992,126.1471,126.3541,1975986.0
2020-05-08,126.5612,126.9949,126.3541,126.7386,1806372.0
2020-05-09,126.5612,126.9949,126.3541,126.7386,1806372.0
2020-05-10,126.5612,126.9949,126.3541,126.7386,1806372.0
2020-05-11,126.6795,126.9259,126.3048,126.4626,2264190.0
2020-05-12,126.778,126.778,125.8316,125.8316,1089681.0
2020-05-13,125.9499,126.5513,125.3387,125.8711,1689402.0
2020-05-14,125.4077,125.8711,124.7078,125.4767,1334117.0
2020-05-15,125.1021,125.7331,124.4416,125.2106,2179720.0
2020-05-16,125.1021,125.7331,124.4416,125.2106,2179720.0
2020-05-17,125.1021,125.7331,124.4416,125.2106,2179720.0
2020-05-18,125.9992,126.3344,125.4077,125.8514,1480074.0
2020-05-19,125.5852,126.2555,125.5162,126.1668,1905380.0
2020-05-20,126.1767,126.2457,123.1896,123.9093,2901906.0
2020-05-21,123.5248,124.8261,122.1742,124.5698,5007920.0
2020-05-22,124.9937,125.0824,123.1009,123.2981,2420833.0
2020-05-23,124.9937,125.0824,123.1009,123.2981,2420833.0
2020-05-24,124.9937,125.0824,123.1009,123.2981,2420833.0
2020-05-25,124.9937,125.0824,123.1009,123.2981,2420833.0
2020-05-26,123.3473,124.412,123.3473,123.5938,2848159.0
2020-05-27,123.9586,125.7725,123.791,125.7331,1754304.0
2020-05-28,125.9894,126.7879,125.6246,126.0091,3328517.0
2020-05-29,125.8514,126.5612,125.5457,126.3147,2285059.0
2020-05-30,125.8514,126.5612,125.5457,126.3147,2285059.0
2020-05-31,125.8514,126.5612,125.5457,126.3147,2285059.0
2020-06-01,125.7133,126.9456,125.7133,126.6795,1086913.0
2020-06-02,126.847,126.9259,109.6936,115.372,9558415.0
2020-06-03,115.3424,116.0167,110.8568,112.6215,8830360.0
2020-06-04,111.6652,113.5876,110.9061,112.9074,4265862.0
2020-06-05,122.2925,122.4305,118.2999,120.2617,8127107.0
2020-06-06,122.2925,122.4305,118.2999,120.2617,8127107.0
2020-06-07,122.2925,122.4305,118.2999,120.2617,8127107.0
2020-06-08,120.6166,121.7503,119.7885,120.449,2704852.0
2020-06-09,122.2925,123.229,121.9869,122.7953,3003836.0
2020-06-10,119.8969,121.632,119.1083,119.335,3132628.0
2020-06-11,118.7139,119.8378,117.314,117.7774,3188055.0
2020-06-12,118.5266,118.7928,116.5352,117.4323,1563273.0
2020-06-13,118.5266,118.7928,116.5352,117.4323,1563273.0
2020-06-14,118.5266,118.7928,116.5352,117.4323,1563273.0
2020-06-15,116.5747,118.6351,116.4367,118.3985,2327575.0
2020-06-16,119.2364,119.7491,118.4478,119.0491,1900159.0
2020-06-17,119.5913,120.1434,118.8125,119.7688,981413.0
2020-06-18,119.611,119.7786,118.6252,119.1871,1291942.0
2020-06-19,120.3758,120.3758,119.0682,119.7418,2313777.0
2020-06-20,120.3758,120.3758,119.0682,119.7418,2313777.0
2020-06-21,120.3758,120.3758,119.0682,119.7418,2313777.0
2020-06-22,119.2564,120.8513,119.1871,120.7621,1424312.0
2020-06-23,120.9701,121.2475,119.5932,120.7918,1816550.0
2020-06-24,120.3461,120.8315,119.1177,120.2965,2795845.0
2020-06-25,120.4352,120.4352,118.9989,119.2168,1689503.0
2020-06-26,119.3654,119.8112,117.9984,118.4441,1887460.0
2020-06-27,119.3654,119.8112,117.9984,118.4441,1887460.0
2020-06-28,119.3654,119.8112,117.9984,118.4441,1887460.0
2020-06-29,118.5927,119.7715,118.4937,119.1772,1207232.0
2020-06-30,119.8508,121.1088,119.6031,120.7918,1877707.0
2020-07-01,120.6829,122.139,119.3654,121.0791,2281964.0
2020-07-02,121.1088,121.5843,120.6036,121.0692,853229.0
2020-07-03,121.1088,121.5843,120.6036,121.0692,853229.0
2020-07-04,121.1088,121.5843,120.6036,121.0692,853229.0
2020-07-05,121.1088,121.5843,120.6036,121.0692,853229.0
2020-07-06,121.6437,122.0003,121.0692,121.7527,1037600.0
2020-07-07,121.5843,121.8419,120.3758,120.8612,926793.0
2020-07-08,120.455,121.2624,119.3951,120.4352,1031351.0
2020-07-09,120.8513,120.8513,119.5041,119.8508,1169144.0
2020-07-10,119.3852,120.4253,119.3555,120.1579,1475859.0
2020-07-11,119.3852,120.4253,119.3555,120.1579,1475859.0
2020-07-12,119.3852,120.4253,119.3555,120.1579,1475859.0
2020-07-13,120.3956,120.7027,119.4942,120.0291,775954.0
2020-07-14,119.6428,120.6432,119.4496,120.5937,739742.0
2020-07-15,121.3069,121.7527,120.4055,121.3466,1217857.0
2020-07-16,121.0296,121.4357,120.3857,120.8711,1208761.0
2020-07-17,121.5348,121.5348,119.9895,120.6036,1184294.0
2020-07-18,121.5348,121.5348,119.9895,120.6036,1184294.0
2020-07-19,121.5348,121.5348,119.9895,120.6036,1184294.0
2020-07-20,120.4748,121.3367,119.8904,120.2668,1206497.0
2020-07-21,120.564,121.4258,120.4055,121.0989,612676.0
2020-07-22,120.9503,121.2079,120.3362,120.5046,805524.0
2020-07-23,120.6036,120.9355,119.93,120.4649,940824.0
2020-07-24,120.6432,120.8116,119.6824,120.2668,1353986.0
2020-07-25,120.6432,120.8116,119.6824,120.2668,1353986.0
