,SEIC US Equity,SEIC US Equity,SEIC US Equity,SEIC US Equity,SEIC US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,42.8133,43.2628,42.2468,43.2628,671486.0
2019-01-02,42.4949,43.4876,42.3264,43.1411,614057.0
2019-01-03,42.6167,42.9913,41.5211,41.5866,776464.0
2019-01-04,42.3545,43.3752,41.3712,43.0849,522418.0
2019-01-05,42.3545,43.3752,41.3712,43.0849,522418.0
2019-01-06,42.3545,43.3752,41.3712,43.0849,522418.0
2019-01-07,43.0849,43.7872,42.6541,43.3377,689836.0
2019-01-08,43.7779,46.2594,43.3892,43.731,613414.0
2019-01-09,43.731,44.1431,43.4314,43.9745,655339.0
2019-01-10,43.7217,44.424,43.7217,44.4053,603626.0
2019-01-11,44.1524,44.1711,43.3658,43.5812,778204.0
2019-01-12,44.1524,44.1711,43.3658,43.5812,778204.0
2019-01-13,44.1524,44.1711,43.3658,43.5812,778204.0
2019-01-14,43.1879,44.4895,42.9571,43.8715,1353512.0
2019-01-15,43.8715,44.0401,43.3846,43.7123,719748.0
2019-01-16,44.012,45.1638,43.9839,45.0701,721500.0
2019-01-17,44.7049,45.8754,44.6862,45.5664,1014770.0
2019-01-18,45.8848,46.3062,44.9297,46.1938,521610.0
2019-01-19,45.8848,46.3062,44.9297,46.1938,521610.0
2019-01-20,45.8848,46.3062,44.9297,46.1938,521610.0
2019-01-21,45.8848,46.3062,44.9297,46.1938,521610.0
2019-01-22,45.6882,46.0721,45.1638,45.4915,795846.0
2019-01-23,45.6226,45.9878,44.9437,45.7256,727002.0
2019-01-24,45.7163,46.353,42.4949,45.7256,900898.0
2019-01-25,45.9129,46.456,45.838,46.1657,617877.0
2019-01-26,45.9129,46.456,45.838,46.1657,617877.0
2019-01-27,45.9129,46.456,45.838,46.1657,617877.0
2019-01-28,45.8567,46.3249,45.2293,46.0534,871538.0
2019-01-29,45.6882,46.2219,45.5758,45.6039,616489.0
2019-01-30,45.838,46.044,45.0327,45.4166,953731.0
2019-01-31,44.4053,45.7256,43.6374,44.5176,2048292.0
2019-02-01,44.5457,46.1845,44.3397,46.0721,1514504.0
2019-02-02,44.5457,46.1845,44.3397,46.0721,1514504.0
2019-02-03,44.5457,46.1845,44.3397,46.0721,1514504.0
2019-02-04,46.2687,46.5778,45.8193,46.4841,556290.0
2019-02-05,46.5871,46.9242,45.8661,46.6433,776454.0
2019-02-06,46.559,46.9711,46.2594,46.4186,788873.0
2019-02-07,46.2406,46.6901,45.8981,46.353,722316.0
2019-02-08,46.25,46.6433,45.2012,46.1938,581973.0
2019-02-09,46.25,46.6433,45.2012,46.1938,581973.0
2019-02-10,46.25,46.6433,45.2012,46.1938,581973.0
2019-02-11,46.2219,46.6152,46.0534,46.5309,884830.0
2019-02-12,46.9711,47.6734,46.9711,47.4674,727046.0
2019-02-13,47.561,48.076,47.561,47.8981,703838.0
2019-02-14,47.6827,48.1135,47.4627,47.8607,733832.0
2019-02-15,48.1229,48.975,48.1229,48.8533,1127032.0
2019-02-16,48.1229,48.975,48.1229,48.8533,1127032.0
