,VRTS US Equity,VRTS US Equity,VRTS US Equity,VRTS US Equity,VRTS US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-03-03,90.2221,91.0238,88.6493,90.4051,93257.0
2019-03-04,90.4487,91.137,88.7669,89.1765,93099.0
2019-03-05,89.2026,89.3594,87.2333,88.8105,76013.0
2019-03-06,89.1155,89.1155,86.4142,86.4142,41264.0
2019-03-07,86.3793,86.3793,83.9133,84.898,47863.0
2019-03-08,84.5233,85.8129,84.5233,85.508,28684.0
2019-03-09,84.5233,85.8129,84.5233,85.508,28684.0
2019-03-10,84.5233,85.8129,84.5233,85.508,28684.0
2019-03-11,85.8478,87.6603,85.2466,87.4337,43297.0
2019-03-12,87.5644,87.6777,86.2225,87.059,52462.0
2019-03-13,87.3291,88.9804,86.4403,87.9565,50801.0
2019-03-14,87.9652,88.7059,87.5426,87.9565,57019.0
2019-03-15,88.1657,88.8497,87.4337,87.5383,150808.0
2019-03-16,88.1657,88.8497,87.4337,87.5383,150808.0
2019-03-17,88.1657,88.8497,87.4337,87.5383,150808.0
2019-03-18,87.3727,90.1742,87.2856,89.8561,101024.0
2019-03-19,90.318,90.6926,87.4947,87.974,54696.0
2019-03-20,87.974,88.7538,86.2748,86.4055,60846.0
2019-03-21,86.2748,88.5142,86.2225,87.5644,126612.0
2019-03-22,86.998,88.0088,83.0507,84.0441,72501.0
2019-03-23,86.998,88.0088,83.0507,84.0441,72501.0
2019-03-24,86.998,88.0088,83.0507,84.0441,72501.0
2019-03-25,83.6519,84.5146,82.0573,82.6934,127183.0
2019-03-26,83.4777,85.8304,83.4428,85.2204,100581.0
2019-03-27,85.6125,87.2856,84.6497,85.6387,108422.0
2019-03-28,85.7607,86.4926,77.2909,85.7345,46625.0
2019-03-29,86.4403,87.1374,84.7586,85.0026,74947.0
2019-03-30,86.4403,87.1374,84.7586,85.0026,74947.0
2019-03-31,86.4403,87.1374,84.7586,85.0026,74947.0
2019-04-01,86.0744,89.5947,85.8304,89.4204,45060.0
2019-04-02,90.1262,91.3287,88.8802,91.1022,74413.0
2019-04-03,92.0781,93.0976,90.6229,91.3462,41931.0
2019-04-04,91.3549,92.9844,90.1785,92.6184,36773.0
2019-04-05,93.4375,95.4678,92.7927,95.1192,49106.0
2019-04-06,93.4375,95.4678,92.7927,95.1192,49106.0
2019-04-07,93.4375,95.4678,92.7927,95.1192,49106.0
2019-04-08,95.1715,95.8512,93.6379,95.703,70482.0
2019-04-09,95.7553,96.1126,93.8949,94.3611,52626.0
2019-04-10,94.3524,97.4734,94.2827,97.1495,71496.0
2019-04-11,98.169,102.0902,98.047,100.5479,109166.0
2019-04-12,102.2296,102.8135,100.4607,101.5674,84433.0
2019-04-13,102.2296,102.8135,100.4607,101.5674,84433.0
2019-04-14,102.2296,102.8135,100.4607,101.5674,84433.0
2019-04-15,102.1251,103.6587,100.33,103.6587,83302.0
2019-04-16,104.3122,106.7303,103.4844,105.0355,64185.0
2019-04-17,105.8023,105.8023,103.0574,104.6608,66248.0
2019-04-18,104.4255,105.4058,102.1861,102.918,70688.0
2019-04-19,104.4255,105.4058,102.1861,102.918,70688.0
2019-04-20,104.4255,105.4058,102.1861,102.918,70688.0
2019-04-21,104.4255,105.4058,102.1861,102.918,70688.0
2019-04-22,102.4388,104.1989,102.0031,103.7197,89193.0
2019-04-23,103.4844,104.3471,103.0139,103.7371,128764.0
2019-04-24,103.833,104.4778,102.8222,103.7807,97100.0
2019-04-25,103.6848,105.994,102.6479,105.323,45531.0
2019-04-26,106.8479,109.7757,104.5756,108.0591,69668.0
2019-04-27,106.8479,109.7757,104.5756,108.0591,69668.0
2019-04-28,106.8479,109.7757,104.5756,108.0591,69668.0
2019-04-29,108.9256,110.7637,108.5405,108.9256,52555.0
2019-04-30,109.3195,109.4945,106.5362,107.3152,82590.0
2019-05-01,107.9191,108.3655,105.2656,107.4902,122816.0
2019-05-02,107.8316,107.8316,103.8754,106.4399,86556.0
2019-05-03,107.2189,107.9979,107.2189,107.4377,106606.0
2019-05-04,107.2189,107.9979,107.2189,107.4377,106606.0
2019-05-05,107.2189,107.9979,107.2189,107.4377,106606.0
2019-05-06,105.836,107.2101,104.5318,106.081,93721.0
2019-05-07,104.952,107.2539,104.7682,105.4771,57565.0
2019-05-08,105.3458,106.4749,104.0767,104.2955,62621.0
2019-05-09,103.534,105.4246,100.9433,103.1489,94209.0
2019-05-10,101.9236,105.232,101.5822,104.7156,78356.0
2019-05-11,101.9236,105.232,101.5822,104.7156,78356.0
2019-05-12,101.9236,105.232,101.5822,104.7156,78356.0
2019-05-13,102.9301,105.4071,100.2518,100.6019,59082.0
2019-05-14,101.2496,102.5625,100.4356,101.9936,87315.0
2019-05-15,101.1446,103.7529,100.7682,103.0877,56933.0
2019-05-16,103.0614,104.4618,102.0549,102.3962,67937.0
2019-05-17,101.5822,102.1511,99.8667,99.8667,76823.0
2019-05-18,101.5822,102.1511,99.8667,99.8667,76823.0
2019-05-19,101.5822,102.1511,99.8667,99.8667,76823.0
2019-05-20,98.9827,100.6807,98.3613,99.3853,51918.0
2019-05-21,100.1293,100.9695,98.974,99.3766,141493.0
2019-05-22,99.1578,102.3597,97.2234,97.416,45864.0
2019-05-23,96.4357,97.7574,93.5211,95.4467,197162.0
2019-05-24,96.0419,98.2037,94.9215,97.6698,60057.0
2019-05-25,96.0419,98.2037,94.9215,97.6698,60057.0
2019-05-26,96.0419,98.2037,94.9215,97.6698,60057.0
2019-05-27,96.0419,98.2037,94.9215,97.6698,60057.0
2019-05-28,97.7749,98.6151,96.5057,96.6895,60161.0
2019-05-29,95.8493,96.6283,93.2629,94.1513,77059.0
2019-05-30,94.4051,95.3154,93.0178,93.5474,55826.0
2019-05-31,92.217,92.392,88.7072,88.9173,89721.0
2019-06-01,92.217,92.392,88.7072,88.9173,89721.0
2019-06-02,92.217,92.392,88.7072,88.9173,89721.0
2019-06-03,88.5584,89.8363,87.3506,88.0858,112639.0
2019-06-04,88.8122,91.6656,88.6634,91.6393,100197.0
2019-06-05,92.0682,93.171,90.5715,92.6371,66656.0
2019-06-06,92.5758,93.473,90.8691,91.8669,49798.0
2019-06-07,92.1557,93.6261,91.8144,92.3483,42226.0
2019-06-08,92.1557,93.6261,91.8144,92.3483,42226.0
2019-06-09,92.1557,93.6261,91.8144,92.3483,42226.0
2019-06-10,93.0222,94.4314,92.182,93.4423,39184.0
2019-06-11,94.2826,95.2366,92.0419,92.3833,29122.0
2019-06-12,92.0157,92.8297,91.3767,92.0594,34003.0
2019-06-13,93.2323,94.0288,92.1907,93.101,34445.0
2019-06-14,92.961,92.9697,91.3505,92.1907,69524.0
2019-06-15,92.961,92.9697,91.3505,92.1907,69524.0
2019-06-16,92.961,92.9697,91.3505,92.1907,69524.0
2019-06-17,91.6831,92.8647,90.6503,90.659,47552.0
2019-06-18,90.9566,93.8281,90.9566,92.9522,64311.0
2019-06-19,92.9084,94.2213,90.6279,91.1667,36962.0
2019-06-20,92.3395,92.427,90.1601,91.2017,33948.0
2019-06-21,90.7553,91.7181,89.4249,89.8188,57475.0
2019-06-22,90.7553,91.7181,89.4249,89.8188,57475.0
2019-06-23,90.7553,91.7181,89.4249,89.8188,57475.0
2019-06-24,89.7925,91.1142,87.2893,87.9282,86970.0
2019-06-25,88.0333,91.2673,86.8342,88.4184,119237.0
2019-06-26,88.6897,90.2739,87.7444,89.3286,42666.0
2019-06-27,89.9676,92.7159,89.565,92.427,55382.0
2019-06-28,92.9172,94.1513,92.3395,94.0025,88635.0
2019-06-29,92.9172,94.1513,92.3395,94.0025,88635.0
2019-06-30,92.9172,94.1513,92.3395,94.0025,88635.0
2019-07-01,95.6655,95.6655,92.7246,93.4861,75120.0
2019-07-02,93.6086,93.6086,90.133,92.4621,55419.0
2019-07-03,92.322,93.7487,91.9281,93.5386,31776.0
2019-07-04,92.322,93.7487,91.9281,93.5386,31776.0
2019-07-05,93.5124,94.6589,93.1272,93.985,80527.0
2019-07-06,93.5124,94.6589,93.1272,93.985,80527.0
2019-07-07,93.5124,94.6589,93.1272,93.985,80527.0
2019-07-08,93.3548,94.1951,91.8144,92.5233,37278.0
2019-07-09,92.2257,93.7837,91.8056,93.1623,54411.0
2019-07-10,94.0025,96.3526,93.8187,95.0703,74634.0
2019-07-11,95.858,97.4948,95.3854,97.2847,92736.0
2019-07-12,98.1337,98.3875,96.4532,97.2672,71207.0
2019-07-13,98.1337,98.3875,96.4532,97.2672,71207.0
2019-07-14,98.1337,98.3875,96.4532,97.2672,71207.0
2019-07-15,98.0724,98.2432,95.788,97.4598,86021.0
2019-07-16,97.1009,100.5057,96.5845,97.3985,80156.0
2019-07-17,97.556,98.4225,94.0288,94.7552,76146.0
2019-07-18,94.834,95.6305,93.5124,95.3767,59570.0
2019-07-19,95.0003,96.4182,94.3614,94.5802,75259.0
2019-07-20,95.0003,96.4182,94.3614,94.5802,75259.0
2019-07-21,95.0003,96.4182,94.3614,94.5802,75259.0
2019-07-22,95.0528,95.0528,90.8516,91.3067,64554.0
2019-07-23,92.2257,93.3636,91.0004,92.7334,73704.0
2019-07-24,92.5233,96.5758,92.5233,96.2169,74006.0
2019-07-25,96.0856,96.2365,91.8931,92.357,85585.0
2019-07-26,98.4576,99.0527,93.6699,98.9915,81491.0
2019-07-27,98.4576,99.0527,93.6699,98.9915,81491.0
2019-07-28,98.4576,99.0527,93.6699,98.9915,81491.0
2019-07-29,98.974,99.2103,96.7158,96.7158,129475.0
2019-07-30,96.2847,97.3491,94.9565,96.232,135072.0
2019-07-31,95.8713,96.2935,93.7602,94.2616,88148.0
2019-08-01,94.0945,94.7278,89.7767,90.1977,60118.0
2019-08-02,89.5292,89.9602,85.9842,88.8518,79644.0
2019-08-03,89.5292,89.9602,85.9842,88.8518,79644.0
2019-08-04,89.5292,89.9602,85.9842,88.8518,79644.0
2019-08-05,86.6615,90.7013,82.3074,83.2574,81307.0
2019-08-06,83.6708,86.3361,81.3749,83.7324,121177.0
2019-08-07,82.325,84.2338,81.4101,83.9259,78595.0
2019-08-08,84.5856,85.8611,84.0138,85.131,49336.0
2019-08-09,84.6736,86.0062,82.6768,83.5388,55682.0
2019-08-10,84.6736,86.0062,82.6768,83.5388,55682.0
2019-08-11,84.6736,86.0062,82.6768,83.5388,55682.0
2019-08-12,83.0375,83.2486,81.4541,82.2458,55690.0
2019-08-13,82.105,84.7351,81.7092,84.568,71503.0
2019-08-14,82.9143,85.0958,81.9643,83.7939,145042.0
2019-08-15,85.3245,85.6764,82.9495,84.4097,104009.0
2019-08-16,85.2981,87.5764,85.2981,87.2597,34171.0
2019-08-17,85.2981,87.5764,85.2981,87.2597,34171.0
2019-08-18,85.2981,87.5764,85.2981,87.2597,34171.0
2019-08-19,88.6759,90.0569,88.6759,89.5379,35712.0
2019-08-20,89.0629,91.35,88.0514,90.9805,74325.0
2019-08-21,91.5699,95.106,91.5699,94.7014,79223.0
2019-08-22,95.1764,96.3771,94.2352,94.4815,90766.0
2019-08-23,93.7338,94.5431,90.875,90.9805,70607.0
2019-08-24,93.7338,94.5431,90.875,90.9805,70607.0
2019-08-25,93.7338,94.5431,90.875,90.9805,70607.0
2019-08-26,92.3264,93.5294,89.3972,89.6435,35669.0
2019-08-27,90.4528,90.4528,87.2245,87.9282,56937.0
2019-08-28,87.9898,90.6199,87.8007,89.6963,74988.0
2019-08-29,90.8662,93.6195,90.8662,92.6607,59397.0
2019-08-30,93.5315,93.9977,91.4819,93.8482,41084.0
2019-08-31,93.5315,93.9977,91.4819,93.8482,41084.0
2019-09-01,93.5315,93.9977,91.4819,93.8482,41084.0
2019-09-02,93.5315,93.9977,91.4819,93.8482,41084.0
2019-09-03,92.863,93.7954,90.9102,91.6755,70779.0
2019-09-04,93.0213,93.5667,91.4819,93.5667,46989.0
2019-09-05,94.9213,98.0792,94.9213,96.9093,54244.0
2019-09-06,96.5047,98.3343,95.7746,97.2347,55091.0
2019-09-07,96.5047,98.3343,95.7746,97.2347,55091.0
