,ALGT US Equity,ALGT US Equity,ALGT US Equity,ALGT US Equity,ALGT US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,95.278,96.299,93.089,94.542,288841.0
2019-01-02,93.014,98.061,92.693,98.004,305940.0
2019-01-03,97.24,97.24,92.618,95.684,184551.0
2019-01-04,96.712,102.429,96.202,101.966,219892.0
2019-01-05,96.712,102.429,96.202,101.966,219892.0
2019-01-06,96.712,102.429,96.202,101.966,219892.0
2019-01-07,102.089,103.891,100.353,103.155,168827.0
2019-01-08,103.881,106.145,103.061,104.928,202909.0
2019-01-09,104.711,110.202,104.711,110.098,154442.0
2019-01-10,108.353,114.003,105.655,113.447,220427.0
2019-01-11,113.475,115.23,112.324,114.456,131396.0
2019-01-12,113.475,115.23,112.324,114.456,131396.0
2019-01-13,113.475,115.23,112.324,114.456,131396.0
2019-01-14,113.947,114.739,111.994,113.664,144597.0
2019-01-15,114.003,116.032,111.551,112.673,116031.0
2019-01-16,113.579,117.003,111.768,112.824,138001.0
2019-01-17,112.834,116.956,112.834,115.098,115952.0
2019-01-18,115.145,116.145,114.164,115.739,151464.0
2019-01-19,115.145,116.145,114.164,115.739,151464.0
2019-01-20,115.145,116.145,114.164,115.739,151464.0
2019-01-21,115.145,116.145,114.164,115.739,151464.0
2019-01-22,115.135,115.701,112.183,112.739,158150.0
2019-01-23,113.513,114.588,111.862,112.296,113356.0
2019-01-24,113.466,116.494,113.145,114.569,127345.0
2019-01-25,115.654,117.032,114.15,114.881,185759.0
2019-01-26,115.654,117.032,114.15,114.881,185759.0
2019-01-27,115.654,117.032,114.15,114.881,185759.0
2019-01-28,114.192,118.098,113.447,117.022,217267.0
2019-01-29,117.041,118.777,115.376,117.918,217053.0
2019-01-30,118.107,120.187,113.986,118.616,283223.0
2019-01-31,125.757,129.238,120.937,122.635,643523.0
2019-02-01,125.059,129.427,122.927,128.154,391392.0
2019-02-02,125.059,129.427,122.927,128.154,391392.0
2019-02-03,125.059,129.427,122.927,128.154,391392.0
2019-02-04,128.908,131.267,126.314,131.153,321555.0
2019-02-05,131.399,131.469,127.569,128.088,195371.0
2019-02-06,127.352,129.774,125.318,127.437,155385.0
2019-02-07,126.522,130.663,126.522,128.408,132661.0
2019-02-08,127.823,128.371,126.229,128.069,92456.0
2019-02-09,127.823,128.371,126.229,128.069,92456.0
