,MXIM US Equity,MXIM US Equity,MXIM US Equity,MXIM US Equity,MXIM US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,47.7445,48.1974,47.3672,47.9709,2021912.0
2019-01-02,46.8578,48.3766,46.8389,47.9615,3147115.0
2019-01-03,46.9049,47.4049,45.1219,45.2351,3801201.0
2019-01-04,45.3295,47.2918,45.3295,47.2257,3600015.0
2019-01-05,45.3295,47.2918,45.3295,47.2257,3600015.0
2019-01-06,45.3295,47.2918,45.3295,47.2257,3600015.0
2019-01-07,47.0087,48.2917,46.5181,47.7162,2775361.0
2019-01-08,48.0275,48.2162,46.6785,46.9993,2974839.0
2019-01-09,47.4993,48.537,47.4474,48.2728,1985580.0
2019-01-10,48.0558,48.8672,47.9426,48.7917,1553858.0
2019-01-11,48.4804,50.1643,48.3483,49.8671,2139320.0
2019-01-12,48.4804,50.1643,48.3483,49.8671,2139320.0
2019-01-13,48.4804,50.1643,48.3483,49.8671,2139320.0
2019-01-14,49.2539,49.4238,48.1785,48.2257,2790181.0
2019-01-15,48.5558,49.1226,48.5275,48.7634,1539555.0
2019-01-16,48.754,49.6124,48.2775,49.1124,1866551.0
2019-01-17,49.1502,49.9049,48.4992,49.7256,1790521.0
2019-01-18,50.1313,50.7068,49.5275,50.5747,1971778.0
2019-01-19,50.1313,50.7068,49.5275,50.5747,1971778.0
2019-01-20,50.1313,50.7068,49.5275,50.5747,1971778.0
2019-01-21,50.1313,50.7068,49.5275,50.5747,1971778.0
2019-01-22,50.1407,50.2068,48.603,48.9521,3165210.0
2019-01-23,49.1407,49.5087,48.4615,49.0841,2483652.0
2019-01-24,49.7634,52.0369,49.6369,51.452,3139022.0
2019-01-25,52.0935,53.4803,51.7256,53.0841,2632057.0
2019-01-26,52.0935,53.4803,51.7256,53.0841,2632057.0
2019-01-27,52.0935,53.4803,51.7256,53.0841,2632057.0
2019-01-28,51.4709,52.7256,51.3388,52.452,2729404.0
2019-01-29,52.7162,52.7162,51.8247,51.8671,2366554.0
2019-01-30,51.2728,52.0747,49.4804,51.3766,4613607.0
2019-01-31,51.1879,51.7539,50.9284,51.1973,2557761.0
2019-02-01,51.4709,52.1313,51.1737,51.5181,2548938.0
2019-02-02,51.4709,52.1313,51.1737,51.5181,2548938.0
2019-02-03,51.4709,52.1313,51.1737,51.5181,2548938.0
2019-02-04,51.4615,51.9331,51.0935,51.9331,1801343.0
2019-02-05,52.0181,52.3482,51.4992,52.0652,2204117.0
2019-02-06,52.6124,53.4426,52.3954,52.9992,2900442.0
2019-02-07,52.5369,52.8105,51.3766,51.7445,1901576.0
2019-02-08,50.9709,51.7115,50.7822,51.6218,1908239.0
