,CVI US Equity,CVI US Equity,CVI US Equity,CVI US Equity,CVI US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,17.2967,17.6915,17.2146,17.6813,594785.0
2019-01-02,17.3634,18.2556,17.2864,18.0249,550000.0
2019-01-03,17.9992,18.0351,17.3736,17.7787,514645.0
2019-01-04,18.112,18.8607,18.0403,18.8556,645158.0
2019-01-05,18.112,18.8607,18.0403,18.8556,645158.0
2019-01-06,18.112,18.8607,18.0403,18.8556,645158.0
2019-01-07,19.0351,19.2453,18.4659,19.0146,536522.0
2019-01-08,19.2966,19.3633,18.4607,18.6505,907777.0
2019-01-09,18.8761,19.0197,18.6043,18.7992,689422.0
2019-01-10,18.6864,19.03,18.6254,18.9787,329162.0
2019-01-11,18.8556,19.0505,18.7325,18.8761,367215.0
2019-01-12,18.8556,19.0505,18.7325,18.8761,367215.0
2019-01-13,18.8556,19.0505,18.7325,18.8761,367215.0
2019-01-14,18.7736,18.9376,18.5582,18.7787,336837.0
2019-01-15,18.912,19.0043,18.6402,18.9735,311781.0
2019-01-16,18.871,19.2761,18.7171,19.0505,342096.0
2019-01-17,18.9787,19.5581,18.9787,19.5428,263740.0
2019-01-18,19.7427,20.3786,19.7171,20.1991,1068800.0
2019-01-19,19.7427,20.3786,19.7171,20.1991,1068800.0
2019-01-20,19.7427,20.3786,19.7171,20.1991,1068800.0
2019-01-21,19.7427,20.3786,19.7171,20.1991,1068800.0
2019-01-22,20.2402,20.2504,19.8026,19.8709,960395.0
2019-01-23,19.9786,20.1684,19.5889,19.6453,443643.0
2019-01-24,19.6453,19.6521,19.1889,19.2351,404790.0
2019-01-25,19.3633,19.8171,19.0043,19.794,640032.0
2019-01-26,19.3633,19.8171,19.0043,19.794,640032.0
2019-01-27,19.3633,19.8171,19.0043,19.794,640032.0
2019-01-28,19.6402,19.8556,19.4453,19.6556,575562.0
2019-01-29,19.8299,20.2812,19.6248,19.9581,577010.0
2019-01-30,20.153,20.7222,20.0763,20.5478,488688.0
2019-01-31,20.7376,20.9818,20.4094,20.5889,517116.0
2019-02-01,20.7222,20.8555,20.1427,20.2812,577599.0
2019-02-02,20.7222,20.8555,20.1427,20.2812,577599.0
2019-02-03,20.7222,20.8555,20.1427,20.2812,577599.0
2019-02-04,20.2812,20.5632,20.153,20.2761,545679.0
2019-02-05,20.3837,20.894,20.235,20.7632,558706.0
2019-02-06,20.7171,21.1196,20.6463,20.9683,501371.0
2019-02-07,20.9068,21.1068,20.4453,20.7376,464512.0
2019-02-08,20.6812,20.8196,20.3017,20.5991,414383.0
2019-02-09,20.6812,20.8196,20.3017,20.5991,414383.0
2019-02-10,20.6812,20.8196,20.3017,20.5991,414383.0
2019-02-11,20.594,20.9837,20.4914,20.7889,332033.0
2019-02-12,21.0094,21.1222,20.8094,20.8812,359925.0
2019-02-13,21.0094,21.4298,20.9786,21.3837,362003.0
2019-02-14,21.3683,21.7939,21.2658,21.5837,361750.0
2019-02-15,21.7786,21.8452,21.4401,21.835,412632.0
2019-02-16,21.7786,21.8452,21.4401,21.835,412632.0
2019-02-17,21.7786,21.8452,21.4401,21.835,412632.0
2019-02-18,21.7786,21.8452,21.4401,21.835,412632.0
2019-02-19,21.7837,21.9734,21.6914,21.8862,344284.0
2019-02-20,21.9119,22.0503,21.6247,22.0401,673145.0
2019-02-21,21.6247,22.5375,21.0453,21.235,1232119.0
2019-02-22,21.6145,22.3272,21.5016,21.8965,1162980.0
2019-02-23,21.6145,22.3272,21.5016,21.8965,1162980.0
2019-02-24,21.6145,22.3272,21.5016,21.8965,1162980.0
2019-02-25,21.9529,22.1529,21.1735,21.1735,643588.0
2019-02-26,21.1786,21.5888,21.1786,21.235,832320.0
2019-02-27,21.3734,21.558,20.8709,21.0658,552897.0
2019-02-28,21.076,21.3273,20.6504,20.7889,615546.0
2019-03-01,20.9926,21.1964,20.7679,21.1023,470595.0
2019-03-02,20.9926,21.1964,20.7679,21.1023,470595.0
2019-03-03,20.9926,21.1964,20.7679,21.1023,470595.0
2019-03-04,21.165,21.3165,20.5642,20.8411,428225.0
2019-03-05,20.8777,21.0449,20.5224,20.6635,380197.0
2019-03-06,20.6687,21.0501,20.5851,20.7888,558579.0
2019-03-07,20.9142,20.9377,20.4492,20.5537,395862.0
2019-03-08,20.2612,20.4388,19.9163,20.1149,464604.0
2019-03-09,20.2612,20.4388,19.9163,20.1149,464604.0
2019-03-10,20.2612,20.4388,19.9163,20.1149,464604.0
2019-03-11,20.2559,20.8254,20.2242,20.606,350611.0
2019-03-12,20.6635,20.9508,20.5485,20.8829,359826.0
2019-03-13,21.0292,21.3361,20.9404,21.1911,414480.0
2019-03-14,21.2225,21.5151,21.1284,21.4576,353002.0
2019-03-15,21.3531,21.7659,21.2774,21.4419,968408.0
2019-03-16,21.3531,21.7659,21.2774,21.4419,968408.0
2019-03-17,21.3531,21.7659,21.2774,21.4419,968408.0
2019-03-18,21.4472,21.8651,21.4472,21.7554,304274.0
2019-03-19,21.8756,21.9278,21.3897,21.5412,804941.0
