,MAXR US Equity,MAXR US Equity,MAXR US Equity,MAXR US Equity,MAXR US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,15.827,16.394,15.4291,15.5883,2850548.0
2020-01-02,15.7176,16.4537,15.5979,16.4139,2237841.0
2020-01-03,16.394,17.4276,16.1752,17.349,2490182.0
2020-01-04,16.394,17.4276,16.1752,17.349,2490182.0
2020-01-05,16.394,17.4276,16.1752,17.349,2490182.0
2020-01-06,17.4983,17.5878,16.4139,17.4286,2451451.0
2020-01-07,17.2396,17.9559,17.0606,17.8862,1905470.0
2020-01-08,18.4234,19.0899,17.936,18.9705,2950848.0
2020-01-09,19.0501,19.3611,18.2742,18.7616,2484273.0
2020-01-10,18.9009,20.025,18.5527,19.7962,2975981.0
2020-01-11,18.9009,20.025,18.5527,19.7962,2975981.0
2020-01-12,18.9009,20.025,18.5527,19.7962,2975981.0
2020-01-13,19.8957,19.9056,18.5531,19.3784,2753189.0
2020-01-14,19.3784,19.8261,18.9208,19.6768,1481434.0
2020-01-15,19.7962,20.5275,19.7863,20.035,2049593.0
2020-01-16,20.1444,20.1895,19.0999,19.4281,2054578.0
2020-01-17,19.4182,20.1543,19.4182,20.0946,1600591.0
2020-01-18,19.4182,20.1543,19.4182,20.0946,1600591.0
2020-01-19,19.4182,20.1543,19.4182,20.0946,1600591.0
2020-01-20,19.4182,20.1543,19.4182,20.0946,1600591.0
2020-01-21,20.2439,21.3381,20.2439,20.602,1626791.0
2020-01-22,20.602,21.1591,20.0648,20.2041,1319692.0
2020-01-23,20.1145,20.1742,19.2789,19.9554,1252531.0
2020-01-24,20.035,20.1643,18.8014,18.9208,1094749.0
2020-01-25,20.035,20.1643,18.8014,18.9208,1094749.0
2020-01-26,20.035,20.1643,18.8014,18.9208,1094749.0
2020-01-27,18.0354,18.4831,16.9312,18.2543,2224949.0
2020-01-28,18.4532,18.8213,18.1051,18.4532,1074717.0
2020-01-29,18.4632,18.6088,16.9909,17.0208,1956964.0
2020-01-30,16.7124,17.7072,16.4637,17.0009,1782737.0
2020-01-31,17.0108,17.1894,15.419,15.8768,1950980.0
2020-02-01,17.0108,17.1894,15.419,15.8768,1950980.0
2020-02-02,17.0108,17.1894,15.419,15.8768,1950980.0
2020-02-03,17.3789,18.3538,16.2448,16.4139,3464707.0
2020-02-04,16.9213,17.2695,16.4637,17.1103,1731254.0
2020-02-05,17.4087,17.5977,16.0857,16.2448,2180601.0
2020-02-06,16.1951,16.3841,15.8171,16.215,1178353.0
2020-02-07,16.1454,17.4907,15.8967,17.3391,2738235.0
2020-02-08,16.1454,17.4907,15.8967,17.3391,2738235.0
2020-02-09,16.1454,17.4907,15.8967,17.3391,2738235.0
2020-02-10,17.3391,17.8712,16.5831,17.7171,1832310.0
2020-02-11,17.7768,19.3512,17.7368,18.6323,2166116.0
2020-02-12,18.8014,19.1993,18.2244,18.891,1789972.0
2020-02-13,18.7915,19.0899,18.6025,18.7517,1324038.0
2020-02-14,18.7019,19.8261,18.3737,19.0402,1883988.0
2020-02-15,18.7019,19.8261,18.3737,19.0402,1883988.0
2020-02-16,18.7019,19.8261,18.3737,19.0402,1883988.0
2020-02-17,18.7019,19.8261,18.3737,19.0402,1883988.0
2020-02-18,19.0004,19.1944,17.5679,17.7271,2910144.0
2020-02-19,17.7569,18.0852,17.2247,17.2993,1757843.0
2020-02-20,17.2695,17.6823,16.7124,17.5679,1869639.0
2020-02-21,17.4485,17.6674,16.9312,17.17,1418393.0
2020-02-22,17.4485,17.6674,16.9312,17.17,1418393.0
2020-02-23,17.4485,17.6674,16.9312,17.17,1418393.0
2020-02-24,16.1652,16.8715,15.8171,16.4338,1388092.0
2020-02-25,16.5234,16.8218,15.071,15.4391,1910967.0
2020-02-26,15.3794,16.0061,15.0959,15.1904,1334569.0
2020-02-27,14.8123,15.5485,13.8971,14.7228,2093525.0
2020-02-28,13.6285,15.1307,13.5291,15.1307,1866483.0
2020-02-29,13.6285,15.1307,13.5291,15.1307,1866483.0
2020-03-01,13.6285,15.1307,13.5291,15.1307,1866483.0
2020-03-02,15.1804,15.2898,13.9369,14.683,1938385.0
2020-03-03,14.5935,16.8119,14.1259,15.3296,3256812.0
2020-03-04,15.7076,17.5281,15.1705,17.4684,2078129.0
2020-03-05,16.9511,17.2595,15.25,15.4192,1829555.0
2020-03-06,14.9218,15.0859,14.096,14.5835,1670706.0
2020-03-07,14.9218,15.0859,14.096,14.5835,1670706.0
2020-03-08,14.9218,15.0859,14.096,14.5835,1670706.0
2020-03-09,13.0814,13.9469,12.4348,12.6039,2297304.0
2020-03-10,13.4296,13.6584,12.5542,13.3898,1585890.0
2020-03-11,12.9322,13.0914,10.6541,11.1316,2681733.0
2020-03-12,9.658,10.3699,8.3338,9.1702,3449661.0
2020-03-13,10.0165,11.0321,9.1403,11.0321,2692561.0
2020-03-14,10.0165,11.0321,9.1403,11.0321,2692561.0
2020-03-15,10.0165,11.0321,9.1403,11.0321,2692561.0
2020-03-16,9.5485,10.0862,8.6922,8.8316,2361952.0
2020-03-17,8.9909,9.6182,8.284,9.4091,2589074.0
2020-03-18,8.523,9.1502,7.6269,8.2641,2516387.0
2020-03-19,8.1745,8.9412,7.6887,8.3537,1736018.0
2020-03-20,8.6624,9.0905,7.4676,7.7563,3528689.0
2020-03-21,8.6624,9.0905,7.4676,7.7563,3528689.0
2020-03-22,8.6624,9.0905,7.4676,7.7563,3528689.0
2020-03-23,7.5572,8.2342,7.1489,8.1645,1664413.0
2020-03-24,8.9013,9.3793,8.6325,9.3394,2673110.0
2020-03-25,9.4987,12.1273,9.3793,11.3009,2823235.0
2020-03-26,11.4602,12.0875,10.7135,11.0321,2052358.0
2020-03-27,10.6537,11.8684,10.1459,11.271,1976833.0
2020-03-28,10.6537,11.8684,10.1459,11.271,1976833.0
2020-03-29,10.6537,11.8684,10.1459,11.271,1976833.0
2020-03-30,11.1117,11.5299,10.3849,10.823,2202480.0
2020-03-31,10.8628,11.0719,10.3052,10.6338,1304804.0
2020-04-01,10.2057,10.3948,9.0806,9.2498,1466124.0
2020-04-02,9.2,9.6481,8.986,9.2299,817387.0
2020-04-03,9.1502,9.5784,8.7221,9.4987,1183166.0
2020-04-04,9.1502,9.5784,8.7221,9.4987,1183166.0
2020-04-05,9.1502,9.5784,8.7221,9.4987,1183166.0
2020-04-06,9.9667,10.3948,9.7178,10.2754,1318290.0
