,TRGP US Equity,TRGP US Equity,TRGP US Equity,TRGP US Equity,TRGP US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,35.8612,36.7974,35.8612,36.7523,2188489.0
2020-01-02,36.8604,37.0404,36.2033,36.5543,1620987.0
2020-01-03,36.9144,37.1304,36.5273,37.1304,3365257.0
2020-01-04,36.9144,37.1304,36.5273,37.1304,3365257.0
2020-01-05,36.9144,37.1304,36.5273,37.1304,3365257.0
2020-01-06,37.0674,37.918,36.9954,37.6795,2325964.0
2020-01-07,37.5265,37.8235,37.2924,37.7785,1404850.0
2020-01-08,37.6705,37.6705,35.5012,35.6362,3570611.0
2020-01-09,35.5732,36.3383,35.2221,36.3293,2478335.0
2020-01-10,36.0052,36.2843,35.6587,35.6902,2112827.0
2020-01-11,36.0052,36.2843,35.6587,35.6902,2112827.0
2020-01-12,36.0052,36.2843,35.6587,35.6902,2112827.0
2020-01-13,35.6902,36.1673,35.1141,36.1493,1894093.0
2020-01-14,36.3653,37.0732,36.1673,36.8064,1843459.0
2020-01-15,36.7974,37.0674,36.6083,36.7523,1412149.0
2020-01-16,37.1214,37.567,36.9324,37.1394,1501381.0
2020-01-17,37.2204,37.4049,36.9054,37.1574,1467712.0
2020-01-18,37.2204,37.4049,36.9054,37.1574,1467712.0
2020-01-19,37.2204,37.4049,36.9054,37.1574,1467712.0
2020-01-20,37.2204,37.4049,36.9054,37.1574,1467712.0
2020-01-21,36.7974,37.0224,36.1313,36.2033,2069485.0
2020-01-22,36.2033,36.4553,35.3391,35.4202,1933002.0
2020-01-23,35.0511,35.5282,34.358,35.4382,2922803.0
2020-01-24,35.2491,35.3968,34.3625,34.8171,1356530.0
2020-01-25,35.2491,35.3968,34.3625,34.8171,1356530.0
2020-01-26,35.2491,35.3968,34.3625,34.8171,1356530.0
2020-01-27,33.9259,34.358,33.6109,33.7999,1586205.0
2020-01-28,34.133,34.664,33.8269,34.439,1308301.0
2020-01-29,34.691,34.7631,34.187,34.25,1308393.0
2020-01-30,33.7889,34.2408,33.6045,34.1393,1846120.0
2020-01-31,33.7059,33.7797,33.1526,33.6598,1714625.0
2020-02-01,33.7059,33.7797,33.1526,33.6598,1714625.0
2020-02-02,33.7059,33.7797,33.1526,33.6598,1714625.0
2020-02-03,33.5583,34.0287,33.4385,33.7151,1375806.0
2020-02-04,34.3883,34.9601,34.3053,34.6558,1779030.0
2020-02-05,35.2367,36.099,35.2367,35.3658,2410459.0
2020-02-06,35.3197,35.5503,34.9324,34.9601,1411454.0
2020-02-07,34.6281,34.8217,34.2777,34.3791,1094756.0
2020-02-08,34.6281,34.8217,34.2777,34.3791,1094756.0
2020-02-09,34.6281,34.8217,34.2777,34.3791,1094756.0
2020-02-10,34.0287,34.298,32.4425,32.6085,2626436.0
2020-02-11,33.0604,33.918,33.0604,33.4108,1748310.0
2020-02-12,34.001,34.3053,33.586,34.0102,1603520.0
2020-02-13,33.835,34.4252,33.4477,33.669,1617571.0
2020-02-14,33.918,34.1393,33.6045,34.0194,1631691.0
2020-02-15,33.918,34.1393,33.6045,34.0194,1631691.0
2020-02-16,33.918,34.1393,33.6045,34.0194,1631691.0
2020-02-17,33.918,34.1393,33.6045,34.0194,1631691.0
2020-02-18,33.7705,34.167,33.7151,33.9918,1725248.0
2020-02-19,34.1209,34.3699,33.586,34.0748,2485317.0
2020-02-20,36.62,37.0401,35.8638,36.3802,5043289.0
2020-02-21,36.3065,36.7353,35.7716,36.0944,3776615.0
2020-02-22,36.3065,36.7353,35.7716,36.0944,3776615.0
2020-02-23,36.3065,36.7353,35.7716,36.0944,3776615.0
2020-02-24,34.665,35.163,33.6875,34.8217,2506803.0
2020-02-25,35.0431,35.2736,32.7468,32.8944,2456980.0
2020-02-26,33.1987,33.5583,31.7416,32.0367,3200068.0
2020-02-27,31.1146,31.4465,29.2886,29.7589,4687010.0
2020-02-28,28.4494,29.8973,27.6287,29.8788,3737732.0
2020-02-29,28.4494,29.8973,27.6287,29.8788,3737732.0
2020-03-01,28.4494,29.8973,27.6287,29.8788,3737732.0
2020-03-02,30.4137,31.3451,29.6022,31.2713,2976323.0
2020-03-03,31.6125,32.3226,29.8696,30.4967,2998196.0
2020-03-04,31.3912,31.5295,30.2938,31.3174,2388178.0
2020-03-05,30.2385,30.7733,29.4731,29.971,2258253.0
2020-03-06,28.7538,28.7814,25.3601,25.6921,4462974.0
2020-03-07,28.7538,28.7814,25.3601,25.6921,4462974.0
2020-03-08,28.7538,28.7814,25.3601,25.6921,4462974.0
2020-03-09,19.6887,19.6887,11.7855,12.0991,14856921.0
2020-03-10,14.755,14.8011,10.31,13.0489,11967975.0
2020-03-11,12.5417,13.8605,11.6933,13.3256,6887852.0
2020-03-12,12.0622,12.0899,9.7936,10.2547,6777490.0
2020-03-13,11.4074,11.638,9.1758,11.5089,8029163.0
2020-03-14,11.4074,11.638,9.1758,11.5089,8029163.0
2020-03-15,11.4074,11.638,9.1758,11.5089,8029163.0
2020-03-16,9.9873,11.0201,8.7884,9.0651,5371079.0
2020-03-17,9.0928,9.185,6.3907,6.649,8110471.0
2020-03-18,5.902,5.9758,3.3752,4.3619,12363709.0
2020-03-19,4.408,6.4092,4.2052,5.8928,12669800.0
2020-03-20,6.0772,7.0639,5.9942,6.732,10565090.0
2020-03-21,6.0772,7.0639,5.9942,6.732,10565090.0
2020-03-22,6.0772,7.0639,5.9942,6.732,10565090.0
2020-03-23,6.6674,6.9164,5.0813,6.5475,6707541.0
2020-03-24,7.2115,7.4697,6.317,7.3959,6002003.0
2020-03-25,7.5158,8.7608,6.5291,7.5435,6051900.0
2020-03-26,7.5343,7.9769,6.9302,7.0547,6119221.0
2020-03-27,6.732,6.8242,6.0034,6.4461,7465658.0
2020-03-28,6.732,6.8242,6.0034,6.4461,7465658.0
2020-03-29,6.732,6.8242,6.0034,6.4461,7465658.0
2020-03-30,6.2155,6.2155,4.8415,5.9758,12807679.0
2020-03-31,6.2063,6.5382,5.7269,6.3723,10281663.0
2020-04-01,5.9204,5.9481,5.072,5.4317,7578275.0
2020-04-02,5.5423,6.566,5.5239,5.8282,8426878.0
2020-04-03,6.234,6.3815,5.2196,5.8374,6516488.0
2020-04-04,6.234,6.3815,5.2196,5.8374,6516488.0
2020-04-05,6.234,6.3815,5.2196,5.8374,6516488.0
2020-04-06,6.1879,7.2207,5.8006,6.649,6954440.0
2020-04-07,7.276,8.2351,7.0547,7.2484,8605562.0
2020-04-08,7.4328,7.8294,7.1285,7.3683,8020331.0
2020-04-09,8.0783,8.9083,7.4697,7.94,8643408.0
2020-04-10,8.0783,8.9083,7.4697,7.94,8643408.0
2020-04-11,8.0783,8.9083,7.4697,7.94,8643408.0
2020-04-12,8.0783,8.9083,7.4697,7.94,8643408.0
2020-04-13,8.4472,8.5302,7.5711,7.8847,6772762.0
2020-04-14,7.5804,8.21,7.4328,8.0046,5382117.0
2020-04-15,7.5158,7.6726,7.0547,7.3683,4751610.0
2020-04-16,7.3314,7.3406,6.9302,7.0824,3675289.0
2020-04-17,7.2853,7.5804,7.0916,7.3129,9190171.0
2020-04-18,7.2853,7.5804,7.0916,7.3129,9190171.0
2020-04-19,7.2853,7.5804,7.0916,7.3129,9190171.0
2020-04-20,6.7596,7.6541,6.6397,7.2668,8343145.0
2020-04-21,6.8057,7.3314,6.6951,7.2299,8309128.0
2020-04-22,7.6818,7.7694,7.0916,7.6541,7614401.0
2020-04-23,8.0046,8.6132,7.9308,8.5394,7322152.0
2020-04-24,8.687,9.1758,8.4288,8.9636,6222743.0
2020-04-25,8.687,9.1758,8.4288,8.9636,6222743.0
2020-04-26,8.687,9.1758,8.4288,8.9636,6222743.0
2020-04-27,8.7792,9.2956,8.3827,9.2587,5171340.0
2020-04-28,9.6276,10.061,9.1665,9.7475,5994026.0
2020-04-29,10.3008,11.3429,10.0334,11.2691,5356333.0
2020-04-30,11.641,12.1803,10.7205,12.0501,6994585.0
2020-05-01,11.6224,11.8177,10.6926,10.9809,4932231.0
2020-05-02,11.6224,11.8177,10.6926,10.9809,4932231.0
2020-05-03,11.6224,11.8177,10.6926,10.9809,4932231.0
2020-05-04,10.2649,11.5759,10.237,11.1203,4565225.0
2020-05-05,11.9758,11.9758,11.3156,11.5759,4276421.0
2020-05-06,11.4458,11.7898,10.7856,10.8414,3580815.0
2020-05-07,11.5573,12.9613,11.2412,12.4778,6512903.0
2020-05-08,12.8405,13.1101,12.3988,12.8312,6408861.0
2020-05-09,12.8405,13.1101,12.3988,12.8312,6408861.0
2020-05-10,12.8405,13.1101,12.3988,12.8312,6408861.0
2020-05-11,12.701,12.8288,12.2175,12.4407,5590404.0
2020-05-12,12.6266,14.1608,12.5337,13.4076,6122210.0
2020-05-13,13.1287,13.5285,12.4778,13.0915,6336134.0
2020-05-14,12.7568,13.8725,12.171,13.1938,5232165.0
2020-05-15,13.1938,14.2305,13.0264,13.9748,3867810.0
2020-05-16,13.1938,14.2305,13.0264,13.9748,3867810.0
2020-05-17,13.1938,14.2305,13.0264,13.9748,3867810.0
2020-05-18,15.3695,16.5132,15.1882,16.2156,5714986.0
2020-05-19,16.2435,16.4853,15.3416,15.5462,5763874.0
2020-05-20,16.039,16.7038,15.8716,16.1412,4907407.0
2020-05-21,16.29,16.5224,15.8344,16.0947,4452947.0
2020-05-22,15.8809,16.82,15.4671,16.7735,3416396.0
2020-05-23,15.8809,16.82,15.4671,16.7735,3416396.0
2020-05-24,15.8809,16.82,15.4671,16.7735,3416396.0
2020-05-25,15.8809,16.82,15.4671,16.7735,3416396.0
2020-05-26,17.8614,18.0752,16.8944,16.9966,3670020.0
2020-05-27,17.0152,17.4058,16.3179,17.1268,4479915.0
2020-05-28,17.2477,17.5406,16.3923,17.0338,4371790.0
2020-05-29,16.6619,17.0431,16.1133,16.634,16923390.0
2020-05-30,16.6619,17.0431,16.1133,16.634,16923390.0
2020-05-31,16.6619,17.0431,16.1133,16.634,16923390.0
2020-06-01,16.5596,17.1809,16.2249,17.0059,4886232.0
2020-06-02,17.3035,18.038,17.0431,18.0101,4336509.0
2020-06-03,18.5959,19.2189,18.2612,19.0329,5412357.0
2020-06-04,19.3025,20.581,19.1166,20.3718,5261608.0
2020-06-05,22.1849,22.687,21.5154,21.7665,4203056.0
2020-06-06,22.1849,22.687,21.5154,21.7665,4203056.0
2020-06-07,22.1849,22.687,21.5154,21.7665,4203056.0
2020-06-08,23.0961,24.3327,22.673,24.3141,4715066.0
2020-06-09,23.1612,23.3285,22.343,22.5289,4973915.0
2020-06-10,22.0454,22.1942,20.6879,21.3109,4292472.0
2020-06-11,19.1817,19.5257,17.3035,18.1589,4633688.0
2020-06-12,19.7767,19.786,17.4801,18.2519,5819315.0
2020-06-13,19.7767,19.786,17.4801,18.2519,5819315.0
2020-06-14,19.7767,19.786,17.4801,18.2519,5819315.0
2020-06-15,16.7084,20.6321,16.4045,20.4183,3845533.0
2020-06-16,21.8595,21.8967,19.9999,21.2272,3938068.0
2020-06-17,21.0134,21.097,19.7023,19.7488,2549757.0
2020-06-18,19.4885,20.4368,19.2746,20.1951,2302288.0
2020-06-19,20.9576,21.0691,19.1166,19.1631,4963361.0
2020-06-20,20.9576,21.0691,19.1166,19.1631,4963361.0
2020-06-21,20.9576,21.0691,19.1166,19.1631,4963361.0
2020-06-22,19.0701,19.4243,18.3675,19.3955,2884553.0
2020-06-23,19.972,20.0092,18.9957,19.098,2670757.0
2020-06-24,18.6052,18.9585,17.1175,17.7777,3057688.0
2020-06-25,17.4801,18.5587,17.164,18.1682,2185332.0
2020-06-26,17.5359,17.8985,16.476,16.9037,4622310.0
2020-06-27,17.5359,17.8985,16.476,16.9037,4622310.0
2020-06-28,17.5359,17.8985,16.476,16.9037,4622310.0
2020-06-29,16.9873,17.6243,16.6526,17.4615,2427929.0
