,DK US Equity,DK US Equity,DK US Equity,DK US Equity,DK US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,27.7684,28.1001,26.8584,27.6494,1073203.0
2019-01-02,27.2496,28.4829,26.952,28.1682,1558580.0
2019-01-03,28.2702,28.3977,26.7564,27.3517,1087412.0
2019-01-04,27.9556,29.0102,27.9556,28.67,1788028.0
2019-01-05,27.9556,29.0102,27.9556,28.67,1788028.0
2019-01-06,27.9556,29.0102,27.9556,28.67,1788028.0
2019-01-07,28.4573,28.67,27.5388,27.9045,1961153.0
2019-01-08,28.0746,28.5764,26.5097,26.9775,2071963.0
2019-01-09,26.918,27.9641,26.2291,27.0285,2501086.0
2019-01-10,26.8244,28.1937,26.2903,27.6239,2216467.0
2019-01-11,27.5558,28.1171,27.1731,27.2752,1750113.0
2019-01-12,27.5558,28.1171,27.1731,27.2752,1750113.0
2019-01-13,27.5558,28.1171,27.1731,27.2752,1750113.0
2019-01-14,27.1221,27.4538,26.8159,27.1221,1739474.0
2019-01-15,27.3687,27.5813,26.9902,27.1901,1000638.0
2019-01-16,27.2667,27.7259,26.9945,27.4453,1622543.0
2019-01-17,27.2326,28.2022,27.2326,27.9981,927695.0
2019-01-18,28.2532,28.6615,27.9981,28.4658,1007524.0
2019-01-19,28.2532,28.6615,27.9981,28.4658,1007524.0
2019-01-20,28.2532,28.6615,27.9981,28.4658,1007524.0
2019-01-21,28.2532,28.6615,27.9981,28.4658,1007524.0
2019-01-22,28.1171,28.2957,27.5728,27.6579,978553.0
2019-01-23,27.7344,28.0916,26.8287,26.8669,1357190.0
2019-01-24,26.8924,27.054,25.7911,26.059,1533084.0
2019-01-25,26.3651,27.2241,25.9484,26.6543,1350253.0
2019-01-26,26.3651,27.2241,25.9484,26.6543,1350253.0
2019-01-27,26.3651,27.2241,25.9484,26.6543,1350253.0
2019-01-28,26.3311,26.3907,25.5444,25.7273,1391224.0
2019-01-29,25.7698,25.9782,25.2935,25.6592,1901612.0
2019-01-30,26.0334,27.879,25.6422,27.4112,2715422.0
2019-01-31,27.845,28.6104,27.3432,27.6494,2196661.0
2019-02-01,27.8705,28.0576,26.8584,27.1476,1321782.0
2019-02-02,27.8705,28.0576,26.8584,27.1476,1321782.0
2019-02-03,27.8705,28.0576,26.8584,27.1476,1321782.0
2019-02-04,27.02,27.1731,26.5607,27.1731,1292101.0
2019-02-05,27.2156,28.1342,27.1476,28.0491,1013061.0
2019-02-06,28.1171,28.6359,27.9215,28.3893,786749.0
2019-02-07,28.3893,28.755,27.5898,27.6834,1271163.0
2019-02-08,27.5133,27.9385,26.7819,27.3177,1032728.0
2019-02-09,27.5133,27.9385,26.7819,27.3177,1032728.0
2019-02-10,27.5133,27.9385,26.7819,27.3177,1032728.0
2019-02-11,27.3857,28.1767,27.0625,27.8705,1100490.0
2019-02-12,28.2532,28.5764,27.9861,28.1512,1431197.0
2019-02-13,28.1342,28.9846,28.1342,28.5764,1086923.0
2019-02-14,28.6019,29.5034,28.2787,29.2398,1542511.0
2019-02-15,29.4779,29.7671,29.3504,29.648,1072091.0
2019-02-16,29.4779,29.7671,29.3504,29.648,1072091.0
2019-02-17,29.4779,29.7671,29.3504,29.648,1072091.0
2019-02-18,29.4779,29.7671,29.3504,29.648,1072091.0
2019-02-19,29.597,29.9978,29.2143,29.648,1484961.0
2019-02-20,30.5325,31.8338,29.8096,31.5446,3369083.0
2019-02-21,31.5531,32.6758,30.6176,30.7707,2526143.0
2019-02-22,30.9918,31.5786,30.8132,31.4,1492696.0
2019-02-23,30.9918,31.5786,30.8132,31.4,1492696.0
2019-02-24,30.9918,31.5786,30.8132,31.4,1492696.0
2019-02-25,31.4681,31.6977,30.9748,31.6552,1865136.0
2019-02-26,31.9528,32.3186,31.4766,31.6041,1319140.0
2019-02-27,31.6126,31.6297,30.7196,30.7537,1049532.0
2019-02-28,30.8387,30.8387,30.0648,30.0903,887995.0
2019-03-01,30.3709,30.9323,30.2093,30.9152,1096698.0
2019-03-02,30.3709,30.9323,30.2093,30.9152,1096698.0
2019-03-03,30.3709,30.9323,30.2093,30.9152,1096698.0
2019-03-04,30.9924,31.1209,29.9384,30.4354,1356669.0
2019-03-05,30.4868,30.6582,30.0365,30.384,998827.0
2019-03-06,30.324,30.6753,29.8956,30.1612,1406400.0
2019-03-07,30.2469,30.2469,29.0302,29.3386,1282290.0
2019-03-08,28.9359,28.9359,27.8477,28.3704,1302044.0
2019-03-09,28.9359,28.9359,27.8477,28.3704,1302044.0
2019-03-10,28.9359,28.9359,27.8477,28.3704,1302044.0
2019-03-11,28.6018,29.5529,28.439,29.2187,1180433.0
2019-03-12,29.2701,29.9042,29.073,29.8785,1018408.0
2019-03-13,30.0327,30.7439,29.8271,30.3069,1125693.0
2019-03-14,30.4011,30.5382,29.9984,30.3754,985600.0
2019-03-15,30.4526,31.2837,30.3069,30.6239,2552979.0
2019-03-16,30.4526,31.2837,30.3069,30.6239,2552979.0
2019-03-17,30.4526,31.2837,30.3069,30.6239,2552979.0
2019-03-18,30.7353,31.2494,30.3926,31.0695,1151817.0
2019-03-19,31.4465,31.7807,30.6668,30.8124,1066320.0
2019-03-20,30.761,31.138,30.0755,30.6668,1322352.0
2019-03-21,30.5554,31.6093,30.5015,31.575,1229257.0
2019-03-22,31.3008,31.3951,29.8442,30.5211,1161432.0
2019-03-23,31.3008,31.3951,29.8442,30.5211,1161432.0
2019-03-24,31.3008,31.3951,29.8442,30.5211,1161432.0
2019-03-25,30.384,31.0609,30.1355,30.5382,1210099.0
2019-03-26,30.6753,31.4551,30.6753,31.318,1348585.0
2019-03-27,31.1894,32.012,31.0781,31.7378,966214.0
2019-03-28,31.7892,32.0891,31.258,31.6264,1427580.0
2019-03-29,31.9606,32.3034,30.9838,31.2066,1009620.0
2019-03-30,31.9606,32.3034,30.9838,31.2066,1009620.0
2019-03-31,31.9606,32.3034,30.9838,31.2066,1009620.0
2019-04-01,31.5493,31.6779,31.0952,31.6179,718711.0
2019-04-02,31.5065,31.5836,30.9324,31.3437,789855.0
2019-04-03,31.5579,31.9863,31.2923,31.6693,856280.0
2019-04-04,31.7207,32.5604,31.6007,32.449,1361114.0
2019-04-05,32.4405,33.5458,32.389,33.5458,1472096.0
2019-04-06,32.4405,33.5458,32.389,33.5458,1472096.0
2019-04-07,32.4405,33.5458,32.389,33.5458,1472096.0
2019-04-08,33.6058,33.6658,31.6521,32.0292,1716536.0
2019-04-09,31.8921,31.9178,30.8466,30.8896,1130601.0
2019-04-10,31.1552,32.569,30.941,32.4405,1357509.0
2019-04-11,32.1834,33.5115,32.1191,33.1688,1703488.0
2019-04-12,33.5886,33.9142,32.886,33.5201,1216905.0
2019-04-13,33.5886,33.9142,32.886,33.5201,1216905.0
2019-04-14,33.5886,33.9142,32.886,33.5201,1216905.0
2019-04-15,33.4515,33.4601,31.815,32.1406,1057923.0
2019-04-16,31.5236,32.0634,30.9153,31.6607,1253274.0
2019-04-17,31.8235,32.5818,31.4165,32.2348,857198.0
2019-04-18,32.3291,32.9374,31.8749,31.9692,931689.0
2019-04-19,32.3291,32.9374,31.8749,31.9692,931689.0
2019-04-20,32.3291,32.9374,31.8749,31.9692,931689.0
2019-04-21,32.3291,32.9374,31.8749,31.9692,931689.0
2019-04-22,32.2605,32.7918,31.9263,32.7318,1035470.0
2019-04-23,32.7575,33.3487,32.4747,33.0231,930187.0
2019-04-24,33.2031,33.3059,32.3976,32.4405,947481.0
2019-04-25,32.4405,33.8114,32.0891,32.9803,990687.0
2019-04-26,32.7061,32.7061,31.6693,32.5176,749810.0
2019-04-27,32.7061,32.7061,31.6693,32.5176,749810.0
2019-04-28,32.7061,32.7061,31.6693,32.5176,749810.0
2019-04-29,32.132,32.4319,31.6864,32.0977,1341160.0
2019-04-30,32.3548,32.555,31.695,31.755,1241005.0
2019-05-01,31.8664,32.3633,30.6411,30.6582,1389105.0
2019-05-02,30.6325,31.1637,29.6257,30.0413,1070688.0
2019-05-03,30.4183,31.0524,30.3069,30.8467,975792.0
2019-05-04,30.4183,31.0524,30.3069,30.8467,975792.0
2019-05-05,30.4183,31.0524,30.3069,30.8467,975792.0
2019-05-06,32.132,33.2545,31.3094,33.0145,3190751.0
2019-05-07,32.4233,32.9803,31.4551,32.8689,2087052.0
2019-05-08,32.7061,32.8774,31.5922,31.6264,1797175.0
2019-05-09,31.3437,31.9263,30.5725,31.4979,987957.0
2019-05-10,31.5408,31.9263,30.6582,31.7807,785696.0
2019-05-11,31.5408,31.9263,30.6582,31.7807,785696.0
2019-05-12,31.5408,31.9263,30.6582,31.7807,785696.0
2019-05-13,31.1209,31.5707,29.5357,29.6728,1487274.0
2019-05-14,29.9984,30.6239,29.6385,30.6154,1074909.0
2019-05-15,30.5297,31.0009,30.264,30.6582,725502.0
2019-05-16,30.9238,32.3376,30.8981,32.1406,1189491.0
2019-05-17,31.8298,32.4859,31.4499,31.4586,825405.0
2019-05-18,31.8298,32.4859,31.4499,31.4586,825405.0
2019-05-19,31.8298,32.4859,31.4499,31.4586,825405.0
2019-05-20,31.1564,31.5708,30.8802,31.4413,751738.0
2019-05-21,31.9679,32.4857,31.5967,32.2614,844369.0
2019-05-22,31.9334,32.2614,30.742,31.2168,1122771.0
2019-05-23,30.5003,30.6902,28.6787,28.8255,1596966.0
2019-05-24,29.0759,29.5766,28.6874,29.5248,1198842.0
2019-05-25,29.0759,29.5766,28.6874,29.5248,1198842.0
2019-05-26,29.0759,29.5766,28.6874,29.5248,1198842.0
2019-05-27,29.0759,29.5766,28.6874,29.5248,1198842.0
2019-05-28,29.732,29.9737,28.86,28.9118,1029081.0
2019-05-29,28.437,28.7996,28.2385,28.4629,1016212.0
2019-05-30,28.1953,28.8082,27.0385,27.332,1302081.0
2019-05-31,26.6586,27.0816,25.8989,26.4255,1694812.0
2019-06-01,26.6586,27.0816,25.8989,26.4255,1694812.0
2019-06-02,26.6586,27.0816,25.8989,26.4255,1694812.0
