,AEO US Equity,AEO US Equity,AEO US Equity,AEO US Equity,AEO US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,16.8811,17.111,16.7662,17.0934,2759461.0
2019-01-02,16.7662,17.4471,16.722,17.1995,4486203.0
2019-01-03,17.0049,17.1332,16.5363,16.89,4180999.0
2019-01-04,17.111,17.2525,16.8104,16.9519,4577150.0
2019-01-05,17.111,17.2525,16.8104,16.9519,4577150.0
2019-01-06,17.111,17.2525,16.8104,16.9519,4577150.0
2019-01-07,17.111,17.7831,16.8811,17.5178,4401362.0
2019-01-08,17.5532,17.6593,16.7839,17.4648,3573066.0
2019-01-09,17.6063,17.8804,17.4029,17.4913,6170627.0
2019-01-10,16.6512,17.1906,16.3682,16.9519,7315582.0
2019-01-11,16.8634,17.6151,16.8369,17.4206,4120971.0
2019-01-12,16.8634,17.6151,16.8369,17.4206,4120971.0
2019-01-13,16.8634,17.6151,16.8369,17.4206,4120971.0
2019-01-14,17.2967,18.2938,17.1093,17.5355,7559994.0
2019-01-15,17.4825,17.5797,17.0757,17.4559,3199456.0
2019-01-16,17.677,17.7831,17.3012,17.5974,4095503.0
2019-01-17,17.6063,17.9158,17.4382,17.7301,2622104.0
2019-01-18,17.8273,18.464,17.6505,18.2695,4537128.0
2019-01-19,17.8273,18.464,17.6505,18.2695,4537128.0
2019-01-20,17.8273,18.464,17.6505,18.2695,4537128.0
2019-01-21,17.8273,18.464,17.6505,18.2695,4537128.0
2019-01-22,18.1103,18.2783,17.8052,17.9777,3326849.0
2019-01-23,18.0484,18.128,17.5886,17.8715,3076159.0
2019-01-24,17.8981,17.9821,17.6858,17.8804,2338679.0
2019-01-25,18.1457,18.7028,17.9511,18.6586,3661472.0
2019-01-26,18.1457,18.7028,17.9511,18.6586,3661472.0
2019-01-27,18.1457,18.7028,17.9511,18.6586,3661472.0
2019-01-28,18.4994,18.7735,18.411,18.632,2886605.0
2019-01-29,18.6232,18.7028,18.1899,18.5613,2466365.0
2019-01-30,18.6497,18.8354,18.5171,18.7558,2022682.0
2019-01-31,18.7558,18.8796,18.5436,18.6762,2981670.0
2019-02-01,18.6762,18.7293,18.3225,18.5082,3559484.0
2019-02-02,18.6762,18.7293,18.3225,18.5082,3559484.0
2019-02-03,18.6762,18.7293,18.3225,18.5082,3559484.0
2019-02-04,18.5259,18.8885,18.3491,18.8354,2285450.0
2019-02-05,18.9769,19.2908,18.8,19.1449,2955116.0
2019-02-06,19.1272,19.1936,18.8619,19.1361,2081970.0
2019-02-07,19.03,19.0919,18.7912,19.0123,2238392.0
2019-02-08,18.9592,19.1449,18.7735,18.8177,1547521.0
2019-02-09,18.9592,19.1449,18.7735,18.8177,1547521.0
2019-02-10,18.9592,19.1449,18.7735,18.8177,1547521.0
2019-02-11,18.8531,19.0476,18.6851,18.915,2476878.0
2019-02-12,18.9062,19.0963,18.4021,18.4463,3438024.0
2019-02-13,18.4286,18.5701,17.7654,18.181,3920898.0
2019-02-14,18.0219,18.0749,17.7389,17.7743,3186595.0
2019-02-15,17.845,18.0705,17.7124,17.7477,3269227.0
2019-02-16,17.845,18.0705,17.7124,17.7477,3269227.0
2019-02-17,17.845,18.0705,17.7124,17.7477,3269227.0
2019-02-18,17.845,18.0705,17.7124,17.7477,3269227.0
2019-02-19,17.7035,17.8804,17.4029,17.5532,3701985.0
2019-02-20,17.5532,17.7743,17.5001,17.6151,2843091.0
2019-02-21,17.6593,17.7743,17.3233,17.3852,2175515.0
2019-02-22,17.4736,17.7033,17.3233,17.6505,2338020.0
2019-02-23,17.4736,17.7033,17.3233,17.6505,2338020.0
2019-02-24,17.4736,17.7033,17.3233,17.6505,2338020.0
2019-02-25,17.7566,17.9688,17.562,17.5886,2890246.0
2019-02-26,17.5797,17.9158,17.3719,17.4382,2963316.0
2019-02-27,17.4382,17.9246,17.4029,17.8627,3898525.0
2019-02-28,17.8362,18.1457,17.593,18.0396,4163958.0
2019-03-01,18.579,18.9415,18.2606,18.2695,4736577.0
2019-03-02,18.579,18.9415,18.2606,18.2695,4736577.0
2019-03-03,18.579,18.9415,18.2606,18.2695,4736577.0
2019-03-04,18.2783,18.4198,17.9688,18.0042,3226355.0
2019-03-05,18.2164,18.2164,17.9953,18.0661,3635817.0
2019-03-06,18.4375,19.0858,18.2164,18.8531,10142311.0
2019-03-07,18.2606,19.0123,18.0484,18.7824,7581324.0
2019-03-08,18.6497,18.6497,17.4294,17.845,6975326.0
2019-03-09,18.6497,18.6497,17.4294,17.845,6975326.0
2019-03-10,18.6497,18.6497,17.4294,17.845,6975326.0
