,GWW US Equity,GWW US Equity,GWW US Equity,GWW US Equity,GWW US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,260.026,262.934,257.848,260.635,460403.0
2019-01-02,257.432,258.374,253.463,255.3,789243.0
2019-01-03,254.22,255.596,245.839,247.417,891310.0
2019-01-04,251.82,259.814,251.091,257.654,529475.0
2019-01-05,251.82,259.814,251.091,257.654,529475.0
2019-01-06,251.82,259.814,251.091,257.654,529475.0
2019-01-07,257.599,261.143,252.642,255.808,658056.0
2019-01-08,256.131,259.168,249.605,257.516,865249.0
2019-01-09,254.774,261.226,252.48,258.466,606706.0
2019-01-10,257.636,262.675,255.143,262.602,413763.0
2019-01-11,262.26,263.294,259.749,262.611,287189.0
2019-01-12,262.26,263.294,259.749,262.611,287189.0
2019-01-13,262.26,263.294,259.749,262.611,287189.0
2019-01-14,260.857,263.105,259.509,259.574,408659.0
2019-01-15,264.909,272.589,260.94,270.66,692410.0
2019-01-16,270.854,272.58,266.358,266.589,579637.0
2019-01-17,266.792,277.86,266.792,276.254,802810.0
2019-01-18,279.023,285.152,278.257,281.894,688728.0
2019-01-19,279.023,285.152,278.257,281.894,688728.0
2019-01-20,279.023,285.152,278.257,281.894,688728.0
2019-01-21,279.023,285.152,278.257,281.894,688728.0
2019-01-22,280.26,282.429,275.552,277.481,561727.0
2019-01-23,278.792,281.774,273.051,274.297,1039619.0
2019-01-24,266.026,272.303,259.114,264.198,1596420.0
2019-01-25,265.749,269.497,263.165,269.377,825013.0
2019-01-26,265.749,269.497,263.165,269.377,825013.0
2019-01-27,265.749,269.497,263.165,269.377,825013.0
2019-01-28,266.958,268.685,264.771,266.7,432785.0
2019-01-29,267.974,273.429,266.082,273.374,423732.0
2019-01-30,276.004,276.004,268.472,273.3,673645.0
2019-01-31,272.829,274.897,269.377,272.663,654129.0
2019-02-01,272.801,275.949,269.008,269.977,428812.0
2019-02-02,272.801,275.949,269.008,269.977,428812.0
2019-02-03,272.801,275.949,269.008,269.977,428812.0
2019-02-04,270.18,275.986,268.971,275.635,307241.0
2019-02-05,275.589,277.094,272.898,276.909,357602.0
2019-02-06,276.438,282.12,275.737,280.167,409275.0
2019-02-07,278.312,282.918,277.583,279.743,391686.0
2019-02-08,279.187,280.346,276.85,278.565,362108.0
2019-02-09,279.187,280.346,276.85,278.565,362108.0
2019-02-10,279.187,280.346,276.85,278.565,362108.0
2019-02-11,280.04,284.972,279.706,284.509,368771.0
2019-02-12,286.326,291.954,285.529,289.775,488698.0
2019-02-13,290.61,291.676,284.778,290.508,399259.0
2019-02-14,288.811,291.811,286.475,289.117,296006.0
2019-02-15,292.075,293.679,289.701,293.577,328073.0
2019-02-16,292.075,293.679,289.701,293.577,328073.0
2019-02-17,292.075,293.679,289.701,293.577,328073.0
2019-02-18,292.075,293.679,289.701,293.577,328073.0
2019-02-19,292.65,293.827,291.287,291.75,293045.0
2019-02-20,291.231,291.231,286.68,288.403,477198.0
2019-02-21,289.21,290.383,285.853,287.059,361890.0
2019-02-22,287.504,289.831,286.957,289.636,232181.0
2019-02-23,287.504,289.831,286.957,289.636,232181.0
2019-02-24,287.504,289.831,286.957,289.636,232181.0
2019-02-25,290.962,292.103,288.412,288.718,356054.0
2019-02-26,289.377,289.757,286.011,286.094,262599.0
2019-02-27,284.741,288.57,284.741,288.477,350586.0
2019-02-28,288.042,289.08,282.348,282.59,337901.0
2019-03-01,286.271,287.481,277.675,280.513,631782.0
2019-03-02,286.271,287.481,277.675,280.513,631782.0
2019-03-03,286.271,287.481,277.675,280.513,631782.0
2019-03-04,281.338,284.657,278.816,280.596,404818.0
2019-03-05,281.551,281.653,278.806,279.372,425880.0
2019-03-06,280.003,283.109,278.167,280.438,312806.0
2019-03-07,278.844,279.873,274.291,276.034,329004.0
2019-03-08,274.059,274.745,269.998,272.047,356998.0
2019-03-09,274.059,274.745,269.998,272.047,356998.0
2019-03-10,274.059,274.745,269.998,272.047,356998.0
2019-03-11,270.359,274.105,269.219,273.521,218500.0
2019-03-12,274.189,274.597,271.769,273.874,308923.0
2019-03-13,275.237,278.769,274.745,277.694,400973.0
2019-03-14,277.861,277.861,273.957,275.876,383854.0
2019-03-15,275.756,278.157,274.708,275.552,444181.0
2019-03-16,275.756,278.157,274.708,275.552,444181.0
2019-03-17,275.756,278.157,274.708,275.552,444181.0
2019-03-18,275.793,280.336,275.793,280.077,247836.0
2019-03-19,281.996,282.024,277.175,277.74,347895.0
2019-03-20,277.722,281.894,274.052,276.331,235341.0
2019-03-21,276.303,283.368,276.09,282.784,310194.0
2019-03-22,281.792,281.792,271.073,271.222,446335.0
2019-03-23,281.792,281.792,271.073,271.222,446335.0
2019-03-24,281.792,281.792,271.073,271.222,446335.0
2019-03-25,270.628,271.899,267.17,268.524,308533.0
2019-03-26,270.675,270.675,265.723,268.273,421432.0
2019-03-27,269.015,270.897,266.604,268.894,367293.0
2019-03-28,270.128,274.18,268.932,272.399,384210.0
2019-03-29,274.43,279.641,273.327,279.029,427660.0
2019-03-30,274.43,279.641,273.327,279.029,427660.0
2019-03-31,274.43,279.641,273.327,279.029,427660.0
2019-04-01,279.558,288.765,279.558,288.607,509324.0
2019-04-02,288.292,290.517,286.122,288.616,441956.0
2019-04-03,289.998,291.797,287.828,288.904,389361.0
2019-04-04,288.366,292.539,288.366,290.814,304405.0
2019-04-05,291.139,295.691,290.772,293.466,410190.0
2019-04-06,291.139,295.691,290.772,293.466,410190.0
2019-04-07,291.139,295.691,290.772,293.466,410190.0
2019-04-08,292.483,293.475,291.343,292.038,313232.0
2019-04-09,291.454,291.454,282.877,283.062,339432.0
2019-04-10,278.157,282.08,275.385,281.106,497201.0
2019-04-11,283.73,290.462,283.73,286.502,415652.0
2019-04-12,284.194,285.83,280.54,282.673,687699.0
2019-04-13,284.194,285.83,280.54,282.673,687699.0
2019-04-14,284.194,285.83,280.54,282.673,687699.0
2019-04-15,282.682,283.888,281.329,282.608,292523.0
2019-04-16,283.693,284.662,280.684,283.73,301933.0
2019-04-17,286.02,287.703,283.081,285.881,314847.0
2019-04-18,286.391,289.117,284.194,285.751,520743.0
2019-04-19,286.391,289.117,284.194,285.751,520743.0
2019-04-20,286.391,289.117,284.194,285.751,520743.0
2019-04-21,286.391,289.117,284.194,285.751,520743.0
2019-04-22,280.707,285.584,268.533,270.016,881896.0
2019-04-23,267.29,272.39,264.787,271.852,633857.0
2019-04-24,271.862,274.699,270.842,272.937,584329.0
2019-04-25,271.926,273.883,267.81,273.531,468833.0
2019-04-26,273.484,274.569,269.822,270.665,280701.0
2019-04-27,273.484,274.569,269.822,270.665,280701.0
2019-04-28,273.484,274.569,269.822,270.665,280701.0
2019-04-29,270.944,272.001,263.897,264.119,566743.0
2019-04-30,263.581,264.815,260.336,261.477,1038169.0
2019-05-01,262.747,263.563,254.485,254.856,594872.0
2019-05-02,254.254,260.281,254.059,258.649,466574.0
2019-05-03,260.8,263.715,260.169,262.914,556299.0
2019-05-04,260.8,263.715,260.169,262.914,556299.0
2019-05-05,260.8,263.715,260.169,262.914,556299.0
2019-05-06,256.599,259.511,254.189,258.982,499529.0
2019-05-07,256.219,257.193,251.806,256.34,601973.0
2019-05-08,256.145,258.5,253.929,256.442,378386.0
2019-05-09,253.261,254.699,248.171,253.54,490498.0
2019-05-10,252.225,254.462,248.161,249.522,456630.0
2019-05-11,252.225,254.462,248.161,249.522,456630.0
2019-05-12,252.225,254.462,248.161,249.522,456630.0
2019-05-13,245.197,246.169,241.152,242.345,687590.0
2019-05-14,243.128,245.094,241.674,244.274,354613.0
2019-05-15,242.065,245.108,240.881,244.023,363361.0
2019-05-16,245.104,248.31,243.566,245.952,310802.0
2019-05-17,245.225,253.801,245.076,248.972,659248.0
2019-05-18,245.225,253.801,245.076,248.972,659248.0
2019-05-19,245.225,253.801,245.076,248.972,659248.0
2019-05-20,247.21,252.99,247.024,252.346,494432.0
2019-05-21,253.54,256.345,253.54,253.847,408746.0
2019-05-22,252.067,253.251,241.273,241.506,723909.0
2019-05-23,239.147,245.589,238.052,243.212,561155.0
2019-05-24,244.2,245.393,237.777,241.012,403842.0
2019-05-25,244.2,245.393,237.777,241.012,403842.0
2019-05-26,244.2,245.393,237.777,241.012,403842.0
2019-05-27,244.2,245.393,237.777,241.012,403842.0
2019-05-28,241.049,243.519,240.881,241.795,483518.0
2019-05-29,241.813,246.26,240.821,244.004,531087.0
2019-05-30,243.892,248.618,242.751,246.633,737978.0
2019-05-31,243.901,245.178,241.552,243.929,493912.0
2019-06-01,243.901,245.178,241.552,243.929,493912.0
2019-06-02,243.901,245.178,241.552,243.929,493912.0
2019-06-03,244.088,246.316,242.578,245.02,552998.0
2019-06-04,247.471,251.703,246.828,251.2,470613.0
2019-06-05,252.598,254.602,247.676,250.892,328015.0
2019-06-06,251.014,251.983,246.106,247.807,402807.0
2019-06-07,249.503,254.388,248.879,252.719,413692.0
2019-06-08,249.503,254.388,248.879,252.719,413692.0
2019-06-09,249.503,254.388,248.879,252.719,413692.0
2019-06-10,253.288,256.97,252.011,256.504,479656.0
2019-06-11,256.243,257.688,251.33,255.795,819453.0
2019-06-12,256.709,258.829,255.143,256.383,447203.0
2019-06-13,256.168,260.903,256.168,260.773,305690.0
2019-06-14,259.608,259.608,249.559,253.875,426731.0
2019-06-15,259.608,259.608,249.559,253.875,426731.0
2019-06-16,259.608,259.608,249.559,253.875,426731.0
2019-06-17,253.651,256.271,251.349,253.95,447017.0
2019-06-18,255.646,259.729,252.719,253.418,417402.0
2019-06-19,252.393,256.327,249.997,255.572,453786.0
2019-06-20,259.449,260.26,253.791,258.014,394550.0
2019-06-21,256.727,258.368,253.288,255.422,638300.0
2019-06-22,256.727,258.368,253.288,255.422,638300.0
2019-06-23,256.727,258.368,253.288,255.422,638300.0
2019-06-24,255.544,259.132,252.533,252.635,381597.0
2019-06-25,252.859,253.661,249.28,249.401,473601.0
2019-06-26,250.78,251.88,246.856,248.32,360902.0
2019-06-27,249.056,249.811,247.257,248.068,416211.0
2019-06-28,249.093,251.014,246.651,250.025,564471.0
2019-06-29,249.093,251.014,246.651,250.025,564471.0
2019-06-30,249.093,251.014,246.651,250.025,564471.0
2019-07-01,251.237,254.434,247.863,249.149,537578.0
2019-07-02,248.655,249.653,245.616,247.154,369843.0
2019-07-03,247.089,250.547,247.089,250.538,217628.0
2019-07-04,247.089,250.547,247.089,250.538,217628.0
2019-07-05,249.522,251.787,246.549,251.237,256787.0
2019-07-06,249.522,251.787,246.549,251.237,256787.0
2019-07-07,249.522,251.787,246.549,251.237,256787.0
2019-07-08,249.354,251.526,247.481,247.844,266873.0
2019-07-09,247.052,249.792,244.339,248.59,532862.0
2019-07-10,248.171,248.916,240.303,240.993,780622.0
2019-07-11,240.508,245.458,238.7,244.973,532310.0
2019-07-12,245.905,252.449,245.905,250.93,469442.0
2019-07-13,245.905,252.449,245.905,250.93,469442.0
2019-07-14,245.905,252.449,245.905,250.93,469442.0
2019-07-15,251.563,254.434,250.715,252.868,309461.0
2019-07-16,253.763,257.977,252.705,254.388,446956.0
2019-07-17,253.53,254.145,250.24,250.743,399673.0
2019-07-18,251.153,252.458,248.637,250.426,368316.0
2019-07-19,251.517,254.691,248.963,249.084,439396.0
2019-07-20,251.517,254.691,248.963,249.084,439396.0
2019-07-21,251.517,254.691,248.963,249.084,439396.0
2019-07-22,250.594,253.698,249.811,251.135,513896.0
2019-07-23,252.729,260.242,252.216,259.859,664243.0
2019-07-24,265.061,284.151,265.061,283.433,1675801.0
2019-07-25,284.058,284.57,275.901,279.76,902342.0
2019-07-26,279.751,283.908,279.033,279.453,504705.0
2019-07-27,279.751,283.908,279.033,279.453,504705.0
2019-07-28,279.751,283.908,279.033,279.453,504705.0
2019-07-29,279.08,279.08,271.371,271.763,502915.0
2019-07-30,270.551,276.908,270.318,276.582,427945.0
2019-07-31,276.451,278.782,268.808,271.278,568516.0
2019-08-01,271.763,273.571,257.986,258.806,674888.0
2019-08-02,257.827,259.897,253.903,257.632,468274.0
2019-08-03,257.827,259.897,253.903,257.632,468274.0
2019-08-04,257.827,259.897,253.903,257.632,468274.0
2019-08-05,253.67,254.714,248.702,250.585,569240.0
2019-08-06,253.092,255.497,249.448,251.657,541074.0
2019-08-07,247.993,256.522,246.875,255.683,673449.0
2019-08-08,256.401,258.387,255.283,257.902,357634.0
2019-08-09,256.74,257.771,250.875,251.455,374512.0
2019-08-10,256.74,257.771,250.875,251.455,374512.0
2019-08-11,256.74,257.771,250.875,251.455,374512.0
2019-08-12,249.919,250.247,245.674,246.789,346910.0
2019-08-13,244.831,254.613,244.077,251.324,561626.0
2019-08-14,247.37,248.757,246.068,247.698,470614.0
2019-08-15,248.626,249.956,246.939,248.129,525038.0
2019-08-16,250.593,253.479,248.822,252.299,376678.0
2019-08-17,250.593,253.479,248.822,252.299,376678.0
2019-08-18,250.593,253.479,248.822,252.299,376678.0
2019-08-19,255.494,258.82,255.494,258.043,300992.0
2019-08-20,257.893,259.542,254.613,254.932,351786.0
2019-08-21,258.015,261.107,257.209,257.509,286251.0
2019-08-22,258.314,258.352,254.435,255.672,318189.0
2019-08-23,254.276,254.37,247.979,249.263,373779.0
2019-08-24,254.276,254.37,247.979,249.263,373779.0
2019-08-25,254.276,254.37,247.979,249.263,373779.0
2019-08-26,252.561,253.339,249.029,250.622,234761.0
2019-08-27,252.87,252.87,246.321,248.654,239570.0
2019-08-28,248.363,252.749,246.433,251.474,258206.0
2019-08-29,254.323,256.984,253.039,256.14,231910.0
2019-08-30,258.174,260.352,255.672,256.412,228336.0
2019-08-31,258.174,260.352,255.672,256.412,228336.0
2019-09-01,258.174,260.352,255.672,256.412,228336.0
2019-09-02,258.174,260.352,255.672,256.412,228336.0
2019-09-03,254.416,254.416,247.215,249.338,362078.0
2019-09-04,251.418,254.37,250.762,251.277,213779.0
2019-09-05,253.835,262.372,253.835,259.345,316119.0
2019-09-06,261.678,263.58,258.755,260.694,294998.0
2019-09-07,261.678,263.58,258.755,260.694,294998.0
2019-09-08,261.678,263.58,258.755,260.694,294998.0
2019-09-09,262.072,268.35,261.978,267.891,422239.0
2019-09-10,264.574,273.147,262.887,272.416,432572.0
2019-09-11,273.766,278.779,271.995,276.417,333210.0
2019-09-12,276.352,277.354,272.772,275.106,315550.0
2019-09-13,275.865,279.678,275.865,276.942,341763.0
2019-09-14,275.865,279.678,275.865,276.942,341763.0
2019-09-15,275.865,279.678,275.865,276.942,341763.0
2019-09-16,276.164,278.76,274.04,277.176,234142.0
2019-09-17,275.452,275.921,270.73,273.269,324269.0
2019-09-18,272.341,274.74,270.43,274.056,285783.0
2019-09-19,273.391,276.164,272.22,273.756,304681.0
2019-09-20,274.928,276.094,271.358,273.775,539037.0
2019-09-21,274.928,276.094,271.358,273.775,539037.0
2019-09-22,274.928,276.094,271.358,273.775,539037.0
2019-09-23,271.695,275.026,271.423,272.735,392957.0
2019-09-24,273.466,273.616,266.035,268.509,298610.0
2019-09-25,269.455,274.225,268.172,272.772,285788.0
2019-09-26,272.22,276.286,270.52,275.124,272897.0
2019-09-27,276.417,277.35,273.531,276.408,261904.0
2019-09-28,276.417,277.35,273.531,276.408,261904.0
2019-09-29,276.417,277.35,273.531,276.408,261904.0
2019-09-30,275.537,278.966,274.29,278.432,339685.0
2019-10-01,281.215,284.635,264.133,268.031,593860.0
2019-10-02,265.145,270.57,261.219,269.09,560301.0
2019-10-03,268.172,270.664,263.758,270.505,365241.0
2019-10-04,271.732,273.616,270.425,272.866,258450.0
2019-10-05,271.732,273.616,270.425,272.866,258450.0
2019-10-06,271.732,273.616,270.425,272.866,258450.0
2019-10-07,271.751,273.953,270.205,270.767,305653.0
2019-10-08,267.862,270.102,261.65,264.414,369679.0
2019-10-09,267.535,268.528,264.723,266.101,211953.0
2019-10-10,265.942,271.92,265.942,270.524,326564.0
2019-10-11,284.85,291.794,282.976,285.975,883032.0
2019-10-12,284.85,291.794,282.976,285.975,883032.0
2019-10-13,284.85,291.794,282.976,285.975,883032.0
2019-10-14,282.911,289.217,282.625,286.79,456376.0
2019-10-15,286.79,291.185,285.155,287.98,332649.0
2019-10-16,287.521,290.735,287.521,288.467,205451.0
