,BMY US Equity,BMY US Equity,BMY US Equity,BMY US Equity,BMY US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,42.4829,43.2614,42.4496,43.2399,7369838.0
2019-01-02,42.7075,43.9553,42.7075,43.6142,8441328.0
2019-01-03,39.3383,39.9252,37.1417,37.8292,80351632.0
2019-01-04,38.4622,39.8665,38.4496,39.3132,47515833.0
2019-01-05,38.4622,39.8665,38.4496,39.3132,47515833.0
2019-01-06,38.4622,39.8665,38.4496,39.3132,47515833.0
2019-01-07,39.4389,40.8642,38.8688,40.5876,26804967.0
2019-01-08,40.8978,40.9816,39.4054,40.2354,16415905.0
2019-01-09,40.2438,40.2438,39.1874,39.5563,19719819.0
2019-01-10,39.4725,40.2522,38.9191,40.0091,24947805.0
2019-01-11,39.8246,40.2606,39.4892,40.2354,12470922.0
2019-01-12,39.8246,40.2606,39.4892,40.2354,12470922.0
2019-01-13,39.8246,40.2606,39.4892,40.2354,12470922.0
2019-01-14,40.4953,40.554,39.8917,40.2187,18296196.0
2019-01-15,40.487,41.7781,40.2438,41.6859,23116884.0
2019-01-16,41.6272,42.1344,41.1661,41.1912,14961179.0
2019-01-17,41.2164,41.8242,40.6385,41.5853,21202466.0
2019-01-18,41.7362,42.1973,41.0319,42.0212,20409896.0
2019-01-19,41.7362,42.1973,41.0319,42.0212,20409896.0
2019-01-20,41.7362,42.1973,41.0319,42.0212,20409896.0
2019-01-21,41.7362,42.1973,41.0319,42.0212,20409896.0
2019-01-22,41.7362,41.753,41.1074,41.6859,17123095.0
2019-01-23,41.9458,42.256,41.5853,41.8871,15683461.0
2019-01-24,40.8726,42.3398,40.4953,41.099,20224516.0
2019-01-25,41.5601,42.0045,40.6295,41.0235,19652678.0
2019-01-26,41.5601,42.0045,40.6295,41.0235,19652678.0
2019-01-27,41.5601,42.0045,40.6295,41.0235,19652678.0
2019-01-28,40.8055,40.9397,40.3612,40.5121,9723454.0
2019-01-29,40.4953,40.7888,40.1432,40.5121,10883116.0
2019-01-30,40.8978,41.2583,40.3947,40.9648,10567542.0
2019-01-31,41.1577,41.5434,40.8005,41.3924,12945464.0
2019-02-01,41.0906,41.9542,40.7301,41.8284,18512250.0
2019-02-02,41.0906,41.9542,40.7301,41.8284,18512250.0
2019-02-03,41.0906,41.9542,40.7301,41.8284,18512250.0
2019-02-04,42.6081,42.6752,41.5685,42.6333,26142066.0
2019-02-05,42.7758,42.8177,41.9961,42.0464,15028000.0
