,UNP US Equity,UNP US Equity,UNP US Equity,UNP US Equity,UNP US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,123.0746,123.4936,121.7283,123.244,2552328.0
2019-01-02,120.9437,123.3287,120.1592,122.8428,3606279.0
2019-01-03,121.2914,121.9244,117.841,118.2957,5684548.0
2019-01-04,120.2037,123.556,119.9362,122.8517,5649910.0
2019-01-05,120.2037,123.556,119.9362,122.8517,5649910.0
2019-01-06,120.2037,123.556,119.9362,122.8517,5649910.0
2019-01-07,122.4415,124.1356,121.4876,123.6184,4034159.0
2019-01-08,134.683,136.3146,132.882,134.4066,10558784.0
2019-01-09,133.9965,134.683,132.4986,134.0589,4284605.0
2019-01-10,133.6488,138.4544,132.8553,137.8927,6444580.0
2019-01-11,136.9833,138.2226,136.493,136.5999,3845187.0
2019-01-12,136.9833,138.2226,136.493,136.5999,3845187.0
2019-01-13,136.9833,138.2226,136.493,136.5999,3845187.0
2019-01-14,135.7262,137.5183,135.2091,137.2062,3507132.0
2019-01-15,137.1171,137.6253,135.2893,135.9491,4685128.0
2019-01-16,136.3325,137.0636,134.5493,135.4944,4053189.0
2019-01-17,134.7276,138.1279,134.5671,137.8749,4075415.0
2019-01-18,138.6773,141.5839,138.2048,141.1738,5004101.0
2019-01-19,138.6773,141.5839,138.2048,141.1738,5004101.0
2019-01-20,138.6773,141.5839,138.2048,141.1738,5004101.0
2019-01-21,138.6773,141.5839,138.2048,141.1738,5004101.0
2019-01-22,139.9166,140.1574,137.6659,138.2137,6052949.0
2019-01-23,138.5971,139.1053,135.9045,137.5985,4858049.0
2019-01-24,142.6895,143.3314,139.0964,142.957,9222413.0
2019-01-25,143.9555,144.437,142.85,143.5008,7771422.0
2019-01-26,143.9555,144.437,142.85,143.5008,7771422.0
2019-01-27,143.9555,144.437,142.85,143.5008,7771422.0
2019-01-28,142.6538,143.3582,142.0654,142.5647,3733764.0
2019-01-29,142.6895,143.483,141.5393,142.8054,3437012.0
2019-01-30,143.6256,144.3389,142.1545,143.3849,4112249.0
2019-01-31,143.3225,143.5365,139.9969,141.8246,7438567.0
2019-02-01,141.8246,143.113,141.1025,142.3596,4073435.0
2019-02-02,141.8246,143.113,141.1025,142.3596,4073435.0
2019-02-03,141.8246,143.113,141.1025,142.3596,4073435.0
2019-02-04,142.3596,143.6881,141.9584,143.6613,5339115.0
2019-02-05,143.3314,143.8485,142.6538,143.8129,3357119.0
2019-02-06,143.5454,144.4548,142.9213,143.3136,2379621.0
2019-02-07,142.1545,144.0803,141.6998,144.0536,3056316.0
2019-02-08,143.162,144.223,142.9054,144.1873,2986310.0
2019-02-09,143.162,144.223,142.9054,144.1873,2986310.0
2019-02-10,143.162,144.223,142.9054,144.1873,2986310.0
2019-02-11,145.07,146.7819,144.7847,146.5322,4044774.0
