,BLKB US Equity,BLKB US Equity,BLKB US Equity,BLKB US Equity,BLKB US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,78.5405,79.6677,78.5405,79.469,252765.0
2020-01-02,80.1079,80.8068,79.5788,80.7569,212927.0
2020-01-03,79.449,79.7086,77.6021,78.6204,254749.0
2020-01-04,79.449,79.7086,77.6021,78.6204,254749.0
2020-01-05,79.449,79.7086,77.6021,78.6204,254749.0
2020-01-06,77.8916,79.3492,77.8117,79.2693,251388.0
2020-01-07,78.9299,79.5688,77.4224,77.7119,205540.0
2020-01-08,77.9016,78.86,77.5921,77.9814,270629.0
2020-01-09,78.83,79.8683,78.3908,79.2094,277396.0
2020-01-10,79.429,79.7286,78.4007,78.5804,191805.0
2020-01-11,79.429,79.7286,78.4007,78.5804,191805.0
2020-01-12,79.429,79.7286,78.4007,78.5804,191805.0
2020-01-13,78.4706,80.4374,78.2111,80.4224,217706.0
2020-01-14,80.038,80.8467,79.4191,79.8783,191001.0
2020-01-15,79.7485,80.8467,79.4889,79.8284,223736.0
2020-01-16,80.5772,82.6138,80.5772,81.9549,315715.0
2020-01-17,82.6238,82.6238,81.4657,81.6454,181860.0
2020-01-18,82.6238,82.6238,81.4657,81.6454,181860.0
2020-01-19,82.6238,82.6238,81.4657,81.6454,181860.0
2020-01-20,82.6238,82.6238,81.4657,81.6454,181860.0
2020-01-21,81.1063,82.1046,80.8267,81.7752,245304.0
2020-01-22,82.2843,83.5123,81.9349,82.0347,194785.0
2020-01-23,81.7153,81.9519,80.8367,80.8866,319930.0
2020-01-24,81.3559,81.6354,79.2993,79.8284,220060.0
2020-01-25,81.3559,81.6354,79.2993,79.8284,220060.0
2020-01-26,81.3559,81.6354,79.2993,79.8284,220060.0
2020-01-27,78.1412,81.7902,77.5625,80.9266,390043.0
2020-01-28,81.4657,81.7552,80.1978,80.7968,254485.0
2020-01-29,80.9665,80.9665,79.7485,79.7984,220376.0
2020-01-30,79.5788,80.1479,78.4207,79.9382,322098.0
2020-01-31,79.7885,80.3775,78.0014,78.2011,463586.0
2020-02-01,79.7885,80.3775,78.0014,78.2011,463586.0
2020-02-02,79.7885,80.3775,78.0014,78.2011,463586.0
2020-02-03,78.7801,79.9582,78.4007,79.3592,330721.0
2020-02-04,80.4374,80.4374,79.0996,79.1795,420127.0
2020-02-05,80.1578,80.4474,75.7052,75.9049,353091.0
2020-02-06,76.1944,78.4407,75.5654,78.4107,280116.0
2020-02-07,78.0413,79.5788,77.7518,78.1312,311904.0
2020-02-08,78.0413,79.5788,77.7518,78.1312,311904.0
2020-02-09,78.0413,79.5788,77.7518,78.1312,311904.0
2020-02-10,78.0513,78.7102,77.4723,77.612,368854.0
2020-02-11,78.3808,83.5622,78.3808,81.4158,839795.0
2020-02-12,81.6654,82.8434,78.7502,80.048,419271.0
2020-02-13,79.2394,82.3442,79.1645,81.9848,416495.0
2020-02-14,81.4258,81.5006,79.9781,81.2061,354656.0
2020-02-15,81.4258,81.5006,79.9781,81.2061,354656.0
2020-02-16,81.4258,81.5006,79.9781,81.2061,354656.0
2020-02-17,81.4258,81.5006,79.9781,81.2061,354656.0
2020-02-18,80.4174,81.1562,78.7901,79.0896,378166.0
2020-02-19,79.3192,80.0281,77.9215,77.9415,337515.0
2020-02-20,77.622,78.8101,76.1195,76.7235,326926.0
2020-02-21,76.7035,77.043,74.5072,75.4556,422655.0
2020-02-22,76.7035,77.043,74.5072,75.4556,422655.0
2020-02-23,76.7035,77.043,74.5072,75.4556,422655.0
2020-02-24,72.5304,75.1411,70.8831,74.4672,414704.0
2020-02-25,74.5072,75.2859,72.1311,73.2792,442669.0
2020-02-26,73.7284,74.9065,72.161,72.76,198180.0
2020-02-27,71.26,72.99,69.05,69.16,387763.0
2020-02-28,67.04,68.34,65.85,67.8,577516.0
2020-02-29,67.04,68.34,65.85,67.8,577516.0
2020-03-01,67.04,68.34,65.85,67.8,577516.0
2020-03-02,68.26,70.01,66.83,69.93,408208.0
2020-03-03,69.74,69.97,65.57,67.57,512407.0
2020-03-04,68.84,69.33,67.09,69.14,280570.0
2020-03-05,67.5,68.87,66.84,67.76,447287.0
2020-03-06,65.75,66.84,64.52,66.42,431406.0
2020-03-07,65.75,66.84,64.52,66.42,431406.0
2020-03-08,65.75,66.84,64.52,66.42,431406.0
2020-03-09,62.78,63.96,60.12,61.67,483857.0
2020-03-10,63.1,64.66,61.42,64.39,540883.0
2020-03-11,62.61,62.715,59.07,61.18,647867.0
2020-03-12,57.3,59.5,53.48,54.63,721044.0
2020-03-13,56.87,59.49,51.63,55.92,564431.0
2020-03-14,56.87,59.49,51.63,55.92,564431.0
2020-03-15,56.87,59.49,51.63,55.92,564431.0
2020-03-16,53.78,54.44,43.77,44.52,697516.0
2020-03-17,45.18,45.5,41.29,45.05,933724.0
2020-03-18,42.04,43.7,38.22,40.29,602598.0
2020-03-19,40.23,52.17,39.24,49.07,989625.0
2020-03-20,49.94,56.68,48.0,51.58,1905065.0
2020-03-21,49.94,56.68,48.0,51.58,1905065.0
2020-03-22,49.94,56.68,48.0,51.58,1905065.0
2020-03-23,51.84,52.61,45.76,49.01,951215.0
2020-03-24,51.3,53.02,48.61,52.32,457598.0
2020-03-25,52.52,53.99,49.6,49.85,535159.0
2020-03-26,50.8,56.99,50.8,56.75,669041.0
2020-03-27,53.98,55.59,53.0218,53.18,288111.0
2020-03-28,53.98,55.59,53.0218,53.18,288111.0
2020-03-29,53.98,55.59,53.0218,53.18,288111.0
2020-03-30,53.52,54.54,52.79,54.3,640383.0
2020-03-31,54.16,56.05,53.0,55.55,560487.0
2020-04-01,53.25,54.3,51.77,52.34,442323.0
2020-04-02,51.78,53.97,51.03,53.09,465430.0
2020-04-03,52.93,53.57,48.5,48.91,374406.0
2020-04-04,52.93,53.57,48.5,48.91,374406.0
2020-04-05,52.93,53.57,48.5,48.91,374406.0
2020-04-06,50.74,51.435,48.005,49.7,1290174.0
2020-04-07,50.03,50.89,46.6,47.59,698560.0
2020-04-08,48.44,51.2,48.2,49.97,911506.0
2020-04-09,51.04,56.25,51.04,54.27,843313.0
2020-04-10,51.04,56.25,51.04,54.27,843313.0
2020-04-11,51.04,56.25,51.04,54.27,843313.0
2020-04-12,51.04,56.25,51.04,54.27,843313.0
2020-04-13,53.62,55.0487,51.735,52.73,234465.0
2020-04-14,54.58,55.06,51.99,52.77,463198.0
2020-04-15,50.71,52.22,49.8,50.01,462902.0
2020-04-16,49.93,52.2,47.93,48.89,336680.0
2020-04-17,50.19,52.55,49.71,50.5,369208.0
2020-04-18,50.19,52.55,49.71,50.5,369208.0
2020-04-19,50.19,52.55,49.71,50.5,369208.0
2020-04-20,50.65,52.16,49.42,49.5,375636.0
2020-04-21,48.02,49.48,47.52,49.19,423202.0
2020-04-22,50.55,50.55,48.95,49.0,337310.0
2020-04-23,49.39,49.81,48.15,48.24,403823.0
2020-04-24,48.39,48.913,47.96,48.62,451173.0
2020-04-25,48.39,48.913,47.96,48.62,451173.0
2020-04-26,48.39,48.913,47.96,48.62,451173.0
2020-04-27,49.16,53.125,49.16,52.48,282254.0
2020-04-28,54.27,54.73,52.929,54.12,454444.0
2020-04-29,56.14,57.18,55.01,56.41,479935.0
2020-04-30,55.56,57.23,54.21,55.26,393774.0
2020-05-01,53.73,54.9,52.345,53.28,289066.0
2020-05-02,53.73,54.9,52.345,53.28,289066.0
2020-05-03,53.73,54.9,52.345,53.28,289066.0
2020-05-04,52.54,54.61,52.34,53.23,383565.0
2020-05-05,54.1,55.99,54.04,55.42,432884.0
2020-05-06,56.19,57.68,54.545,55.44,617735.0
2020-05-07,55.91,57.135,53.51,53.9,439433.0
2020-05-08,55.0,55.4906,52.95,53.83,542525.0
2020-05-09,55.0,55.4906,52.95,53.83,542525.0
2020-05-10,55.0,55.4906,52.95,53.83,542525.0
2020-05-11,53.0,53.51,51.94,52.16,515688.0
2020-05-12,52.03,53.07,50.25,50.565,471016.0
2020-05-13,49.99,50.865,48.09,48.77,445420.0
2020-05-14,47.71,49.19,45.77,49.07,680566.0
2020-05-15,48.84,51.52,48.05,51.23,381190.0
2020-05-16,48.84,51.52,48.05,51.23,381190.0
2020-05-17,48.84,51.52,48.05,51.23,381190.0
2020-05-18,53.66,53.87,51.65,53.22,431405.0
2020-05-19,53.16,54.63,52.585,54.16,425497.0
2020-05-20,55.0,55.865,54.83,55.38,387628.0
2020-05-21,55.23,56.54,54.7,56.45,422093.0
2020-05-22,56.98,57.21,55.73,56.65,326012.0
2020-05-23,56.98,57.21,55.73,56.65,326012.0
2020-05-24,56.98,57.21,55.73,56.65,326012.0
2020-05-25,56.98,57.21,55.73,56.65,326012.0
2020-05-26,58.83,59.8,57.29,57.6,573975.0
2020-05-27,58.54,61.39,57.59,61.23,409856.0
2020-05-28,61.97,62.035,57.87,58.43,339237.0
2020-05-29,57.64,58.91,56.99,58.61,351140.0
2020-05-30,57.64,58.91,56.99,58.61,351140.0
2020-05-31,57.64,58.91,56.99,58.61,351140.0
2020-06-01,58.9,60.25,58.1,59.65,369580.0
2020-06-02,60.23,60.3,59.02,60.0,225002.0
2020-06-03,61.31,61.68,60.34,61.22,344080.0
2020-06-04,60.59,61.14,59.42,60.09,240559.0
2020-06-05,62.05,64.04,61.71,63.17,376466.0
2020-06-06,62.05,64.04,61.71,63.17,376466.0
2020-06-07,62.05,64.04,61.71,63.17,376466.0
2020-06-08,63.99,63.99,61.65,62.5,489635.0
2020-06-09,61.76,62.29,59.91,60.03,350515.0
2020-06-10,60.05,60.27,58.36,58.43,429297.0
2020-06-11,55.88,56.59,54.055,55.67,608118.0
2020-06-12,58.33,58.48,55.0,56.66,520576.0
2020-06-13,58.33,58.48,55.0,56.66,520576.0
2020-06-14,58.33,58.48,55.0,56.66,520576.0
2020-06-15,55.43,60.08,54.9151,59.45,595653.0
2020-06-16,61.95,62.42,59.94,61.67,351497.0
2020-06-17,61.49,61.59,59.0,59.09,284410.0
2020-06-18,58.46,60.86,57.96,60.05,267360.0
2020-06-19,60.88,61.78,59.44,60.33,1132176.0
2020-06-20,60.88,61.78,59.44,60.33,1132176.0
2020-06-21,60.88,61.78,59.44,60.33,1132176.0
2020-06-22,59.65,60.1,58.4,58.98,363214.0
2020-06-23,59.52,60.07,58.54,59.42,473946.0
2020-06-24,58.73,59.45,56.36,57.19,298452.0
2020-06-25,57.01,57.72,56.42,57.66,239263.0
2020-06-26,57.36,58.58,55.43,55.49,504049.0
2020-06-27,57.36,58.58,55.43,55.49,504049.0
2020-06-28,57.36,58.58,55.43,55.49,504049.0
2020-06-29,56.24,57.55,55.27,57.12,264472.0
2020-06-30,57.17,58.47,56.58,57.08,373800.0
2020-07-01,56.9,59.07,56.29,58.69,291933.0
2020-07-02,59.89,59.98,57.3901,58.64,230052.0
2020-07-03,59.89,59.98,57.3901,58.64,230052.0
2020-07-04,59.89,59.98,57.3901,58.64,230052.0
2020-07-05,59.89,59.98,57.3901,58.64,230052.0
2020-07-06,60.45,60.79,59.25,59.44,848632.0
2020-07-07,60.0,60.06,57.24,57.38,226506.0
2020-07-08,57.3,58.3,56.51,57.85,230256.0
2020-07-09,57.9,57.96,55.9,57.18,263236.0
2020-07-10,57.08,58.07,56.6326,57.53,258469.0
2020-07-11,57.08,58.07,56.6326,57.53,258469.0
2020-07-12,57.08,58.07,56.6326,57.53,258469.0
2020-07-13,57.88,58.69,56.11,56.24,421605.0
2020-07-14,56.54,56.8,53.78,54.11,374293.0
2020-07-15,55.2,55.47,53.98,55.02,500085.0
2020-07-16,54.29,54.87,53.03,53.44,231480.0
2020-07-17,53.28,54.5,52.35,54.3,669233.0
2020-07-18,53.28,54.5,52.35,54.3,669233.0
2020-07-19,53.28,54.5,52.35,54.3,669233.0
2020-07-20,54.01,55.93,54.01,55.09,341194.0
2020-07-21,55.97,56.54,55.3,55.71,223699.0
2020-07-22,55.31,56.5,55.31,55.88,315506.0
2020-07-23,55.63,56.315,54.51,55.27,322957.0
2020-07-24,54.73,55.52,51.44,55.385,1375891.0
2020-07-25,54.73,55.52,51.44,55.385,1375891.0
2020-07-26,54.73,55.52,51.44,55.385,1375891.0
2020-07-27,55.04,55.4,53.54,54.71,953660.0
2020-07-28,54.66,55.52,54.5,55.06,1021308.0
2020-07-29,55.71,56.91,54.74,56.55,1138828.0
2020-07-30,58.795,65.9,57.74,64.92,1530216.0
2020-07-31,64.42,64.81,61.4,62.54,589929.0
2020-08-01,64.42,64.81,61.4,62.54,589929.0
2020-08-02,64.42,64.81,61.4,62.54,589929.0
2020-08-03,62.43,64.9,62.43,63.99,474565.0
2020-08-04,63.84,64.25,61.82,63.89,310073.0
2020-08-05,64.8,65.24,63.82,63.95,340180.0
2020-08-06,64.17,65.9,63.76,65.85,375600.0
2020-08-07,65.35,66.99,65.01,66.88,298033.0
2020-08-08,65.35,66.99,65.01,66.88,298033.0
2020-08-09,65.35,66.99,65.01,66.88,298033.0
2020-08-10,66.92,67.43,65.58,65.72,269598.0
2020-08-11,66.15,66.505,64.62,64.68,265235.0
