,LECO US Equity,LECO US Equity,LECO US Equity,LECO US Equity,LECO US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,70.9037,71.7585,69.8306,71.7039,237329.0
2019-01-02,70.4308,71.6766,69.8852,71.1947,312516.0
2019-01-03,70.8855,72.3405,68.6575,69.1304,269205.0
2019-01-04,70.3853,71.8858,70.2762,71.6493,210998.0
2019-01-05,70.3853,71.8858,70.2762,71.6493,210998.0
2019-01-06,70.3853,71.8858,70.2762,71.6493,210998.0
2019-01-07,71.3311,73.1407,70.8491,71.9767,352122.0
2019-01-08,72.7679,73.6318,72.5678,73.4681,237741.0
2019-01-09,73.9773,74.8776,73.3771,74.4593,262234.0
2019-01-10,74.0956,75.2232,73.459,75.1959,156300.0
2019-01-11,74.7503,75.2253,74.2501,74.9685,373515.0
2019-01-12,74.7503,75.2253,74.2501,74.9685,373515.0
2019-01-13,74.7503,75.2253,74.2501,74.9685,373515.0
2019-01-14,74.3775,74.6139,73.7318,73.8046,270915.0
2019-01-15,73.941,74.3684,72.8224,73.3226,256831.0
2019-01-16,73.3862,74.1592,73.3862,73.5317,235276.0
2019-01-17,72.9316,75.3869,72.8042,74.914,264170.0
2019-01-18,75.5596,76.8055,75.1504,76.5872,274285.0
2019-01-19,75.5596,76.8055,75.1504,76.5872,274285.0
2019-01-20,75.5596,76.8055,75.1504,76.5872,274285.0
2019-01-21,75.5596,76.8055,75.1504,76.5872,274285.0
2019-01-22,75.9507,76.3781,74.3866,74.9049,236606.0
2019-01-23,75.0322,75.9234,73.4499,74.3684,190767.0
2019-01-24,74.4593,75.8688,74.1865,74.9504,138785.0
2019-01-25,76.2235,77.8876,75.6597,77.4602,262763.0
2019-01-26,76.2235,77.8876,75.6597,77.4602,262763.0
2019-01-27,76.2235,77.8876,75.6597,77.4602,262763.0
2019-01-28,76.6509,76.9874,75.7324,76.5599,265172.0
2019-01-29,77.1147,79.0607,77.0055,78.3696,327590.0
2019-01-30,79.1335,79.7609,77.8422,79.3517,269935.0
2019-01-31,79.1062,79.5972,77.9058,78.606,452510.0
2019-02-01,78.606,79.3244,77.8376,78.9061,306747.0
2019-02-02,78.606,79.3244,77.8376,78.9061,306747.0
2019-02-03,78.606,79.3244,77.8376,78.9061,306747.0
2019-02-04,78.9516,80.1702,78.797,79.961,252929.0
2019-02-05,79.9428,80.5521,78.7606,80.2338,276323.0
2019-02-06,80.2065,80.5976,79.9428,80.0792,198999.0
2019-02-07,79.6427,79.9064,78.5515,79.5245,376848.0
2019-02-08,79.1244,80.1792,78.4242,79.3153,234143.0
2019-02-09,79.1244,80.1792,78.4242,79.3153,234143.0
2019-02-10,79.1244,80.1792,78.4242,79.3153,234143.0
2019-02-11,79.479,80.1002,78.8015,79.6063,293563.0
2019-02-12,80.2611,82.0707,80.2611,81.8434,295211.0
2019-02-13,82.0344,82.9437,81.6706,82.0435,339495.0
2019-02-14,80.3793,80.5248,77.4693,79.3881,1114186.0
2019-02-15,79.4336,82.2481,78.115,80.4248,490303.0
2019-02-16,79.4336,82.2481,78.115,80.4248,490303.0
2019-02-17,79.4336,82.2481,78.115,80.4248,490303.0
2019-02-18,79.4336,82.2481,78.115,80.4248,490303.0
2019-02-19,79.9337,81.4433,79.8246,80.4793,383646.0
2019-02-20,80.7249,81.0704,80.1702,80.934,267548.0
2019-02-21,80.4884,81.0068,79.0334,79.6063,542212.0
2019-02-22,80.0065,80.6521,79.4699,80.0792,310468.0
2019-02-23,80.0065,80.6521,79.4699,80.0792,310468.0
2019-02-24,80.0065,80.6521,79.4699,80.0792,310468.0
2019-02-25,80.543,81.1568,79.7609,80.5794,561194.0
2019-02-26,80.2702,80.5794,78.8788,78.9152,371145.0
2019-02-27,78.9243,79.5882,78.3741,79.3062,217002.0
2019-02-28,79.1971,79.1971,78.2878,78.5878,276440.0
2019-03-01,79.4517,79.4517,78.2696,78.8334,354611.0
2019-03-02,79.4517,79.4517,78.2696,78.8334,354611.0
2019-03-03,79.4517,79.4517,78.2696,78.8334,354611.0
2019-03-04,79.1244,79.9519,78.5878,79.4063,387549.0
2019-03-05,79.5518,79.8882,79.1698,79.379,215537.0
2019-03-06,79.3881,79.6791,78.6333,78.7333,224500.0
2019-03-07,78.7061,78.747,77.2147,77.5875,237843.0
2019-03-08,76.5145,77.1329,76.5145,76.7327,243143.0
2019-03-09,76.5145,77.1329,76.5145,76.7327,243143.0
2019-03-10,76.5145,77.1329,76.5145,76.7327,243143.0
2019-03-11,76.8328,77.6967,76.8146,77.6694,223650.0
2019-03-12,77.6694,77.924,76.9373,77.4784,222848.0
2019-03-13,77.8694,78.1604,77.0419,77.4511,415249.0
2019-03-14,77.2693,77.3693,76.1325,76.7054,400210.0
2019-03-15,76.7418,77.9826,76.369,76.7964,718794.0
2019-03-16,76.7418,77.9826,76.369,76.7964,718794.0
2019-03-17,76.7418,77.9826,76.369,76.7964,718794.0
2019-03-18,76.9146,77.9695,76.4235,77.9422,224659.0
2019-03-19,78.3878,78.697,77.6694,77.9513,266461.0
2019-03-20,77.7785,78.4287,76.3417,76.7236,284100.0
2019-03-21,76.3963,77.9513,76.3963,77.3056,245545.0
2019-03-22,76.9328,76.9601,74.0683,74.1228,306695.0
2019-03-23,76.9328,76.9601,74.0683,74.1228,306695.0
2019-03-24,76.9328,76.9601,74.0683,74.1228,306695.0
2019-03-25,74.2138,74.6412,73.7682,74.1774,217239.0
2019-03-26,74.8685,75.6506,74.4775,75.114,241885.0
2019-03-27,75.3414,75.8415,74.823,75.596,262602.0
2019-03-28,75.8338,77.0136,75.7378,76.3185,284508.0
2019-03-29,76.9953,77.1965,76.3002,76.7026,291099.0
2019-03-30,76.9953,77.1965,76.3002,76.7026,291099.0
2019-03-31,76.9953,77.1965,76.3002,76.7026,291099.0
2019-04-01,77.5074,78.9981,77.5074,78.6872,447398.0
2019-04-02,78.8427,79.7115,77.983,79.3639,362036.0
2019-04-03,80.1047,81.2845,79.805,80.4797,514212.0
2019-04-04,80.6443,81.3851,80.3974,81.0833,355658.0
2019-04-05,81.4308,82.1853,81.3302,81.9521,315874.0
2019-04-06,81.4308,82.1853,81.3302,81.9521,315874.0
2019-04-07,81.4308,82.1853,81.3302,81.9521,315874.0
2019-04-08,81.5954,82.1167,80.8684,82.0344,403093.0
2019-04-09,81.7326,82.5283,81.0376,81.568,431795.0
2019-04-10,81.8515,82.1167,80.9918,81.1839,278087.0
2019-04-11,81.3942,82.4459,81.001,82.1441,340930.0
2019-04-12,82.9398,83.4337,82.2539,82.5283,252789.0
2019-04-13,82.9398,83.4337,82.2539,82.5283,252789.0
2019-04-14,82.9398,83.4337,82.2539,82.5283,252789.0
2019-04-15,82.638,82.9672,81.3119,81.3851,329577.0
2019-04-16,81.3211,82.2082,81.3211,82.1533,305397.0
2019-04-17,82.6106,82.8575,81.5588,82.0344,269460.0
2019-04-18,82.3728,83.8543,82.1259,83.6897,489030.0
2019-04-19,82.3728,83.8543,82.1259,83.6897,489030.0
2019-04-20,82.3728,83.8543,82.1259,83.6897,489030.0
2019-04-21,82.3728,83.8543,82.1259,83.6897,489030.0
2019-04-22,79.8212,81.7418,78.5134,79.8029,980202.0
2019-04-23,79.8852,80.4157,78.6506,79.8029,467868.0
2019-04-24,80.0773,81.2113,79.5194,80.8455,381756.0
2019-04-25,80.4888,80.53,78.8792,79.3274,281797.0
2019-04-26,79.3274,80.0681,79.053,79.9767,250730.0
2019-04-27,79.3274,80.0681,79.053,79.9767,250730.0
2019-04-28,79.3274,80.0681,79.053,79.9767,250730.0
2019-04-29,80.3151,81.0467,80.2328,80.4522,209430.0
2019-04-30,80.6169,80.7266,79.1536,79.8121,307555.0
2019-05-01,80.1687,80.2876,78.6927,78.7603,229043.0
2019-05-02,78.6323,79.1536,77.7726,79.1353,255559.0
2019-05-03,79.7023,80.8089,79.7023,80.6809,200458.0
2019-05-04,79.7023,80.8089,79.7023,80.6809,200458.0
2019-05-05,79.7023,80.8089,79.7023,80.6809,200458.0
2019-05-06,78.9341,79.9584,78.4768,79.5011,264111.0
2019-05-07,78.3031,78.3854,77.1325,77.672,175158.0
2019-05-08,77.5897,78.0104,76.6798,76.7941,206960.0
2019-05-09,75.9893,77.0502,75.6418,76.7575,254019.0
2019-05-10,76.2819,76.6478,74.9101,76.4191,317451.0
2019-05-11,76.2819,76.6478,74.9101,76.4191,317451.0
2019-05-12,76.2819,76.6478,74.9101,76.4191,317451.0
2019-05-13,75.6052,76.5837,73.6846,73.9773,376390.0
2019-05-14,74.3523,74.8461,73.8447,74.087,473708.0
2019-05-15,73.5017,74.7089,73.3554,74.2517,245394.0
2019-05-16,74.6266,75.2942,74.023,74.4071,326281.0
2019-05-17,73.5657,74.1876,72.7975,72.8433,231329.0
2019-05-18,73.5657,74.1876,72.7975,72.8433,231329.0
2019-05-19,73.5657,74.1876,72.7975,72.8433,231329.0
2019-05-20,72.45,73.2434,72.1391,72.6878,280943.0
2019-05-21,73.2731,74.0505,73.1725,73.6938,201730.0
2019-05-22,73.3188,73.6389,72.4866,72.514,206063.0
2019-05-23,71.7275,72.0202,70.4289,70.877,414167.0
2019-05-24,71.3891,71.9287,70.6895,70.7947,213006.0
2019-05-25,71.3891,71.9287,70.6895,70.7947,213006.0
2019-05-26,71.3891,71.9287,70.6895,70.7947,213006.0
2019-05-27,71.3891,71.9287,70.6895,70.7947,213006.0
2019-05-28,70.8221,71.2428,70.0631,70.1362,273754.0
2019-05-29,69.6332,71.1239,69.6332,70.7764,247834.0
2019-05-30,71.0142,71.7467,70.4197,70.9319,248670.0
2019-05-31,70.0082,70.2368,69.368,69.4503,273445.0
2019-06-01,70.0082,70.2368,69.368,69.4503,273445.0
2019-06-02,70.0082,70.2368,69.368,69.4503,273445.0
2019-06-03,69.1851,70.9867,69.1851,70.374,331705.0
2019-06-04,71.2337,73.3463,71.1696,73.2457,239843.0
2019-06-05,73.3554,74.0596,72.2397,74.0047,327023.0
2019-06-06,74.0779,74.2425,72.1391,72.6969,304591.0
2019-06-07,73.1633,73.8584,72.9073,73.0536,182263.0
2019-06-08,73.1633,73.8584,72.9073,73.0536,182263.0
2019-06-09,73.1633,73.8584,72.9073,73.0536,182263.0
2019-06-10,73.5749,73.9974,73.3005,73.3371,221787.0
2019-06-11,74.1145,74.9101,73.3005,73.6298,156540.0
2019-06-12,73.1633,74.9559,71.316,71.5538,440898.0
2019-06-13,71.6909,72.1482,70.1545,70.8587,654300.0
2019-06-14,70.8221,71.2611,69.6469,70.9959,329319.0
2019-06-15,70.8221,71.2611,69.6469,70.9959,329319.0
2019-06-16,70.8221,71.2611,69.6469,70.9959,329319.0
2019-06-17,70.6941,71.3251,69.1119,69.2674,380644.0
2019-06-18,69.7795,72.4409,69.7795,72.1939,496035.0
2019-06-19,72.2488,72.8936,71.8647,72.5963,352660.0
2019-06-20,73.6755,74.5489,73.1542,74.398,383187.0
2019-06-21,74.1328,74.1328,72.7374,72.7609,880440.0
2019-06-22,74.1328,74.1328,72.7374,72.7609,880440.0
2019-06-23,74.1328,74.1328,72.7374,72.7609,880440.0
2019-06-24,72.953,73.9681,72.5049,72.8067,288767.0
2019-06-25,73.2731,73.9133,72.8615,73.3097,265048.0
2019-06-26,73.4743,73.6435,73.0993,73.2822,319206.0
2019-06-27,72.2427,73.9722,72.0771,73.8986,342511.0
2019-06-28,74.055,75.9592,73.595,75.7292,622961.0
2019-06-29,74.055,75.9592,73.595,75.7292,622961.0
2019-06-30,74.055,75.9592,73.595,75.7292,622961.0
2019-07-01,77.0447,77.1827,75.4257,75.72,356695.0
2019-07-02,75.4533,75.628,74.7449,75.1681,395544.0
2019-07-03,75.3797,76.226,75.2509,76.134,169632.0
2019-07-04,75.3797,76.226,75.2509,76.134,169632.0
2019-07-05,75.6556,75.6556,74.5517,75.4625,165493.0
2019-07-06,75.6556,75.6556,74.5517,75.4625,165493.0
2019-07-07,75.6556,75.6556,74.5517,75.4625,165493.0
2019-07-08,74.9381,75.4441,73.8894,74.1101,264093.0
2019-07-09,73.595,73.963,73.135,73.8802,294589.0
2019-07-10,74.1929,74.3309,73.1166,73.5674,267991.0
2019-07-11,73.4478,74.2849,73.1074,74.2297,374208.0
2019-07-12,76.0512,77.6151,75.4533,76.8516,629119.0
2019-07-13,76.0512,77.6151,75.4533,76.8516,629119.0
2019-07-14,76.0512,77.6151,75.4533,76.8516,629119.0
2019-07-15,76.8516,77.2839,76.1892,77.0447,565370.0
2019-07-16,77.0447,78.4247,76.3548,78.1947,644523.0
2019-07-17,78.0935,79.225,77.3897,78.1303,704942.0
2019-07-18,77.8267,77.9555,76.7872,77.1551,524502.0
2019-07-19,77.7807,78.4844,77.0723,78.0015,567456.0
2019-07-20,77.7807,78.4844,77.0723,78.0015,567456.0
2019-07-21,77.7807,78.4844,77.0723,78.0015,567456.0
2019-07-22,78.2131,78.8478,78.0567,78.3419,443252.0
2019-07-23,78.1947,81.6444,76.4652,81.4972,1545282.0
2019-07-24,81.4236,82.7944,80.5037,82.6748,561723.0
2019-07-25,81.6628,82.1044,80.1587,80.5589,669840.0
2019-07-26,80.9545,80.9545,79.499,79.8782,340937.0
2019-07-27,80.9545,80.9545,79.499,79.8782,340937.0
2019-07-28,80.9545,80.9545,79.499,79.8782,340937.0
2019-07-29,79.8322,79.8322,78.535,78.8754,406178.0
2019-07-30,78.1119,78.972,78.1119,78.8202,478364.0
2019-07-31,78.7926,79.317,76.9482,77.7531,622881.0
2019-08-01,77.5875,78.9306,75.904,76.0788,436117.0
2019-08-02,75.9684,76.5388,74.8185,75.904,382971.0
2019-08-03,75.9684,76.5388,74.8185,75.904,382971.0
2019-08-04,75.9684,76.5388,74.8185,75.904,382971.0
2019-08-05,74.5701,75.1865,73.5582,74.5057,538262.0
2019-08-06,75.1221,76.41,75.1221,76.2628,368128.0
2019-08-07,75.2693,77.2195,74.4137,76.962,470585.0
2019-08-08,77.4311,78.6178,77.1275,78.1119,437771.0
2019-08-09,77.7347,77.7347,76.272,76.2904,290597.0
2019-08-10,77.7347,77.7347,76.272,76.2904,290597.0
2019-08-11,77.7347,77.7347,76.272,76.2904,290597.0
2019-08-12,75.8856,76.594,75.2141,75.8488,243416.0
2019-08-13,75.4349,78.489,75.4073,76.8516,209686.0
2019-08-14,75.3337,75.6556,73.7698,74.3309,213470.0
2019-08-15,74.6713,74.7725,73.7836,74.3217,189046.0
2019-08-16,74.8553,76.0144,74.7725,75.7292,148260.0
2019-08-17,74.8553,76.0144,74.7725,75.7292,148260.0
2019-08-18,74.8553,76.0144,74.7725,75.7292,148260.0
2019-08-19,76.9344,77.2931,75.8304,76.226,368291.0
2019-08-20,75.9684,76.1892,75.3429,75.5085,216748.0
2019-08-21,76.2812,76.5572,75.8396,76.0328,155491.0
2019-08-22,76.2812,76.6492,75.72,76.2628,138550.0
2019-08-23,76.0144,76.4376,74.2941,74.5793,325417.0
